Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
Intravenous use and subcutaneous use,25.05.2023,2023,authorised,approved,27.06.2024,2024,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue; Diseases of the digestive system,steqeyma-epar-public-assessment-report_en.pdf,Biologics,Steqeyma,Plaque psoriasis; Paediatric plaque psoriasis; Psoriatic arthritis (PsA); Crohn’s disease,<Plaque Psoriasis>; <Psoriatic Arthritis>; <Crohn Disease>,no,Plaque psoriasis; Paediatric plaque psoriasis; Psoriatic arthritis (PsA); Crohn’s disease,<Plaque Psoriasis>; <Psoriatic Arthritis>; <Crohn Disease>,Celltrion Healthcare Hungary Kft.,Celltrion,EMA/328491/2024,ustekinumab,no,no,Concentrate for solution for infusion; Solution for injection,EMEA/H/C/005918/0000,NA
Not reported,03.09.2007,2007,authorised,approved,10.01.2008,2008,"Endocrine, nutritional, and metabolic diseases",tesavel-epar-public-assessment-report_en.pdf,Small molecule,TESAVEL,"For patients with type 2 diabetes mellitus, TESAVEL is indicated to improve glycaemic control in combination with metformin, a sulphonylurea, or a PPAR γ agonist.",<Type 2 Diabetes Mellitus>,yes,"For patients with type 2 diabetes mellitus, TESAVEL is indicated to improve glycaemic control in combination with metformin, a sulphonylurea, or a PPAR γ agonist.",<Type 2 Diabetes Mellitus>,Merck Sharp & Dohme Ltd.,Merck Sharp & Dohme,Not reported,sitagliptin,yes,no,Not reported,EMEA/H/C/910,NA
oral,01.04.2021,2021,authorised,approved,21.07.2022,2022,Neoplasms; Diseases of the blood and blood-forming organs,thalidomide-lipomed-epar-public-assessment-report_en.pdf,Small molecule,Thalidomide Lipomed,"Thalidomide Lipomed in combination with melphalan and prednisone is indicated as first line treatment of patients with untreated multiple myeloma, aged ≥ 65 years or ineligible for high dose chemotherapy.",<Multiple Myeloma>,no,"Thalidomide Lipomed in combination with melphalan and prednisone is indicated as first line treatment of patients with untreated multiple myeloma, aged ≥ 65 years or ineligible for high dose chemotherapy.",<Multiple Myeloma>,Lipomed GmbH,Lipomed,EMA/773068/2022,thalidomide,no,no,coated tablet,EMEA/H/C/005715/0000,NA
subcutaneous,05.06.2008,2008,authorised,approved,29.05.2009,2009,Neoplasms; Diseases of the blood and blood-forming organs,mozobil-epar-public-assessment-report_en.pdf,Small molecule,Mozobil,enhance mobilisation of haematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma whose cells mobilise poorly,<Lymphoma>; <Multiple Myeloma>,no,enhance mobilisation of haematopoietic stem cells to the peripheral blood for collection and subsequent autologous transplantation in patients with lymphoma and multiple myeloma,<Lymphoma>; <Multiple Myeloma>,Genzyme Europe B.V.,Genzyme,EMA/001030/2009,plerixafor,no,yes,solution for subcutaneous injection,EMEA/H/C/001030,NA
subcutaneous,Not reported,Not reported,authorised,approved,Not reported,Not reported,Diseases of the musculoskeletal system and connective tissue,forsteo-epar-scientific-discussion_en.pdf,Peptides and proteins,Forsteo,treatment of established osteoporosis in postmenopausal women,<Osteoporosis>,no,treatment of established osteoporosis in postmenopausal women,<Osteoporosis>,Eli Lilly and Company,Eli Lilly,Not reported,teriparatide,no,no,solution for injection,Not reported,NA
oral,25.11.2019,2019,authorised,approved,25.03.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,copiktra-epar-public-assessment-report_en.pdf,Small molecule,Copiktra,Relapsed or refractory chronic lymphocytic leukaemia (CLL) after at least two prior therapies; Follicular lymphoma (FL) that is refractory to at least two prior systemic therapies,"<Leukemia, Lymphocytic, Chronic, B-Cell>; <Lymphoma, Follicular>",no,Relapsed or refractory chronic lymphocytic leukaemia (CLL) or small lymphocytic lymphoma (SLL) after at least one prior therapy with or without the presence of 17p deletion or TP53 mutation; Relapsed or refractory follicular lymphoma (FL) after at least one prior systemic therapy,"<Leukemia, Lymphocytic, Chronic, B-Cell>; <Lymphoma, Small Lymphocytic>; <Lymphoma, Follicular>",Verastem Europe GmbH,Verastem,EMA/236249/2021,duvelisib,no,no,hard capsule,EMEA/H/C/005381/0000,NA
intravenous,03.02.2010,2010,authorised,approved,14.04.2011,2011,Diseases of the genitourinary system,nulojix-epar-public-assessment-report_en.pdf,Biologics,NULOJIX,prophylaxis of graft rejection in adults receiving a renal transplant,<Rejection (Psychology)>,no,prophylaxis of graft failure and dysfunction in adult patients receiving a renal transplant,"<Transplantation, Homologous>",Bristol-Myers Squibb Pharma EEIG,Bristol-Myers Squibb,EMA/2098/2011,Belatacept,no,no,powder for concentrate for solution for infusion,EMEA/H/C/2098,NA
Subcutaneous,09.01.2020,2020,authorised,approved,12.11.2020,2020,Neoplasms,phesgo-epar-public-assessment-report_en.pdf,Biologics,Phesgo,Early breast cancer (EBC) and Metastatic breast cancer (MBC),<Breast Neoplasms>,no,Early breast cancer (EBC) and Metastatic breast cancer (MBC),<Breast Neoplasms>,Roche Registration GmbH,Roche,EMA/646782/2020,pertuzumab / trastuzumab,yes,no,Solution for injection,EMEA/H/C/005386/0000,Not reported
Intravenous,30.05.2018,2018,authorised,approved,27.06.2019,2019,Diseases of the circulatory system; Infectious and parasitic diseases,giapreza-epar-public-assessment-report_en.pdf,Peptides and proteins,Giapreza,Treatment of refractory hypotension in adults with septic or other distributive shock who remain hypotensive despite adequate volume restitution and application of catecholamines and other available vasopressor therapies.,<Shock>,no,Treatment of hypotension in adults with distributive or vasodilatory shock who remain hypotensive despite fluid and vasopressor therapy.,<Shock>,La Jolla Pharmaceutical II B.V.,La Jolla,EMA/508753/2019,Angiotensin II,no,no,Concentrate for solution for infusion,EMEA/H/C/004930/0000,NA
Subcutaneous injection,08.10.2021,2021,authorised,approved,11.11.2021,2021,Infectious and parasitic diseases,ronapreve-epar-public-assessment-report_en.pdf,Biologics,Ronapreve,Treatment of COVID-19 in adults and adolescents aged 12 years and older weighing at least 40 kg who do not require supplemental oxygen and who are at increased risk of progressing to severe COVID-19; Prevention of COVID-19 in adults and adolescents aged 12 years and older weighing at least 40 kg.,<COVID-19>,no,Treatment of COVID-19 in patients aged 12 years and older who do not require supplemental oxygen and who are at high risk of progressing to severe COVID-19; Prevention of COVID-19 in individuals aged 12 years and older.,<COVID-19>,Roche Registration GmbH,Roche,EMA/680189/2021,casirivimab / imdevimab,no,no,Solution for injection/infusion,EMEA/H/C/005814/0000,NA
oral,24.06.2022,2022,authorised,approved,22.06.2023,2023,Diseases of the nervous system,aquipta-epar-public-assessment-report_en.pdf,Small molecule,Aquipta,prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,no,prophylaxis of migraine in adults who have at least 4 migraine days per month,<Migraine Disorders>,AbbVie Deutschland GmbH & Co. KG,AbbVie,EMA/326142/2023,atogepant,no,no,tablet,EMEA/H/C/005871/0000,NA
oral,28.11.2014,2014,authorised,approved,24.09.2015,2015,Infectious and parasitic diseases,genvoya-epar-public-assessment-report_en.pdf,Small molecule,Genvoya,"treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and adolescents 12 years of age and older, without any known mutations associated with resistance to the individual components of Genvoya",<HIV Infections>,no,"treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults and adolescents 12 years of age and older, without any known mutations associated with resistance to the individual components of Genvoya",<HIV Infections>,Gilead Sciences International Ltd,Gilead,EMA/688326/2015,elvitegravir / cobicistat / emtricitabine / tenofovir alafenamide,no,no,film-coated tablet,EMEA/H/C/004042/0000,NA
oral,09.08.2023,2023,authorised,approved,30.05.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,pomalidomide-zentiva-epar-public-assessment-report_en.pdf,Small molecule,Pomalidomide Zentiva,"Pomalidomide Zentiva in combination with bortezomib and dexamethasone is indicated in the treatment of adult patients with multiple myeloma who have received at least one prior treatment regimen including lenalidomide. Pomalidomide Zentiva in combination with dexamethasone is indicated in the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.",<Multiple Myeloma>,no,"Pomalidomide Zentiva in combination with bortezomib and dexamethasone is indicated in the treatment of adult patients with multiple myeloma who have received at least one prior treatment regimen including lenalidomide. Pomalidomide Zentiva in combination with dexamethasone is indicated in the treatment of adult patients with relapsed and refractory multiple myeloma who have received at least two prior treatment regimens, including both lenalidomide and bortezomib, and have demonstrated disease progression on the last therapy.",<Multiple Myeloma>,"Zentiva, k.s.",Zentiva,EMA/290725/2024,Pomalidomide,yes,no,"capsule, hard",EMEA/H/C/006294/0000,Not reported
oral,Not reported,Not reported,withdrawn,approved,Not reported,Not reported,Mental and behavioural disorders,xeristar-epar-scientific-discussion_en.pdf,Small molecule,XERISTAR,treatment of major depressive episodes,"<Depressive Disorder, Major>",yes,treatment of major depressive episodes,"<Depressive Disorder, Major>",Boehringer Ingelheim International GmbH,Boehringer Ingelheim,Not reported,duloxetine hydrochloride,no,no,hard gastro-resistant capsules,Not reported,NA
Intravenous,Not reported,Not reported,withdrawn,withdrawn,Not reported,Not reported,Neoplasms; Diseases of the respiratory system,opaxio-withdrawal-assessment-report_en.pdf,Biologics,Opaxio,NA,Not Reported,no,First line chemotherapy of patients with advanced NSCLC and ECOG Performance Status 2,<Non-Small Cell Lung Carcinoma>,"CTI Life Sciences, Ltd",CTI,Not reported,Paclitaxel poliglumex,no,no,Powder for concentrate for solution for infusion,EMEA/H/C/994,NA
intravenous,17.11.2015,2015,authorised,approved,22.11.2016,2016,Infectious and parasitic diseases,zinplava-epar-public-assessment-report_en.pdf,Biologics,Zinplava,prevention of Clostridium difficile infection (CDI) recurrence in patients 18 years or older receiving antibiotic therapy for CDI,<Clostridium Infections>,no,prevention of Clostridium difficile infection (CDI) recurrence in patients 18 years or older receiving antibiotic therapy for CDI,<Clostridium Infections>,Merck Sharp & Dohme Limited,Merck Sharp & Dohme,EMA/853812/2016,bezlotoxumab,no,no,concentrate for solution for infusion,EMEA/H/C/004136/0000,NA
oral,Not reported,Not reported,withdrawn,withdrawn,15.05.2009,2009,Diseases of the circulatory system,clopidogrel-teva-pharma-withdrawal-assessment-report_en.pdf,Small molecule,CLOPIDOGREL TEVA PHARMA,NA,Not Reported,no,"prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,Teva Pharma,Teva,Not reported,clopidogrel,yes,no,film-coated tablet,EMEA/H/C/1052,NA
intranasal,07.10.2022,2022,authorised,approved,27.06.2024,2024,Infectious and parasitic diseases,eurneffy-epar-public-assessment-report_en.pdf,Small molecule,Eurneffy,"emergency treatment of allergic reactions (anaphylaxis) due to insect stings or bites, foods, medicinal products and other allergens as well as idiopathic or exercise induced anaphylaxis",<Anaphylaxis>,no,"emergency treatment of allergic reactions (anaphylaxis) due to insect stings or bites, foods, medicinal products and other allergens as well as idiopathic or exercise induced anaphylaxis",<Anaphylaxis>,ARS Pharmaceuticals IRL Limited,ARS,EMA/328958/2024,epinephrine,no,no,nasal spray solution,EMEA/H/C/006139/0000,NA
subcutaneous,08.09.2017,2017,authorised,approved,20.09.2018,2018,Neoplasms; Diseases of the blood and blood-forming organs,pelmeg-epar-public-assessment-report_en.pdf,Biologics,Pelmeg,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,<Neutropenia>; <Febrile Neutropenia>; <Malignancy>,no,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,<Neutropenia>; <Febrile Neutropenia>; <Malignant Neoplasms>,Cinfa Biotech S.L.,Cinfa,EMA/703393/2018,pegfilgrastim,no,no,solution for injection,EMEA/H/C/004700/0000,NA
oral,08.03.2018,2018,authorised,approved,31.01.2019,2019,Infectious and parasitic diseases,atazanavir-krka-epar-public-assessment-report_en.pdf,Small molecule,Atazanavir Krka,Treatment of HIV-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products,<HIV Infections>,no,Treatment of HIV-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products,<HIV Infections>,"KRKA, d.d., Novo mesto",KRKA,EMA/119506/2019,atazanavir,yes,no,hard capsules,EMEA/H/C/004859/0000,Not reported
oral,15.04.2016,2016,authorised (under additional monitoring),approved,18.05.2017,2017,Diseases of the genitourinary system,veltassa-epar-public-assessment-report_en.pdf,Other,Veltassa,Treatment of hyperkalaemia in adult patients,<Hyperkalemia>,no,Treatment of hyperkalaemia in adult patients,<Hyperkalemia>,Vifor Fresenius Medical Care Renal Pharma France,Fresenius,EMA/CHMP/424270/2017,patiromer,no,no,powder for oral suspension,EMEA/H/C/004180/0000,NA
oral,08.03.2021,2021,authorised,approved,24.02.2022,2022,Neoplasms; Diseases of the genitourinary system,orgovyx-epar-public-assessment-report_en.pdf,Small molecule,Orgovyx,treatment of adult patients with advanced hormone-sensitive prostate cancer,<Prostatic Neoplasms>,no,treatment of adult patients with advanced prostate cancer,<Prostatic Neoplasms>,Myovant Sciences Ireland Limited,Myovant,EMA/218094/2022,relugolix,no,no,film-coated tablet,EMEA/H/C/005353/0000,NA
oral,09.07.2014,2014,withdrawn,approved,26.05.2015,2015,Diseases of the nervous system; Mental and behavioural disorders,pregabalin-sandoz-gmbh-epar-public-assessment-report_en.pdf,Small molecule,Pregabalin Sandoz GmbH,Epilepsy; Generalised Anxiety Disorder,<Epilepsy>; <Anxiety Disorders>,no,Epilepsy; Generalised Anxiety Disorder,<Epilepsy>; <Anxiety Disorders>,Sandoz GmbH,Sandoz,EMA/CHMP/102870/2015,pregabalin,yes,no,hard capsule,EMEA/H/C/004070,Not reported
Intravenous,02.03.2011,2011,withdrawn,refused,15.11.2012,2012,Neoplasms; Diseases of the blood and blood-forming organs,istodax-epar-refusal-public-assessment-report_en.pdf,Small molecule,Istodax,NA,Not Reported,no,Treatment of adult patients with peripheral T-cell lymphoma (PTCL) that has relapsed after or become refractory to at least one prior therapy,<Peripheral T-Cell Lymphoma>,Celgene Europe Ltd.,Celgene,Not reported,romidepsin,no,yes,Powder and solvent for concentrate for solution for infusion,EMEA/H/C/002122,NA
intravenous,30.08.2016,2016,authorised,approved,25.01.2018,2018,"Endocrine, nutritional, and metabolic diseases",lamzede-epar-public-assessment-report_en.pdf,Biologics,Lamzede,Enzyme replacement therapy for the treatment of non-neurological manifestations in patients with mild to moderate alpha-mannosidosis,<Alpha-Mannosidosis>,no,long-term enzyme replacement therapy in patients with alpha-mannosidosis,<Alpha-Mannosidosis>,Chiesi Farmaceutici S.p.A.,Chiesi,EMA/205473/2018,velmanase alfa,no,yes,powder for solution for infusion,EMEA/H/C/003922/0000,NA
oral,03.03.2008,2008,withdrawn,approved,19.02.2009,2009,Diseases of the nervous system,exalief-epar-public-assessment-report_en.pdf,Small molecule,Exalief,Adjunctive therapy in adults with partial-onset seizures with or without secondary generalisation,<Seizures>,no,Adjunctive therapy in adults with partial-onset seizures with or without secondary generalisation,<Seizures>,"BIAL - Portela & Ca, S.A.",BIAL,EMA/135697/2009,eslicarbazepine acetate,no,no,tablet,EMEA/H/C/000987,NA
oral,28.10.2010,2010,authorised,approved,19.01.2012,2012,"Endocrine, nutritional, and metabolic diseases",pioglitazone-accord-epar-public-assessment-report_en.pdf,Small molecule,Pioglitazone Accord,Second or third line treatment of type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,no,Second or third line treatment of type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,Accord Healthcare Limited,Accord,EMA/183905/2012,Pioglitazone,yes,no,tablet,EMEA/H/C/2277,Not reported
oral,07.05.2009,2009,authorised,approved,24.09.2009,2009,Diseases of the nervous system,rivastigmine-hexal-epar-public-assessment-report_en.pdf,Small molecule,Rivastigmine HEXAL,Symptomatic treatment of mild to moderately severe Alzheimer’s dementia (AD). Symptomatic treatment of mild to moderately severe dementia in patients with idiopathic Parkinson’s disease (PPD).,<Alzheimer Disease>; <Parkinson Disease>,yes,Symptomatic treatment of mild to moderately severe Alzheimer’s dementia (AD). Symptomatic treatment of mild to moderately severe dementia in patients with idiopathic Parkinson’s disease (PPD).,<Alzheimer Disease>; <Parkinson Disease>,Hexal AG,Hexal,Not reported,rivastigmine,yes,no,hard capsules; oral solution,EMEA/H/C/00182,Not reported
oral,20.02.2009,2009,authorised,approved,25.06.2009,2009,Diseases of the circulatory system,zopya-epar-public-assessment-report_en.pdf,Small molecule,Zopya,"Prevention of atherothrombotic events in adults with myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,no,"Prevention of atherothrombotic events in adults with myocardial infarction, ischaemic stroke, or established peripheral arterial disease.",<Myocardial Infarction>; <Ischemic Stroke>; <Peripheral Arterial Disease>,Norpharm Regulatory Services Ltd,Norpharm,Not reported,clopidogrel,no,no,film coated tablets,EMEA/H/C/001137,NA
intravenous,02.12.2014,2014,authorised,approved,17.12.2015,2015,Diseases of the blood and blood-forming organs,kovaltry-epar-public-assessment-report_en.pdf,Biologics,Kovaltry,Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor VIII deficiency). Kovaltry can be used for all age groups.,<Hemophilia A>,no,Treatment and prophylaxis of bleeding in patients with haemophilia A (congenital factor VIII deficiency). Kovaltry can be used for all age groups.,<Hemophilia A>,Bayer Pharma AG,Bayer,EMA/40124/2016,octocog alfa,no,no,powder and solvent for solution for injection,EMEA/H/C/003825/0000,NA
oral,22.10.2007,2007,authorised,approved,23.10.2008,2008,Diseases of the nervous system,pramipexole-teva-epar-public-assessment-report_en.pdf,Small molecule,Pramipexole Teva,treatment of the signs and symptoms of idiopathic Parkinson's disease,<Parkinson Disease>,no,treatment of the signs and symptoms of idiopathic Parkinson's disease,<Parkinson Disease>,Teva Pharma B.V.,Teva,Not reported,pramipexole,yes,no,tablet,EMEA/H/C/000940,Not reported
Oral,29.06.2020,2020,authorised,approved,10.12.2020,2020,Neoplasms; Diseases of the blood and blood-forming organs,lenalidomide-krka-epar-public-assessment-report_en.pdf,Small molecule,Lenalidomide Krka,Multiple myeloma; Follicular lymphoma,"<Multiple Myeloma>; <Lymphoma, Follicular>",no,Multiple myeloma; Follicular lymphoma,"<Multiple Myeloma>; <Lymphoma, Follicular>","KRKA, d.d., Novo mesto",KRKA,EMA/CHMP/3806/2021,lenalidomide,yes,no,"Capsule, hard",EMEA/H/C/005734/0000,Not reported
intravenous,03.09.2014,2014,withdrawn,approved,21.05.2015,2015,Neoplasms; Diseases of the respiratory system,nivolumab-bms-epar-public-assessment-report_en.pdf,Biologics,Nivolumab BMS,Treatment of locally advanced or metastatic squamous NSCLC after prior chemotherapy in adults,<Lung Neoplasms>,no,Treatment of locally advanced or metastatic non-small cell lung cancer (NSCLC) after prior chemotherapy,<Lung Neoplasms>,Bristol-Myers Squibb Pharma EEIG,Bristol-Myers Squibb,EMA/CHMP/392114/2015,Nivolumab,no,no,solution for injection,EMEA/H/C/003840/0000,NA
Oral,06.11.2020,2020,authorised,approved,23.06.2022,2022,Diseases of the nervous system,rayvow-epar-public-assessment-report_en.pdf,Small molecule,RAYVOW,"Acute treatment of the headache phase of migraine attacks, with or without aura in adults",<Migraine Disorders>,no,Acute treatment of migraine with or without aura in adults,<Migraine Disorders>,Eli Lilly Nederland B.V.,Eli Lilly,EMA/622555/2022,lasmiditan,no,no,Film-coated tablet,EMEA/H/C/005332/0000,NA
subcutaneous,Not reported,Not reported,withdrawn,approved,06.02.2002,2002,Infectious and parasitic diseases,viraferonpeg-epar-scientific-discussion_en.pdf,Peptides and proteins,ViraferonPeg,Treatment of adult patients with histologically proven chronic hepatitis C who have elevated transaminases without liver decompensation and who are positive for serum HCV-RNA or anti-HCV.,<Chronic Hepatitis C>,yes,Treatment of adult patients with histologically proven chronic hepatitis C who have elevated transaminases without liver decompensation and who are positive for serum HCV-RNA or anti-HCV.,<Chronic Hepatitis C>,Not reported,Not Reported,Not reported,peginterferon alfa-2b,yes,no,powder and solvent for solution for injection,Not reported,CPMP
oral,22.05.2012,2012,withdrawn,approved,21.02.2013,2013,Mental and behavioural disorders,memantine-lek-epar-public-assessment-report_en.pdf,Small molecule,Memantine LEK,Treatment of patients with moderate to severe Alzheimer’s disease.,<Alzheimer Disease>,no,Treatment of patients with moderate to severe Alzheimer’s disease.,<Alzheimer Disease>,Pharmathen S.A.,Pharmathen,Not reported,Memantine,yes,no,film-coated tablets,EMEA/H/C/002630,Not reported
intravenous,30.12.2021,2021,authorised,approved,30.05.2024,2024,Neoplasms; Diseases of the respiratory system,apexelsin-epar-public-assessment-report_en.pdf,Biologics,Apexelsin,"in monotherapy for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated; in combination with gemcitabine for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas; in combination with carboplatin for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.",<Breast Neoplasms>; <Pancreatic Neoplasms>; <Lung Neoplasms>,no,"Apexelsin monotherapy is indicated for the treatment of metastatic breast cancer in adult patients who have failed first-line treatment for metastatic disease and for whom standard, anthracycline containing therapy is not indicated; in combination with gemcitabine for the first-line treatment of adult patients with metastatic adenocarcinoma of the pancreas; in combination with carboplatin for the first-line treatment of non-small cell lung cancer in adult patients who are not candidates for potentially curative surgery and/or radiation therapy.",<Breast Neoplasms>; <Pancreatic Neoplasms>; <Lung Neoplasms>,Whiteoak Pharmaceutical B.V.,Whiteoak,EMA/283170/2024,paclitaxel,no,no,powder for dispersion for infusion,EMEA/H/C/005997/0000,NA
oral,30.05.2012,2012,authorised,approved,25.07.2013,2013,"Endocrine, nutritional, and metabolic diseases",vipdomet-epar-public-assessment-report_en.pdf,Small molecule,Vipdomet,treatment of adult patients aged 18 years and older with type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,no,treatment of adult patients aged 18 years and older with type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,Takeda Pharma A/S,Takeda,EMA/207158/2013,alogliptin / metformin,no,no,film-coated tablet,EMEA/H/C/002654/0000,NA
oral,01.03.2017,2017,authorised,approved,13.12.2018,2018,Diseases of the digestive system,rizmoic-epar-public-assessment-report_en.pdf,Small molecule,Rizmoic,treatment of opioid-induced constipation (OIC) in adult patients who have previously been treated with a laxative,<Constipation>,no,treatment of opioid-induced constipation (OIC) in adult patients,<Constipation>,Shionogi B.V.,Shionogi,EMA/466/2019,naldemedine,no,no,film-coated tablet,EMEA/H/C/004256/0000,NA
intravitreal,Not reported,Not reported,NA,refused,Not reported,Not reported,Diseases of the eye and adnexa,susvimo-withdrawal-assessment-report_en.pdf,Biologics,Susvimo,NA,Not Reported,no,treatment of neovascular (wet) age-related macular degeneration (AMD) in adult patients,<Macular Degeneration>,Roche,Roche,EMA/206018/2022,ranibizumab,no,no,intraocular implant,EMEA/H/C/005610/0000,NA
subcutaneous,24.06.2016,2016,authorised,approved,21.04.2017,2017,Diseases of the musculoskeletal system and connective tissue,kevzara-epar-public-assessment-report_en.pdf,Biologics,Kevzara,"treatment of moderately to severely active rheumatoid arthritis (RA) in adult patients who have responded inadequately to, or who are intolerant to one or more disease modifying anti rheumatic drugs (DMARDs)",<Rheumatoid Arthritis>,no,treatment of moderately to severely active rheumatoid arthritis (RA) in adult patients who responded inadequately or were intolerant to DMARDs or TNF antagonists,<Rheumatoid Arthritis>,sanofi-aventis groupe,Sanofi,EMA/292840/2017,sarilumab,no,no,solution for subcutaneous injection,EMEA/H/C/004254/0000,NA
oral,03.07.2008,2008,withdrawn,approved,19.02.2009,2009,Diseases of the nervous system,rivastigmine-teva-epar-public-assessment-report_en.pdf,Small molecule,Rivastigmine Teva,treatment of mild to moderately severe Alzheimer’s dementia and treatment of mild to moderately severe dementia in patients with idiopathic Parkinson’s disease,<Alzheimer Disease>; <Parkinson Disease>,no,treatment of mild to moderately severe Alzheimer’s dementia and treatment of mild to moderately severe dementia in patients with idiopathic Parkinson’s disease,<Alzheimer Disease>; <Parkinson Disease>,Teva Pharma B.V,Teva,Not reported,rivastigmine,yes,no,hard capsules,EMEA/H/C/001044,Not reported
oral,29.10.2012,2012,authorised,conditional marketing authorisation,19.12.2013,2013,"Neoplasms; Endocrine, nutritional, and metabolic diseases",cometriq-epar-public-assessment-report_en.pdf,Small molecule,Cometriq,"treatment of adult patients with progressive, unresectable locally advanced or metastatic medullary thyroid carcinoma",<Thyroid Neoplasms>,no,"treatment of adult patients with progressive, unresectable locally advanced or metastatic medullary thyroid carcinoma",<Thyroid Neoplasms>,TMC Pharma Services Ltd,TMC,EMA/97103/2014,cabozantinib,no,yes,capsules,EMEA/H/C/002640/0000,NA
Oral,12.02.2019,2019,authorised,approved,30.01.2020,2020,"Endocrine, nutritional, and metabolic diseases",nilemdo-epar-public-assessment-report_en.pdf,Small molecule,Nilemdo,"Nilemdo is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet: in combination with a statin or statin with other lipid lowering therapies in patients unable to reach LDL-C goals with the maximum tolerated dose of a statin (see sections 4.2, 4.3, and 4.4) or, alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated.",<Hypercholesterolemia>,no,"Nilemdo is indicated in adults with primary hypercholesterolaemia (heterozygous familial and non-familial) or mixed dyslipidaemia, as an adjunct to diet: in combination with a statin or statin with other lipid lowering therapies in patients unable to reach LDL-C goals with the maximum tolerated dose of a statin or, alone or in combination with other lipid-lowering therapies in patients who are statin-intolerant, or for whom a statin is contraindicated.",<Hypercholesterolemia>; <Dyslipidemias>,FGK Representative Service GmbH,FGK,EMA/004958/2020,bempedoic acid,no,no,Film-coated tablet,EMEA/H/C/004958/0000,NA
intravenous,21.04.2017,2017,authorised,approved,20.09.2018,2018,Infectious and parasitic diseases,vabomere-epar-public-assessment-report_en.pdf,Small molecule,Vabomere,"Complicated urinary tract infection (cUTI), including pyelonephritis; Complicated intra-abdominal infection (cIAI); Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP); Treatment of patients with bacteraemia that occurs in association with, or is suspected to be associated with, any of the infections listed above; Treatment of infections due to bacterial organisms in adult patients with limited treatment options.","<Urinary Tract Infections>; <Pyelonephritis>; <Intraabdominal Infections>; <Pneumonia, Hospital-Acquired>; <Pneumonia, Ventilator-Associated>; <Bacteremia>",no,"Complicated urinary tract infection (cUTI), including pyelonephritis; Complicated intra-abdominal infection (cIAI); Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP); Treatment of patients with bacteraemia that occurs in association with, or is suspected to be associated with, any of the infections listed above; Treatment of infections due to bacterial organisms in adult patients with limited treatment options.","<Urinary Tract Infections>; <Pyelonephritis>; <Intraabdominal Infections>; <Pneumonia, Hospital-Acquired>; <Pneumonia, Ventilator-Associated>; <Bacteremia>",Rempex London Ltd,Rempex,EMA/700663/2018,meropenem / vaborbactam,no,no,powder for concentrate for solution for infusion,EMEA/H/C/004669/0000,NA
