Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
Intravenous,21.04.2006,2006,authorised,approved,22.02.2007,2007,Neoplasms; Diseases of the digestive system,000224437.pdf,Biologics,Avastin,Unresectable advanced or recurrent colorectal cancer,<Colorectal Neoplasms>,no,Unresectable advanced or recurrent colorectal cancer,<Colorectal Neoplasms>,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Bevacizumab,no,no,Injection,Not reported,
Subcutaneous,30.10.2012,2012,authorised,approved,31.01.2014,2014,"Diseases of the genitourinary system; Endocrine, nutritional, and metabolic diseases",bemfola-epar-public-assessment-report_en.pdf,Biologics,Bemfola,"Anovulation (including polycystic ovarian disease, PCOD) in women who have been unresponsive to treatment with clomiphene citrate; Stimulation of multifollicular development in patients undergoing superovulation for assisted reproductive technologies (ART) such as in vitro fertilisation (IVF), gamete intra-fallopian transfer (GIFT) and zygote intra-fallopian transfer (ZIFT); Bemfola in association with a luteinising hormone (LH) preparation is recommended for the stimulation of follicular development in women with severe LH and FSH deficiency; Stimulation of spermatogenesis in men who have congenital or acquired hypogonadotrophic hypogonadism with concomitant human Chorionic Gonadotrophin (hCG) therapy.",<Anovulation>; <Polycystic Ovary Syndrome>; <Hypogonadism>,no,"Anovulation (including polycystic ovarian disease, PCOD) in women who have been unresponsive to treatment with clomiphene citrate; Stimulation of multifollicular development in patients undergoing superovulation for assisted reproductive technologies (ART) such as in vitro fertilisation (IVF), gamete intra-fallopian transfer (GIFT) and zygote intra-fallopian transfer (ZIFT); Bemfola in association with a luteinising hormone (LH) preparation is recommended for the stimulation of follicular development in women with severe LH and FSH deficiency; Stimulation of spermatogenesis in men who have congenital or acquired hypogonadotrophic hypogonadism with concomitant human Chorionic Gonadotrophin (hCG) therapy.",<Anovulation>; <Polycystic Ovary Syndrome>; <Hypogonadism>,Finox Biotech AG,Finox,EMA/65507/2013,Follitropin alfa,no,no,Solution for injection,EMEA/H/C/002615,
oral,22.01.2016,2016,authorised,approved,15.12.2016,2016,Diseases of the musculoskeletal system and connective tissue,olumiant-epar-public-assessment-report_en.pdf,Small molecule,Olumiant,"treatment of moderate to severe active rheumatoid arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more disease-modifying anti-rheumatic drugs.",<Rheumatoid Arthritis>,no,"treatment of moderate to severe active rheumatoid arthritis in adult patients who are naïve to, have responded inadequately to, or who are intolerant to disease-modifying anti-rheumatic drugs (including conventional synthetic or biologic DMARDs).",<Rheumatoid Arthritis>,Eli Lilly Nederland B.V.,Eli Lilly,EMA/13493/2017,baricitinib,no,no,film-coated tablets,EMEA/H/C/004085/0000,
oral,11.01.2019,2019,authorised,approved,30.01.2020,2020,Infectious and parasitic diseases,vaxchora-epar-public-assessment-report_en.pdf,Vaccine,Vaxchora,active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children aged 6 years and older,<Cholera>,no,active immunisation against disease caused by Vibrio cholerae serogroup O1 in adults and children aged 6 years and older,<Cholera>,Emergent Netherlands B.V.,Emergent,EMA/82271/2020,"cholera vaccine, oral, live",yes,no,effervescent powder and powder for oral suspension,EMEA/H/C/003876/0000,CHMP
intravenous,Not reported,Not reported,withdrawn,withdrawn,24.05.2019,2019,Diseases of the nervous system,withdrawal-assessment-report-radicava_en.pdf,Small molecule,Radicava,,Not Reported,no,treatment of amyotrophic lateral sclerosis (ALS),<Amyotrophic Lateral Sclerosis>,Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,EMA/CHMP/290284/2019,edaravone,no,yes,solution for infusion,EMEA/H/C/004938/0000,
subcutaneous,01.06.2014,2014,authorised,approved,25.06.2015,2015,"Endocrine, nutritional, and metabolic diseases",strensiq-epar-public-assessment-report_en.pdf,Biologics,Strensiq,long-term enzyme replacement therapy in patients with paediatric-onset hypophosphatasia,<Hypophosphatasia>,no,long-term enzyme replacement therapy in patients with paediatric-onset hypophosphatasia,<Hypophosphatasia>,Alexion Europe SAS,Alexion,EMA/383178/2015,asfotase alfa,no,yes,solution for injection,EMEA/H/C/003794/0000,
intravenous,20.11.2019,2019,authorised,approved,28.01.2021,2021,Other,byfavo-epar-public-assessment-report_en.pdf,Small molecule,Byfavo,Remimazolam is indicated in adults for procedural sedation.,<Procedural Sedation>,no,Remimazolam is indicated in adults for procedural sedation.,<Not Reported>,PAION Netherlands B.V.,PAION,EMA/160756/2021,remimazolam,no,no,powder for solution for injection,EMEA/H/C/005246/0000,
Oral,Not reported,Not reported,authorised,approved,23.02.2010,2010,"Endocrine, nutritional, and metabolic diseases",auspar-galvus.pdf,Small molecule,"Galvus, Xiliarx","Treatment of diabetes mellitus type 2 in persons 18 years of age and older, as an adjunct to diet and exercise to improve glycaemic control in patients with type 2 diabetes with one of metformin, a sulfonylurea or pioglitazone when diet, exercise and the single agent do not result in adequate glycaemic control.","<Diabetes Mellitus, Type 2>",no,"Treatment of diabetes mellitus type 2 in persons 18 years of age and older, as an adjunct to diet and exercise to improve glycaemic control in patients with type 2 diabetes with one of metformin, a sulfonylurea or pioglitazone when diet, exercise and the single agent do not result in adequate glycaemic control.","<Diabetes Mellitus, Type 2>",Novartis Pharmaceuticals Australia Pty Ltd,Novartis,Not reported,Vildagliptin,yes,no,Tablet,PM-2009-00158-3-5,Not reported
intravitreal,25.06.2021,2021,authorised,approved,23.06.2022,2022,"Diseases of the eye and adnexa; Endocrine, nutritional, and metabolic diseases",ranivisio-epar-public-assessment-report_en.pdf,Biologics,Ranivisio,The treatment of neovascular (wet) age-related macular degeneration (AMD); The treatment of visual impairment due to diabetic macular oedema (DME); The treatment of proliferative diabetic retinopathy (PDR); The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); The treatment of visual impairment due to choroidal neovascularisation (CNV),<Macular Degeneration>; <Diabetic Macular Edema>; <Diabetic Retinopathy>; <Retinal Vein Occlusion>; <Choroidal Neovascularization>,no,The treatment of neovascular (wet) age-related macular degeneration (AMD); The treatment of visual impairment due to diabetic macular oedema (DME); The treatment of proliferative diabetic retinopathy (PDR); The treatment of visual impairment due to macular oedema secondary to retinal vein occlusion (branch RVO or central RVO); The treatment of visual impairment due to choroidal neovascularisation (CNV),<Macular Degeneration>; <Diabetic Macular Edema>; <Diabetic Retinopathy>; <Retinal Vein Occlusion>; <Choroidal Neovascularization>,Midas Pharma GmbH,Midas,EMA/640346/2022,ranibizumab,no,no,solution for injection,EMEA/H/C/005019/0000,
Oral,Not reported,Not reported,authorised,approved,28.11.2009,2009,Mental and behavioural disorders,auspar-circadin.pdf,Small molecule,Circadin,Monotherapy for the short term treatment (up to 3 weeks) of primary insomnia characterized by poor quality of sleep in patients who are aged 55 or over.,<Primary Insomnia>,no,Monotherapy for the short term treatment (up to 3 weeks) of primary insomnia characterized by poor quality of sleep in patients who are aged 55 or over.,<Primary Insomnia>,Commercial Eyes Pty Ltd,Commercial Eyes,Not reported,Melatonin,no,no,Modified release tablet,PM-2008-2125-1,
Subcutaneous,30.06.2018,2018,authorised (under additional monitoring),approved,23.07.2019,2019,Diseases of the blood and blood-forming organs,auspar-icatibant.pdf,Peptides and proteins,Firazyr,"Symptomatic treatment of acute attacks of hereditary angioedema (HAE) in adults, adolescents and children aged 2 years and older with C1-esterase-inhibitor deficiency.","<Angioedema, Hereditary>",yes,"Symptomatic treatment of acute attacks of hereditary angioedema (HAE) in adults, adolescents and children aged 2 years and older with C1-esterase-inhibitor deficiency.","<Angioedema, Hereditary>",Shire Australia Pty Limited,Shire,160313,Icatibant,yes,yes,Solution for injection,PM-2018-02506-1-2,Not reported
intravenous,03.05.2006,2006,authorised,approved,15.11.2007,2007,Neoplasms,ivemend-epar-public-assessment-report_en.pdf,Small molecule,IVEMEND,prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin-based cancer chemotherapy and of nausea and vomiting associated with moderately emetogenic cancer chemotherapy,<Neoplasms>,no,prevention of chemotherapy-induced nausea and vomiting (CINV),Not Reported,Merck Sharp & Dohme Ltd.,Merck Sharp & Dohme,EMA/42754/2008,fosaprepitant dimeglumine,no,no,powder for solution for infusion,EMEA/H/C/743,
oral,28.11.2006,2006,authorised,approved,27.10.2008,2008,Diseases of the skin; Diseases of the genitourinary system,000153525.pdf,Small molecule,Remitch,Improvement of pruritus in hemodialysis patients (for use only when conventional treatments are not sufficiently effective),<Pruritus>,no,Improvement of intractable pruritus in hemodialysis patients,<Pruritus>,"Toray Industries, Inc.",Toray,Not reported,Nalfurafine Hydrochloride,no,no,capsules,Not reported,
Oral,05.02.2013,2013,authorised,approved,23.01.2014,2014,Diseases of the circulatory system,adempas-epar-public-assessment-report_en.pdf,Small molecule,Adempas,Chronic thromboembolic pulmonary hypertension (CTEPH); Pulmonary arterial hypertension (PAH),"<Hypertension, Pulmonary>",no,Chronic thromboembolic pulmonary hypertension (CTEPH); Pulmonary arterial hypertension (PAH),"<Hypertension, Pulmonary>",Bayer Pharma AG,Bayer,EMA/734750/2013,riociguat,no,yes,Film-coated tablet,EMEA/H/C/002737/0000,
Oral,30.06.2020,2020,authorised (under additional monitoring),approved,24.09.2021,2021,Neoplasms; Diseases of the blood and blood-forming organs,auspar-venetoclax-220426.pdf,Small molecule,Venclexta,Acute Myeloid Leukaemia,"<Leukemia, Myeloid, Acute>",no,Acute Myeloid Leukaemia,"<Leukemia, Myeloid, Acute>",AbbVie Pty Ltd,AbbVie,"267441, 267442, 267443, 267444 and 267445",Venetoclax,yes,yes,Film coated tablet,PM-2020-02543-1-6,Not reported
subcutaneous,06.11.2017,2017,authorised,approved,26.04.2019,2019,Neoplasms; Diseases of the blood and blood-forming organs,grasustek-epar-public-assessment-report_en.pdf,Biologics,Grasustek,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,<Neutropenia>; <Febrile Neutropenia>; <Malignant Neoplasms>,no,Reduction in the duration of neutropenia and the incidence of febrile neutropenia in adult patients treated with cytotoxic chemotherapy for malignancy (with the exception of chronic myeloid leukaemia and myelodysplastic syndromes).,<Neutropenia>; <Febrile Neutropenia>; <Malignant Neoplasms>,Juta Pharma GmbH,Juta,EMA/CHMP/323149/2019,pegfilgrastim,no,no,solution for injection,EMEA/H/C/004556/0000,
intravenous,25.03.2022,2022,authorised,approved,26.04.2023,2023,Neoplasms; Diseases of the blood and blood-forming organs,columvi-epar-public-assessment-report_en.pdf,Biologics,Columvi,"treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), after two or more lines of systemic therapy",<Diffuse Large B-Cell Lymphoma>,no,"Columvi as monotherapy is indicated for the treatment of adult patients with relapsed or refractory diffuse large B-cell lymphoma (DLBCL), after two or more lines of systemic therapy",<Diffuse Large B-Cell Lymphoma>,Roche Registration GmbH,Roche,EMA/228393/2023,glofitamab,no,yes,concentrate for solution for infusion,EMEA/H/C/005751/0000,
Intramuscular or deep subcutaneous,Not reported,Not reported,authorised,approved,16.03.2011,2011,Infectious and parasitic diseases,auspar-aflunov.pdf,Vaccine,Aflunov/Prepandemic H5N1 adjuvanted Influenza Vaccine,Active immunisation against A/Vietnam/1194 2004 (H5N1) like strain (NIBRG-14) subtype of Influenza A virus,<Influenza>,no,Active immunisation against H5N1 subtype of Influenza A virus,<Influenza>,Novartis Vaccines and Diagnostics,Novartis,167943 and 167949,Influenza Virus Haemagglutinin H5N1,yes,no,Solution for Injection,PM-2009-03929-3-2,Not reported
Oral,02.01.2020,2020,authorised (under additional monitoring),approved,11.02.2021,2021,Diseases of the skin,auspar-baricitinib-210505.pdf,Small molecule,Olumiant,Treatment of moderate to severe atopic dermatitis in adult patients who are candidates for systemic therapy.,"<Dermatitis, Atopic>",yes,Treatment of moderate to severe atopic dermatitis in adult patients who are candidates for systemic therapy.,"<Dermatitis, Atopic>",Eli Lilly Australia Pty Ltd,Eli Lilly,"227905, 277917",Baricitinib,no,no,"Tablet, film-coated",PM-2019-05319-1-1,
intravenous,21.04.2017,2017,authorised,approved,20.09.2018,2018,Infectious and parasitic diseases,vabomere-epar-public-assessment-report_en.pdf,Small molecule,Vabomere,"Complicated urinary tract infection (cUTI), including pyelonephritis; Complicated intra-abdominal infection (cIAI); Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP); Treatment of patients with bacteraemia that occurs in association with, or is suspected to be associated with, any of the infections listed above; Treatment of infections due to bacterial organisms in adult patients with limited treatment options.","<Urinary Tract Infections>; <Pyelonephritis>; <Intraabdominal Infections>; <Pneumonia, Hospital-Acquired>; <Pneumonia, Ventilator-Associated>; <Bacteremia>",no,"Complicated urinary tract infection (cUTI), including pyelonephritis; Complicated intra-abdominal infection (cIAI); Hospital-acquired pneumonia (HAP), including ventilator associated pneumonia (VAP); Treatment of patients with bacteraemia that occurs in association with, or is suspected to be associated with, any of the infections listed above; Treatment of infections due to bacterial organisms in adult patients with limited treatment options.","<Urinary Tract Infections>; <Pyelonephritis>; <Intraabdominal Infections>; <Pneumonia, Hospital-Acquired>; <Pneumonia, Ventilator-Associated>; <Bacteremia>",Rempex London Ltd,Rempex,EMA/700663/2018,meropenem / vaborbactam,no,no,powder for concentrate for solution for infusion,EMEA/H/C/004669/0000,
Intravenous,Not reported,Not reported,authorised,approved,02.11.2015,2015,Diseases of the respiratory system; Infectious and parasitic diseases,auspar-ceftobiprole-medocaril-sodium-160208.pdf,Small molecule,Zevtera,"Treatment of hospital-acquired pneumonia (HAP), excluding ventilator-associated pneumonia (VAP), and community-acquired pneumonia (CAP) in adults.","<Pneumonia, Hospital-Acquired>; <Pneumonia, Community-Acquired>",no,Treatment of infections in adult patients with hospital-acquired pneumonia (excluding ventilator-associated pneumonia) or community-acquired pneumonia (CAP).,"<Pneumonia, Hospital-Acquired>; <Pneumonia, Community-Acquired>",JACE Pharma Pty Ltd,JACE,229773,Ceftobiprole medocaril sodium,no,no,Powder for Injection,PM-2014-03155-1-2,
subcutaneous,Not reported,Not reported,authorised,approved,Not reported,Not reported,"Endocrine, nutritional, and metabolic diseases",lantus-epar-scientific-discussion_en.pdf,Biologics,Lantus,"Treatment of diabetes mellitus in adults, adolescents, and children of six years or above where treatment with insulin is required.",<Diabetes Mellitus>,yes,"Treatment of diabetes mellitus in adults, adolescents, and children of six years or above where treatment with insulin is required.",<Diabetes Mellitus>,Not reported,Not Reported,Not reported,Insulin glargine,no,no,solution for injection,EMEA/H/C/000284,
intravenous,06.10.2017,2017,authorised,approved,20.09.2018,2018,Neoplasms; Diseases of the blood and blood-forming organs,poteligeo-epar-public-assessment-report_en.pdf,Biologics,POTELIGEO,treatment of mycosis fungoides (MF) or Sézary syndrome (SS) in adults who have received at least one prior systemic therapy,<Mycosis Fungoides>; <Sézary Syndrome>,no,treatment of cutaneous T-cell lymphoma (CTCL) in adults who have received at least one prior systemic therapy,<Cutaneous T-Cell Lymphoma>,Kyowa Kirin Limited,Kyowa Kirin,EMA/698539/2018,mogamulizumab,no,yes,solution for intravenous administration,EMEA/H/C/004232/0000,
intravenous,06.09.2021,2021,authorised,approved,27.09.2021,2021,Infectious and parasitic diseases,000245006.pdf,Biologics,Xevudy,Disease caused by SARS-CoV-2 infection (COVID-19),<Coronavirus Infections>,no,Disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Sotrovimab,no,no,solution for injection,Not reported,
Intravitreal,Not reported,Not reported,authorised,approved,02.02.2015,2015,"Diseases of the eye and adnexa; Endocrine, nutritional, and metabolic diseases",auspar-aflibercept-150721.pdf,Biologics,Eylea,Diabetic macular oedema (DME),<Diabetic Macular Edema>,yes,Diabetic macular oedema (DME),<Macular Edema>,Bayer Australia Ltd,Bayer,180859 and 180860,Aflibercept,yes,no,Solution for intravitreal injection,PM-2013-04198-1-1,Not reported
intravenous,19.12.2012,2012,authorised,approved,27.06.2013,2013,Diseases of the nervous system,lemtrada-epar-public-assessment-report_en.pdf,Biologics,Lemtrada,Lemtrada is indicated for adult patients with relapsing remitting multiple sclerosis (RRMS) to decrease the frequency of relapses and slow or reverse accumulation of disability.,"<Multiple Sclerosis, Relapsing-Remitting>",no,Lemtrada is indicated for adult patients with relapsing remitting multiple sclerosis (RRMS) to decrease the frequency of relapses and slow or reverse accumulation of disability.,"<Multiple Sclerosis, Relapsing-Remitting>",Genzyme Therapeutics Ltd,Genzyme,EMA/563018/2013,Alemtuzumab,no,no,concentrate solution for infusion,EMEA/H/C/003718/0000,
Oral,Not reported,Not reported,authorised,approved,10.07.2014,2014,Infectious and parasitic diseases,auspar-simeprevir-141027.pdf,Small molecule,Olysio/Janssen Simeprevir,"treatment of chronic hepatitis C (CHC) genotype 1 or genotype 4 infection, in combination with other medicinal products for the treatment of CHC infection",<Chronic Hepatitis C>,no,"treatment of chronic hepatitis C (CHC) genotype 1 or genotype 4 infection, in combination with peginterferon alfa and ribavirin, in adults with compensated liver disease (including cirrhosis) with or without human immunodeficiency virus-1 (HIV-1) co-infection who are treatment-naïve or who have failed previous interferon therapy (pegylated or non-pegylated) with or without ribavirin.",<Chronic Hepatitis C>; <Liver Cirrhosis>; <HIV Infections>,Janssen-Cilag Pty Ltd,Janssen-Cilag,"211696, 211697",Simeprevir,no,no,Capsule,PM-2013-01557-1-2,
oral,31.01.2024,2024,authorised,approved,24.05.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,000272485.pdf,Small molecule,Ezharmia,Relapsed or refractory peripheral T-cell lymphoma,<Peripheral T-Cell Lymphoma>,yes,Relapsed or refractory peripheral T-cell lymphoma,<Peripheral T-Cell Lymphoma>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Valemetostat,yes,no,tablet,Not reported,Not reported
intramuscular,25.07.2014,2014,authorised,approved,05.06.2015,2015,Diseases of the nervous system; Diseases of the eye and adnexa; Diseases of the musculoskeletal system and connective tissue,000216948.pdf,Biologics,Botox,"Blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",<Blepharospasm>; <Hemifacial Spasm>; <Cervical Dystonia>; <Spasticity>; <Talipes Equinovarus>; <Cerebral Palsy>; <Hyperhidrosis>; <Strabismus>,yes,"Blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",<Blepharospasm>; <Hemifacial Spasm>; <Cervical Dystonia>; <Upper Limb Spasticity>; <Lower Limb Spasticity>; <Talipes Equinus>; <Cerebral Palsy>; <Hyperhidrosis>; <Strabismus>,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Botulinum Toxin Type A,yes,no,Powder for reconstitution prior to injection,Not reported,Not reported
Subcutaneous,23.10.2013,2013,authorised,approved,20.11.2014,2014,Diseases of the skin,cosentyx-epar-public-assessment-report_en.pdf,Biologics,Cosentyx,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy,<Plaque Psoriasis>,no,"treatment of moderate to severe plaque psoriasis in adults who failed to respond to, or who have a contraindication to, or are intolerant to other systemic therapies including ciclosporin, methotrexate and PUVA",<Psoriasis>,Novartis Europharm Ltd,Novartis,EMA/CHMP/389874/2014,secukinumab,no,no,Powder for solution for injection; Solution for injection in pre-filled pen; Solution for injection in pre-filled syringe,EMEA/H/C/003729,
Intravenous,Not reported,Not reported,authorised,approved,13.05.2016,2016,Neoplasms,auspar-pertuzumab-160616.pdf,Biologics,Perjeta,Perjeta is indicated in combination with trastuzumab and chemotherapy for the neoadjuvant treatment of patients with inflammatory or locally advanced HER2 positive breast cancer as part of a complete treatment regimen.,<Breast Neoplasms>,yes,"Perjeta is indicated in combination with trastuzumab and docetaxel for the neoadjuvant treatment of patients with HER2 positive, locally advanced, inflammatory, or early stage breast cancer (>2 cm in diameter) as part of a fluorouracil, epirubicin and cyclophosphamide (FEC) or carboplatin containing treatment regimen.",<Breast Neoplasms>,Roche Products Pty Limited,Roche,196218,Pertuzumab,yes,no,Concentrate for injection,PM-2014-04259-1-4,Not reported
Oral,Not reported,Not reported,authorised,approved,18.04.2013,2013,Infectious and parasitic diseases,auspar-fidaxomicin-130926.pdf,Small molecule,Dificid,Treatment of confirmed Clostridium difficile infection (CDI) in adults.,<Clostridium Infections>,no,Treatment of Clostridium difficile infection (CDI) and reducing the risk of recurrence when used for treatment of CDI.,<Clostridium Infections>,Specialised Therapeutics Australia Pty Ltd,Specialised Therapeutics,195623 and 195622,Fidaxomicin,no,no,Tablet,PM-2012-04269-3-2,
Sublingual,31.03.2017,2017,,refused,14.05.2019,2019,Infectious and parasitic diseases,auspar-artemether-191204.pdf,Small molecule,ArTiMist 6,,Not Reported,yes,For the initial treatment of children with severe falciparum malaria weighing between 5 and 15 kg; For the initial treatment of children with falciparum malaria who cannot take (or reliably take) oral medication due to gastrointestinal complications such as vomiting or diarrhoea.,"<Malaria, Falciparum>",Suda Pharmaceuticals Ltd,Suda,Not reported,Artemether,yes,no,Spray solution,PM-2016-04637-1-2,Not reported
oral,03.02.2009,2009,withdrawn,approved,17.12.2009,2009,Neoplasms; Diseases of the nervous system,temozolomide-sandoz-epar-public-assessment-report_en.pdf,Small molecule,Temozolomide Sandoz,"treatment of adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy (RT) and subsequently as monotherapy treatment; treatment of children from the age of three years, adolescents and adult patients with malignant glioma, such as glioblastoma multiforme or anaplastic astrocytoma, showing recurrence or progression after standard therapy",<Glioblastoma>; <Glioma>; <Anaplastic Astrocytoma>,no,"treatment of adult patients with newly-diagnosed glioblastoma multiforme concomitantly with radiotherapy (RT) and subsequently as monotherapy treatment; treatment of children from the age of three years, adolescents and adult patients with malignant glioma, such as glioblastoma multiforme or anaplastic astrocytoma, showing recurrence or progression after standard therapy",<Glioblastoma>; <Glioma>; <Anaplastic Astrocytoma>,Sandoz Pharmaceuticals GmbH,Sandoz,Not reported,Temozolomide,yes,no,hard capsules,EMEA/H/C/1128,
oral,06.10.2023,2023,authorised,approved,12.12.2024,2024,Mental and behavioural disorders; Diseases of the nervous system,paxneury-epar-public-assessment-report_en.pdf,Small molecule,Paxneury,"treatment of attention deficit hyperactivity disorder (ADHD) in children and adolescents 6-17 years old for whom stimulants are not suitable, not tolerated or have been shown to be ineffective",<Attention Deficit Disorder with Hyperactivity>,no,"treatment of attention deficit hyperactivity disorder (ADHD) in children and adolescents 6-17 years old for whom stimulants are not suitable, not tolerated or have been shown to be ineffective",<Attention Deficit Disorder with Hyperactivity>,Neuraxpharm Pharmaceuticals S.L.,Neuraxpharm,EMA/CHMP/14178/2025,guanfacine,yes,no,prolonged-release tablet,EMEA/H/C/006312/0000,
Intravenous infusion and subcutaneous injection,31.08.2021,2021,authorised,approved,15.10.2021,2021,Infectious and parasitic diseases; Diseases of the respiratory system,auspar-casirivimab-imdevimab-211025.pdf,Biologics,Ronapreve,Treatment and prevention of COVID-19 in adults and adolescents who do not require supplemental oxygen and are at increased risk of severe COVID-19,<COVID-19>,no,Treatment and prevention of COVID-19 in certain adults and adolescents,<COVID-19>,Roche Products Pty Limited,Roche,373839 and 374310,Casirivimab/imdevimab,yes,no,Solution for infusion and injection,PM-2021-03952-1-2,Not reported
Oral,30.04.2015,2015,authorised,approved,29.03.2016,2016,Neoplasms; Diseases of the respiratory system,auspar-zykadia-270218.pdf,Small molecule,Zykadia,Treatment of adult patients with ALK-positive locally advanced or metastatic non-small cell lung cancer (NSCLC) whose disease has progressed on or who are intolerant of crizotinib.,<Lung Neoplasms>,no,Treatment of adult patients with ALK-positive locally advanced or metastatic non-small cell lung cancer (NSCLC) previously treated with an ALK-inhibitor.,<Lung Neoplasms>,Novartis Pharmaceuticals Aust Pty Ltd,Novartis,235737,Ceritinib,no,yes,Hard capsule,PM-2015-00418-1-4,
oral,28.04.2022,2022,authorised,approved,23.02.2023,2023,Neoplasms; Diseases of the genitourinary system,akeega-epar-public-assessment-report_en.pdf,Small molecule,Akeega,treatment of adult patients with metastatic castration-resistant prostate cancer (mCRPC) and BRCA1/2 mutations in whom chemotherapy is not clinically indicated,<Prostatic Neoplasms>,no,treatment of adult patients with metastatic castration-resistant prostate cancer (mCRPC) who are positive for homologous recombination repair (HRR) gene alterations,<Prostatic Neoplasms>,Janssen-Cilag International N.V.,Janssen-Cilag,EMA/126335/2023,niraparib / abiraterone acetate,no,no,film-coated tablets,EMEA/H/C/005932/0000,
subcutaneous; intravenous,04.06.2008,2008,authorised,approved,23.07.2009,2009,Diseases of the blood and blood-forming organs; Neoplasms,eporatio-epar-public-assessment-report_en.pdf,Biologics,Eporatio,Treatment of symptomatic anaemia associated with chronic renal failure; Treatment of symptomatic anaemia in cancer patients with non-myeloid malignancies receiving chemotherapy,<Anemia>; <Chronic Kidney Failure>; <Neoplasms>,no,Treatment of symptomatic anaemia associated with chronic renal failure; Treatment of symptomatic anaemia in cancer patients with non-myeloid malignancies receiving chemotherapy; Increasing the yield of autologous blood from patients in a predonation programme,<Anemia>; <Chronic Kidney Failure>; <Neoplasms>,ratiopharm GmbH,ratiopharm,EMA/522704/2009,epoetin theta,no,no,solution in pre-filled syringes,EMEA/H/C/001033,
Inhalation,24.12.2013,2013,authorised,approved,20.03.2014,2014,Diseases of the respiratory system,revinty-ellipta-epar-public-assessment-report_en.pdf,Small molecule,Revinty Ellipta,Asthma and COPD,"<Asthma>; <Pulmonary Disease, Chronic Obstructive>",yes,Asthma and COPD,"<Asthma>; <Pulmonary Disease, Chronic Obstructive>",Glaxo Group Ltd,Glaxo,EMA/CHMP/175905/2014,fluticasone furoate / vilanterol,yes,no,"Inhalation powder, pre-dispensed",EMEA/H/C/002745/0000,Not reported
oral,08.05.2009,2009,withdrawn,approved,10.06.2010,2010,Infectious and parasitic diseases,ribavirin-three-rivers-epar-public-assessment-report_en.pdf,Small molecule,Ribavirin Three Rivers,treatment of chronic hepatitis C as part of a combination regimen with interferon alfa-2b,<Chronic Hepatitis C>,no,treatment of chronic hepatitis C as part of a combination regimen with interferon alfa-2b,<Chronic Hepatitis C>,Three Rivers Global Pharma Limited,Three Rivers,EMA/344082/2010,ribavirin,yes,no,hard capsules,EMEA/H/C/001185,Not reported
