 Origin,Document_name,Marketing_authorisation_number,EMA_product_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Decisions_number,Nonclinical_abridged,Referral_body,Referral,Nonclinical_pharmacology_invitro,Nonclinical_pharmacology_species,Nonclinical_pharmacology_strain,Nonclinical_pharmacology_model,Nonclinical_pharmacology_sex,Nonclinical_pharmacology_outcomes,Nonclinical_pharmacology_adverse_findings,Nonclinical_pharmacokinetics_species,Nonclinical_pharmacokinetics_strain,Nonclinical_pharmacokinetics_model,Nonclinical_pharmacokinetics_sex,Nonclinical_pharmacokinetics_findings,Nonclinical_pharmacokinetics_outcomes,Nonclinical_toxicology_species,Nonclinical_toxicology_strain,Nonclinical_toxicology_model,Nonclinical_toxicology_sex,Nonclinical_toxicology_outcomes,Nonclinical_toxicology_outcomes,Nonclinical_toxicology_adverse_events,Sex_reported_allgemein,Sex,Comment,
EMA,adcetris-epar-public-assessment-report_en.pdf,EMA/702390/2012,EMEA/H/C/002455,Adcetris,brentuximab vedotin,Takeda Pharma A/S,Biologics,powder for concentrate for solution for infusion,intravenous,approved,authorised,19.07.2012,yes,no,patients with relapsed or refractory Hodgkin lymphoma (HL) and for the treatment of patients with relapsed or refractory systemic anaplastic large cell lymphoma (sALCL),"adult patients with previously untreated CD30+ Stage III or IV Hodgkin lymphoma (HL) in combination with doxorubicin, vinblastine and dacarbazine (AVD), adult patients with CD30+ HL at increased risk of relapse or progression following autologous stem cell transplant (ASCT), in combination with cyclophosphamide, doxorubicin and prednisone (CHP) is indicated for adult patients with previously untreated systemic anaplastic large cell lymphoma (sALCL), adult patients with relapsed or refractory sALCL, adult patients with CD30+ cutaneous T-cell lymphoma (CTCL) after at least 1 prior systemic therapy","Diseases of the blood and blood-forming organs, Neoplasms",31.05.2011,1,no,NA,NA,yes,"monkey, rat, mouse","cynomolgus monkey, gamma mouse",xenograft models,not reported,"tumor growth, survival, activity, cross-reactivity of 2.5 and 12.5 µg/ml brentuximab vedotin,  binding of biotinylated brentuximab vedotin, tissue cross-reactivity of 2.5 and 12.5 µg/ml brentuximab vedotin, specific staining, safety pharmacology, cardiovascular parameters (heart rate, mean arterial blood pressure, ECG intervals including RR, QT and QTc), respiratory parameters (respiratory rate and blood gases), central nervous system parameters (behaviour, visual evaluation, reflex evaluation, motor/sensory, facial movement, pupils, visual field, vestubilocochlear, prehension and swallowing, proprioception and body temperature), body weight, hematology, plasma chemistry and coagulation parameters","progressive tumours, less active, specific staining in human mononuclear cells, hematopoietic precursor cells, spindloid cells, oviduct and bronchial epithelium (cilia), and keratin squames/debris, staining of extracellular material, notably intracolonic fecal material, pulmonary amorphous material, ovarian cystic fluid, contents of a dermal duct, endometrial luminal secretions, colloid, and lens protein, ","rat, monkey",not reported,Not reported,male,"exposures were dose-proportional, terminal elimination half-life ranged from 1.6 to 2.7 days, Clearance and distribution at steady state were similar across doses, Circulating MMAE concentrations were approximately 1000-fold lower than brentuximab vedotin, MMAE exposure was approximately dose-proportional, MMAE was mainly distributed to pituitary gland, adrenal gland, thyroid, lung, kidney, liver and subsequently bile and intestine, protein binding of SGD-1010 was species-dependent, metabolites","absorption, bioavailability, tissue distribution, metabolism, excretion","rat, monkey","cynomolgus monkey, Sprague Dawley rat",Not reported,both,"single dose toxicity, repeat dose toxicity, genotoxicity, reproduction toxicity, developmental toxicity","single dose toxicity, repeat dose toxicity, Reproduction toxicity (embryo-foetal development), Genotoxicity","bone marrow: pancytopenia, atrophy/hypocellularity, myeloid, erythroid hypoplasia, mesenteric lymph node: lymphoid depletion, thymus: lymphoid depletion, atrophy, and lymphoid necrosis, spleen: lymphoid depletion, liver: single-cell hepatocellular necrosis, bile duct hyperplasia/hypertrophy, and inflammation, intestine: crypt epithelium single-cell necrosis, pancreas: acinar cell single-cell necrosis, Hematology: decreases in leukocytes, Serum chemistry: elevations in AST and ALT, Reddened skin, decreased activity, Decreases in erythrocyte mass and leucocytes, increase in globulin, decrease in albumin, Mortality, testes (tubular degeneration), lung (alveolar histiocytosis), and small intestine (crypt apoptosis), hunched posture, severe neutropenia, Organ weights: Thymus↓,  Increase in micronucleated PCEs, embryo-fetal lethality (reductions in viable fetuses and increased resorptions)",Yes,Both,,
EMA,tadalafil-lilly-epar-public-assessment-report_en.pdf-0,EMEA/CHMP/304644/2008,EMEA/H/C/001021,Adcirca (previously Tadalafil Lilly),tadalafil,Eli Lilly Nederland B.V.,Small molecule,tablet,oral,approved,authorised,01.10.2008,no ,yes,Not reported,"paediatric patients aged 2 years and adults with pulmonary arterial hypertension (PAH) classified as WHO functional class II and III, ","Diseases of the circulatory system, Diseases of the respiratory system",08.05.2008,1,yes,EMA,Cialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
EMA,adempas-epar-public-assessment-report_en.pdf,EMA/CHMP/734750/2013,EMEA/H/C/002737,Adempas,riociguat,Bayer AG,Small molecule,tablet,oral,approved,authorised,23.01.2014,yes,no,"Chronic thromboembolic pulmonary hypertension (CTEPH) (adult patients with inoperable CTEPH and/or persistent or recurrent CTEPH after surgical treatment, to improve exercise capacity. Studies establishing effectiveness included predominately patients with WHO functional class II – III), Pulmonary arterial hypertension (PAH) (adult patients)","Chronic thromboembolic pulmonary hypertension (CTEPH) (adult patients with WHO Functional Class (FC) II to III with inoperable CTEPH and/or persistent or recurrent CTEPH after surgical treatment to improve exercise capacity), PAH in paediatric patients aged less than 18 years of age and body weight ≥ 50 kg with WHO Functional Class (FC) II to III in combination with endothelin receptor antagonists","Diseases of the circulatory system, Diseases of the respiratory system",05.02.2013,1,no,NA,NA,yes,"rat, dog, rabbit",not reported,"hypoxia-induced PAH in mouse, monocrotaline injection in rat, combined hypoxia and VEGF receptor inhibition in rat (SUHx model), spontaneous hypertensive rat (SHR)",not reported,"reduction in systemic blood pressure, compensatory increase in heart rate, reduced left ventricle pressure, pulmonary pressure, increases in cardiac output, coronary blood flow, oxygen saturation, contractility, reduction in disease-related pulmonary remodelling (vascular muscularization, occlusive lesions, medial wall thickening), effects of the main metabolite (M-1, or BAY 60-4552), vasodilative effects, behaviour effects, erectile response, cardiovascular system including electrocardiogram (ECG), respiratory system and central nervous system, gastrointestinal function, renal function, metabolism (glucose, lipids) and blood","prolonged bleeding time, reduced clot formation, ","rat, dog",not reported,Not reported,not reported,"absorption is rapid and around 60-65% in rat and about 80% in dog, pharmacokinetics are linear with dose, Plasma clearance is moderate in rat and dog, plasma half-lives are short in both rat and dog, almost equally distributed between plasma and erythrocytes, rapidly and widely distributed to tissues, except in seminal vesicles and testes, possible risk for accumulation after repeated dosing in adrenal tissue, kidney, liver, lung, skin, spleen, thyroid, bone marrow, testes, and aorta wall, differences in excretion and metabolic profile in the excreta were observed between the species, primarily excreted via the faecal/biliary route,  not actively secreted via the kidneys, ","absorption, bioavailability, tissue distribution, metabolism, excretion","rat, mouse, rabbit, dog",not reported,Not reported,both,"single dose toxicity, repeat dose toxicity, carcinogenicity, reproduction toxicity, developmental toxicity","single dose toxicity, repeat dose toxicity, carcinogenicity studies, Carcinogenicity, Reproduction Toxicity, Juvenile toxicity, ","mortality occurred at 30 mg/kg, piloerection, remotility, uncoordinated gait, hunched posture, laboured breathing, narrowed palpebral fissure, closed eyelids, diarrhoea, reduced body weight gain, reduced gastro-intestinal tract mobility, dysbiosis, erosive and ulcerative typhlitis and colitis, regenerative mucosal hyperplasia in the jejunum, ileum and caecum, liver (centrilobular hypertrophy, dilated gall bladder), bone marrow (increased myelopoiesis), hematopoietic system (slight anaemia), leading to increased haematopoiesis in the liver and spleen, adrenal glands (reduced vacuolation of de zona fasciculate), thymus (atrophy), testes (slightly increased apoptosis), ovaries (less corpora lutea), uterus (atrophy), Paneth cell hypertrophy, dilated intestine and vasodilatation of the mesenteric veins, adrenals (increased zona glomerulosa), thymus (variability in weight), prostate (slightly decreased weight), and seminal vesicles (slightly decreased weight), bile duct hyperplasia and periportal inflammation in the liver, increased counts of leucocytes and lymphocytes, slightly increased haematopoiesis, heart (swelling of the arterial media of the left ventricle) and kidney (increased weight, pigmented proximal tubules, tubular casts), hyperplasia of the parathyroid glands, effect on bone morphology and bone mineral density, vasodilation, reduced blood pressure and reflex tachycardia, accompanied by morphological changes in the myocardium (oedema, endocarditis) and coronary arteries (vascular hypertrophy), slight QT prolongation, tachykardia, low gastro-intestinal tract tolerability, large bowel adenocarcinoma, tumours were localized in the caecum (females) or in the colon infiltrating the caecum (males), low incidence of benign Leydig cell tumours, chronic progressive nephropathy, tumours (benign and malignant), inflammation, thrombosis (heart, kidneys and other organs), focal fibrosis in the heart, blood pressure reduction, an increase in cardiac malformations (ventricular septal defects), increase in the overall percentage of foetuses with skeletal malformations, Placental hypoperfusion and obstruction, increased placental weights, secreted into rat milk, reduced bone formation and volume, impaired bone healing, and an accumulation of postmitotic but nonhypertrophic cells, ",Yes,Both,,
EMA,adenuric-epar-public-assessment-report_en.pdf,EMEA/258531/2008,EMEA/H/C/000777,Adenuric,febuxostat,Menarini International Operations,Small molecule,tablet,oral,approved,authorised,21.02.2008,no ,no,chronic hyperuricaemia in conditions where urate deposition has already occurred in adults,same,Diseases of the genitourinary system,23.08.2006,1,no,NA,NA,yes,"rat, mouse, monkey, dog, rabbit","chimpanzee monkey, Wistar rat, beagle dog",CHF dog model (pacing-induced heart failure),male,"metabolised to allantoin by uricase, Inhibition of xanthine oxidase, serum uric acid, ED50, anti-inflammatory effect, myocardial high energy phosphate content, coronary blood flow, enzyme activities, IC50 value, effects on Ca2+ channel currents, platelet (human) aggregation by ADP, activated partial thromboplastin time and prothrombin time, CNS effects (locomotor activity), renal effects (urine volume, electrolyte excretion), cardiovascular effects (respiration rate, blood pressure, heart rate, left ventricular pressure, left ventricular contractility, femoral blood flow, ECG, effect on coronary blood flow induced by acetylcholine or sodium nitroprusside)","decrease in locomotor activity,  increased urinary volume, urinary K+ and Cl- , decreased Na+/K+ ratio, acute decreases in blood pressure","mouse, rat, dog, rabbit",Sprague Dawley rat,Not reported,both,"rapidly absorbed from the gastrointestinal tract,  terminal half-life of febuxostat generally ranged from 2-4 hours in mouse and appeared to be slightly longer in rat and dog, 57%, 85% and 45% were absorbed (mouse, rat, dog), bioavailibility was 78% in rat and 48% in dog, 2-4-fold higher AUC values (absorption) in females than males, dose- and time-dependence, highly bound in rat plasma (≥98.8%), widely distributed to most tissues and organs, crosses the placenta, lacteal transfer, faecal excretion was generally the main route of excretion, ","absorption, bioavailability, tissue distribution, metabolism, excretion","mouse, rat, dog","beagle dog, Wistar rat","BDF1 mouse, F344 rat, B6C3F1 mouse",both,"single dose toxicity, repeat dose toxicity, genotoxicity, carcinogenicity, reproduction toxicity,  local tolerance","single dose toxicity, repeat dose toxicity, Genotoxicity, Carcinogenicity, reproduction toxicity, local tolerance","decreased locomotor activity, cyanosis, lying on its side or belly, decreased body temperature, Ulcer-like black mottles in stomach, discoloration (haemorrhage) in the duodenum and ileum, severe vomiting, prone position, lateral position, depression, ptosis, decreased body surface temperature, salivation, loose stools, Cloudy white urine, dilated kidney tubules and interstitial fibrosis, Round granules in urine, basophilic deposits in collecting tubules and papillary ducts, variable degrees of interstitial inflammation and/or fibrosis and basement membrane changes, Renal tubular epithelial necrosis, Increased BUN (blood urea nitrogen), creatinine, Stones in the bladder, transitional cell hyperplasia, Bladder calculi and mucosal epithelial hyperplasia, Thyroid hyperplasia, decrease in T3 and T4, hyperplasia of follicular epithelium, increase in ALP and γ-GTP (GGT), increased Bilirubin, Increased ALP and ALT levels, decreased erythrocyte count, haemoglobin level and haematocrit, increased WBC counts and segmented neutrophil percentage, decreased lymphocyte percentage, urinary bladder tumours in female mouse and male rat, Increase in kidney weights, direct damage to the uroepithelium, cytotoxicity, regenerative hyperplasia by urinary calculi, increase in urine pH, deposition and/or calculus in the kidney or bladder, decrease in body weight gain (babies), decreased weaning index, ",Yes,Both,,
EMA,adjupanrix-previously-pandemic-influenza-vaccine-h5n1-split-virion-inactivated-adjuvanted-glaxosmithkline-biologicals-h-c-1206-p46-0032-epar-assessment-report_en.pdf,Not reported,EMEA/H/C/001206,"Adjupanrix (previously Pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted) GlaxoSmithKline Biologicals)","pandemic influenza vaccine (H5N1) (split virion, inactivated, adjuvanted)",GlaxoSmithKline Biologicals S.A.,Vaccine,tablet,not reported,approved,authorised,19.10.2009,no ,no,Not reported,influenza in an officially declared pandemic situation,"Infectious and parasitic diseases, Diseases of the respiratory system",??,not reported,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. (Pandemic) ",
EMA,adlumiz-epar-refusal-public-assessment-report_en.pdf,EMA/647868/2017,EMEA/H/C/003847,Adlumiz,anamorelin,Helsinn Birex Pharmaceuticals Ltd.,Small molecule,tablet,oral,refused,NA,18.05.2017,no ,no,"anorexia, cachexia or unintended weight loss in adult patients with non-small cell lung cancer (NSCLC)",NA,"""Endocrine, nutritional, and metabolic diseases"", Neoplasms, Diseases of the respiratory system",12.10.2015,2,no,NA,NA,yes,"rat, dog, pig","Sprague Dawley rat, Wistar rat, beagle dog",fasted male dog,both,"growth hormone secretion, orexigenic effect, growth hormone response, cortisol response, acute effects of anamorelin HCl, appetite, body weight gain, electro- cardiographic (ECG) parameters (rhythm, morphology and interval measurements), decreases in blood pressure, No-Observed-Adverse-Effect-Level (NOAEL), changes in behaviour, locomotor activity, tremor, pain response, body temperature, gastrointestinal motility, ","marginal lengthening of QRS duration, QRS prolongation, extended PQ interval, 1st degree AV block, decreases in blood pressure","rat, dog","Long Evans rat, Sprague Dawley rat",Not reported,both,"Oral availability is 50% (M) and 56%(F),  Bi-exponential decline in plasmaconcentration, much lower plasma concentrations in males, no binding of anamorelin to melanin, greatest concentrations in luminal (small intestine) and non-luminal (liver) tissues, longest apparent terminal elimination half-lives occurred in brain (655.7 h), eyes of Long Evans rat (424.7 h), heart (424.2 h), and plasma of Long Evans rat (354.9 h), not preferentially associate with red blood cells, primarily metabolised by CYP3A4 (>99%), four main metabolites,  hepatic metabolism, excreted in faeces, small proportion was excreted as urine, Inhibition of CYP3A4, ","absorption, bioavailability, tissue distribution, metabolism, excretion","mouse, rat, dog, rabbit","CD-1 mouse, Sprague Dawley rat, beagle dog",Hra:(NZW)SPF rabbit,both,"single dose toxicity, repeat dose toxicity, genotoxicity, reproduction toxicity","single dose toxicity, repeat dose toxicity, Genotoxicity, reproduction toxicity, ","mortality, Subdued behaviour, Laboured breathing, piloerection, nasopharyngitis, Inflammation of the upper GI tract, increase in body weights, severe arrhythmia, QRS complex prolongation, periportal  in the liver, increased pigmentation in Kupffer cells and some hepatocytes, bile duct hyperplasia, glandular cystic hyperplasia of the gallbladder, degeneration and inflammation of the liver atrophy of the thymus gland, tubular mineralization of the kidneys, squinted eye, few or no feces, cyanotic appearance, tremors, irregular respiration, ↓ mean gravid uterine weight, ",Yes,Both,"Pharmkokinetik: Sprague Dawley albino rat, pigmented Long Evans rat",
EMA,adrovance-epar-scientific-discussion_en.pdf,Not reported,EMEA/H/C/000759,Adrovance,alendronic acid / colecalciferol,N.V. Organo,Small molecule,tablet,oral,approved,authorised,04.01.2007,no ,no,postmenopausal osteoporosis in women at risk of vitamin D insufficiency,same,"""Endocrine, nutritional, and metabolic diseases""",28.06.2006,1,yes,EMA,FOSAVANCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
EMA,adtralza-epar-public-assessment-report_en.pdf,EMA/266138/2021,EMEA/H/C/005255,Adtralza,tralokinumab,LEO Pharma A/S,Biologics,suspension and emulsion for emulsion for injection,subcutaneous,approved,authorised,22.04.2021,no ,no,moderate-to-severe atopic dermatitis in adult patients who are candidates for systemic therapy,moderate-to-severe atopic dermatitis in adult and adolescent patients 12 years and older who are candidates for systemic therapy,Diseases of the skin,27.04.2020,1,no,NA,NA,yes,"mouse, monkey",cynomolgus monkey,"models of type 2 immune responses mediated through signalling via IL-13, air pouch inflammation model in mouse, lung inflammation mouse model",not reported,"infiltration of total leukocytes, eosinophils and monocytic cells, IgE levels, lung inflammation, infiltration of neutrophils into the area of the air pouch, haematology measurements, ",increase in neutrophils (1 day post injection),monkey,cynomolgus monkey,Not reported,both,"accumulation of 3-6 fold, transplacental distribution, steady state exposure was reached after 9 weeks, eliminated by proteolytic catabolism","absorption, bioavailability, tissue distribution, metabolism, excretion","monkey, rabbit",cynomolgus monkey,Not reported,both,"repeat dose toxicity, reproduction toxicity,  local tolerance","repeat dose toxicity, reproduction toxicity, local tolerance, ","means birth weight was reduced by ~15%, placental transfer,  well tolerated in all repeat dose studies which is reflected in the absence of any adverse events (AEs)",Yes,Both,,
EMA,withdrawal-assessment-report-aduhelm_en.pdf,EMA/CHMP/557556/2022,EMEA/H/C/005558,Aduhelm,aducanumab,Biogen Netherlands B.V.,Biologics,concentrate for solution for infusion,intravenous,withdrawn,authorised,20.04.2022 (company withdrew application on this date),no ,no,adult patients with Alzheimer’s disease at the mild cognitive impairment (MCI) or mild dementia stage. Presence of amyloid beta pathology should be confirmed as part of diagnosis,NA,Diseases of the nervous system,07.10.2020,2,no,NA,NA,yes,mouse,not reported,"Tg2576 mouse, ",not reported,"repeat dose study, dose-response relationship, Brain concentrations increased in a dose-proportional manner, Aβ levels in the brain and Aβ plaque load in the cortex, hippocampus, and dentate gyrus, Behavioural performance, memory performance, Aβ level reductions, intraneuronal calcium homeostasis, plaque size, plaque number, plaque clearance rate, overall amyloid burden, ",Not reported,"mouse, monkey, rat","cynomolgus monkey, Sprague Dawley rat","aged Tg2576 transgenic mouse model, wild-type mouse",both,"100% bioavailability for SC and IP dosing, Half-life values ranged from ~90-95 hours to 123 hours, accumulation ratios of ≤2.00 and ≤1.6, no differences related to sex, biphasic decline, absorption was relatively slow, evidence for accumulation, ","absorption, bioavailability, tissue distribution","mouse, monkey, rat","cynomolgus monkey, Sprague Dawley rat",Tg2576 mouse,both,"repeat dose toxicity, reproduction toxicity,  local tolerance","repeat dose toxicity, reproduction toxicity, local tolerance, ","mortality, increased (micro) haemorrhage, meningeal vascular inflammation, amyloid angiopathy, vascular thickening, ",Yes,Both,,
EMA,advagraf-epar-scientific-discussion_en.pdf,Not reported,EMEA/H/C/000712,Advagraf,tacrolimus,Astellas Pharma Europe BV,Small molecule,prolonged-release hard capsule,oral,approved,authorised,23.04.2007,no ,no,Not reported,Prophylaxis of transplant rejection in adult kidney or liver allograft recipients. Treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients.,"Diseases of the digestive system, Other",18.01.2006,1,yes,???,Prograf/Prograft,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,mouse,not reported,Not reported,both,"genotoxicity,  local tolerance","Genotoxicity, local tolerance, ","inhibition of erythropoiesis, poor weight gain, reduced mating behaviour, prolonged dietrus, delayed parturition, increased pre- and post-implantation losses, reduced pup viability, increased F1 variations and malformations (with relatively high ventricular septal defect),  reduction of sperm counts and motility, ",No,NA,"(new form; prolonged release) No new non-clinical studies were presented in support of this application. The submitted pharmacology, pharmacokinetics and toxicology studies of tacrolimus have been fully established during the development of Prograf/Prograft together with a non-clinical overview based on the expert report that had been submitted during nation registration procedures for Prograf/Prograft in Austria, Belgium, Denmark, France, Ireland, Italy, Netherlands, Norway, Spain, Sweden, Switzerland and the United Kingdom [Expert Report on the Pharmaco-Toxicological Documentation, 1993].",
EMA,advate-epar-scientific-discussion_en.pdf,Not reported,EMEA/H/C/000520,Advate,octocog alfa,Takeda Manufacturing Austria AG,Peptides and proteins,"solvent for solution for injection, powder for solution for injection",intravenous,approved,authorised,02.03.2004,not reported,no,Not reported,bleeding in patients with haemophilia A (congenital factor VIII deficiency),"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities",Not reported,not reported,yes,"???, EMA",Recombinate rAH,no,"mouse, dog",not reported,exon 16 knockout haemophilic mouse,both,"Haemostatic efficacy, ability to stop bleeding, ability to raise plasma Factor VIII levels, respiratory and cardiovascular systems, general behaviour, central and autonomic nervous, digestive system, renal function, locomotors activity, body temperature, smooth muscles, ",Not reported,rat,Sprague Dawley rat,Not reported,male,"distributed mostly into organs and tissues highly vascularised, highest concentrations were observed in the following organs: the spleen, stomach, liver, lung, kidney and heart, excreted in the urine, bile and faeces, ","absorption, bioavailability, tissue distribution, metabolism, excretion","rat, rabbit, dog, monkey, ferret, hamster","Sprague Dawley rat, New Zealand White rabbit, Chinese hamster",Not reported,both,"single dose toxicity, repeat dose toxicity, genotoxicity,  local tolerance","single dose toxicity, repeat dose toxicity, genotoxicity, Local tolerance","clinical signs of toxicity (once daily), changes in body weight (weekly), clinical pathology findings (day 14), gross necropsy findings, increase in the percentage of reticulocytes in their blood, reddening of the skin,  skin oedema in the head area, decrease in body temperature, ",Yes,Both,"Absorption, distribution, metabolism and excretion were not studied with rAHF-PFM reference was made to previous studies performed with Recombinate (results summarised, information from this section)",
EMA,withdrawal-assessment-report-advexin_en.pdf,EMEA/692328/2008,EMEA/H/C/000919,Advexin,contusugene ladenovec,Gendux Molecular Limited,Cell and gene therapy,suspension for injection,intratumoural,withdrawn,NA,17.12.2008 (company withdrew application on this date),yes,no,Li-Fraumeni cancer patients,NA,"Neoplasms, Congenital malformations and chomosomal abnormalities",Not reported,not reported,no,NA,NA,yes,mouse,not reported,"xenograft tumour mouse models, nude mouse models",not reported,"percentage of cells infected, expression of p53, subsequent apoptosis of cells, tumour inhibiting capacity, proof of concept",Not reported,"rat, mouse",not reported,xenograft tumour mouse models,not reported,"a wide range of sensitivities, distribution to injection site, and in some animals also in adrenal gland, kidney, heart, liver, lung and spleen, repeated injections may result in cumulative effects,  persistence and potential genomic integration of vector DNA, the expression of the encoded protein",tissue distribution,"mouse, rat",cotton rat,"non-tumour bearing mouse and rat, ",not reported,"???, single dose toxicity, repeat dose toxicity","single dose toxicity studies, mortality, clinical signs, body weight, food consumption, haematology, serum chemistry, urinalysis, gross pathology, histopathology, repeated dose toxicity, germline transmission","no serious toxic effects were observed,  single cell necrosis in liver cells, increased serum levels of liver enzymes, some changes in spleen, ",No,NA,,
EMA,adynovi-epar-public-assessment-report_en.pdf,EMA/CHMP/782768/2017,EMEA/H/C/004195,Adynovi,rurioctocog alfa pegol,Baxalta Innovations GmbH,Peptides and proteins,"solvent for solution for injection, powder for solution for injection",intravenous,approved,authorised,08.01.2018,no ,no,bleeding in patients with haemophilia A (congenital factor VIII deficiency),patients 12 years and above with haemophilia A (congenital factor VIII deficiency),"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities",01.03.2016,1,yes,EMA,Advate (?),yes,"mouse, monkey, rabbit",cynomolgus monkey,E17 FVIII ko mouse,not reported,"activated partial thrombin time, effect of Adynovi, effect on blood coagulation system, reduced tail tip bleeding, induction of carotid occlusion, thrombogenic potential, effects on body temperature, cardiovascular (aortic blood pressure and single lead electrocardiogram (ECG)), and respiratory (intra-thoracic pressure) parameters, ",no adverse behavioural effects or clinical observations,"rat, mouse, monkey","cynomolgus monkey, Sprague Dawley rat","E17 FVIII ko mouse,  CD(SD) rat",both,"FVIII antigen dose-adjusted AUC0-tlast was 1.4 times higher after infusion of Adynovi than after infusion of Advate,  prolonged FVIII exposure with Adynovi in comparison to Advate,  dose-proportional increase for one lot and a sub-proportional increase for the other lot, minimal gender differences in pharmacokinetic parameters, with males showing a longer half-life, while exposure to drug derived radioactivity remained similar, highest concentrations in plasma, blood, mesenteric lymph nodes, spleen, liver, adrenal glands, and kidneys, crossed blood-brain-barrier, ","absorption, bioavailability, tissue distribution, metabolism, excretion","mouse, rat, monkey, rabbit",cynomolgus monkey,PEG2ru20KCOOH (toxicological relevant unbound 20kD PEG model),both,"repeat dose toxicity,  local tolerance, immunogenicity","repeated dose toxicity, local tolerance, immunogenicity, PEG (= inert molecule and not metabolised by enzymes), ","transient increase of thrombin-antithrombin fragments, an increase of D-dimers, and shortening of the activated partial thromboplastin time in single animals at single time points, prolongation of aPTT, Slightly elevated liver enzymes, vacuolation in the kidney, risk for developing antibodies against PEG, ",Yes,Both,,
EMA,adzynma-epar-public-assessment-report_en.pdf,EMA/352066/2024,EMEA/H/C/006198,Adzynma,rADAMTS13,Takeda Manufacturing Austria AG,Peptides and proteins,"solvent for solution for injection, powder for solution for injection",intravenous,approved,authorised (under additional monitoring),30.05.2024,yes,no,enzyme replacement therapy (ERT) in patients with congenital thrombotic thrombocytopenic purpura (cTTP) due to ADAMTS13 deficiency,enzyme replacement therapy (ERT) indicated for the treatment of ADAMTS13 deficiency in children and adult patients with congenital thrombotic thrombocytopenic purpura (cTTP),"Diseases of the blood and blood-forming organs, Congenital malformations and chomosomal abnormalities",17.04.2023,1,no,NA,NA,yes,"mouse, monkey, rabbit",cynomolgus monkey,"ADAMTS13 KO mouse, rVWF-induced TTP model",not reported,"platelet count, lactate dehydrogenase (LDH), mortality, clinical findings, body weight, hematology, occurrence of schistocytes, clinical chemistry, macroscopic findings, blood analysis, organ damage, organ damage was also assessed and histologically scored, macroscopic findings, hematocrit, hemoglobin levels, serum LDH levels, resolvement of pre-existing or growing pial microvascular thrombi in the brain, levels in the plasma, affinity for unfolded VWF, ","thrombocytopenia, decrease in body weight, decrease in hematocrit, increase in schistocyte counts, increase in lactate dehydrogenase levels, thromboembolic changes in several organs, myocardial necrosis, hemorrhage, inflammation, acute tubular necrosis, increased severity of tubular casts, ","rat, rabbit, mouse, monkey, minipig","cynomolgus monkey, Sprague Dawley rat, New Zealand White rabbit, Göttingen minipig",ADAMTS13 KO mouse,both,"exposure (Cmax and AUC) to TAK-755 protein and activity proportionally increased with increasing dose, TAK-755 protein, terminal half-life ranged from 23.5 to 24.0 hours, clearance of TAK-755 activity ranged between 3.1 and 3.2 mL/h/kg, Terminal plasma half-life was 46.96 hours, distributes to compartments outside the blood circulation, ","absorption, bioavailability, tissue distribution","mouse, rat, monkey, rabbit","cynomolgus monkey, Sprague Dawley rat, New Zealand White rabbit",Not reported,both,"repeat dose toxicity, reproduction toxicity, developmental toxicity,  local tolerance, immunogenicity","repeated dose toxicity studies, reproductive and developmental toxicity studies, local tolerance studies, formation of anti-TAK-755 antibodies (binding and neutralising), cleavage of large molecular weight VWF multimers by TAK-755, ","decreased haematocrit, decreased haemoglobin, and decreased platelet counts, haemorrhages in the skin, skeletal muscle, axillary lymph nodes and thymus, acute to sub-acute myocardial inflammation, thrombopenia, haemolytic anaemia (decreases in red blood cell count, haemoglobin and haematocrit), increased reticulocytes, bilirubinaemia, generalised macroscopic skin haematoma, red foci in kidneys and the stomach, haemorrhage, congestion/haemorrhage in the heart, adrenals, stomach and skin, proteinaceous casts in the kidneys,  no toxic effect on reproduction and development, ",Yes,Both,,
