Administration_route_human,Administration_route_llm,Administration_route_verdict_human,Administration_route_verdict_llm,Application_date_human,Application_date_llm,Application_date_verdict_human,Application_date_verdict_llm,Current_status_human,Current_status_llm,Current_status_verdict_human,Current_status_verdict_llm,Decision_date_human,Decision_date_llm,Decision_date_verdict_human,Decision_date_verdict_llm,Decision_human,Decision_llm,Decision_verdict_human,Decision_verdict_llm,Disease_class(es)_human,Disease_class(es)_llm,Disease_class(es)_verdict_human,Disease_class(es)_verdict_llm,Drug_class_human,Drug_class_llm,Drug_class_verdict_human,Drug_class_verdict_llm,Drug_human,Drug_llm,Drug_verdict_human,Drug_verdict_llm,Indication_approved_human,Indication_approved_llm,Indication_approved_verdict_human,Indication_approved_verdict_llm,Indication_requested_human,Indication_requested_llm,Indication_requested_verdict_human,Indication_requested_verdict_llm,Marketing_authorisation_number_human,Marketing_authorisation_number_llm,Marketing_authorisation_number_verdict_human,Marketing_authorisation_number_verdict_llm,Non_proprietary_name_human,Non_proprietary_name_llm,Non_proprietary_name_verdict_human,Non_proprietary_name_verdict_llm,Nonclinical_pharmacokinetics_model_human,Nonclinical_pharmacokinetics_model_llm,Nonclinical_pharmacokinetics_model_verdict_human,Nonclinical_pharmacokinetics_model_verdict_llm,Nonclinical_pharmacokinetics_species_human,Nonclinical_pharmacokinetics_species_llm,Nonclinical_pharmacokinetics_species_verdict_human,Nonclinical_pharmacokinetics_species_verdict_llm,Nonclinical_pharmacokinetics_strain_human,Nonclinical_pharmacokinetics_strain_llm,Nonclinical_pharmacokinetics_strain_verdict_human,Nonclinical_pharmacokinetics_strain_verdict_llm,Nonclinical_pharmacology_model_human,Nonclinical_pharmacology_model_llm,Nonclinical_pharmacology_model_verdict_human,Nonclinical_pharmacology_model_verdict_llm,Nonclinical_pharmacology_species_human,Nonclinical_pharmacology_species_llm,Nonclinical_pharmacology_species_verdict_human,Nonclinical_pharmacology_species_verdict_llm,Nonclinical_pharmacology_strain_human,Nonclinical_pharmacology_strain_llm,Nonclinical_pharmacology_strain_verdict_human,Nonclinical_pharmacology_strain_verdict_llm,Nonclinical_toxicology_model_human,Nonclinical_toxicology_model_llm,Nonclinical_toxicology_model_verdict_human,Nonclinical_toxicology_model_verdict_llm,Nonclinical_toxicology_species_human,Nonclinical_toxicology_species_llm,Nonclinical_toxicology_species_verdict_human,Nonclinical_toxicology_species_verdict_llm,Nonclinical_toxicology_strain_human,Nonclinical_toxicology_strain_llm,Nonclinical_toxicology_strain_verdict_human,Nonclinical_toxicology_strain_verdict_llm,Orphan_drug_status_human,Orphan_drug_status_llm,Orphan_drug_status_verdict_human,Orphan_drug_status_verdict_llm,Pharmaceutical_form_human,Pharmaceutical_form_llm,Pharmaceutical_form_verdict_human,Pharmaceutical_form_verdict_llm
oral,oral,True,,24.08.2012,24.08.2012,True,,authorised,authorised,True,,24.10.2013,24.10.2013,True,,approved,approved,True,,mental and behavioural disorders,mental and behavioural disorders,True,,small molecule,small molecule,True,,brintellix,brintellix,True,,same,treatment of major depressive episodes in adults,False,,brintellix is indicated for the treatment of major depressive episodes in adults.,treatment of major depressive episodes in adults,False,,ema/699150/2013,ema/699150/2013,True,,vortioxetine,vortioxetine,True,,not reported,not reported,True,,"mice, rats, dogs, rabbits, monkeys, guinea pigs","mouse, rat, dog",False,,"cynomolgus monkeys, wistar rats, lister hooded rats",not reported,False,,"mouse formalin model, rat chronic constriction nerve injury model,",not reported,False,,"rats, mice, dogs, guinea pigs","mouse, rat, dog, rabbit",False,,"cd-1 mice, wistar rats, beagle dogs",not reported,False,,not reported,not reported,True,,"rats, dogs, mice, rabbits","mouse, rat, dog, rabbit",False,,not reported,not reported,True,,no,no,True,,film-coated tablets,"film-coated tablets, oral drops",False,
oral,oral,True,,23.12.2014,23.12.2014,True,,authorised,authorised,True,,23.06.2016,23.06.2016,True,,approved,approved,True,,infectious and parasitic diseases,infectious and parasitic diseases,True,,small molecule,small molecule,True,,atazanavir viatris (previously atazanavir mylan),atazanavir mylan,False,,same,treatment of hiv-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products,False,,"atazanavir viatris, co-administered with low dose ritonavir, is indicated for the treatment of hiv-1-infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products. based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (≥ 4 pi mutations). there are very limited data available from children aged 6 to less than 18 years. the choice of atazanavir mylan in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history.",treatment of hiv-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products,False,,ema/503216/2016,ema/503216/2016,True,,atazanavir,atazanavir,True,,not reported,not reported,True,,rats,rat,False,,not reported,not reported,True,,not reported,not reported,True,,"rats, dogs","rat, dog",False,,not reported,not reported,True,,not reported,not reported,True,,"mice, rats, dogs","mouse, rat, dog",False,,not reported,not reported,True,,no,no,True,,hard capsules,hard capsules,True,
"intravenous infusion, intravenous injection",intravenous use,False,,08.02.2016,08.02.2016,True,,authorised,authorised,True,,26.01.2017,26.01.2017,True,,approved,approved,True,,infectious and parasitic diseases,infectious and parasitic diseases,True,,small molecule,small molecule,True,,daptomycin hospira,daptomycin hospira,True,,same,"daptomycin is indicated for the treatment of the following infections: complicated skin and soft-tissue infections (cssti), right-sided infective endocarditis (rie) due to staphylococcus aureus, staphylococcus aureus bacteraemia (sab) when associated with rie or with cssti.",False,,"daptomycin is indicated for the treatment of the following infections: adult and paediatric (1 to 17 years of age) patients with complicated skin and soft-tissue infections (cssti). adult patients with right-sided infective endocarditis (rie) due to staphylococcus aureus. it is recommended that the decision to use daptomycin should take into account the antibacterial susceptibility of the organism and should be based on expert advice (see sections 4.4 and 5.1). adult and paediatric (1 to 17 years of age) patients with staphylococcus aureus bacteraemia (sab). in adults, use in bacteraemia should be associated with rie or with cssti, while in paediatric patients, use in bacteraemia should be associated with cssti.","daptomycin hospira is indicated for the treatment of the following infections in adults: complicated skin and soft-tissue infections (cssti), right-sided infective endocarditis (rie) due to staphylococcus aureus, staphylococcus aureus bacteraemia (sab) when associated with rie or with cssti.",False,,ema/109959/2017,ema/109959/2017,True,,daptomycin,daptomycin,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,powder for solution for injection,powder for solution for injection/infusion,False,
subcutaneous injection,subcutaneous(ly),False,,23.05.2017,23.05.2017,True,,authorised,authorised,True,,31.05.2018,31.05.2018,True,,approved,approved,True,,"diseases of the nervous system, diseases of the circulatory system",mental and behavioural disorders,False,,biologics,biologics,True,,aimovig,aimovig,True,,prophylaxis of migraine in adults who have at least 4 migraine days per month,prophylaxis of migraine in adults who have at least 4 migraine days per month,True,,prophylaxis of migraine in adults who have at least 4 migraine days per month when initiating treatment with aimovig,prophylaxis of migraine in adults who have at least 4 migraine days per month,False,,ema/chmp/413393/2018,ema/chmp/413393/2018,True,,erenumab,erenumab,True,,not reported,not reported,True,,monkeys,cynomolgus monkey,False,,cynomolgus monkeys,not reported,False,,"cynomolgus model of capsaicin induced increase in dermal blood flow, rat, dog, pig ischemia mode,  rat model for preeclampsi",not reported,False,,"rats, monkeys, dogs, pigs, mice",cynomolgus monkey,False,,cynomolgus monkeys,not reported,False,,not reported,not reported,True,,monkeys,cynomolgus monkey,False,,cynomolgus monkeys,not reported,False,,no,no,True,,solution for injection in pre-filled syringe,solution for subcutaneous injection,False,
subcutaneous injection,subcutaneous,False,,03.12.2014,03.12.2014,True,,authorised,authorised,True,,19.11.2015,19.11.2015,True,,approved,approved,True,,diseases of the musculoskeletal system and connective tissue,diseases of the musculoskeletal system and connective tissue,True,,biologics,biologics,True,,benepali,benepali,True,,same,"rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, non-radiographic axial spondyloarthritis, plaque psoriasis",False,,"rheumatoid arthritis,  juvenile idiopathic arthritis, psoriatic arthritis, axial spondyloarthritis, plaque psoriasis, paediatric plaque psoriasis","rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, non-radiographic axial spondyloarthritis, plaque psoriasis",False,,ema/chmp/819219/2015,ema/chmp/819219/2015,True,,etanercept,etanercept,True,,not reported,not reported,True,,rats,rat,False,,sprague dawley rats,sd rat,False,,mouse (balb/c) model of collagen antibody-induced arthritis (caia),not reported,False,,mice,"mouse, rat, monkey",False,,balb/c mice,"balb/c mouse, sd rat, cynomolgus monkey",False,,not reported,not reported,True,,monkeys,monkey,False,,cynomolgus monkeys,cynomolgus monkey,False,,no,no,True,,solution for injection in pre-filled syringe,solution for injection,False,
inhalation,inhalation,True,,26.10.2011,26.10.2011,True,,authorised,authorised,True,,13.12.2012,13.12.2012,True,,approved,approved,True,,mental and behavioural disorders,mental and behavioural disorders,True,,small molecule,small molecule,True,,adasuve,adasuve,True,,rapid control of mild-to-moderate agitation in adult patients with schizophrenia or bipolar disorder,rapid control of mild-to-moderate agitation in adult patients with schizophrenia or bipolar disorder,True,,rapid control of agitation in adult patients with schizophrenia or bipolar disorde,rapid control of agitation in adult patients with schizophrenia or bipolar disorder,False,,ema/91055/2013,ema/91055/2013,True,,loxapine,loxapine,True,,not reported,not reported,True,,"rats, dogs, cats, mice, rabbits, guinea pigs, monkeys","rat, dog",False,,not reported,not reported,True,,conscious (non-anesthetized) telemetered dogs,not reported,False,,"rats, cats, guinea pigs, rabbits, dogs","rat, guinea pig, mouse",False,,not reported,nmri mouse,False,,not reported,not reported,True,,"rats, rabbits, mice, dogs","rat, dog",False,,not reported,not reported,True,,no,no,True,,inhalation powder,inhalation powder,True,
intravenous injection,iv injection,False,,not reported,n/a,False,,withdrawn,withdrawn,True,,10.05.2017,11.05.2017,False,,withdrawn,withdrawn,True,,"neoplasms, diseases of the blood and blood-forming organs",neoplasms,False,,small molecule,small molecule,True,,qinprezo,qinprezo,True,,,treatment of adult patients ≥ 60 years with relapsed or refractory acute myeloid leukaemia (aml),False,,vosaroxin is indicated in combination with cytarabine for the treatment of patients ≥ 60 years with relapsed or refractory aml.,treatment of adult patients ≥ 60 years with relapsed or refractory acute myeloid leukaemia (aml),False,,ema/462376/2017,ema/462376/2017,True,,vosaroxin,vosaroxin,True,,kb nasopharyngeal tumour-bearing nude mice,not reported,False,,"mice, rats, dogs, monkeys","mouse, rat, monkey",False,,cynomolgus monkeys,not reported,False,,"human tumour xenograft mouse models, syngeneic tumour mouse models,",not reported,False,,"mice, dogs, rats, rabbits, guinea pigs","mouse, rat, dog, monkey",False,,not reported,not reported,True,,not reported,not reported,True,,"mice, rats, monkeys","mouse, rat, monkey",False,,cynomolgus monkeys,not reported,False,,no,yes,False,,solution for infusion,solution for injection,False,
subcutaneous injection,subcutaneous,False,,not reported,n/a,False,,withdrawn,withdrawn,True,,23.06.2011,23.06.2011,True,,withdrawn,refused,False,,diseases of the skin,diseases of the blood and blood-forming organs,False,,peptides and proteins,biologics,False,,kalbitor,kalbitor,True,,,symptomatic treatment of acute attacks of hereditary angioedema,False,,symptomatic treatment of acute attacks of hereditary angioedema in patients 12 years of age and older.,symptomatic treatment of acute attacks of hereditary angioedema,False,,ema/chmp/476618/2011,ema/chmp/476618/2011,True,,ecallantide,ecallantide,True,,not reported,not reported,True,,,not reported,False,,not reported,not reported,True,,not reported,not reported,True,,"monkeys, rats, mice","monkey, rat, mouse",False,,cynomolgus monkeys,"cynomolgus monkey, rat, mouse",False,,not reported,not reported,True,,"rats, monkeys, minipigs, rabbits","rat, monkey, minipig",False,,cynomolgus monkeys,not reported,False,,yes,yes,True,,solution for injection in a vial,solution for injection,False,
intravitreal injection,intravitreal,False,,23.06.2022,23.08.2023,False,,authorised,authorised,True,,23.08.2023,19.09.2024,False,,approved,approved,True,,"diseases of the eye and adnexa, ""endocrine, nutritional, and metabolic diseases"", diseases of the circulatory system",neoplasms,False,,peptides and proteins,biologics,False,,afqlir,afqlir,True,,same,"neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",False,,"adults for the treatment of neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)","neovascular (wet) age-related macular degeneration (amd), visual impairment due to macular oedema secondary to retinal vein occlusion (branch rvo or central rvo), visual impairment due to diabetic macular oedema (dme), visual impairment due to myopic choroidal neovascularisation (myopic cnv)",False,,ema/466863/2024,ema/466863/2024,True,,aflibercept,aflibercept,True,,not reported,not reported,True,,rabbits,not reported,False,,new zealand white rabbits,not reported,False,,,not reported,False,,,rabbit,False,,,not reported,False,,not reported,not reported,True,,rabbits,not reported,False,,not reported,not reported,True,,yes,no,False,,solution for injection in pre-filled syringe,solution for injection,False,
intravenous injection,intravenous use,False,,31.05.2011,31.05.2011,True,,authorised,authorised,True,,19.07.2012,19.07.2012,True,,approved,approved,True,,"diseases of the blood and blood-forming organs, neoplasms",neoplasms,False,,biologics,biologics,True,,adcetris,adcetris,True,,"adult patients with previously untreated cd30+ stage iii or iv hodgkin lymphoma (hl) in combination with doxorubicin, vinblastine and dacarbazine (avd), adult patients with cd30+ hl at increased risk of relapse or progression following autologous stem cell transplant (asct), in combination with cyclophosphamide, doxorubicin and prednisone (chp) is indicated for adult patients with previously untreated systemic anaplastic large cell lymphoma (salcl), adult patients with relapsed or refractory salcl, adult patients with cd30+ cutaneous t-cell lymphoma (ctcl) after at least 1 prior systemic therapy",treatment of adult patients with relapsed or refractory cd30+ hodgkin lymphoma (hl) and systemic anaplastic large cell lymphoma (salcl),False,,patients with relapsed or refractory hodgkin lymphoma (hl) and for the treatment of patients with relapsed or refractory systemic anaplastic large cell lymphoma (salcl),treatment of hodgkin lymphoma and anaplastic large cell lymphoma,False,,ema/702390/2012,ema/702390/2012,True,,brentuximab vedotin,brentuximab vedotin,True,,not reported,not reported,True,,"rats, monkeys","rat, monkey",False,,not reported,not reported,True,,xenograft models,not reported,False,,"monkeys, rats, mice","mouse, monkey",False,,"cynomolgus monkeys, gamma mice",not reported,False,,not reported,not reported,True,,"rats, monkeys","rat, monkey",False,,"cynomolgus monkeys, sprague dawley rats",not reported,False,,yes,yes,True,,powder for concentrate for solution for infusion,powder for concentrate for solution for infusion,True,
oral,oral,True,,14.08.2014,14.08.2014,True,,authorised,authorised,True,,25.06.2015,25.06.2015,True,,approved,approved,True,,"diseases of the nervous system, mental and behavioural disorders",mental and behavioural disorders,False,,small molecule,small molecule,True,,duloxetine zentiva,duloxetine zentiva,True,,same,"treatment of major depressive disorder, treatment of diabetic peripheral neuropathic pain, treatment of generalised anxiety disorder",False,,treatment of major depressive disorder. treatment of diabetic peripheral neuropathic pain. treatment of generalised anxiety disorder. duloxetine zentiva is indicated in adults.,"treatment of major depressive disorder, treatment of diabetic peripheral neuropathic pain, treatment of generalised anxiety disorder",False,,ema/chmp/373461/2015,ema/chmp/373461/2015,True,,duloxetine,duloxetine,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,hard capsules,gastro-resistant hard capsules,False,
oral,oral,True,,09.07.2014,09.07.2014,True,,authorised,authorised,True,,23.04.2015,23.04.2015,True,,approved,approved,True,,"diseases of the nervous system, mental and behavioural disorders",diseases of the nervous system,False,,small molecule,small molecule,True,,pregabalin sandoz,pregabalin sandoz,True,,same,"neuropathic pain, epilepsy, generalised anxiety disorder",False,,neuropathic pain: pregabalin sandoz is indicated for the treatment of peripheral and central neuropathic pain in adults. epilepsy: pregabalin sandoz is indicated as adjunctive therapy in adults with partial seizures with or without secondary generalisation. generalised anxiety disorder: pregabalin sandoz is indicated for the treatment of generalised anxiety disorder (gad) in adults.,"neuropathic pain, epilepsy, generalised anxiety disorder",False,,ema/chmp/102862/2015,ema/chmp/102862/2015,True,,pregabalin,pregabalin,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,hard capsules,hard gelatin capsule,False,
inhalation,inhalation,True,,05.06.2015,05.06.2015,True,,withdrawn,withdrawn,True,,23.06.2016,23.06.2016,True,,approved,withdrawn,False,,diseases of the respiratory system,diseases of the respiratory system,True,,small molecule,small molecule,True,,airexar spiromax,airexar spiromax,True,,same,for the regular treatment of patients with severe asthma and for the symptomatic treatment of patients with copd.,False,,"asthma: airexar spiromax is indicated for the regular treatment of patients with severe asthma where use of a combination product (inhaled corticosteroid and long-acting β2 agonist) is appropriate: patients not adequately controlled on a lower strength corticosteroid combination product or patients already controlled on a high dose inhaled corticosteroid and long-acting β2 agonist; chronic obstructive pulmonary disease (copd): airexar spiromax is indicated for the symptomatic treatment of patients with copd, with a fev1 <60% predicted normal (pre-bronchodilator) and a history of repeated exacerbations, who have significant symptoms despite regular bronchodilator therapy.",airexar spiromax is indicated in adults aged 18 years and older for the regular treatment of asthma and for the symptomatic treatment of patients with copd.,False,,ema/486131/2016,ema/486131/2016,True,,salmeterol xinafoate / fluticasone propionate,salmeterol / fluticasone propionate,False,,not reported,not reported,True,,"rats, dogs, rabbits, mice",not reported,False,,not reported,not reported,True,,not reported,not reported,True,,"rats, mice",not reported,False,,not reported,not reported,True,,not reported,not reported,True,,"rats, dogs",not reported,False,,"wistar rats, sprague dawley rats, beagle dogs",not reported,False,,no,no,True,,inhalation powder,inhalation powder,True,
oral,oral,True,,14.10.2019,14.10.2019,True,,authorised,authorised,True,,10.12.2020,10.12.2020,True,,approved,approved,True,,"neoplasms, diseases of the digestive system, ""endocrine, nutritional, and metabolic diseases""",neoplasms,False,,small molecule,small molecule,True,,sunitinib accord,sunitinib accord,True,,same,"treatment of unresectable and/or metastatic malignant gastrointestinal stromal tumour (gist) in adults after failure of imatinib treatment due to resistance or intolerance; treatment of advanced/metastatic renal cell carcinoma (mrcc) in adults; treatment of unresectable or metastatic, well-differentiated pancreatic neuroendocrine tumours (pnet) with disease progression in adults",False,,"gastrointestinal stromal tumour (gist): sunitinib accord is indicated for the treatment of unresectable and/or metastatic malignant gastrointestinal stromal tumour (gist) in adults after failure of imatinib treatment due to resistance or intolerance. metastatic renal cell carcinoma (mrcc): sunitinib accord is indicated for the treatment of advanced/metastatic renal cell carcinoma (mrcc) in adults. pancreatic neuroendocrine tumours (pnet): sunitinib accord is indicated for the treatment of unresectable or metastatic, well-differentiated pancreatic neuroendocrine tumours (pnet) with disease progression in adults.","treatment of unresectable and/or metastatic malignant gastrointestinal stromal tumour (gist) in adults after failure of imatinib treatment due to resistance or intolerance; treatment of advanced/metastatic renal cell carcinoma (mrcc) in adults; treatment of unresectable or metastatic, well-differentiated pancreatic neuroendocrine tumours (pnet) with disease progression in adults",False,,ema/chmp/2430/2021,ema/chmp/2430/2021,True,,sunitinib,sunitinib,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,hard capsules,hard capsules,True,
oral,oral,True,,28.04.2022,28.04.2022,True,,authorised,authorised,True,,23.02.2023,23.02.2023,True,,approved,approved,True,,neoplasms,neoplasms,True,,small molecule,small molecule,True,,akeega,akeega,True,,adult patients with metastatic castration-resistant prostate cancer (mcrpc) and brca 1/2 mutations (germline and/or somatic) in whom chemotherapy is not clinically indicated,treatment of adult patients with metastatic castration resistant prostate cancer (mcrpc) and brca1/2 mutations in whom chemotherapy is not clinically indicated,False,,adult patients with metastatic castration-resistant prostate cancer (mcrpc) who are positive for homologous recombination repair (hrr) gene alterations (germline and/or somatic),treatment of adult patients with metastatic castration-resistant prostate cancer (mcrpc) who are positive for homologous recombination repair (hrr) gene alterations,False,,ema/126335/2023,ema/126335/2023,True,,niraparib / abiraterone acetate,niraparib / abiraterone acetate,True,,,not reported,False,,,not reported,False,,,not reported,False,,xenograft tumor models (brca1/2 wild type vcap and brca2 mutant lucap),not reported,False,,"mice, dogs",mouse,False,,beagle dogs,not reported,False,,not reported,not reported,True,,"rats, dogs",not reported,False,,not reported,not reported,True,,no,no,True,,tablet,film-coated tablets,False,
oral,oral,True,,03.05.2012,03.05.2012,True,,authorised,authorised,True,,27.06.2013,27.06.2013,True,,approved,approved,True,,"neoplasms, diseases of the digestive system",neoplasms,False,,small molecule,small molecule,True,,stivarga,stivarga,True,,"stivarga is indicated as monotherapy for the treatment of adult patients with metastatic colorectal cancer (crc) who have been previously treated with, or are not considered candidates for, available therapies. these include fluoropyrimidine-based chemotherapy, an anti-vegf therapy and an anti-egfr therapy. unresectable or metastatic gastrointestinal stromal tumours (gist) who progressed on or are intolerant to prior treatment with imatinib and sunitinib. hepatocellular carcinoma (hcc) who have been previously treated with sorafenib.","treatment of adult patients with metastatic colorectal cancer (crc) who have been previously treated with, or are not considered candidates for, available therapies.",False,,"stivarga is indicated for the treatment of adult patients with metastatic colorectal cancer (crc) who have been previously treated with, or are not considered candidates for, available therapies. these include fluoropyrimidine-based chemotherapy, an anti-vegf therapy, and, in case of kras wild type crc, an anti-egfr therapy.","treatment of adult patients with metastatic colorectal cancer (crc) who have been previously treated with, or are not considered candidates for, available therapies.",False,,ema/chmp/403683/2013,ema/chmp/403683/2013,True,,regorafenib,regorafenib,True,,not reported,not reported,True,,"rats, mice, rabbits, dogs, monkeys","mouse, rat, rabbit, dog, monkey",False,,albino rats,not reported,False,,"gastric cancer (gc) xenograft mouse models,  mice transplanted with a syngeneic hepatoma",not reported,False,,"mice, rats, dogs","mouse, rat, rabbit, dog, monkey",False,,not reported,not reported,True,,not reported,not reported,True,,"rats, mice, rabbits","mouse, rat, dog",False,,not reported,not reported,True,,no,no,True,,film-coated tablets,film-coated tablets,True,
oral,oral,True,,26.04.2016,26.04.2016,True,,authorised,authorised,True,,21.04.2017,21.04.2017,True,,approved,approved,True,,diseases of the musculoskeletal system and connective tissue,"endocrine, nutritional, and metabolic diseases",False,,small molecule,small molecule,True,,febuxostat viatris (previously febuxostat mylan),febuxostat mylan,False,,"treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis). febuxostat viatris is indicated in adults.","treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis)",False,,"treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis). prevention and treatment of hyperuricaemia in adult patients undergoing chemotherapy for haematologic malignancies at intermediate to high risk of tumor lysis syndrome (tls).","treatment of chronic hyperuricaemia in conditions where urate deposition has already occurred (including a history, or presence of, tophus and/or gouty arthritis)",False,,ema/368110/2017,ema/368110/2017,True,,febuxostat,febuxostat,True,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,,not reported,False,,no,no,True,,film-coated tablets,film-coated tablet,False,
oral,oral,True,,20.07.2022,20.07.2022,True,,authorised (under additional monitoring),authorised,False,,22.02.2024,22.02.2024,True,,conditional marketing authorisation,approved,False,,"diseases of the genitourinary system, congenital malformations and chomosomal abnormalities",diseases of the genitourinary system,False,,small molecule,small molecule,True,,filspari,filspari,True,,"filspari is indicated for the treatment of adults with primary immunoglobulin a nephropathy (igan) with a urine protein excretion ≥1.0 g/day (or urine protein-to-creatinine ratio ≥ 0.75 g/g,",treatment of adults with primary immunoglobulin a nephropathy (igan) with a urine protein excretion ≥1.0 g/day,False,,filspari is indicated in adults for the treatment of primary immunoglobulin a nephropathy (igan),treatment of primary immunoglobulin a nephropathy (igan),False,,ema/106429/2024,ema/106429/2024,True,,sparsentan,sparsentan,True,,not reported,not reported,True,,"rats, mice, dogs, monkeys","rat, monkey",False,,not reported,not reported,True,,"nonclinical animal models of kidney disease, denken, and yoken (gddy) mouse model, engineered immune complex (eic)-induced “passive igan” mouse model, anti-thymocyte (thy-1) rat (ats) model",not reported,False,,"rats, mice","mouse, rat",False,,not reported,"gddy mouse, ats rat",False,,"wild-type cbyb6f1-tg (hras)2jic mice, transgenic mice (rash2)",not reported,False,,"rats, mice, monkeys","mouse, rat",False,,cd-1 mice,not reported,False,,yes,yes,True,,film-coated tablets,film-coated tablet,False,
oral,oral,True,,01.03.2012,01.03.2012,True,,authorised,authorised,True,,29.11.2013,29.11.2013,True,,approved,approved,True,,infectious and parasitic diseases,infectious and parasitic diseases,True,,small molecule,small molecule,True,,granupas (previously para-aminosalicylic acid lucane),para-aminosalicylic acid lucane,False,,granupas is indicated for use as part of an appropriate combination regimen for multi-drug resistant tuberculosis in adults and paediatric patients from 28 days of age and older when an effective treatment regimen cannot otherwise be composed for reasons of resistance or tolerability.,treatment of tuberculosis in combination with other active agents,False,,"pas-gr is indicated for the treatment of tuberculosis in combination with other active agents. it is most commonly used in patients with multi-drug resistant tb (mdr-tb) or in situations when primary medication therapy with recommended agents is not possible due to a combination of resistance and/or intolerance. pas-gr is indicated in adults, infants, children and adolescents.",treatment of tuberculosis,False,,ema/18511/2014,ema/18511/2014,True,,para-aminosalicylic acid,para-aminosalicylic acid,True,,not reported,not reported,True,,"rats, guinea pigs, rabbits, dogs","rat, guinea pig, rabbit",False,,not reported,not reported,True,,mouse models of tuberculosis,not reported,False,,mice,"mouse, rat, guinea pig",False,,not reported,not reported,True,,not reported,not reported,True,,"rats, rabbits",not reported,False,,not reported,not reported,True,,no,yes,False,,gastro-resistant granules,gastro-resistant granules,True,
intravenous infusion,intravenous,False,,12.06.2010,12.07.2010,False,,authorised,authorised,True,,21.10.2010,21.10.2010,True,,approved,approved,True,,"neoplasms, diseases of the respiratory system, diseases of the genitourinary system",neoplasms,False,,small molecule,small molecule,True,,potactasol,potactasol,True,,topotecan monotherapy is indicated for the treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy and patients with relapsed small cell lung cancer (sclc) for whom re-treatment with the first-line regimen is not considered appropriate. topotecan in combination with cisplatin is indicated for patients with carcinoma of the cervix recurrent after radiotherapy and for patients with stage ivb disease. patients with prior exposure to cisplatin require a sustained treatment free interval to justify treatment with the combination.,treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy and for the treatment of patients with relapsed small cell lung cancer,False,,topotecan monotherapy is indicated for the treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy.,treatment of patients with metastatic carcinoma of the ovary after failure of first-line or subsequent therapy and for the treatment of patients with relapsed small cell lung cancer,False,,ema/792855/2010,ema/792855/2010,True,,topotecan,topotecan,True,,,not reported,False,,,"rat, mouse, dog",False,,,not reported,False,,,not reported,False,,,"rat, mouse, dog",False,,,not reported,False,,,not reported,False,,,"rat, mouse, dog",False,,,not reported,False,,no,no,True,,powder for concentrate for solution for infusion,powder for concentrate for solution for infusion,True,
