Administration_route,Application_date,Application_year,Current_status,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,25.10.2013,2013,authorised,approved,21.11.2014,2014,Diseases of the digestive system,000211074.pdf,Small molecule,Nopicor,Alleviation of pruritus in patients with chronic hepatic disease (only when the patient’s response to conventional treatments is inadequate),yes,Alleviation of pruritus in patients with chronic hepatic disease (only when the patient’s response to conventional treatments is inadequate),"Toray Medical Co., Ltd.",Toray,Not reported,Nalfurafine Hydrochloride,no,no,capsule,Not reported,NA
intravenous,29.09.2020,2020,authorised,approved,25.02.2021,2021,"Endocrine, nutritional, and metabolic diseases",000242410.pdf,Biologics,Izcargo,Mucopolysaccharidosis type II,no,Mucopolysaccharidosis type II,"JCR Pharmaceuticals Co., Ltd.",JCR,Not reported,Pabinafusp Alfa,no,yes,Lyophilized powder,Not reported,NA
Oral,08.08.2006,2006,authorised,approved,27.08.2008,2008,Neoplasms; Diseases of the blood and blood-forming organs,000153348.pdf,Small molecule,Thaled,Relapsed or refractory multiple myeloma,no,Multiple myeloma (to be used only when conventional treatment is not sufficiently effective),Fujimoto Pharmaceutical Corporation,Fujimoto,Not reported,Thalidomide,yes,yes,Capsule,Not reported,Not reported
intravenous,30.08.2017,2017,authorised,approved,25.04.2018,2018,Neoplasms; Diseases of the respiratory system,000238551.pdf,Biologics,Imfinzi,"Maintenance treatment of locally-advanced, unresectable non-small cell lung cancer following definitive chemoradiotherapy",no,"Locally-advanced, unresectable non-small cell lung cancer",AstraZeneca K.K.,AstraZeneca,Not reported,Durvalumab,no,no,solution,Not reported,NA
intravenous,31.01.2018,2018,authorised,approved,28.06.2018,2018,Neoplasms; Diseases of the blood and blood-forming organs,000230125.pdf,Biologics,Adcetris,Previously untreated CD30-positive Hodgkin’s lymphoma,yes,Previously untreated CD30-positive Hodgkin’s lymphoma,Takeda Pharmaceutical Company Limited,Takeda,Not reported,Brentuximab Vedotin,yes,yes,Powder,Not reported,Not reported
oral,10.06.2022,2022,authorised,approved,18.01.2023,2023,Neoplasms; Diseases of the blood and blood-forming organs,000266405.pdf,Small molecule,Imbruvica,treatment-naïve mantle cell lymphoma,yes,treatment-naïve mantle cell lymphoma,Janssen Pharmaceutical K.K.,Janssen,Not reported,Ibrutinib,yes,yes,Capsule,Not reported,Not reported
oral,01.02.2017,2017,authorised,approved,04.12.2017,2017,Diseases of the digestive system,000232054.pdf,Small molecule,Goofice,Chronic constipation (excluding constipation caused by organic disease),no,Chronic constipation (excluding constipation caused by organic disease),"EA Pharma Co., Ltd.",EA,Not reported,Elobixibat,no,no,tablet,Not reported,NA
subcutaneous,08.12.2022,2022,authorised,approved,21.08.2023,2023,Diseases of the nervous system,000270515.pdf,Peptides and proteins,Zilbrysq,Generalized myasthenia gravis (only in patients who inadequately respond to corticosteroids or nonsteroidal immunosuppressants),no,Generalized myasthenia gravis,"UCB Japan Co., Ltd.",UCB,Not reported,Zilucoplan,no,no,solution,Not reported,NA
subcutaneous,24.01.2020,2020,authorised,approved,02.12.2020,2020,Diseases of the nervous system,000247408.pdf,Biologics,Emgality,Prevention of migraine attacks,no,Prevention of migraine attacks,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Galcanezumab,no,no,injection,Not reported,NA
oral,21.12.2007,2007,authorised,approved,27.02.2009,2009,Mental and behavioural disorders,000153638.pdf,Small molecule,Clozaril,Treatment-resistant schizophrenia,no,Treatment-resistant schizophrenia,Novartis Pharma K.K.,Novartis,Not reported,Clozapine,yes,no,tablet,Not reported,Not reported
oral,14.02.2020,2020,authorised,approved,02.12.2020,2020,Diseases of the circulatory system,000247811.pdf,Small molecule,Xarelto,Treatment of venous thromboembolism and prevention of its recurrence,yes,Treatment of pediatric venous thromboembolism and prevention of its recurrence,"Bayer Yakuhin, Ltd.",Bayer,Not reported,Rivaroxaban,yes,no,tablet,Not reported,Not reported
subcutaneous,28.07.2015,2015,authorised,approved,30.05.2016,2016,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000224346.pdf,Biologics,Taltz,"Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",no,"Treatment of moderate to severe psoriasis vulgaris, pustular psoriasis, erythrodermic psoriasis, and psoriatic arthritis",Eli Lilly Japan K.K.,Eli Lilly,Not reported,Ixekizumab,no,no,solution,Not reported,NA
oral,25.02.2022,2022,authorised,approved,22.11.2022,2022,Infectious and parasitic diseases,000249828.pdf,Small molecule,Xocova,Disease caused by SARS-CoV-2 infection (COVID-19),no,Disease caused by SARS-CoV-2 infection (COVID-19),"Shionogi & Co., Ltd.",Shionogi,Not reported,Ensitrelvir Fumaric Acid,no,no,tablet,Not reported,NA
oral,07.08.2023,2023,authorised,approved,31.05.2024,2024,Diseases of the blood and blood-forming organs,000275874.pdf,Small molecule,Fabhalta,Paroxysmal nocturnal hemoglobinuria,no,Paroxysmal nocturnal hemoglobinuria,Novartis Pharma K.K.,Novartis,Not reported,Iptacopan,no,no,capsule,Not reported,NA
subcutaneous,08.11.2019,2019,authorised,approved,29.05.2020,2020,Diseases of the nervous system,000244464.pdf,Biologics,Enspryng,Prevention of relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),no,Prevention of relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Satralizumab,no,yes,solution,Not reported,NA
intravenous,21.07.2015,2015,authorised,approved,30.11.2015,2015,Neoplasms; Diseases of the respiratory system,000216478.pdf,Biologics,Opdivo,"Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer",yes,"Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer","Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,no,Injection,Not reported,Not reported
oral,26.02.2013,2013,authorised,approved,03.02.2014,2014,Neoplasms; Diseases of the digestive system,000207987.pdf,Small molecule,Lonsurf,Unresectable advanced or recurrent colorectal cancer,no,Unresectable advanced or recurrent colorectal cancer,"Taiho Pharmaceutical Co., Ltd.",Taiho,Not reported,Trifluridine and Tipiracil Hydrochloride,no,no,tablet,Not reported,NA
intravenous,30.09.2021,2021,authorised,approved,25.02.2022,2022,"Endocrine, nutritional, and metabolic diseases",000247409.pdf,Biologics,Xenpozyme,Acid sphingomyelinase deficiency,no,Acid sphingomyelinase deficiency,Sanofi K.K.,Sanofi,Not reported,Olipudase Alfa,no,yes,Lyophilized powder,Not reported,NA
intravenous,16.01.2023,2023,authorised,approved,21.08.2023,2023,Diseases of the nervous system,000267068.pdf,Biologics,Leqembi,To slow the progression of mild cognitive impairment and mild dementia due to Alzheimer’s disease,no,To slow the progression of early Alzheimer’s disease (mild cognitive impairment and mild dementia due to Alzheimer’s disease),"Eisai Co., Ltd.",Eisai,Not reported,Lecanemab,no,no,injection,Not reported,NA
oral,16.10.2019,2019,authorised,approved,30.10.2020,2020,Infectious and parasitic diseases,000246924.pdf,Small molecule,Xofluza,Treatment and prophylaxis of influenza A or B virus infection,yes,prophylaxis of influenza A or B virus infection,"Shionogi & Co., Ltd.",Shionogi,Not reported,Baloxavir Marboxil,no,no,tablet,Not reported,NA
Intramuscular,28.08.2015,2015,authorised,approved,08.02.2016,2016,Infectious and parasitic diseases; Diseases of the respiratory system,000216875.pdf,Vaccine,Adsorbed Cell Culture-derived Influenza Vaccine H5N1,Prevention of pandemic influenza (H5N1),yes,Prevention of pandemic influenza (H5N1),"Kitasato Daiichi Sankyo Vaccine Co., Ltd.",Kitasato Daiichi Sankyo,Not reported,Adsorbed cell culture-derived influenza vaccine,yes,yes,suspension,Not reported,Not reported
oral,28.02.2014,2014,authorised,approved,21.11.2014,2014,Diseases of the digestive system; Neoplasms; Diseases of the blood and blood-forming organs; Infectious and parasitic diseases,000211075.pdf,Small molecule,Takecab,"Treatment of gastric ulcer, duodenal ulcer, or reflux esophagitis; prevention of recurrent gastric or duodenal ulcer associated with low-dose aspirin administration; and prevention of recurrent gastric or duodenal ulcer associated with non-steroidal anti-inflammatory drug administration; Adjunct therapy to Helicobacter pylori eradication in gastric or duodenal ulcer, gastric mucosa-associated lymphatic tissue (MALT) lymphoma, idiopathic thrombocytopenic purpura, the stomach after endoscopic resection of early stage gastric cancer, or Helicobacter pylori gastritis",no,"Treatment of gastric ulcer, duodenal ulcer, or reflux esophagitis; prevention of recurrent gastric or duodenal ulcer associated with low-dose aspirin administration; and prevention of recurrent gastric or duodenal ulcer associated with non-steroidal anti-inflammatory drug administration; Adjunct therapy to Helicobacter pylori eradication in gastric or duodenal ulcer, gastric mucosa-associated lymphatic tissue (MALT) lymphoma, idiopathic thrombocytopenic purpura, the stomach after endoscopic resection of early stage gastric cancer, or Helicobacter pylori gastritis",Takeda Pharmaceutical Company Limited,Takeda,Not reported,Vonoprazan Fumarate,no,no,tablet,Not reported,NA
cutaneous,24.03.2014,2014,authorised,approved,21.01.2015,2015,Diseases of the skin,000218938.pdf,Small molecule,Duac,Acne vulgaris,no,Acne vulgaris,GlaxoSmithKline K.K.,GlaxoSmithKline,Not reported,Clindamycin Phosphate Hydrate/Benzoyl Peroxide,yes,no,gel,Not reported,Not reported
Intravenous,30.07.2015,2015,authorised,approved,01.02.2016,2016,Neoplasms,000219171.pdf,Small molecule,Halaven,Inoperable or recurrent breast cancer and soft tissue sarcoma,yes,Inoperable or recurrent breast cancer and soft tissue sarcoma,"Eisai Co., Ltd.",Eisai,Not reported,Eribulin Mesilate,yes,yes,solution,Not reported,Not reported
subcutaneous,06.08.2015,2015,authorised,approved,27.05.2016,2016,"Endocrine, nutritional, and metabolic diseases",000224582.pdf,Biologics,Praluent,Familial hypercholesterolemia and hypercholesterolemia,no,Hypercholesterolemia and familial hypercholesterolemia,Sanofi K.K.,Sanofi,Not reported,Alirocumab,no,no,solution,Not reported,NA
oral,09.02.2016,2016,authorised,approved,25.11.2016,2016,Diseases of the musculoskeletal system and connective tissue,000229930.pdf,Small molecule,Cymbalta,pain associated with osteoarthritis,yes,pain associated with osteoarthritis,"Shionogi & Co., Ltd.",Shionogi,Not reported,Duloxetine,yes,no,capsule,Not reported,Not reported
oral,24.06.2016,2016,authorised,approved,03.02.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000228384.pdf,Small molecule,Revlimid,Relapsed or refractory adult T cell leukemia-lymphoma,yes,Relapsed or refractory adult T cell leukemia-lymphoma,Celgene K.K.,Celgene,Not reported,Lenalidomide Hydrate,yes,yes,capsule,Not reported,Not reported
intravenous,27.07.2023,2023,authorised,approved,22.02.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,000271597.pdf,Biologics,Besponsa,Relapsed or refractory CD22-positive acute lymphoblastic leukemia,yes,Relapsed or refractory CD22-positive acute lymphoblastic leukemia,Pfizer Japan Inc.,Pfizer,Not reported,Inotuzumab Ozogamicin,yes,yes,Lyophilized powder,Not reported,Not reported
oral,18.09.2014,2014,authorised,approved,05.03.2015,2015,Infectious and parasitic diseases,000210800.pdf,Small molecule,Copegus,Suppression of viremia in chronic hepatitis C patients with or without compensated cirrhosis in combination with Peginterferon Alfa-2a or Sofosbuvir,yes,Suppression of viremia in chronic hepatitis C patients,"Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Ribavirin,yes,no,tablet,Not reported,Not reported
subcutaneous,31.05.2006,2006,authorised,approved,27.10.2008,2008,Diseases of the respiratory system,000153931.pdf,Biologics,Xolair,Bronchial asthma (only for refractory patients whose asthma symptoms are not controlled by conventional therapies),no,Bronchial asthma (only for patients who respond inadequately to conventional therapies),Novartis Pharma K.K.,Novartis,Not reported,Omalizumab,no,no,lyophilized powder,Not reported,NA
intravenous,29.10.2021,2021,authorised,approved,02.06.2022,2022,Diseases of the nervous system,000265591.pdf,Biologics,Rituxan,Prevention of the relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),yes,Prevention of the relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),"Zenyaku Kogyo Co., Ltd.",Zenyaku Kogyo,Not reported,Rituximab,yes,yes,solution,Not reported,Not reported
oral,31.08.2016,2016,authorised,approved,22.02.2017,2017,Infectious and parasitic diseases,000227563.pdf,Small molecule,Sovaldi,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),yes,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),Gilead Sciences K.K.,Gilead,Not reported,Sofosbuvir,no,no,tablet,Not reported,NA
oral,11.03.2016,2016,authorised,approved,09.09.2016,2016,Infectious and parasitic diseases,000224903.pdf,Small molecule,Erelsa,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,MSD K.K.,MSD,Not reported,Elbasvir,no,no,tablet,Not reported,NA
subcutaneous,25.08.2021,2021,authorised,approved,27.01.2023,2023,"Endocrine, nutritional, and metabolic diseases",000265142.pdf,Peptides and proteins,Wegovy,Obesity,yes,Obesity,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Semaglutide,no,no,injection,Not reported,NA
intravenous,29.10.2014,2014,authorised,approved,05.06.2015,2015,Diseases of the nervous system,000212453.pdf,Small molecule,Radicut,"Improvement of neurological symptoms, disability in activities of daily living, and functional impairment associated with acute ischemic stroke; Slowing of progression of functional impairment in patients with amyotrophic lateral sclerosis (ALS)",yes,"Improvement of neurological symptoms, disability in activities of daily living, and functional impairment associated with acute ischemic stroke; Treatment of amyotrophic lateral sclerosis (ALS)",Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,Not reported,Edaravone,yes,yes,Injection,Not reported,Not reported
intravitreous,30.03.2007,2007,authorised,approved,25.04.2008,2008,Diseases of the eye and adnexa,000153104.pdf,Peptides and proteins,Macugen,Subfoveal choroidal neovascularization secondary to age-related macular degeneration,no,Subfoveal choroidal neovascularization secondary to age-related macular degeneration,Pfizer Japan Inc.,Pfizer,Not reported,Pegaptanib Sodium,no,yes,solution,Not reported,NA
intravenous,27.05.2015,2015,authorised,approved,24.02.2016,2016,Neoplasms; Diseases of the digestive system,000217926.pdf,Small molecule,Proemend,Acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,yes,Acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Fosaprepitant Meglumine,yes,no,Lyophilized powder,Not reported,Not reported
oral,27.03.2013,2013,authorised,approved,10.01.2014,2014,Diseases of the circulatory system; Diseases of the digestive system,000208812.pdf,Small molecule,Takelda,"Reduction of the risk of thrombosis and embolism in patients with a history of gastric or duodenal ulcers who have angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent CABG or PTCA",yes,"Reduction of the risk of thrombosis and embolism and prevention of recurrent gastric or duodenal ulcers associated with low-dose aspirin in patients with angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent CABG or PTCA",Takeda Pharmaceutical Company Limited,Takeda,Not reported,Aspirin/Lansoprazole,yes,no,tablet,Not reported,Not reported
intramuscular,22.06.2022,2022,authorised,approved,17.08.2022,2022,Infectious and parasitic diseases,000249127.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus Modified Uridine RNA Vaccine,yes,no,Injection,Not reported,Not reported
oral,28.10.2020,2020,authorised,approved,30.07.2021,2021,Diseases of the skin,000250304.pdf,Small molecule,Rinvoq,Atopic dermatitis that have an inadequate response to conventional treatments,yes,Not reported,AbbVie GK,AbbVie,Not reported,Upadacitinib Hydrate,yes,no,tablet,Not reported,Not reported
oral,12.03.2008,2008,authorised,approved,30.04.2008,2008,Infectious and parasitic diseases,000153689.pdf,Small molecule,Isentress,HIV infection,no,HIV-1 infection,"Banyu Pharmaceutical Co., Ltd.",Banyu,Not reported,Raltegravir Potassium,no,yes,tablet,Not reported,NA
subcutaneous,07.01.2019,2019,authorised,approved,29.08.2019,2019,"Endocrine, nutritional, and metabolic diseases; Diseases of the musculoskeletal system and connective tissue",000235589.pdf,Biologics,Crysvita,FGF23-related hypophosphatemic rickets/osteomalacia,no,FGF23-related hypophosphatemic rickets/osteomalacia,"Kyowa Kirin Co., Ltd.",Kyowa Kirin,Not reported,Burosumab,no,yes,injection,Not reported,NA
oral,26.02.2021,2021,authorised,approved,06.09.2021,2021,Diseases of the blood and blood-forming organs; Diseases of the circulatory system,000250305.pdf,Small molecule,Tavneos,Microscopic polyangiitis and granulomatosis with polyangiitis,no,Microscopic polyangiitis and granulomatosis with polyangiitis,"Kissei Pharmaceutical Co., Ltd.",Kissei,Not reported,Avacopan,no,yes,capsule,Not reported,NA
intramuscular,08.08.2022,2022,authorised,approved,07.09.2022,2022,Infectious and parasitic diseases,000249126.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Pfizer Japan Inc.,Pfizer,Not reported,Coronavirus Modified Uridine RNA Vaccine,yes,no,injection,Not reported,Not reported
oral,24.03.2016,2016,authorised,approved,24.11.2016,2016,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000230195.pdf,Small molecule,Otezla,Psoriasis vulgaris inadequately responding to topical therapy; Psoriatic arthritis,no,Psoriasis vulgaris inadequately responding to topical therapy; Psoriatic arthritis,Celgene K.K.,Celgene,Not reported,Apremilast,no,no,tablet,Not reported,NA
oral,05.12.2016,2016,authorised,approved,02.03.2018,2018,Neoplasms; Diseases of the respiratory system,000237163.pdf,Small molecule,Mekinist,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,yes,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,Novartis Pharma K.K.,Novartis,Not reported,Trametinib,no,yes,tablet,Not reported,NA
intravenous,30.03.2022,2022,authorised,approved,27.01.2023,2023,Other,000265792.pdf,Small molecule,Precedex,Sedation of non-intubated pediatric patients during non-invasive procedures or examinations,yes,Sedation of non-intubated pediatric patients during non-invasive procedures or examinations,Pfizer Japan Inc.,Pfizer,Not reported,Dexmedetomidine Hydrochloride,yes,no,solution,Not reported,Not reported
oral,30.03.2011,2011,authorised,approved,03.02.2014,2014,Infectious and parasitic diseases,000210319.pdf,Small molecule,Avigan,Treatment of novel or re-emerging pandemic influenza virus infections (limited to cases in which other influenza antiviral drugs are ineffective or not sufficiently effective),no,Influenza A or B virus infection,"Toyama Chemical Co., Ltd.",Toyama,Not reported,Favipiravir,no,no,tablet,Not reported,NA
oral,11.03.2016,2016,authorised,approved,09.09.2016,2016,Infectious and parasitic diseases,000224902.pdf,Small molecule,Grazyna,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,MSD K.K.,MSD,Not reported,Grazoprevir,no,no,tablet,Not reported,NA
oral,31.08.2016,2016,authorised,approved,22.02.2017,2017,Infectious and parasitic diseases,000227562.pdf,Small molecule,Sovaldi,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),yes,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),Gilead Sciences K.K.,Gilead,Not reported,Sofosbuvir,no,no,tablet,Not reported,NA
Intrathecal,05.07.2017,2017,authorised,approved,22.08.2017,2017,Diseases of the nervous system,000228335.pdf,Peptides and proteins,Spinraza,Infantile Spinal muscular atrophy; Non-infantile spinal muscular atrophy,yes,Infantile Spinal muscular atrophy,Biogen Japan Ltd.,Biogen,Not reported,Nusinersen,yes,yes,solution,Not reported,Not reported
subcutaneous,31.03.2023,2023,authorised,approved,05.02.2024,2024,Diseases of the skin,000274306.pdf,Biologics,Dupixent,Chronic spontaneous urticaria,yes,Chronic spontaneous urticaria,Sanofi K.K.,Sanofi,Not reported,Dupilumab,yes,no,Syringe,Not reported,Not reported
oral,25.08.2022,2022,authorised,approved,29.05.2023,2023,Diseases of the skin,000266925.pdf,Small molecule,Litfulo,Alopecia areata (limited to intractable cases involving extensive hair loss),no,Alopecia areata (limited to intractable cases involving extensive hair loss),Pfizer Japan Inc.,Pfizer,Not reported,Ritlecitinib Tosilate,no,no,capsule,Not reported,NA
oral,04.03.2016,2016,authorised,approved,30.05.2016,2016,Infectious and parasitic diseases,000222430.pdf,Small molecule,Genvoya,HIV-1 infection,no,HIV-1 infection,Japan Tobacco Inc.,Japan Tobacco,Not reported,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide,no,yes,tablet,Not reported,NA
intravenous,02.09.2016,2016,authorised,approved,30.05.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000233298.pdf,Small molecule,Istodax,Relapsed or refractory peripheral T-cell lymphoma,no,Relapsed or refractory peripheral T-cell lymphoma,Celgene K.K.,Celgene,Not reported,Romidepsin,no,yes,Lyophilized powder,Not reported,NA
subcutaneous,31.10.2014,2014,authorised,approved,10.07.2015,2015,"Endocrine, nutritional, and metabolic diseases",000269814.pdf,Peptides and proteins,Tresiba,Diabetes mellitus where treatment with insulin is required,yes,Diabetes mellitus where treatment with insulin is required,Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Insulin Degludec,yes,no,solution,Not reported,Not reported
oral,19.12.2018,2018,authorised,approved,30.05.2019,2019,Neoplasms,000232794.pdf,Small molecule,Rozlytrek,"NTRK fusion-positive, advanced/recurrent solid tumors",no,"NTRK fusion-positive, locally advanced or metastatic solid tumors","Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Entrectinib,no,yes,capsule,Not reported,NA
oral,07.10.2013,2013,authorised,approved,26.05.2014,2014,Neoplasms; Diseases of the respiratory system,000208811.pdf,Small molecule,Alecensa,"ALK fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",no,"ALK fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer","Chugai Pharmaceutical Co., Ltd.",Chugai,Not reported,Alectinib Hydrochloride,no,yes,capsule,Not reported,NA
Subcutaneous,24.12.2013,2013,authorised,approved,10.10.2014,2014,"Endocrine, nutritional, and metabolic diseases",000210092.pdf,Peptides and proteins,Insulin Glargine BS,Treatment of diabetes mellitus where treatment with insulin is required,no,Treatment of diabetes mellitus where treatment with insulin is required,Eli Lilly Japan K.K.,Eli Lilly,Not reported,Insulin Glargine,no,no,solution,Not reported,NA
intramuscular,13.01.2023,2023,authorised,approved,31.07.2023,2023,Infectious and parasitic diseases,000266892.pdf,Vaccine,Daichirona,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),"Daiichi Sankyo Company, Limited",Daiichi Sankyo,Not reported,Coronavirus (SARS-CoV-2) RNA Vaccine,no,no,injection,Not reported,NA
subcutaneous,11.06.2012,2012,authorised,approved,24.05.2013,2013,"Endocrine, nutritional, and metabolic diseases",000153885.pdf,Peptides and proteins,Lyxumia,Type 2 diabetes mellitus,no,Type 2 diabetes mellitus,Sanofi K.K.,Sanofi,Not reported,Lixisenatide,no,no,solution,Not reported,NA
oral,04.03.2020,2020,authorised,approved,30.10.2020,2020,Neoplasms; Diseases of the digestive system,000240841.pdf,Small molecule,Mektovi,Unresectable advanced or recurrent colorectal cancer with BRAF mutation that has progressed after cancer chemotherapy,yes,Unresectable advanced or recurrent colorectal cancer with BRAF mutation,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Binimetinib,no,no,tablet,Not reported,NA
intravenous,31.07.2014,2014,authorised,approved,05.06.2015,2015,Diseases of the musculoskeletal system and connective tissue,000215883.pdf,Peptides and proteins,Xiaflex,Dupuytren’s contracture,no,Dupuytren’s contracture with a palpable cord,Asahi Kasei Pharma Corporation,Asahi Kasei,Not reported,Collagenase,yes,no,Lyophilized powder,Not reported,Not reported
intravenous,10.12.2020,2020,authorised,approved,Not reported,2021,Neoplasms; Diseases of the digestive system,000246571.pdf,Biologics,Opdivo,"Treatment of unresectable, advanced or recurrent gastric cancer; Adjuvant therapy of esophageal cancer",yes,"Treatment of unresectable, advanced or recurrent gastric cancer previously untreated with chemotherapy; Adjuvant therapy of esophageal cancer","Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Nivolumab,yes,no,Injection,Not reported,Not reported
intravenous,30.03.2018,2018,authorised,approved,29.11.2018,2018,Neoplasms; Diseases of the respiratory system; Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,000231921.pdf,Biologics,Keytruda,"Unresectable Malignant melanoma; Unresectable, advanced or recurrent PD-L1 positive non-small cell lung cancer; Relapsed or refractory classical Hodgkin lymphoma; Radically unresectable urothelial carcinoma that has progressed after cancer chemotherapy; Advanced or recurrent microsatellite instability-high (MSI-High) solid tumors that have progressed after cancer chemotherapy",yes,Not reported,MSD K.K.,MSD,Not reported,Pembrolizumab,yes,yes,injection,Not reported,Not reported
subcutaneous,23.09.2016,2016,authorised,approved,30.05.2017,2017,Diseases of the musculoskeletal system and connective tissue,000228530.pdf,Biologics,Pralia,Osteoporosis; Inhibition of progression of bone erosion associated with rheumatoid arthritis,yes,Osteoporosis; Prevention of structural joint damage associated with rheumatoid arthritis,"Daiichi Sankyo Co., Ltd.",Daiichi Sankyo,Not reported,Denosumab,no,no,solution,Not reported,NA
oral,04.03.2020,2020,authorised,approved,30.10.2020,2020,Neoplasms; Diseases of the digestive system,000240840.pdf,Small molecule,Braftovi,Unresectable advanced or recurrent colorectal cancer with BRAF mutation that has progressed after cancer chemotherapy,yes,Unresectable advanced or recurrent colorectal cancer with BRAF mutation,"Ono Pharmaceutical Co., Ltd.",Ono,Not reported,Encorafenib,no,no,capsule,Not reported,NA
ocular,01.10.2015,2015,authorised,approved,07.09.2016,2016,Diseases of the eye and adnexa,000223317.pdf,Small molecule,Mikeluna,Glaucoma and ocular hypertension,no,Glaucoma and ocular hypertension,"Otsuka Pharmaceutical Co., Ltd.",Otsuka,Not reported,Carteolol Hydrochloride /Latanoprost,yes,no,solution,Not reported,Not reported
oral,12.09.2022,2022,authorised,approved,12.05.2023,2023,"Endocrine, nutritional, and metabolic diseases",000266893.pdf,Small molecule,Parmodia XR,Hyperlipidemia (including familial hyperlipidemia),yes,Hyperlipidemia (including familial hyperlipidemia),"Kowa Company, Ltd.",Kowa,Not reported,Pemafibrate,yes,no,tablet,Not reported,Not reported
intravenous,27.12.2012,2012,authorised,approved,18.11.2013,2013,Diseases of the blood and blood-forming organs,000203945.pdf,Biologics,NovoEight,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,no,Control of bleeding tendency in patients with haemophilia A (congenital blood coagulation factor VIII deficiency),Novo Nordisk Pharma Ltd.,Novo Nordisk,Not reported,Turoctocog Alfa,no,no,Lyophilized powder,Not reported,NA
