Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
oral,30.06.2014,2014,authorised,japan,approved,20.02.2015,2015,"endocrine, nutritional, and metabolic diseases",000215814.pdf,small molecule,cerdelga,"alleviation of symptoms of gaucher disease (anemia, thrombocytopenia, hepatosplenomegaly, and skeletal pathology)",<gaucher disease>,no,gaucher disease type 1,<gaucher disease>,genzyme japan k.k.,genzyme,,eliglustat,no,yes,capsule,,na,PMDA
cutaneous,20.05.2014,2014,authorised,japan,approved,17.06.2015,2015,infectious and parasitic diseases,000215815.pdf,small molecule,olanedine,preoperative skin preparation at the surgical site,not reported,no,preoperative skin preparation at the surgical site,not reported,"otsuka pharmaceutical factory, inc.",otsuka,,olanexidine gluconate,no,no,solution,,na,PMDA
intravenous,31.07.2014,2014,authorised,japan,approved,05.06.2015,2015,diseases of the musculoskeletal system and connective tissue,000215883.pdf,peptides and proteins,xiaflex,dupuytren’s contracture,<dupuytren contracture>,no,dupuytren’s contracture with a palpable cord,<dupuytren contracture>,asahi kasei pharma corporation,asahi kasei,,collagenase,yes,no,lyophilisate,,,PMDA
inhalation,17.10.2014,2014,authorised,japan,approved,03.08.2015,2015,diseases of the respiratory system,000216005.pdf,small molecule,spiolto respimat,relief of symptoms of airflow obstruction in patients with chronic obstructive pulmonary disease (chronic bronchitis and emphysema) who require combination therapy with a long-acting inhaled anticholinergic agent and a long-acting inhaled β2-agonist.,<chronic obstructive pulmonary disease>,no,"relief of symptoms of airflow obstruction in patients with chronic obstructive pulmonary disease (copd, i.e., chronic bronchitis and emphysema)",<chronic obstructive pulmonary disease>,"nippon boehringer ingelheim co., ltd.",boehringer ingelheim,,tiotropium bromide hydrate/olodaterol hydrochloride,no,no,solution,,na,PMDA
intramuscular,28.03.2014,2014,authorised,japan,approved,05.03.2015,2015,infectious and parasitic diseases; diseases of the respiratory system,000216064.pdf,vaccine,synflorix,"prevention of invasive infections and pneumonia caused by streptococcus pneumoniae (pneumococcal serotypes 1, 4, 5, 6b, 7f, 9v, 14, 18c, 19f, and 23f)",<infections; pneumonia>,no,"prevention of invasive infections, acute otitis media, and pneumonia caused by streptococcus pneumoniae",<invasive pneumococcal disease>; <otitis media>; <pneumonia>,"japan vaccine co., ltd.",japan vaccine,,pneumococcal 10-valent conjugate vaccine,yes,no,suspension,,,PMDA
oral,14.07.2014,2014,authorised,japan,approved,28.04.2015,2015,diseases of the digestive system,000216189.pdf,small molecule,irribow,diarrhea-predominant irritable bowel syndrome,<irritable bowel syndrome>,yes,male patients with diarrhea-predominant irritable bowel syndrome,<diarrhea-predominant irritable bowel syndrome>,astellas pharma inc.,astellas,,ramosetron hydrochloride,yes,no,tablet,,,PMDA
intravenous,21.07.2015,2015,authorised,japan,approved,30.11.2015,2015,neoplasms; diseases of the respiratory system,000216478.pdf,biologics,opdivo,"treatment of unresectable malignant melanoma; treatment of unresectable, advanced or recurrent non-small cell lung cancer",<melanoma>; <lung neoplasms>,yes,"treatment of unresectable malignant melanoma; treatment of unresectable, advanced or recurrent non-small cell lung cancer",<melanoma>; <lung neoplasms>,"ono pharmaceutical co., ltd.",ono,,nivolumab,yes,no,injection,,,PMDA
intravenous,05.01.2015,2015,authorised,japan,approved,31.08.2015,2015,neoplasms,000216480.pdf,small molecule,yondelis,soft tissue sarcomas,<soft tissue neoplasms>,no,"soft tissue sarcomas of the following histological subtypes: myxoid/round cell liposarcoma, synovial sarcoma, alveolar rhabdomyosarcoma, extra-osseous ewing’s sarcoma/primitive neuroectodermal tumor, dermatofibrosarcoma protuberans, low-grade fibromyxoid sarcoma, alveolar soft part sarcoma, clear cell sarcoma, angiomatoid fibrous histiocytoma, desmoplastic small round cell tumor, extraskeletal myxoid chondrosarcoma, mesenchymal chondrosarcoma, giant cell fibroblastoma, and endometrial stromal sarcoma.",<soft tissue sarcomas>,"taiho pharmaceutical co., ltd.",taiho,,trabectedin,no,yes,lyophilisate,,na,PMDA
oral,12.02.2015,2015,authorised,japan,approved,31.08.2015,2015,infectious and parasitic diseases,000216650.pdf,small molecule,viekirax,suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis c patients with or without compensated cirrhosis,<chronic hepatitis c>; <cirrhosis>,no,"suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis c patients, including those with compensated cirrhosis",<chronic hepatitis c>; <liver cirrhosis>,abbvie gk,abbvie,,ombitasvir hydrate/paritaprevir hydrate/ritonavir,no,no,tablet,,na,PMDA
oral,30.05.2014,2014,authorised,japan,approved,24.04.2015,2015,diseases of the respiratory system; diseases of the skin,000216694.pdf,small molecule,talion,"allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",<allergic rhinitis>; <urticaria>; <pruritus>; <eczema>; <dermatitis>; <prurigo>; <cutaneous pruritus>,yes,"allergic rhinitis, urticaria, and pruritus associated with skin disorders (eczema/dermatitis, prurigo, cutaneous pruritus)",<allergic rhinitis>; <urticaria>; <eczema>; <dermatitis>; <prurigo>; <pruritus>,mitsubishi tanabe pharma corporation,mitsubishi tanabe,,bepotastine besilate,yes,no,tablet,,,PMDA
intravenous,31.07.2014,2014,authorised,japan,approved,28.05.2015,2015,diseases of the blood and blood-forming organs,000216795.pdf,biologics,acoalan,thrombophilia due to congenital antithrombin deficiency; disseminated intravascular coagulation (dic) accompanied by a decrease in antithrombin,<thrombophilia>; <disseminated intravascular coagulation>,no,thrombophilia due to congenital antithrombin deficiency; disseminated intravascular coagulation (dic) accompanied by a decrease in antithrombin,<thrombophilia>; <disseminated intravascular coagulation>,"kyowa hakko kirin co., ltd.",kyowa hakko kirin,,antithrombin gamma,no,no,lyophilisate,,na,PMDA
intravenous,22.09.2014,2014,authorised,japan,approved,24.04.2015,2015,neoplasms; diseases of the respiratory system,000216837.pdf,other,laserphyrin,early-stage lung cancer; primary malignant brain tumor; local residual/recurrent oesophageal carcinoma after chemoradiotherapy or radiotherapy,<lung neoplasms>; <brain neoplasms>; <esophageal neoplasms>,yes,local residual/recurrent oesophageal carcinoma after chemoradiotherapy or radiotherapy,<oesophageal neoplasms>,"meiji seika pharma co., ltd.",meiji,,talaporfin sodium,yes,yes,lyophilisate,,,PMDA
epicutaneous,22.12.2014,2014,authorised,japan,approved,31.08.2015,2015,diseases of the skin,000216840.pdf,small molecule,allergen scratch extract positive control “torii”,positive control to evaluate skin reactions to allergens,<allergic reaction>,yes,positive control to evaluate skin reaction for a diagnosis of allergy,<allergy>,japan tobacco inc.,japan tobacco,,histamine dihydrochloride,yes,no,solution,,,PMDA
intramuscular,28.08.2015,2015,authorised,japan,approved,08.02.2016,2016,infectious and parasitic diseases; diseases of the respiratory system,000216875.pdf,vaccine,adsorbed cell culture-derived influenza vaccine h5n1,prevention of pandemic influenza (h5n1),<influenza>,yes,prevention of pandemic influenza (h5n1),<influenza>,"kitasato daiichi sankyo vaccine co., ltd.",kitasato daiichi sankyo,,adsorbed cell culture-derived influenza vaccine,yes,yes,suspension,,,PMDA
subcutaneous,26.12.2013,2013,authorised,japan,approved,28.11.2014,2014,diseases of the skin; diseases of the musculoskeletal system and connective tissue,000216876.pdf,biologics,cosentyx,treatment of psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,"<psoriasis>; <arthritis, psoriatic>",no,treatment of psoriasis vulgaris and psoriatic arthritis in patients who have had an inadequate response to conventional therapy,"<psoriasis>; <arthritis, psoriatic>",novartis pharma k.k.,novartis,,secukinumab,no,no,solution,,na,PMDA
subcutaneous,03.03.2015,2015,authorised,japan,approved,12.11.2015,2015,diseases of the skin; diseases of the musculoskeletal system and connective tissue,000216877.pdf,biologics,cosentyx,"treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy",<psoriasis>; <psoriatic arthritis>,yes,"treatment of psoriasis vulgaris, psoriatic arthritis, and pustular psoriasis (generalized) in patients who have had an inadequate response to conventional therapy","<psoriasis>; <arthritis, psoriatic>",novartis pharma k.k.,novartis,,secukinumab,yes,no,solution,,,PMDA
intravitreal,28.08.2014,2014,authorised,japan,approved,15.05.2015,2015,diseases of the eye and adnexa,000216947.pdf,biologics,eylea,age-related macular degeneration with subfoveal choroidal neovascularization; macular edema secondary to central retinal vein occlusion; choroidal neovascularization in pathologic myopia; diabetic macular edema,<macular degeneration>; <macular edema>; <retinal vein occlusion>; <choroidal neovascularization>; <myopia>; <diabetic macular edema>,yes,age-related macular degeneration with subfoveal choroidal neovascularization; macular edema secondary to central retinal vein occlusion,<macular degeneration>; <macular edema>; <retinal vein occlusion>,"bayer yakuhin, ltd.",bayer,,aflibercept,yes,no,solution,,,PMDA
intramuscular,25.07.2014,2014,authorised,japan,approved,05.06.2015,2015,diseases of the nervous system; diseases of the eye and adnexa; diseases of the musculoskeletal system and connective tissue,000216948.pdf,biologics,botox,"blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",<blepharospasm>; <hemifacial spasm>; <cervical dystonia>; <spasticity>; <talipes equinovarus>; <cerebral palsy>; <hyperhidrosis>; <strabismus>,yes,"blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",<blepharospasm>; <hemifacial spasm>; <cervical dystonia>; <upper limb spasticity>; <lower limb spasticity>; <talipes equinus>; <cerebral palsy>; <hyperhidrosis>; <strabismus>,glaxosmithkline k.k.,glaxosmithkline,,botulinum toxin type a,yes,no,powder,,,PMDA
oral,20.10.2014,2014,authorised,japan,approved,10.07.2015,2015,diseases of the circulatory system,000217011.pdf,small molecule,artist,tachycardiac atrial fibrillation,"<arrhythmias, cardiac>",yes,tachycardiac atrial fibrillation,"<arrhythmias, cardiac>","daiichi sankyo company, limited",daiichi sankyo,,carvedilol,yes,no,tablet,,,PMDA
subcutaneous,20.03.2015,2015,authorised,japan,approved,27.11.2015,2015,"endocrine, nutritional, and metabolic diseases",000217925.pdf,biologics,repatha,"familial hypercholesterolemia, hypercholesterolemia",<hypercholesterolemia>,no,"hypercholesterolemia, heterozygous familial hypercholesterolemia, homozygous familial hypercholesterolemia",<hypercholesterolemia>,amgen astellas biopharma k.k.,amgen astellas,,evolocumab,no,no,solution,,na,PMDA
intravenous,27.05.2015,2015,authorised,japan,approved,24.02.2016,2016,neoplasms; diseases of the digestive system,000217926.pdf,small molecule,proemend,acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,<not reported>,yes,acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,<not reported>,"ono pharmaceutical co., ltd.",ono,,fosaprepitant meglumine,yes,no,lyophilisate,,,PMDA
oral,31.03.2015,2015,authorised,japan,approved,28.08.2015,2015,diseases of the circulatory system,000218422.pdf,small molecule,tracleer,pulmonary arterial hypertension,<pulmonary hypertension>,yes,pulmonary arterial hypertension,<pulmonary hypertension>,actelion pharmaceuticals japan ltd.,actelion,,bosentan,no,yes,tablet,,na,PMDA
oral,04.02.2015,2015,authorised,japan,approved,09.11.2015,2015,"endocrine, nutritional, and metabolic diseases",000218646.pdf,small molecule,suiny,type 2 diabetes mellitus,<type 2 diabetes mellitus>,yes,type 2 diabetes mellitus,<type 2 diabetes mellitus>,"sanwa kagaku kenkyusho co., ltd.",sanwa kagaku kenkyusho,,anagliptin,yes,no,tablet,,,PMDA
cutaneous,24.03.2014,2014,authorised,japan,approved,21.01.2015,2015,diseases of the skin,000218938.pdf,small molecule,duac,acne vulgaris,<acne vulgaris>,no,acne vulgaris,<acne vulgaris>,glaxosmithkline k.k.,glaxosmithkline,,clindamycin phosphate hydrate/benzoyl peroxide,yes,no,gel,,,PMDA
subcutaneous,30.07.2015,2015,authorised,japan,approved,30.05.2016,2016,diseases of the skin; diseases of the musculoskeletal system and connective tissue,000219040.pdf,biologics,lumicef,"treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",<psoriasis>; <psoriatic arthritis>,no,"treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies","<psoriasis>; <arthritis, psoriatic>","kyowa hakko kirin co., ltd.",kyowa hakko kirin,,brodalumab,no,no,solution,,na,PMDA
intravenous,30.03.2010,2010,authorised,japan,approved,20.01.2011,2011,neoplasms,000219170.pdf,small molecule,halaven,inoperable or recurrent breast cancer,<breast neoplasms>,no,inoperable or recurrent breast cancer,<breast neoplasms>,"eisai co., ltd.",eisai,,eribulin mesilate,no,no,solution,,na,PMDA
intravenous,30.07.2015,2015,authorised,japan,approved,01.02.2016,2016,neoplasms,000219171.pdf,small molecule,halaven,inoperable or recurrent breast cancer and soft tissue sarcoma,<breast neoplasms>; <sarcoma>,yes,inoperable or recurrent breast cancer and soft tissue sarcoma,<breast neoplasms>; <sarcoma>,"eisai co., ltd.",eisai,,eribulin mesilate,yes,yes,solution,,,PMDA
intravenous,22.05.2015,2015,authorised,japan,approved,24.02.2016,2016,"endocrine, nutritional, and metabolic diseases",000219254.pdf,biologics,kanuma,"lysosomal acid lipase deficiency (cholesteryl ester storage disease, wolman disease)",<lysosomal storage diseases>,no,lysosomal acid lipase deficiency,<lysosomal storage diseases>,synageva biopharma japan k.k. (a predecessor of alexion pharma godo kaisha),synageva,,sebelipase alfa,no,yes,injection,,na,PMDA
intravenous,16.04.2015,2015,authorised,japan,approved,26.02.2016,2016,diseases of the blood and blood-forming organs,000219621.pdf,biologics,adynovate,control of bleeding tendency in patients with blood coagulation factor viii deficiency,<blood coagulation disorders>,no,control of bleeding tendency in patients with blood coagulation factor viii deficiency,<blood coagulation disorders>,baxter limited,baxter,,rurioctocog alfa pegol,no,no,lyophilisate,,na,PMDA
intravenous,25.07.2014,2014,authorised,japan,approved,05.03.2015,2015,neoplasms; diseases of the digestive system,000219876.pdf,biologics,cyramza,unresectable advanced/recurrent gastric cancer,<gastric cancer>,no,unresectable advanced/recurrent gastric cancer,<gastric neoplasms>,eli lilly japan k.k.,eli lilly,,ramucirumab,no,no,injection,,na,PMDA
intravenous,26.05.2015,2015,authorised,japan,approved,25.04.2016,2016,neoplasms; diseases of the digestive system,000219877.pdf,biologics,cyramza,unresectable advanced/recurrent gastric cancer; unresectable advanced/recurrent colorectal cancer,<gastric neoplasms>; <colorectal neoplasms>,yes,unresectable advanced/recurrent gastric cancer; unresectable advanced/recurrent colorectal cancer,<gastric neoplasms>; <colorectal neoplasms>,eli lilly japan k.k.,eli lilly,,ramucirumab,yes,no,injection,,,PMDA
oral,24.04.2015,2015,authorised,japan,approved,05.02.2016,2016,mental and behavioural disorders; diseases of the nervous system,000220043.pdf,small molecule,risperdal,schizophrenia; irritability associated with autism spectrum disorder in pediatric patients,<schizophrenia>; <autism spectrum disorder>,yes,schizophrenia; irritability associated with autistic disorder in pediatric patients,<schizophrenia>; <autistic disorder>,janssen pharmaceutical k.k.,janssen,,risperidone,no,no,tablet,,na,PMDA
oral,21.08.2015,2015,authorised,japan,approved,26.02.2016,2016,neoplasms; diseases of the respiratory system,000220615.pdf,small molecule,tagrisso,inoperable or recurrent egfr t790m mutation-positive non-small cell lung cancer resistant to egfr tyrosine kinase inhibitors,<lung neoplasms>,no,"unresectable, advanced or recurrent egfr t790m mutation-positive non-small cell lung cancer that progressed during or after egfr tyrosine kinase inhibitor treatment",<non-small cell lung carcinoma>,astrazeneca k.k.,astrazeneca,,osimertinib mesilate,no,no,tablet,,na,PMDA
oral,29.03.2010,2010,authorised,japan,approved,21.02.2011,2011,diseases of the musculoskeletal system and connective tissue,000220894.pdf,small molecule,lixiana,prevention of venous thromboembolism in patients undergoing orthopedic surgery of the lower limbs,<venous thromboembolism>,no,prevention of venous thromboembolism in patients undergoing orthopedic surgery of the lower limbs,<venous thromboembolism>,"daiichi sankyo company, limited",daiichi sankyo,,edoxaban tosilate hydrate,no,no,tablet,,na,PMDA
intravenous,23.07.2015,2015,authorised,japan,approved,16.05.2016,2016,neoplasms; diseases of the respiratory system,000221104.pdf,biologics,cyramza,unresectable advanced/recurrent non-small cell lung cancer,<non-small-cell lung carcinoma>,yes,unresectable advanced/recurrent non-small cell lung cancer,<non-small cell lung carcinoma>,eli lilly japan k.k.,eli lilly,,ramucirumab,yes,no,injection,,,PMDA
intravenous,17.12.2015,2015,authorised,japan,approved,09.09.2016,2016,diseases of the blood and blood-forming organs,000221483.pdf,biologics,idelvion,control of bleeding tendency in patients with blood coagulation factor ix deficiency,<blood coagulation disorders>,no,control of bleeding tendency in patients with blood coagulation factor ix deficiency,<blood coagulation disorders>,csl behring k.k.,csl behring,,albutrepenonacog alfa,no,no,lyophilisate,,na,PMDA
subcutaneous,22.05.2015,2015,authorised,japan,approved,26.02.2016,2016,diseases of the respiratory system,000221523.pdf,biologics,nucala,bronchial asthma (only for patients with refractory asthma whose symptoms cannot be controlled by conventional treatment),<bronchial asthma>,no,bronchial asthma (severe eosinophilic asthma with exacerbation despite conventional treatment),<bronchial asthma>,glaxosmithkline k.k.,glaxosmithkline,,mepolizumab,no,no,lyophilisate,,na,PMDA
oral,07.08.2014,2014,authorised,japan,approved,05.06.2015,2015,"endocrine, nutritional, and metabolic diseases",000221617.pdf,small molecule,livalo,"hypercholesterolemia, familial hypercholesterolemia",<hypercholesterolemia>; <familial hypercholesterolemia>,yes,familial hypercholesterolemia in pediatric patients,<familial hypercholesterolemia>,"kowa company, ltd.",kowa,,pitavastatin calcium hydrate,yes,no,tablet,,,PMDA
oral,24.06.2015,2015,authorised,japan,approved,26.02.2016,2016,neoplasms; diseases of the respiratory system,000221838.pdf,small molecule,zykadia,"alk-positive, unresectable, advanced or recurrent non-small cell lung cancer resistant or intolerant to crizotinib",<non-small cell lung carcinoma>,no,"alk-positive, unresectable, advanced or recurrent non-small cell lung cancer resistant or intolerant to crizotinib",<lung neoplasms>,novartis pharma k.k.,novartis,,ceritinib,no,yes,capsule,,na,PMDA
oral,07.01.2016,2016,authorised,japan,approved,07.09.2016,2016,diseases of the circulatory system,000222147.pdf,small molecule,uptravi,pulmonary arterial hypertension,<pulmonary hypertension>,no,pulmonary arterial hypertension,<pulmonary hypertension>,"nippon shinyaku co., ltd.",nippon shinyaku,,selexipag,no,yes,tablet,,na,PMDA
intravenous,23.02.2016,2016,authorised,japan,approved,07.09.2016,2016,diseases of the circulatory system,000222407.pdf,biologics,prizbind,reversal of the anticoagulant effects of dabigatran,not reported,no,reversal of the anticoagulant effects of dabigatran,<not reported>,nippon boehringer ingelheim co. ltd.,boehringer ingelheim,,idarucizumab,no,no,solution,,na,PMDA
oral,04.03.2016,2016,authorised,japan,approved,30.05.2016,2016,infectious and parasitic diseases,000222430.pdf,small molecule,genvoya,hiv-1 infection,<acquired immunodeficiency syndrome>,no,hiv-1 infection,<hiv infections>,japan tobacco inc.,japan tobacco,,elvitegravir/cobicistat/emtricitabine/tenofovir alafenamide,no,yes,tablet,,na,PMDA
oral,31.03.2016,2016,authorised,japan,approved,11.11.2016,2016,infectious and parasitic diseases,000222576.pdf,small molecule,vemlidy,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,<chronic hepatitis b>,no,suppression of hepatitis b virus replication in chronic hepatitis b patients with evidence of viral replication and abnormal liver function,<chronic hepatitis b>,gilead sciences k.k.,gilead,,tenofovir alafenamide fumarate,no,no,tablet,,na,PMDA
oral,30.03.2016,2016,authorised,japan,approved,09.02.2017,2017,diseases of the digestive system,000222647.pdf,small molecule,symproic,opioid-induced constipation,<constipation>,no,opioid-induced constipation,<constipation>,"shionogi & co., ltd.",shionogi,,naldemedine tosilate,no,no,tablet,,na,PMDA
oral,25.12.2015,2015,authorised,japan,approved,09.09.2016,2016,infectious and parasitic diseases,000222648.pdf,small molecule,rebetol,suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis c patients,"<hepatitis c, chronic>",yes,suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis c patients,<chronic hepatitis c>,msd k.k.,msd,,ribavirin,no,no,capsule,,na,PMDA
oral,17.12.2015,2015,authorised,japan,approved,09.09.2016,2016,infectious and parasitic diseases,000222649.pdf,small molecule,viekirax,suppression of viremia in serogroup 2 (genotype 2) chronic hepatitis c patients,<chronic hepatitis c>,yes,suppression of viremia in treatment-naïve patients with serogroup 2 (genotype 2) chronic hepatitis c,<chronic hepatitis c>,abbvie gk,abbvie,,ombitasvir hydrate/paritaprevir hydrate/ritonavir,no,no,tablet,,na,PMDA
inhalation,07.10.2015,2015,authorised,japan,approved,24.06.2016,2016,infectious and parasitic diseases,000222716.pdf,small molecule,inavir,treatment and prophylaxis of influenza a or b virus infection,<influenza>,yes,treatment and prophylaxis of influenza a or b virus infection,<influenza>,"daiichi sankyo company, limited",daiichi sankyo,,laninamivir octanoate hydrate,yes,no,powder,,,PMDA
,01.10.2015,2015,authorised,japan,approved,04.08.2016,2016,diseases of the musculoskeletal system and connective tissue,000223081.pdf,peptides and proteins,regroth dental kit,alveolar bone defect due to periodontitis,<periodontitis>,no,regeneration of periodontal tissues destroyed by periodontitis,<periodontitis>,"kaken pharmaceutical co., ltd.",kaken,,trafermin,yes,no,lyophilisate,,,PMDA
intravenous,18.03.2016,2016,authorised,japan,approved,11.11.2016,2016,neoplasms; diseases of the blood and blood-forming organs,000223200.pdf,biologics,opdivo,treatment of relapsed or refractory classical hodgkin lymphoma,<classical hodgkin lymphoma>,yes,treatment of relapsed or refractory classical hodgkin lymphoma,<classical hodgkin lymphoma>,"ono pharmaceutical co., ltd.",ono,,nivolumab,yes,yes,injection,,,PMDA
intravenous,27.07.2016,2016,authorised,japan,approved,,2017,neoplasms,000223201.pdf,biologics,opdivo,treatment of recurrent or distant metastatic head and neck cancer,<head and neck neoplasms>,yes,treatment of recurrent or distant metastatic head and neck cancer,<head and neck neoplasms>,"ono pharmaceutical co., ltd.",ono,,nivolumab,yes,no,injection,,,PMDA
intravenous,11.12.2015,2015,authorised,japan,approved,05.08.2016,2016,neoplasms; diseases of the genitourinary system,000223202.pdf,biologics,opdivo,treatment of unresectable or metastatic renal cell carcinoma,<renal cell carcinoma>,yes,treatment of unresectable or metastatic renal cell carcinoma,<renal cell carcinoma>,"ono pharmaceutical co., ltd.",ono,,nivolumab,yes,no,injection,,,PMDA
intravenous,27.12.2016,2016,authorised,japan,approved,22.08.2017,2017,neoplasms; diseases of the digestive system,000223203.pdf,biologics,opdivo,treatment of unresectable advanced or recurrent gastric cancer that has progressed after cancer chemotherapy,<gastric cancer>,yes,treatment of unresectable advanced or recurrent gastric cancer,<gastric cancer>,"ono pharmaceutical co., ltd.",ono,,nivolumab,yes,no,injection,,,PMDA
ocular,01.10.2015,2015,authorised,japan,approved,07.09.2016,2016,diseases of the eye and adnexa,000223317.pdf,small molecule,mikeluna,glaucoma and ocular hypertension,<glaucoma>; <ocular hypertension>,no,glaucoma and ocular hypertension,"<glaucoma>; <hypertension, ocular>","otsuka pharmaceutical co., ltd.",otsuka,,carteolol hydrochloride /latanoprost,yes,no,solution,,,PMDA
intravenous,05.11.2015,2015,authorised,japan,approved,10.08.2016,2016,diseases of the nervous system,000223352.pdf,biologics,kenketu glovenin-i,guillain-barré syndrome (for patients with severe gbs in the acute exacerbation phase and difficulty in walking),<guillain-barre syndrome>,yes,guillain-barré syndrome (for patients with severe gbs in the acute exacerbation phase and difficulty in walking),<guillain-barré syndrome>,"nihon pharmaceutical co., ltd.",nihon,,polyethylene glycol-treated human normal immunoglobulin,yes,no,lyophilisate,,,PMDA
intravenous,25.12.2014,2014,authorised,japan,approved,09.10.2015,2015,diseases of the skin,000223353.pdf,biologics,kenketu glovenin-i,bullous pemphigoid (for patients with bp inadequately responsive to corticosteroids),<bullous pemphigoid>,yes,bullous pemphigoid (for patients with bp inadequately responsive to corticosteroids),<bullous pemphigoid>,"nihon pharmaceutical co., ltd.",nihon,,polyethylene glycol-treated human normal immunoglobulin,yes,no,lyophilisate,,,PMDA
oral,25.12.2009,2009,authorised,japan,approved,08.11.2010,2010,"diseases of the musculoskeletal system and connective tissue; endocrine, nutritional, and metabolic diseases",000223354.pdf,small molecule,feburic,gout and hyperuricemia,<gout>; <hyperuricemia>,no,improvement of hyperuricemia in patients with gout or hyperuricemia,<hyperuricemia>; <gout>,teijin pharma limited,teijin,,febuxostat,no,no,tablet,,na,PMDA
oral,29.07.2015,2015,authorised,japan,approved,20.04.2016,2016,diseases of the musculoskeletal system and connective tissue; neoplasms,000223355.pdf,small molecule,feburic,gout and hyperuricemia; hyperuricemia associated with cancer chemotherapy,<gout>; <hyperuricemia>,yes,gout and hyperuricemia; prevention of hyperuricemia associated with cancer chemotherapy,<gout>; <hyperuricemia>,teijin pharma limited,teijin,,febuxostat,yes,no,tablet,,,PMDA
oral,25.09.2015,2015,authorised,japan,approved,27.05.2016,2016,neoplasms,000223356.pdf,small molecule,hemangiol,infantile hemangioma,<infantile hemangioma>,yes,infantile hemangioma,<infantile hemangioma>,"maruho co., ltd.",maruho,,propranolol hydrochloride,yes,yes,solution,,,PMDA
intravenous,26.08.2015,2015,authorised,japan,approved,25.04.2016,2016,neoplasms; diseases of the blood and blood-forming organs,000224115.pdf,small molecule,kyprolis,relapsed or refractory multiple myeloma,<multiple myeloma>,no,relapsed or refractory multiple myeloma,<multiple myeloma>,"ono pharmaceutical co., ltd.",ono,,carfilzomib,no,yes,powder,,na,PMDA
subcutaneous,28.07.2015,2015,authorised,japan,approved,30.05.2016,2016,diseases of the skin; diseases of the musculoskeletal system and connective tissue,000224346.pdf,biologics,taltz,"treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",<psoriasis>; <psoriatic arthritis>,no,"treatment of moderate to severe psoriasis vulgaris, pustular psoriasis, erythrodermic psoriasis, and psoriatic arthritis",<psoriasis>; <psoriatic arthritis>,eli lilly japan k.k.,eli lilly,,ixekizumab,no,no,solution,,na,PMDA
intravenous,17.09.2015,2015,authorised,japan,approved,25.04.2016,2016,neoplasms; diseases of the genitourinary system,000224436.pdf,biologics,avastin,advanced or recurrent cervical cancer,<cervical cancer>,yes,advanced or recurrent cervical cancer,<cervical cancer>,"chugai pharmaceutical co., ltd.",chugai,,bevacizumab,yes,yes,injection,,,PMDA
intravenous,21.04.2006,2006,authorised,japan,approved,22.02.2007,2007,neoplasms; diseases of the digestive system,000224437.pdf,biologics,avastin,unresectable advanced or recurrent colorectal cancer,<colorectal neoplasms>,no,unresectable advanced or recurrent colorectal cancer,<colorectal neoplasms>,"chugai pharmaceutical co., ltd.",chugai,,bevacizumab,no,no,injection,,na,PMDA
subcutaneous,29.10.2015,2015,authorised,japan,approved,09.09.2016,2016,diseases of the eye and adnexa,000224547.pdf,biologics,humira,"non-infectious intermediate uveitis, posterior uveitis, or panuveitis",<uveitis>,yes,"non-infectious intermediate uveitis, posterior uveitis, or panuveitis",<uveitis>,abbvie gk,abbvie,,adalimumab,yes,no,solution,,,PMDA
