Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency,DRUG_CODE
oral,,,authorised,fda,approved,2024-12-18,2024,,,,small molecule,ensacove,,,,,xcovery,xcovery,nda218171,ensartinib hydrochloride,no,no,capsule,,yes,FDA,
inhalation,,,authorised,fda,approved,2024-06-26,2024,,,,small molecule,ohtuvayre,,,,,verona pharma,verona,nda217389,ensifentrine,no,no,suspension,,yes,FDA,
topical,,,approved,healthcanada,marketed,2018-12-11,2018,,,,small molecule,covergirl trublend base business skin primer base pour la peau,,,,,hfc prestige international canada inc,hfc,02480131,ensulizole,,,emulsion,,,HealthCanada,97065.0
topical,,,approved,healthcanada,approved,2017-07-19,2017,,,,small molecule,refreshing day cream,,,,,beiersdorf canada inc,beiersdorf,02466589,ensulizole; avobenzone; octocrylene,,,cream,,,HealthCanada,95492.0
topical,,,approved,healthcanada,approved,2019-07-09,2019,,,,small molecule,ultra fluide corps,,,,,laboratoires la roche-posay canada,la roche-posay,02490404,ensulizole; bemotrizinol; octisalate; octocrylene; homosalate; drometrizole trisiloxane; avobenzone,,,lotion,,,HealthCanada,98045.0
topical,,,approved,healthcanada,approved,2014-09-09,2014,,,,small molecule,q10 power tm/mc anti-wrinkle firming day cream,,,,,beiersdorf canada inc,beiersdorf,02431440,ensulizole; octisalate; avobenzone; octocrylene; homosalate,,,cream,,,HealthCanada,91586.0
topical,,,approved,healthcanada,approved,2021-08-25,2021,,,,other,urban environment oil-free,,,,,shiseido americas corporation dist,shiseido,02519550,ensulizole; octisalate; homosalate; zinc oxide,,,emulsion,,,HealthCanada,100880.0
oral,,,authorised,fda,approved,1999-10-19,1999,,,,small molecule,comtan,,,,,orion pharma,orion,nda020796,entacapone,no,no,tablet,,yes,FDA,
oral,,,approved,healthcanada,approved,2012-03-29,2012,diseases of the nervous system,,,small molecule,teva-entacapone,"indications and clinical use teva -entacapone (entacapone) is indicated as an adjunct to levodopa/carbidopa or levodopa/ benserazide preparations to treat patients with idiopathic parkinson’s disease who experience the signs and symptoms of end -of-dose “wearing -off” (see clinical pharmacology : clinical trials). entacapone’s effectiveness has not been syst ematically evaluated in patient s with idiopathic parkinson’s disease who do not experience end -of-dose “wearing -off”. 8 since teva -entacapone is to be used in combination with a levodopa/ ddc inhibitor, the complete prescribing information for levodopa/carbidopa and levodopa/benserazide are also applicable when teva -entacapone is added to the treatment regimen. contraindicat ions  teva -entacapone (entacapone) is",,,<parkinson disease>,teva canada limited,teva,02375559,entacapone,,,tablet,,,HealthCanada,86097.0
oral,,,approved,healthcanada,approved,2008-02-18,2008,diseases of the nervous system,,,small molecule,stalevo,"indications a nd clinical use stalev o ® (levodopa, carbidopa and entacapone) is indicated to treat patients with idiopathic parkinson’s disease: • to substitute for immediate - release levodopa / carbidopa and entacapone previously admi nistered as individual products. • to replace immediate - release levodopa / carbidopa therapy (without entacapone) when patients experience the signs and symptoms of end of dose ""wearing off"" (only recommended when patients are taking a total daily dose of le vodopa of 600 mg or less and not experiencing dyskinesias, see dosage and administration). geriatrics: no adjustment of stalevo dosage is necessary in elderly patients. pediatrics (< 18 years of age): safety and effectiveness in pediatric patients have n ot been established. stalevo is not indicated for use in children under 18 years of age.",,,<parkinson disease>,sandoz canada incorporated,sandoz,02305933,entacapone; levodopa; carbidopa,,,tablet,,,HealthCanada,79150.0
oral,,,authorised,fda,approved,2005-03-29,2005,,,,small molecule,baraclude,,,,,bristol myers squibb,bristol myers squibb,nda021797,entecavir,no,no,tablet,,yes,FDA,
oral,,,approved,healthcanada,approved,2006-06-16,2006,infectious and parasitic diseases; diseases of the digestive system,,,small molecule,baraclude,indications and clinical use baraclude (entecavir) is indicated for the treatment of chronic hepatitis b virus infection in adults with evidence of active viral replication and either evidence of persistent elevations in serum aminotransferases (alt or ast) or histologically active disease. this indication is based on efficacy and safety data in nucleoside - treatment - naive and in lamiv udine - refractory adult patients with hbeag - positive or hbeag - negative chronic hbv infection with compensated liver disease and on more limited data in adult patients with hiv/hbv co - infection who have received prior lamivudine therapy.,,,<chronic hepatitis b>,bristol-myers squibb canada,bristol-myers squibb,02282224,entecavir,,,tablet,,,HealthCanada,76788.0
oral,,,approved,healthcanada,approved,2015-11-09,2015,infectious and parasitic diseases; diseases of the digestive system,,,small molecule,auro-entecavir,indications and clinical use auro-entecavir (entecavir) is i ndicated for the treatment of chronic hepatitis b virus infection in adults with evidence of active viral replication and either ev idence of persistent elevations in serum aminotransferases (alt or ast) or histologically active disease. this indication is based on efficacy and safety data in nucleoside-treatment-naive and in lamivudine-refractory adult patients with hb eag-positive or hbeag-negative chronic hbv infection with compensated liver disease and on more limited data in adult patients with hiv/hbv co-infection who have re ceived prior lamivudine therapy.,,,<chronic hepatitis b>,auro pharma inc,auro,02448777,entecavir (entecavir monohydrate),,,tablet,,,HealthCanada,93451.0
oral,,,authorised,fda,approved,2019-08-15,2019,neoplasms; diseases of the respiratory system,<non-small cell lung cancer>; <solid tumors>,,small molecule,rozlytrek,"1 indications and usage rozlytrek is a kinase inhibitor indicated for the treatment of: adult patients with ros1- positive metastatic non-small cell lung cancer (nsclc) as detected by an fda-approved test. ( 1.1 ) adult and pediatric patients older than 1 month of age with solid tumors that: have a neurotrophic tyrosine receptor kinase ( ntrk) gene fusion, as detected by an fda-approved test without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory alternative therapy. this indication is approved under accelerated approval based on tumor response rate and durability of response. continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials. ( 1.2 ) 1.1 ros1 -positive non-small cell lung cancer rozlytrek is indicated for the treatment of adult patients with ros1- positive metastatic non-small cell lung cancer (nsclc), as detected by an fda-approved test. 1.2 ntrk gene fusion-positive solid tumors rozlytrek is indicated for the treatment of adult and pediatric patients older than 1 month of age with solid tumors that: have a neurotrophic tyrosine receptor kinase (ntrk) gene fusion, as detected by an fda-approved test without a known acquired resistance mutation, are metastatic or where surgical resection is likely to result in severe morbidity, and have progressed following treatment or have no satisfactory alternative therapy. this indication is approved under accelerated approval based on tumor response rate and durability of response [see clinical studies (14.2) ] . continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials.",,,,genentech inc,genentech,nda212725,entrectinib,no,yes,capsule,,yes,FDA,
oral,,,approved,healthcanada,approved,2020-02-10,2020,neoplasms; diseases of the respiratory system,,,small molecule,rozlytrek,"indications ntrk gene fusion positive solid tumours: rozlytrek (entrectinib) is indicated for the treatment of adult patients with unresectable locally advanced or metastatic extracranial solid tumours , including brain metastases , that have a neurotrophic tyrosine receptor kinase ( ntrk ) gene fusion without a known acquired resistance mutation, and with no satisfactory treatment options. clinical effectiveness is based on tumour objective response rate (orr) and duration of response (dor) in an integrated analysis of efficacy data from three studies in adults (see 14 clinical trials ). prior to initiation of rozlytrek therapy, ntrk fusion -positive status should be established using a validated test. rozlytrek should only be administered under the supervision of a health professional experienced in the use of antineoplastic agents. ros1 positive non -small cell lung cancer (nsclc): rozlytrek (entrectinib) is indicated for the treatment of patients with ros1 -positive locally advanced or metastatic non-small cell lung cancer ( nsclc ) not previously treated with crizotinib . 1.1 pediatrics pediatrics (<18 years of age) : ntrk gene fusion positive solid tumours: based on the limited data submitted and reviewed by health canada, the safety of rozlytrek in pediatric patients has not been established; therefore, health canada has not authorized an indication for pediatric use (see 7 warnings and precautions , musculoskeletal , skeletal fractures ). ros1 positive non -small cell lung cancer (nsclc): no pediatric data are available to health canada for ros1 -positive, locally advanced or metastatic nsclc; therefore, health canada has not authorized an indication for pediatric use. 1.2 geriatrics geriatrics (≥ 65 years of age): no differences in safety or efficacy w ere observed between patients ≥ 65 years of age and younger patients. 2",,,<neoplasms>; <brain neoplasms>; <lung neoplasms>,hoffmann-la roche limited,hoffmann-la roche,02495007,entrectinib,,,capsule,,,HealthCanada,98496.0
oral,,,authorised,fda,approved,2012-08-31,2012,,,,small molecule,xtandi,,,,,astellas,astellas,nda203415,enzalutamide,no,no,capsule,,yes,FDA,
