MA_Number,Indications_and_usage,Origin,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Pharmaceutical_form,Administration_route,Decision,Decision_date,Decision_year,Current_status,Non-clinical_abridged,Referral,Orphan_drug_status
ANDA201889,,FDA,RASAGILINE MESYLATE,RASAGILINE MESYLATE,ALKEM LABS LTD,TABLET,ORAL,Approved,30.10.2017,2017,authorised,yes,No,No
ANDA201890,,FDA,EZETIMIBE AND SIMVASTATIN,EZETIMIBE,ANI PHARMS,TABLET,ORAL,Approved,26.04.2017,2017,Discontinued,yes,No,No
ANDA201892,,FDA,RASAGILINE MESYLATE,RASAGILINE MESYLATE,CHARTWELL RX,TABLET,ORAL,Approved,27.07.2018,2018,authorised,yes,No,No
ANDA201893,"INDICATIONS AND USAGE Angina Pectoris Nadolol tablets are indicated for the long-term management of patients with angina pectoris. Hypertension Nadolol tablets are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure reduces the risk of fatal and nonfatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including the class to which this drug principally belongs. There are no controlled trials demonstrating risk reduction with nadolol tablets. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than one drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program’s Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (e.g., on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. Nadolol tablets may be used alone or in combination with other antihypertensive agents, especially thiazide-type diuretics.",FDA,NADOLOL,NADOLOL,AUROBINDO PHARMA,TABLET,ORAL,Approved,16.09.2015,2015,authorised,yes,No,No
ANDA201894,,FDA,BIMATOPROST,BIMATOPROST,APOTEX,SOLUTION/DROPS,TOPICAL,Approved,01.12.2014,2014,authorised,yes,No,No
ANDA201896,,FDA,NORGESTIMATE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,MYLAN,TABLET,ORAL-28,Approved,27.01.2016,2016,Discontinued,yes,No,No
ANDA201897,,FDA,NORGESTIMATE AND ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,XIROMED,TABLET,ORAL-28,Approved,27.01.2016,2016,Discontinued,yes,No,No
ANDA201899,,FDA,RASAGILINE MESYLATE,RASAGILINE MESYLATE,ALKEM LABS LTD,TABLET,ORAL,Tentative Approval,21.05.2015,2015,None (Tentative Approval),yes,No,No
ANDA201914,,FDA,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,GLENMARK PHARMS LTD,"TABLET, ORALLY DISINTEGRATING",ORAL,Approved,01.07.2013,2013,Discontinued,yes,No,No
ANDA201920,,FDA,VARENICLINE,VARENICLINE,TEVA PHARMS USA,TABLET,ORAL,Tentative Approval,10.09.2013,2013,None (Tentative Approval),yes,No,No
ANDA201921,,FDA,LANSOPRAZOLE,LANSOPRAZOLE,NATCO PHARMA LTD,"CAPSULE, DELAYED REL PELLETS",ORAL,Approved,18.12.2012,2012,authorised,yes,No,No
ANDA201941,,FDA,BROMFENAC SODIUM,BROMFENAC SODIUM,CHARTWELL RX,SOLUTION/DROPS,OPHTHALMIC,Approved,10.02.2015,2015,Discontinued,yes,No,No
ANDA201942,,FDA,RASAGILINE MESYLATE,RASAGILINE MESYLATE,CARNEGIE,TABLET,ORAL,Approved,18.11.2021,2021,Discontinued,yes,No,No
ANDA201944,,FDA,POTASSIUM CHLORIDE,POTASSIUM CHLORIDE,TRIS PHARMA INC,"CAPSULE, EXTENDED RELEASE",ORAL,Approved,04.03.2016,2016,Discontinued,yes,No,No
ANDA201946,,FDA,OMEPRAZOLE AND SODIUM BICARBONATE,OMEPRAZOLE,STRIDES PHARMA,CAPSULE,ORAL,Approved,15.07.2016,2016,Discontinued,yes,No,No
ANDA201947,,FDA,MORPHINE SULFATE,MORPHINE SULFATE,VISTAPHARM,SOLUTION,ORAL,Approved,05.01.2012,2012,Discontinued,yes,No,No
ANDA201949,,FDA,BRIMONIDINE TARTRATE AND TIMOLOL MALEATE,BRIMONIDINE TARTRATE,FLORIDA,SOLUTION/DROPS,OPHTHALMIC,Approved,04.10.2022,2022,authorised,yes,No,No
ANDA201950,,FDA,RASAGILINE MESYLATE,RASAGILINE MESYLATE,APOTEX INC,TABLET,ORAL,Approved,12.09.2013,2013,Discontinued,yes,No,No
ANDA201951,,FDA,DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,ACTAVIS ELIZABETH,TABLET,ORAL,Approved,26.07.2013,2013,authorised,yes,No,No
ANDA201952,"1 INDICATIONS AND USAGE Tramadol hydrochloride and acetaminophen tablets are indicated for the management of acute pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. Limitations of Use Tramadol hydrochloride and acetaminophen tablets are indicated for short-term use of five days or less. Because of the risks of addiction, abuse, and misuse with opioids, even at recommended doses [see Warnings and Precautions (5.1) ] , reserve tramadol hydrochloride and acetaminophen for use in patients for whom alternative treatment options [e.g., non-opioid analgesics]: Have not been tolerated, or are not expected to be tolerated, Have not provided adequate analgesia, or are not expected to provide adequate analgesia. Tramadol hydrochloride and acetaminophen tablet is a combination of tramadol hydrochloride, an opioid agonist, and acetaminophen, and is indicated for the management of acute pain, severe enough to require an opioid analgesic and for which alternative treatments are inadequate. ( 1 ) Limitations of Use ( 1 ) Tramadol hydrochloride and acetaminophen tablets are indicated for short-term use of five days or less. Because of the risks of addiction, abuse, and misuse with opioids, even at recommended doses, reserve tramadol hydrochloride and acetaminophen tablets for use in patients for whom alternative treatment options [e.g., non-opioid analgesics]: Have not been tolerated, or are not expected to be tolerated. Have not provided adequate analgesia, or are not expected to provide adequate analgesia.",FDA,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN,MICRO LABS LTD INDIA,TABLET,ORAL,Approved,14.12.2012,2012,authorised,yes,No,No
ANDA201961,,FDA,PHENTERMINE HYDROCHLORIDE,PHENTERMINE HYDROCHLORIDE,LANNETT CO INC,CAPSULE,ORAL,Approved,20.07.2011,2011,Discontinued,yes,No,No
ANDA201962,1 INDICATIONS AND USAGE Varenicline tablets are indicated for use as an aid to smoking cessation treatment. Varenicline tablets are a nicotinic receptor partial agonist indicated for use as an aid to smoking cessation treatment. ( 1 and 2.1 ),FDA,VARENICLINE TARTRATE,VARENICLINE TARTRATE,APOTEX,TABLET,ORAL,Approved,25.01.2023,2023,authorised,yes,No,No
ANDA201963,,FDA,PRAMIPEXOLE DIHYDROCHLORIDE,PRAMIPEXOLE DIHYDROCHLORIDE,ACTAVIS ELIZABETH,"TABLET, EXTENDED RELEASE",ORAL,Approved,21.04.2016,2016,authorised,yes,No,No
ANDA201964,"INDICATIONS AND USAGE Felodipine extended-release tablets, USP are indicated for the treatment of hypertension, to lower blood pressure. Lowering blood pressure lowers the risk of fatal and non-fatal cardiovascular events, primarily strokes and myocardial infarctions. These benefits have been seen in controlled trials of antihypertensive drugs from a wide variety of pharmacologic classes including felodipine. Control of high blood pressure should be part of comprehensive cardiovascular risk management, including, as appropriate, lipid control, diabetes management, antithrombotic therapy, smoking cessation, exercise, and limited sodium intake. Many patients will require more than 1 drug to achieve blood pressure goals. For specific advice on goals and management, see published guidelines, such as those of the National High Blood Pressure Education Program's Joint National Committee on Prevention, Detection, Evaluation, and Treatment of High Blood Pressure (JNC). Numerous antihypertensive drugs, from a variety of pharmacologic classes and with different mechanisms of action, have been shown in randomized controlled trials to reduce cardiovascular morbidity and mortality, and it can be concluded that it is blood pressure reduction, and not some other pharmacologic property of the drugs, that is largely responsible for those benefits. The largest and most consistent cardiovascular outcome benefit has been a reduction in the risk of stroke, but reductions in myocardial infarction and cardiovascular mortality also have been seen regularly. Elevated systolic or diastolic pressure causes increased cardiovascular risk, and the absolute risk increase per mmHg is greater at higher blood pressures, so that even modest reductions of severe hypertension can provide substantial benefit. Relative risk reduction from blood pressure reduction is similar across populations with varying absolute risk, so the absolute benefit is greater in patients who are at higher risk independent of their hypertension (for example, patients with diabetes or hyperlipidemia), and such patients would be expected to benefit from more aggressive treatment to a lower blood pressure goal. Some antihypertensive drugs have smaller blood pressure effects (as monotherapy) in black patients, and many antihypertensive drugs have additional approved indications and effects (eg, on angina, heart failure, or diabetic kidney disease). These considerations may guide selection of therapy. Felodipine extended-release tablets, USP may be administered with other antihypertensive agents.",FDA,FELODIPINE,FELODIPINE,HERITAGE,"TABLET, EXTENDED RELEASE",ORAL,Approved,08.11.2013,2013,authorised,yes,No,No
ANDA201966,,FDA,BUDESONIDE,BUDESONIDE,SANDOZ,SUSPENSION,INHALATION,Approved,27.09.2013,2013,Discontinued,yes,No,No
ANDA201967,"1 INDICATIONS AND USAGE Rizatriptan benzoate tablets are indicated for the acute treatment of migraine with or without aura in adults and in pediatric patients 6 to 17 years old. Limitations of Use • Rizatriptan benzoate tablets should only be used where a clear diagnosis of migraine has been established. If a patient has no response for the first migraine attack treated with rizatriptan benzoate tablets, the diagnosis of migraine should be reconsidered before rizatriptan benzoate tablets are administered to treat any subsequent attacks. • Rizatriptan benzoate tablets are not indicated for use in the management of hemiplegic or basilar migraine [see Contraindications ( 4 )]. • Rizatriptan benzoate tablets are not indicated for the prevention of migraine attacks. • Safety and effectiveness of rizatriptan benzoate tablets have not been established for cluster headache. Rizatriptan benzoate is a serotonin (5-HT) 1B/1D receptor agonist (triptan) indicated for the acute treatment of migraine with or without aura in adults and in pediatric patients 6 to 17 years of age ( 1 ) Limitations of Use: • Use only after clear diagnosis of migraine has been established ( 1 ) • Not indicated for the prophylactic therapy of migraine ( 1 ) • Not indicated for the treatment of cluster headache ( 1 )",FDA,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,GLENMARK PHARMS LTD,TABLET,ORAL,Approved,31.12.2012,2012,Discontinued,yes,No,No
ANDA201970,,FDA,RASAGILINE MESYLATE,RASAGILINE MESYLATE,ORBION PHARMS,TABLET,ORAL,Approved,15.03.2016,2016,authorised,yes,No,No
ANDA201971,,FDA,RASAGILINE MESYLATE,RASAGILINE MESYLATE,AUROBINDO PHARMA USA,TABLET,ORAL,Approved,15.05.2017,2017,authorised,yes,No,No
ANDA201972,,FDA,OXYCODONE AND ACETAMINOPHEN,ACETAMINOPHEN,AUROLIFE PHARMA LLC,TABLET,ORAL,Approved,15.07.2013,2013,authorised,yes,No,No
ANDA201973,,FDA,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,IPCA LABS LTD,TABLET,ORAL,Approved,16.11.2012,2012,Discontinued,yes,No,No
ANDA201989,,FDA,PREGABALIN,PREGABALIN,LUPIN LTD,SOLUTION,ORAL,Tentative Approval,04.06.2013,2013,None (Tentative Approval),yes,No,No
ANDA201991,1 INDICATIONS AND USAGE Metformin hydrochloride extended-release tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. Metformin hydrochloride extended-release tablets are a biguanide indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus. ( 1 ),FDA,METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,INVENTIA,"TABLET, EXTENDED RELEASE",ORAL,Approved,18.01.2012,2012,authorised,yes,No,No
ANDA201993,,FDA,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,NORVIUM BIOSCIENCE,TABLET,ORAL,Approved,31.12.2012,2012,authorised,yes,No,No
ANDA201994,"1 INDICATIONS AND USAGE Imiquimod cream is indicated for the topical treatment of: • Clinically typical, nonhyperkeratotic, nonhypertrophic actinic keratoses (AK) on the face or scalp in immunocompetent adults ( 1.1 ) • External genital and perianal warts/condyloma acuminata in patients 12 years old or older ( 1.3 ) Limitations of Use: Efficacy was not demonstrated for molluscum contagiosum in children aged 2 to12 ( 1.4 , 8.4 ) 1.1 Actinic Keratosis Imiquimod Cream is indicated for the topical treatment of clinically typical, nonhyperkeratotic, nonhypertrophic actinic keratoses on the face or scalp in immunocompetent adults. 1.3 External Genital Warts Imiquimod Cream is indicated for the treatment of external genital and perianal warts/condyloma acuminata in patients 12 years old or older. 1.4 Limitations of Use Imiquimod Cream has been evaluated in children ages 2 to 12 years with molluscum contagiosum and these studies failed to demonstrate efficacy [see Use in Specific Populations (8.4) ] . 1.5 Unevaluated Populations The safety and efficacy of Imiquimod Cream in immunosuppressed patients have not been established. Imiquimod Cream should be used with caution in patients with pre-existing autoimmune conditions. The efficacy and safety of Imiquimod Cream have not been established for patients with Basal Cell Nevus Syndrome or Xeroderma Pigmentosum.",FDA,IMIQUIMOD,IMIQUIMOD,GLENMARK PHARMS INC,CREAM,TOPICAL,Approved,06.03.2012,2012,authorised,yes,No,No
ANDA201995,,FDA,FAMOTIDINE,FAMOTIDINE,AKORN,FOR SUSPENSION,ORAL,Approved,30.05.2014,2014,authorised,yes,No,No
ANDA201998,,FDA,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE,CHARTWELL MOLECULAR,SOLUTION/DROPS,OPHTHALMIC,Approved,17.12.2014,2014,Discontinued,yes,No,No
ANDA201999,,FDA,,,TEVA PHARMS USA INC,,,Tentative Approval,11.09.2017,2017,None (Tentative Approval),yes,,No
ANDA202001,,FDA,PIOGLITAZONE HYDROCHLORIDE AND METFORMIN HYDROCHLORIDE,METFORMIN HYDROCHLORIDE,TORRENT PHARMS LTD,TABLET,ORAL,Approved,13.02.2013,2013,Discontinued,yes,No,No
ANDA202002,,FDA,IMIQUIMOD,IMIQUIMOD,STRIDES PHARMA,CREAM,TOPICAL,Approved,24.06.2014,2014,Discontinued,yes,No,No
ANDA202010,,FDA,TAMSULOSIN HYDROCHLORIDE,TAMSULOSIN HYDROCHLORIDE,ENDO OPERATIONS,CAPSULE,ORAL,Approved,04.01.2013,2013,Discontinued,yes,No,No
ANDA202012,,FDA,EPROSARTAN MESYLATE,EPROSARTAN MESYLATE,NORVIUM BIOSCIENCE,TABLET,ORAL,Approved,16.11.2011,2011,Discontinued,yes,No,No
ANDA202014,,FDA,NORETHINDRONE,NORETHINDRONE,NOVAST LABS,TABLET,ORAL-28,Approved,13.09.2013,2013,authorised,yes,No,No
ANDA202015,,FDA,YAELA,DROSPIRENONE,NOVAST LABS,TABLET,ORAL-28,Approved,19.11.2014,2014,authorised,yes,No,No
ANDA202016,,FDA,MELAMISA,DROSPIRENONE,NOVAST LABS,TABLET,ORAL,Approved,26.01.2016,2016,authorised,yes,No,No
ANDA202017,,FDA,VINORELBINE TARTRATE,VINORELBINE TARTRATE,DR REDDYS,INJECTABLE,INJECTION,Approved,12.09.2013,2013,authorised,yes,No,No
ANDA202019,1 INDICATIONS AND USAGE Varenicline tablets are indicated for use as an aid to smoking cessation treatment. Varenicline tablets are a nicotinic receptor partial agonist indicated for use as an aid to smoking cessation treatment. ( 1 and 2.1 ),FDA,VARENICLINE TARTRATE,VARENICLINE TARTRATE,MYLAN,TABLET,ORAL,Approved,29.02.2024,2024,authorised,yes,No,No
ANDA202023,1 INDICATIONS AND USAGE Sildenafil tablets are indicated for the treatment of erectile dysfunction. Sildenafil tablets are a phosphodiesterase-5 (PDE5) inhibitor indicated for the treatment of erectile dysfunction (ED). ( 1 ),FDA,SILDENAFIL CITRATE,SILDENAFIL CITRATE,AMNEAL PHARMS NY,TABLET,ORAL,Approved,27.06.2018,2018,authorised,yes,No,No
ANDA202024,,FDA,GABAPENTIN,GABAPENTIN,AMNEAL PHARMS,SOLUTION,ORAL,Approved,23.03.2012,2012,authorised,yes,No,No
ANDA202025,,FDA,SILDENAFIL CITRATE,SILDENAFIL CITRATE,AMNEAL PHARMS,TABLET,ORAL,Approved,28.02.2013,2013,authorised,yes,No,No
ANDA202026,,FDA,TRETINOIN,TRETINOIN,NORVIUM BIOSCIENCE,GEL,TOPICAL,Approved,17.07.2013,2013,Discontinued,yes,No,No
ANDA202027,,FDA,DICLOFENAC SODIUM,DICLOFENAC SODIUM,APOTEX,SOLUTION,TOPICAL,Approved,27.05.2014,2014,Discontinued,yes,No,No
ANDA202030,,FDA,BROMFENAC SODIUM,BROMFENAC SODIUM,AMRING PHARMS,SOLUTION/DROPS,OPHTHALMIC,Approved,09.01.2013,2013,Discontinued,yes,No,No
ANDA202031,,FDA,GEMCITABINE HYDROCHLORIDE,GEMCITABINE HYDROCHLORIDE,AM REGENT,INJECTABLE,INJECTION,Approved,07.05.2013,2013,Discontinued,yes,No,No
ANDA202032,,FDA,LAMIVUDINE,LAMIVUDINE,AUROBINDO PHARMA LTD,TABLET,ORAL,Approved,17.11.2011,2011,Discontinued,yes,No,No
ANDA202033,,FDA,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,MYLAN PHARMS INC,"TABLET, EXTENDED RELEASE",ORAL,Approved,15.12.2011,2011,authorised,yes,No,No
ANDA202036,,FDA,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,YAOPHARMA CO LTD,TABLET,ORAL,Approved,28.05.2015,2015,authorised,yes,No,No
ANDA202038,,FDA,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,AUROBINDO PHARMA LTD,"TABLET, DELAYED RELEASE",ORAL,Approved,28.09.2012,2012,authorised,yes,No,No
ANDA202039,,FDA,CHILDREN'S FEXOFENADINE HYDROCHLORIDE ALLERGY; FEXOFENADINE HYDROCHLORIDE ALLERGY,FEXOFENADINE HYDROCHLORIDE,AUROBINDO PHARMA LTD,TABLET,ORAL,Approved,19.11.2014,2014,authorised,yes,No,No
ANDA202040,,FDA,ELETRIPTAN HYDROBROMIDE,ELETRIPTAN HYDROBROMIDE,TEVA PHARMS USA,TABLET,ORAL,Approved,27.06.2017,2017,authorised,yes,No,No
ANDA202042,,FDA,EFAVIRENZ,EFAVIRENZ,MICRO LABS LTD,CAPSULE,ORAL,Tentative Approval,19.01.2012,2012,None (Tentative Approval),yes,No,No
ANDA202044,,FDA,TINIDAZOLE,TINIDAZOLE,CHARTWELL RX,TABLET,ORAL,Approved,30.04.2012,2012,authorised,yes,No,No
ANDA202045,,FDA,DULOXETINE HYDROCHLORIDE,DULOXETINE HYDROCHLORIDE,APOTEX,"CAPSULE, DELAYED REL PELLETS",ORAL,Approved,11.06.2014,2014,Discontinued,yes,No,No
ANDA202046,,FDA,LEVOCETIRIZINE DIHYDROCHLORIDE,LEVOCETIRIZINE DIHYDROCHLORIDE,MICRO LABS LTD INDIA,TABLET,ORAL,Approved,17.09.2013,2013,authorised,yes,No,No
ANDA202047,"1 INDICATIONS AND USAGE Rizatriptan benzoate tablets are indicated for the acute treatment of migraine with or without aura in adults and in pediatric patients 6 to 17 years old. Limitations of Use Rizatriptan benzoate tablets should only be used where a clear diagnosis of migraine has been established. If a patient has no response for the first migraine attack treated with rizatriptan benzoate tablets, the diagnosis of migraine should be reconsidered before rizatriptan benzoate tablets are administered to treat any subsequent attacks. Rizatriptan benzoate tablets are not indicated for use in the management of hemiplegic or basilar migraine [see Contraindications (4) ] . Rizatriptan benzoate tablets are not indicated for the prevention of migraine attacks. Safety and effectiveness of rizatriptan benzoate tablets have not been established for cluster headache. Rizatriptan benzoate tablets are a serotonin (5-HT) 1B/1D receptor agonist (triptan) indicated for the acute treatment of migraine with or without aura in adults and in pediatric patients 6 to 17 years of age ( 1 ) Limitations of Use : Use only after clear diagnosis of migraine has been established ( 1 ) Not indicated for the prophylactic therapy of migraine ( 1 ) Not indicated for the treatment of cluster headache ( 1 )",FDA,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,CREEKWOOD PHARMS,TABLET,ORAL,Approved,31.12.2012,2012,authorised,yes,No,No
ANDA202048,,FDA,LETROZOLE,LETROZOLE,LANNETT CO INC,TABLET,ORAL,Approved,29.10.2014,2014,Discontinued,yes,No,No
ANDA202050,,FDA,OLANZAPINE,OLANZAPINE,AUROBINDO PHARMA LTD,TABLET,ORAL,Approved,23.04.2012,2012,authorised,yes,No,No
ANDA202051,,FDA,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,SIGMAPHARM LABS LLC,TABLET,ORAL,Approved,29.08.2013,2013,authorised,yes,No,No
ANDA202052,,FDA,PANTOPRAZOLE SODIUM,PANTOPRAZOLE SODIUM,ORBION PHARMS,"TABLET, DELAYED RELEASE",ORAL,Approved,02.12.2014,2014,authorised,yes,No,No
ANDA202053,,FDA,DORZOLAMIDE HYDROCHLORIDE,DORZOLAMIDE HYDROCHLORIDE,INDOCO,SOLUTION/DROPS,OPHTHALMIC,Approved,11.09.2014,2014,authorised,yes,No,No
ANDA202054,,FDA,DORZOLAMIDE HYDROCHLORIDE AND TIMOLOL MALEATE,DORZOLAMIDE HYDROCHLORIDE,INDOCO,SOLUTION/DROPS,OPHTHALMIC,Approved,03.09.2014,2014,authorised,yes,No,No
ANDA202058,,FDA,ZIDOVUDINE,ZIDOVUDINE,HEC PHARM,TABLET,ORAL,Approved,07.10.2011,2011,Discontinued,yes,No,No
ANDA202060,,FDA,"PEG-3350, POTASSIUM CHLORIDE, SODIUM BICARBONATE, SODIUM CHLORIDE",POLYETHYLENE GLYCOL 3350,SOLIS PHARMS,FOR SOLUTION,ORAL,Approved,08.03.2017,2017,Discontinued,yes,No,No
ANDA202061,,FDA,BENZPHETAMINE HYDROCHLORIDE,BENZPHETAMINE HYDROCHLORIDE,AVET LIFESCIENCES,TABLET,ORAL,Approved,27.01.2012,2012,Discontinued,yes,No,No
ANDA202063,,FDA,GEMCITABINE HYDROCHLORIDE,GEMCITABINE HYDROCHLORIDE,EMCURE PHARMS LTD,INJECTABLE,INJECTION,Approved,11.09.2012,2012,Discontinued,yes,No,No
ANDA202065,,FDA,MESALAMINE,MESALAMINE,SANDOZ,SUPPOSITORY,RECTAL,Approved,12.06.2019,2019,authorised,yes,No,No
ANDA202068,INDICATIONS AND USAGE Methimazole tablets are indicated: • In patients with Graves’ disease with hyperthyroidism or toxic multinodular goiter for whom surgery or radioactive iodine therapy is not an appropriate treatment option. • To ameliorate symptoms of hyperthyroidism in preparation for thyroidectomy or radioactive iodine therapy.,FDA,METHIMAZOLE,METHIMAZOLE,RISING,TABLET,ORAL,Approved,07.03.2012,2012,authorised,yes,No,No
ANDA202071,,FDA,POLYETHYLENE GLYCOL 3350,POLYETHYLENE GLYCOL 3350,ELYSIUM,FOR SOLUTION,ORAL,Approved,28.12.2012,2012,authorised,yes,No,No
ANDA202073,,FDA,DARUNAVIR,DARUNAVIR,LUPIN LTD,TABLET,ORAL,Approved,29.09.2022,2022,authorised,yes,No,No
ANDA202074,,FDA,OLANZAPINE AND FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,TEVA PHARMS,CAPSULE,ORAL,Approved,25.03.2013,2013,authorised,yes,No,No
ANDA202075,"1 INDICATIONS AND USAGE Tramadol hydrochloride tablets are indicated in adults for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate. Limitations of Use Because of the risks of addiction, abuse, and misuse with opioids, which can occur at any dosage or duration ( 5.1 ), reserve tramadol hydrochloride tablets for use in patients for whom alternative treatment options [e.g., non-opioid analgesics or opioid combination products): • Have not been tolerated, or are not expected to be tolerated, (1) • Have not provided adequate analgesia, or are not expected to provide adequate analgesia (1) Tramadol hydrochloride tablets should not be used for an extended period of time unless the pain remains severe enough to require an opioid analgesic and for which alternative treatment options continue to be inadequate. Tramadol hydrochloride tablets are an opioid agonist indicated in adults for the management of pain severe enough to require an opioid analgesic and for which alternative treatments are inadequate (1) . Limitations of Use Because of the risks of addiction, abuse, and misuse with opioids, even at recommended doses , reserve tramadol hydrochloride tablets for use in patients for whom alternative treatment options [e.g., non-opioid analgesics]: • Have not been tolerated or are not expected to be tolerated. • Have not provided adequate analgesia, or are not expected to provide adequate analgesia. • Have not provided adequate analgesia, or are not expected to provide adequate analgesia (1) Tramadol hydrochloride tablets should not be used for an extended period of time unless the pain remains severe enough to require an opioid analgesic and for which alternative treatment options continue to be inadequate.",FDA,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,STRIDES PHARMA,TABLET,ORAL,Approved,28.11.2011,2011,authorised,yes,No,No
ANDA202076,,FDA,TRAMADOL HYDROCHLORIDE AND ACETAMINOPHEN,ACETAMINOPHEN,ALKEM LABS LTD,TABLET,ORAL,Approved,30.03.2012,2012,authorised,yes,No,No
ANDA202077,,FDA,LATANOPROST,LATANOPROST,CARNEGIE,SOLUTION/DROPS,OPHTHALMIC,Approved,11.02.2013,2013,Discontinued,yes,No,No
ANDA202078,,FDA,ZOLMITRIPTAN,ZOLMITRIPTAN,APOTEX INC,TABLET,ORAL,Approved,14.05.2013,2013,Discontinued,yes,No,No
ANDA202079,,FDA,CANDESARTAN CILEXETIL,CANDESARTAN CILEXETIL,APOTEX,TABLET,ORAL,Approved,10.01.2014,2014,Discontinued,yes,No,No
ANDA202083,"1 INDICATIONS AND USAGE Darunavir tablets, co-administered with ritonavir (darunavir tablets/ritonavir), in combination with other antiretroviral agents, is indicated for the treatment of human immunodeficiency virus (HIV-1) infection in adult and pediatric patients 3 years of age and older [see Use in Specific Populations (8.4) and Clinical Studies (14) ] . Darunavir tablets are a human immunodeficiency virus (HIV-1) protease inhibitor indicated for the treatment of HIV-1 infection in adult and pediatric patients 3 years of age and older. Darunavir tablets must be co-administered with ritonavir (darunavir tablets/ritonavir) and with other antiretroviral agents. (1)",FDA,DARUNAVIR,DARUNAVIR,HETERO LABS LTD III,TABLET,ORAL,Approved,14.09.2023,2023,authorised,yes,No,No
ANDA202085,,FDA,DESOGESTREL AND ETHINYL ESTRADIOL,DESOGESTREL,XIROMED,TABLET,ORAL-28,Approved,20.05.2015,2015,Discontinued,yes,No,No
ANDA202086,,FDA,NORETHINDRONE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,ETHINYL ESTRADIOL,XIROMED,TABLET,ORAL,Approved,01.04.2015,2015,authorised,yes,No,No
ANDA202087,,FDA,BUSPIRONE HYDROCHLORIDE,BUSPIRONE HYDROCHLORIDE,AIPING PHARM INC,TABLET,ORAL,Approved,16.12.2015,2015,authorised,yes,No,No
ANDA202090,,FDA,SODIUM OXYBATE,SODIUM OXYBATE,HIKMA,SOLUTION,ORAL,Approved,17.01.2017,2017,Discontinued,yes,No,No
ANDA202093,,FDA,TRANEXAMIC ACID,TRANEXAMIC ACID,ACTAVIS LABS FL INC,TABLET,ORAL,Approved,27.12.2012,2012,authorised,yes,No,No
ANDA202095,,FDA,LEVETIRACETAM,LEVETIRACETAM,LOTUS PHARM CO LTD,"TABLET, EXTENDED RELEASE",ORAL,Approved,06.06.2016,2016,Discontinued,yes,No,No
