Document_name,Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body
000153348.pdf,Not reported,Not reported,Thaled,Thalidomide,Fujimoto Pharmaceutical Corporation,Small molecule,Capsule,Oral,approved,authorised,27.08.2008,2008,yes,no,Multiple myeloma (to be used only when conventional treatment is not sufficiently effective),Relapsed or refractory multiple myeloma,Neoplasms; Diseases of the blood and blood-forming organs,08.08.2006,2006,yes,Not reported
000238551.pdf,Not reported,Not reported,Imfinzi,Durvalumab,AstraZeneca K.K.,Biologics,solution for injection,intravenous,approved,authorised,25.04.2018,2018,no,no,"Locally-advanced, unresectable non-small cell lung cancer","Maintenance treatment of locally-advanced, unresectable non-small cell lung cancer following definitive chemoradiotherapy",Neoplasms; Diseases of the respiratory system,30.08.2017,2017,no,NA
000230125.pdf,Not reported,Not reported,Adcetris,Brentuximab Vedotin,Takeda Pharmaceutical Company Limited,Biologics,Injection: Powder for reconstitution before use,intravenous,approved,authorised,28.06.2018,2018,yes,yes,Previously untreated CD30-positive Hodgkin’s lymphoma,Previously untreated CD30-positive Hodgkin’s lymphoma,Neoplasms; Diseases of the blood and blood-forming organs,31.01.2018,2018,yes,Not reported
000266405.pdf,Not reported,Not reported,Imbruvica,Ibrutinib,Janssen Pharmaceutical K.K.,Small molecule,Capsule,oral,approved,authorised,18.01.2023,2023,yes,yes,treatment-naïve mantle cell lymphoma,treatment-naïve mantle cell lymphoma,Neoplasms; Diseases of the blood and blood-forming organs,10.06.2022,2022,yes,Not reported
000232054.pdf,Not reported,Not reported,Goofice,Elobixibat,"EA Pharma Co., Ltd.",Small molecule,tablet,oral,approved,authorised,04.12.2017,2017,no,no,Chronic constipation (excluding constipation caused by organic disease),Chronic constipation (excluding constipation caused by organic disease),Diseases of the digestive system,01.02.2017,2017,no,NA
000270515.pdf,Not reported,Not reported,Zilbrysq,Zilucoplan,"UCB Japan Co., Ltd.",Peptides and proteins,solution for injection,subcutaneous,approved,authorised,21.08.2023,2023,no,no,Generalized myasthenia gravis,Generalized myasthenia gravis (only in patients who inadequately respond to corticosteroids or nonsteroidal immunosuppressants),Diseases of the nervous system,08.12.2022,2022,no,NA
000247408.pdf,Not reported,Not reported,Emgality,Galcanezumab,Eli Lilly Japan K.K.,Biologics,injection,subcutaneous,approved,authorised,02.12.2020,2020,no,no,Prevention of migraine attacks,Prevention of migraine attacks,Diseases of the nervous system,24.01.2020,2020,no,NA
000153638.pdf,Not reported,Not reported,Clozaril,Clozapine,Novartis Pharma K.K.,Small molecule,tablet,oral,approved,authorised,27.02.2009,2009,no,no,Treatment-resistant schizophrenia,Treatment-resistant schizophrenia,Mental and behavioural disorders,21.12.2007,2007,yes,Not reported
000247811.pdf,Not reported,Not reported,Xarelto,Rivaroxaban,"Bayer Yakuhin, Ltd.",Small molecule,tablet,oral,approved,authorised,02.12.2020,2020,no,yes,Treatment of pediatric venous thromboembolism and prevention of its recurrence,Treatment of venous thromboembolism and prevention of its recurrence,Diseases of the circulatory system,14.02.2020,2020,yes,Not reported
000224346.pdf,Not reported,Not reported,Taltz,Ixekizumab,Eli Lilly Japan K.K.,Biologics,solution for injection,subcutaneous,approved,authorised,30.05.2016,2016,no,no,"Treatment of moderate to severe psoriasis vulgaris, pustular psoriasis, erythrodermic psoriasis, and psoriatic arthritis","Treatment of psoriasis vulgaris, psoriatic arthritis, pustular psoriasis, and erythrodermic psoriasis in patients who have had an inadequate response to conventional therapies",Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,28.07.2015,2015,no,NA
000249828.pdf,Not reported,Not reported,Xocova,Ensitrelvir Fumaric Acid,"Shionogi & Co., Ltd.",Small molecule,tablet,oral,approved,authorised,22.11.2022,2022,no,no,Disease caused by SARS-CoV-2 infection (COVID-19),Disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,25.02.2022,2022,no,NA
000275874.pdf,Not reported,Not reported,Fabhalta,Iptacopan,Novartis Pharma K.K.,Small molecule,capsule,oral,approved,authorised,31.05.2024,2024,no,no,Paroxysmal nocturnal hemoglobinuria,Paroxysmal nocturnal hemoglobinuria,Diseases of the blood and blood-forming organs,07.08.2023,2023,no,NA
000244464.pdf,Not reported,Not reported,Enspryng,Satralizumab,"Chugai Pharmaceutical Co., Ltd.",Biologics,solution for injection,subcutaneous,approved,authorised,29.05.2020,2020,yes,no,Prevention of relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),Prevention of relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),Diseases of the nervous system,08.11.2019,2019,no,NA
000216478.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,Injection,intravenous,approved,authorised,30.11.2015,2015,no,yes,"Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer","Treatment of unresectable malignant melanoma; Treatment of unresectable, advanced or recurrent non-small cell lung cancer",Neoplasms; Diseases of the respiratory system,21.07.2015,2015,yes,Not reported
000207987.pdf,Not reported,Not reported,Lonsurf,Trifluridine and Tipiracil Hydrochloride,"Taiho Pharmaceutical Co., Ltd.",Small molecule,tablet,oral,approved,authorised,03.02.2014,2014,no,no,Unresectable advanced or recurrent colorectal cancer,Unresectable advanced or recurrent colorectal cancer,Neoplasms; Diseases of the digestive system,26.02.2013,2013,no,NA
000247409.pdf,Not reported,Not reported,Xenpozyme,Olipudase Alfa,Sanofi K.K.,Biologics,Lyophilized powder for injection,intravenous,approved,authorised,25.02.2022,2022,yes,no,Acid sphingomyelinase deficiency,Acid sphingomyelinase deficiency,"Endocrine, nutritional, and metabolic diseases",30.09.2021,2021,no,NA
000267068.pdf,Not reported,Not reported,Leqembi,Lecanemab,"Eisai Co., Ltd.",Biologics,injection,intravenous,approved,authorised,21.08.2023,2023,no,no,To slow the progression of early Alzheimer’s disease (mild cognitive impairment and mild dementia due to Alzheimer’s disease),To slow the progression of mild cognitive impairment and mild dementia due to Alzheimer’s disease,Diseases of the nervous system,16.01.2023,2023,no,NA
000246924.pdf,Not reported,Not reported,Xofluza,Baloxavir Marboxil,"Shionogi & Co., Ltd.",Small molecule,tablet,oral,approved,authorised,30.10.2020,2020,no,yes,prophylaxis of influenza A or B virus infection,Treatment and prophylaxis of influenza A or B virus infection,Infectious and parasitic diseases,16.10.2019,2019,no,NA
000216875.pdf,Not reported,Not reported,Adsorbed Cell Culture-derived Influenza Vaccine H5N1,Adsorbed cell culture-derived influenza vaccine,"Kitasato Daiichi Sankyo Vaccine Co., Ltd.",Vaccine,Suspension for injection,Intramuscular,approved,authorised,08.02.2016,2016,yes,yes,Prevention of pandemic influenza (H5N1),Prevention of pandemic influenza (H5N1),Infectious and parasitic diseases; Diseases of the respiratory system,28.08.2015,2015,yes,Not reported
000211075.pdf,Not reported,Not reported,Takecab,Vonoprazan Fumarate,Takeda Pharmaceutical Company Limited,Small molecule,tablet,oral,approved,authorised,21.11.2014,2014,no,no,"Treatment of gastric ulcer, duodenal ulcer, or reflux esophagitis; prevention of recurrent gastric or duodenal ulcer associated with low-dose aspirin administration; and prevention of recurrent gastric or duodenal ulcer associated with non-steroidal anti-inflammatory drug administration; Adjunct therapy to Helicobacter pylori eradication in gastric or duodenal ulcer, gastric mucosa-associated lymphatic tissue (MALT) lymphoma, idiopathic thrombocytopenic purpura, the stomach after endoscopic resection of early stage gastric cancer, or Helicobacter pylori gastritis","Treatment of gastric ulcer, duodenal ulcer, or reflux esophagitis; prevention of recurrent gastric or duodenal ulcer associated with low-dose aspirin administration; and prevention of recurrent gastric or duodenal ulcer associated with non-steroidal anti-inflammatory drug administration; Adjunct therapy to Helicobacter pylori eradication in gastric or duodenal ulcer, gastric mucosa-associated lymphatic tissue (MALT) lymphoma, idiopathic thrombocytopenic purpura, the stomach after endoscopic resection of early stage gastric cancer, or Helicobacter pylori gastritis",Diseases of the digestive system; Neoplasms; Diseases of the blood and blood-forming organs; Infectious and parasitic diseases,28.02.2014,2014,no,NA
000218938.pdf,Not reported,Not reported,Duac,Clindamycin Phosphate Hydrate/Benzoyl Peroxide,GlaxoSmithKline K.K.,Small molecule,gel,cutaneous,approved,authorised,21.01.2015,2015,no,no,Acne vulgaris,Acne vulgaris,Diseases of the skin,24.03.2014,2014,yes,Not reported
000219171.pdf,Not reported,Not reported,Halaven,Eribulin Mesilate,"Eisai Co., Ltd.",Small molecule,Injectable solution,Intravenous,approved,authorised,01.02.2016,2016,yes,yes,Inoperable or recurrent breast cancer and soft tissue sarcoma,Inoperable or recurrent breast cancer and soft tissue sarcoma,Neoplasms,30.07.2015,2015,yes,Not reported
000224582.pdf,Not reported,Not reported,Praluent,Alirocumab,Sanofi K.K.,Biologics,solution for injection,subcutaneous,approved,authorised,27.05.2016,2016,no,no,Hypercholesterolemia and familial hypercholesterolemia,Familial hypercholesterolemia and hypercholesterolemia,"Endocrine, nutritional, and metabolic diseases",06.08.2015,2015,no,NA
000229930.pdf,Not reported,Not reported,Cymbalta,Duloxetine,"Shionogi & Co., Ltd.",Small molecule,capsule,oral,approved,authorised,25.11.2016,2016,no,yes,pain associated with osteoarthritis,pain associated with osteoarthritis,Diseases of the musculoskeletal system and connective tissue,09.02.2016,2016,yes,Not reported
000228384.pdf,Not reported,Not reported,Revlimid,Lenalidomide Hydrate,Celgene K.K.,Small molecule,Capsules,oral,approved,authorised,03.02.2017,2017,yes,yes,Relapsed or refractory adult T cell leukemia-lymphoma,Relapsed or refractory adult T cell leukemia-lymphoma,Neoplasms; Diseases of the blood and blood-forming organs,24.06.2016,2016,yes,Not reported
000271597.pdf,Not reported,Not reported,Besponsa,Inotuzumab Ozogamicin,Pfizer Japan Inc.,Biologics,Lyophilized powder for reconstitution for injection,intravenous,approved,authorised,22.02.2024,2024,yes,yes,Relapsed or refractory CD22-positive acute lymphoblastic leukemia,Relapsed or refractory CD22-positive acute lymphoblastic leukemia,Neoplasms; Diseases of the blood and blood-forming organs,27.07.2023,2023,yes,Not reported
000210800.pdf,Not reported,Not reported,Copegus,Ribavirin,"Chugai Pharmaceutical Co., Ltd.",Small molecule,tablet,oral,approved,authorised,05.03.2015,2015,no,yes,Suppression of viremia in chronic hepatitis C patients,Suppression of viremia in chronic hepatitis C patients with or without compensated cirrhosis in combination with Peginterferon Alfa-2a or Sofosbuvir,Infectious and parasitic diseases,18.09.2014,2014,yes,Not reported
000153931.pdf,Not reported,Not reported,Xolair,Omalizumab,Novartis Pharma K.K.,Biologics,lyophilized powder for injection,subcutaneous,approved,authorised,27.10.2008,2008,no,no,Bronchial asthma (only for patients who respond inadequately to conventional therapies),Bronchial asthma (only for refractory patients whose asthma symptoms are not controlled by conventional therapies),Diseases of the respiratory system,31.05.2006,2006,no,NA
000265591.pdf,Not reported,Not reported,Rituxan,Rituximab,"Zenyaku Kogyo Co., Ltd.",Biologics,solution for infusion,intravenous,approved,authorised,02.06.2022,2022,yes,yes,Prevention of the relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),Prevention of the relapse of neuromyelitis optica spectrum disorder (including neuromyelitis optica),Diseases of the nervous system,29.10.2021,2021,yes,Not reported
000227563.pdf,Not reported,Not reported,Sovaldi,Sofosbuvir,Gilead Sciences K.K.,Small molecule,tablet,oral,approved,authorised,22.02.2017,2017,no,yes,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),Infectious and parasitic diseases,31.08.2016,2016,no,NA
000224903.pdf,Not reported,Not reported,Erelsa,Elbasvir,MSD K.K.,Small molecule,tablet,oral,approved,authorised,09.09.2016,2016,no,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,Infectious and parasitic diseases,11.03.2016,2016,no,NA
000265142.pdf,Not reported,Not reported,Wegovy,Semaglutide,Novo Nordisk Pharma Ltd.,Peptides and proteins,injection,subcutaneous,approved,authorised,27.01.2023,2023,no,yes,Obesity,Obesity,"Endocrine, nutritional, and metabolic diseases",25.08.2021,2021,no,NA
000212453.pdf,Not reported,Not reported,Radicut,Edaravone,Mitsubishi Tanabe Pharma Corporation,Small molecule,Injection,intravenous,approved,authorised,05.06.2015,2015,yes,yes,"Improvement of neurological symptoms, disability in activities of daily living, and functional impairment associated with acute ischemic stroke; Treatment of amyotrophic lateral sclerosis (ALS)","Improvement of neurological symptoms, disability in activities of daily living, and functional impairment associated with acute ischemic stroke; Slowing of progression of functional impairment in patients with amyotrophic lateral sclerosis (ALS)",Diseases of the nervous system,29.10.2014,2014,yes,Not reported
000153104.pdf,Not reported,Not reported,Macugen,Pegaptanib Sodium,Pfizer Japan Inc.,Peptides and proteins,solution for injection,intravitreous,approved,authorised,25.04.2008,2008,yes,no,Subfoveal choroidal neovascularization secondary to age-related macular degeneration,Subfoveal choroidal neovascularization secondary to age-related macular degeneration,Diseases of the eye and adnexa,30.03.2007,2007,no,NA
000217926.pdf,Not reported,Not reported,Proemend,Fosaprepitant Meglumine,"Ono Pharmaceutical Co., Ltd.",Small molecule,Lyophilized powder,intravenous,approved,authorised,24.02.2016,2016,no,yes,Acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,Acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,Neoplasms; Diseases of the digestive system,27.05.2015,2015,yes,Not reported
000208812.pdf,Not reported,Not reported,Takelda,Aspirin/Lansoprazole,Takeda Pharmaceutical Company Limited,Small molecule,tablet,oral,approved,authorised,10.01.2014,2014,no,yes,"Reduction of the risk of thrombosis and embolism and prevention of recurrent gastric or duodenal ulcers associated with low-dose aspirin in patients with angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent CABG or PTCA","Reduction of the risk of thrombosis and embolism in patients with a history of gastric or duodenal ulcers who have angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent CABG or PTCA",Diseases of the circulatory system; Diseases of the digestive system,27.03.2013,2013,yes,Not reported
000249127.pdf,Not reported,Not reported,Comirnaty,Coronavirus Modified Uridine RNA Vaccine,Pfizer Japan Inc.,Vaccine,Injection,intramuscular,approved,authorised,17.08.2022,2022,no,no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,22.06.2022,2022,yes,Not reported
000250304.pdf,Not reported,Not reported,Rinvoq,Upadacitinib Hydrate,AbbVie GK,Small molecule,tablet,oral,approved,authorised,30.07.2021,2021,no,yes,Not reported,Atopic dermatitis that have an inadequate response to conventional treatments,Diseases of the skin,28.10.2020,2020,yes,Not reported
000153689.pdf,Not reported,Not reported,Isentress,Raltegravir Potassium,"Banyu Pharmaceutical Co., Ltd.",Small molecule,tablet,oral,approved,authorised,30.04.2008,2008,yes,no,HIV-1 infection,HIV infection,Infectious and parasitic diseases,12.03.2008,2008,no,NA
000235589.pdf,Not reported,Not reported,Crysvita,Burosumab,"Kyowa Kirin Co., Ltd.",Biologics,injection,subcutaneous,approved,authorised,29.08.2019,2019,yes,no,FGF23-related hypophosphatemic rickets/osteomalacia,FGF23-related hypophosphatemic rickets/osteomalacia,"Endocrine, nutritional, and metabolic diseases; Diseases of the musculoskeletal system and connective tissue",07.01.2019,2019,no,NA
000250305.pdf,Not reported,Not reported,Tavneos,Avacopan,"Kissei Pharmaceutical Co., Ltd.",Small molecule,capsule,oral,approved,authorised,06.09.2021,2021,yes,no,Microscopic polyangiitis and granulomatosis with polyangiitis,Microscopic polyangiitis and granulomatosis with polyangiitis,Diseases of the blood and blood-forming organs; Diseases of the circulatory system,26.02.2021,2021,no,NA
000249126.pdf,Not reported,Not reported,Comirnaty,Coronavirus Modified Uridine RNA Vaccine,Pfizer Japan Inc.,Vaccine,injection,intramuscular,approved,authorised,07.09.2022,2022,no,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,08.08.2022,2022,yes,Not reported
000230195.pdf,Not reported,Not reported,Otezla,Apremilast,Celgene K.K.,Small molecule,Film-coated tablets,oral,approved,authorised,24.11.2016,2016,no,no,Psoriasis vulgaris inadequately responding to topical therapy; Psoriatic arthritis,Psoriasis vulgaris inadequately responding to topical therapy; Psoriatic arthritis,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,24.03.2016,2016,no,NA
000237163.pdf,Not reported,Not reported,Mekinist,Trametinib,Novartis Pharma K.K.,Small molecule,tablet,oral,approved,authorised,02.03.2018,2018,yes,yes,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,Neoplasms; Diseases of the respiratory system,05.12.2016,2016,no,NA
000265792.pdf,Not reported,Not reported,Precedex,Dexmedetomidine Hydrochloride,Pfizer Japan Inc.,Small molecule,solution,intravenous,approved,authorised,27.01.2023,2023,no,yes,Sedation of non-intubated pediatric patients during non-invasive procedures or examinations,Sedation of non-intubated pediatric patients during non-invasive procedures or examinations,Other,30.03.2022,2022,yes,Not reported
000210319.pdf,Not reported,Not reported,Avigan,Favipiravir,"Toyama Chemical Co., Ltd.",Small molecule,Film-coated tablet,oral,approved,authorised,03.02.2014,2014,no,no,Influenza A or B virus infection,Treatment of novel or re-emerging pandemic influenza virus infections (limited to cases in which other influenza antiviral drugs are ineffective or not sufficiently effective),Infectious and parasitic diseases,30.03.2011,2011,no,NA
000224902.pdf,Not reported,Not reported,Grazyna,Grazoprevir,MSD K.K.,Small molecule,tablet,oral,approved,authorised,09.09.2016,2016,no,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,Infectious and parasitic diseases,11.03.2016,2016,no,NA
000227562.pdf,Not reported,Not reported,Sovaldi,Sofosbuvir,Gilead Sciences K.K.,Small molecule,tablet,oral,approved,authorised,22.02.2017,2017,no,yes,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),Infectious and parasitic diseases,31.08.2016,2016,no,NA
000228335.pdf,Not reported,Not reported,Spinraza,Nusinersen,Biogen Japan Ltd.,Peptides and proteins,Solution for injection,Intrathecal,approved,authorised,22.08.2017,2017,yes,yes,Infantile Spinal muscular atrophy,Infantile Spinal muscular atrophy; Non-infantile spinal muscular atrophy,Diseases of the nervous system,05.07.2017,2017,yes,Not reported
000274306.pdf,Not reported,Not reported,Dupixent,Dupilumab,Sanofi K.K.,Biologics,Syringe,subcutaneous,approved,authorised,05.02.2024,2024,no,yes,Chronic spontaneous urticaria,Chronic spontaneous urticaria,Diseases of the skin,31.03.2023,2023,yes,Not reported
000266925.pdf,Not reported,Not reported,Litfulo,Ritlecitinib Tosilate,Pfizer Japan Inc.,Small molecule,Capsules,oral,approved,authorised,29.05.2023,2023,no,no,Alopecia areata (limited to intractable cases involving extensive hair loss),Alopecia areata (limited to intractable cases involving extensive hair loss),Diseases of the skin,25.08.2022,2022,no,NA
000222430.pdf,Not reported,Not reported,Genvoya,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide,Japan Tobacco Inc.,Small molecule,tablet,oral,approved,authorised,30.05.2016,2016,yes,no,HIV-1 infection,HIV-1 infection,Infectious and parasitic diseases,04.03.2016,2016,no,NA
000233298.pdf,Not reported,Not reported,Istodax,Romidepsin,Celgene K.K.,Small molecule,Lyophilized powder for reconstitution for injection,intravenous,approved,authorised,30.05.2017,2017,yes,no,Relapsed or refractory peripheral T-cell lymphoma,Relapsed or refractory peripheral T-cell lymphoma,Neoplasms; Diseases of the blood and blood-forming organs,02.09.2016,2016,no,NA
000269814.pdf,Not reported,Not reported,Tresiba,Insulin Degludec,Novo Nordisk Pharma Ltd.,Peptides and proteins,solution for injection,subcutaneous,approved,authorised,10.07.2015,2015,no,yes,Diabetes mellitus where treatment with insulin is required,Diabetes mellitus where treatment with insulin is required,"Endocrine, nutritional, and metabolic diseases",31.10.2014,2014,yes,Not reported
000232794.pdf,Not reported,Not reported,Rozlytrek,Entrectinib,"Chugai Pharmaceutical Co., Ltd.",Small molecule,capsule,oral,approved,authorised,30.05.2019,2019,yes,no,"NTRK fusion-positive, locally advanced or metastatic solid tumors","NTRK fusion-positive, advanced/recurrent solid tumors",Neoplasms,19.12.2018,2018,no,NA
000208811.pdf,Not reported,Not reported,Alecensa,Alectinib Hydrochloride,"Chugai Pharmaceutical Co., Ltd.",Small molecule,capsule,oral,approved,authorised,26.05.2014,2014,yes,no,"ALK fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer","ALK fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",Neoplasms; Diseases of the respiratory system,07.10.2013,2013,no,NA
000210092.pdf,Not reported,Not reported,Insulin Glargine BS,Insulin Glargine,Eli Lilly Japan K.K.,Peptides and proteins,Solution for injection,Subcutaneous,approved,authorised,10.10.2014,2014,no,no,Treatment of diabetes mellitus where treatment with insulin is required,Treatment of diabetes mellitus where treatment with insulin is required,"Endocrine, nutritional, and metabolic diseases",24.12.2013,2013,no,NA
000266892.pdf,Not reported,Not reported,Daichirona,Coronavirus (SARS-CoV-2) RNA Vaccine,"Daiichi Sankyo Company, Limited",Vaccine,injection,intramuscular,approved,authorised,31.07.2023,2023,no,no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Prevention of disease caused by SARS-CoV-2 infection (COVID-19),Infectious and parasitic diseases,13.01.2023,2023,no,NA
000153885.pdf,Not reported,Not reported,Lyxumia,Lixisenatide,Sanofi K.K.,Peptides and proteins,solution for injection,subcutaneous,approved,authorised,24.05.2013,2013,no,no,Type 2 diabetes mellitus,Type 2 diabetes mellitus,"Endocrine, nutritional, and metabolic diseases",11.06.2012,2012,no,NA
000240841.pdf,Not reported,Not reported,Mektovi,Binimetinib,"Ono Pharmaceutical Co., Ltd.",Small molecule,tablet,oral,approved,authorised,30.10.2020,2020,no,yes,Unresectable advanced or recurrent colorectal cancer with BRAF mutation,Unresectable advanced or recurrent colorectal cancer with BRAF mutation that has progressed after cancer chemotherapy,Neoplasms; Diseases of the digestive system,04.03.2020,2020,no,NA
000215883.pdf,Not reported,Not reported,Xiaflex,Collagenase,Asahi Kasei Pharma Corporation,Peptides and proteins,Lyophilized powder for solution for injection,intravenous,approved,authorised,05.06.2015,2015,no,no,Dupuytren’s contracture with a palpable cord,Dupuytren’s contracture,Diseases of the musculoskeletal system and connective tissue,31.07.2014,2014,yes,Not reported
000246571.pdf,Not reported,Not reported,Opdivo,Nivolumab,"Ono Pharmaceutical Co., Ltd.",Biologics,Injection,intravenous,approved,authorised,Not reported,2021,no,yes,"Treatment of unresectable, advanced or recurrent gastric cancer previously untreated with chemotherapy; Adjuvant therapy of esophageal cancer","Treatment of unresectable, advanced or recurrent gastric cancer; Adjuvant therapy of esophageal cancer",Neoplasms; Diseases of the digestive system,10.12.2020,2020,yes,Not reported
000231921.pdf,Not reported,Not reported,Keytruda,Pembrolizumab,MSD K.K.,Biologics,injection,intravenous,approved,authorised,29.11.2018,2018,yes,yes,Not reported,"Unresectable Malignant melanoma; Unresectable, advanced or recurrent PD-L1 positive non-small cell lung cancer; Relapsed or refractory classical Hodgkin lymphoma; Radically unresectable urothelial carcinoma that has progressed after cancer chemotherapy; Advanced or recurrent microsatellite instability-high (MSI-High) solid tumors that have progressed after cancer chemotherapy",Neoplasms; Diseases of the respiratory system; Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,30.03.2018,2018,yes,Not reported
000228530.pdf,Not reported,Not reported,Pralia,Denosumab,"Daiichi Sankyo Co., Ltd.",Biologics,Solution for injection,subcutaneous,approved,authorised,30.05.2017,2017,no,yes,Osteoporosis; Prevention of structural joint damage associated with rheumatoid arthritis,Osteoporosis; Inhibition of progression of bone erosion associated with rheumatoid arthritis,Diseases of the musculoskeletal system and connective tissue,23.09.2016,2016,no,NA
000240840.pdf,Not reported,Not reported,Braftovi,Encorafenib,"Ono Pharmaceutical Co., Ltd.",Small molecule,Capsules,oral,approved,authorised,30.10.2020,2020,no,yes,Unresectable advanced or recurrent colorectal cancer with BRAF mutation,Unresectable advanced or recurrent colorectal cancer with BRAF mutation that has progressed after cancer chemotherapy,Neoplasms; Diseases of the digestive system,04.03.2020,2020,no,NA
000223317.pdf,Not reported,Not reported,Mikeluna,Carteolol Hydrochloride /Latanoprost,"Otsuka Pharmaceutical Co., Ltd.",Small molecule,ophthalmic solution,ocular,approved,authorised,07.09.2016,2016,no,no,Glaucoma and ocular hypertension,Glaucoma and ocular hypertension,Diseases of the eye and adnexa,01.10.2015,2015,yes,Not reported
000266893.pdf,Not reported,Not reported,Parmodia XR,Pemafibrate,"Kowa Company, Ltd.",Small molecule,Extended-release tablets,oral,approved,authorised,12.05.2023,2023,no,yes,Hyperlipidemia (including familial hyperlipidemia),Hyperlipidemia (including familial hyperlipidemia),"Endocrine, nutritional, and metabolic diseases",12.09.2022,2022,yes,Not reported
000203945.pdf,Not reported,Not reported,NovoEight,Turoctocog Alfa,Novo Nordisk Pharma Ltd.,Biologics,Lyophilized powder for solution for injection,intravenous,approved,authorised,18.11.2013,2013,no,no,Control of bleeding tendency in patients with haemophilia A (congenital blood coagulation factor VIII deficiency),Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,Diseases of the blood and blood-forming organs,27.12.2012,2012,no,NA
000235777.pdf,Not reported,Not reported,Orkedia,Evocalcet,"Kyowa Hakko Kirin Co., Ltd.",Small molecule,tablet,oral,approved,authorised,01.03.2018,2018,no,no,Secondary hyperparathyroidism in patients on maintenance dialysis,Secondary hyperparathyroidism in patients on maintenance dialysis,"Endocrine, nutritional, and metabolic diseases; Diseases of the genitourinary system",27.04.2017,2017,no,NA
000215262.pdf,Not reported,Not reported,Harvoni,Ledipasvir Acetonate/Sofosbuvir,Gilead Sciences K.K.,Small molecule,tablet,oral,approved,authorised,28.05.2015,2015,no,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis.,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis.,Infectious and parasitic diseases,24.09.2014,2014,no,NA
000265791.pdf,Not reported,Not reported,Libtayo,Cemiplimab,Sanofi K.K.,Biologics,injection,intravenous,approved,authorised,28.11.2022,2022,no,no,Advanced or recurrent cervical cancer that has progressed after chemotherapy,Advanced or recurrent cervical cancer that has progressed after chemotherapy,Neoplasms; Diseases of the genitourinary system,18.03.2022,2022,no,NA
000240288.pdf,Not reported,Not reported,Vanflyta,Quizartinib Hydrochloride,"Daiichi Sankyo Company, Limited",Small molecule,tablet,oral,approved,authorised,30.05.2019,2019,yes,no,Relapsed or refractory FLT3-ITD mutation-positive acute myeloid leukemia,Relapsed or refractory FLT3-ITD mutation-positive acute myeloid leukemia,Neoplasms; Diseases of the blood and blood-forming organs,17.10.2018,2018,no,NA
