Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,31.08.2016,2016,authorised,PMDA,approved,22.02.2017,2017,Infectious and parasitic diseases,000227563.pdf,Small molecule,Sovaldi,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),<Chronic Hepatitis C>; <Cirrhosis>,yes,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),<Chronic Hepatitis C>; <Liver Cirrhosis>,Gilead Sciences K.K.,Gilead,000227563,Sofosbuvir,no,no,tablet,Not reported,NA
oral,11.03.2016,2016,authorised,PMDA,approved,09.09.2016,2016,Infectious and parasitic diseases,000224903.pdf,Small molecule,Erelsa,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,<Chronic Hepatitis C>; <Cirrhosis>,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,<Chronic Hepatitis C>; <Liver Cirrhosis>,MSD K.K.,MSD,000224903,Elbasvir,no,no,tablet,Not reported,NA
subcutaneous,25.08.2021,2021,authorised,PMDA,approved,27.01.2023,2023,"Endocrine, nutritional, and metabolic diseases",000265142.pdf,Peptides and proteins,Wegovy,Obesity,<Obesity>,yes,Obesity,<Obesity>,Novo Nordisk Pharma Ltd.,Novo Nordisk,000265142,Semaglutide,no,no,injection,Not reported,NA
intravenous,29.10.2014,2014,authorised,PMDA,approved,05.06.2015,2015,Diseases of the nervous system,000212453.pdf,Small molecule,Radicut,"Improvement of neurological symptoms, disability in activities of daily living, and functional impairment associated with acute ischemic stroke; Slowing of progression of functional impairment in patients with amyotrophic lateral sclerosis (ALS)",<Stroke; Amyotrophic Lateral Sclerosis>,yes,"Improvement of neurological symptoms, disability in activities of daily living, and functional impairment associated with acute ischemic stroke; Treatment of amyotrophic lateral sclerosis (ALS)","<Stroke, Ischemic>; <Amyotrophic Lateral Sclerosis>",Mitsubishi Tanabe Pharma Corporation,Mitsubishi Tanabe,000212453,Edaravone,yes,yes,Injection,Not reported,Not reported
intravitreous,30.03.2007,2007,authorised,PMDA,approved,25.04.2008,2008,Diseases of the eye and adnexa,000153104.pdf,Peptides and proteins,Macugen,Subfoveal choroidal neovascularization secondary to age-related macular degeneration,<Macular Degeneration>,no,Subfoveal choroidal neovascularization secondary to age-related macular degeneration,<Choroidal Neovascularization>; <Macular Degeneration>,Pfizer Japan Inc.,Pfizer,000153104,Pegaptanib Sodium,no,yes,solution,Not reported,NA
intravenous,27.05.2015,2015,authorised,PMDA,approved,24.02.2016,2016,Neoplasms; Diseases of the digestive system,000217926.pdf,Small molecule,Proemend,Acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,<Not Reported>,yes,Acute or delayed digestive symptoms (nausea and vomiting) resulting from the administration of antineoplastic agents such as cisplatin,<Not Reported>,"Ono Pharmaceutical Co., Ltd.",Ono,000217926,Fosaprepitant Meglumine,yes,no,Lyophilized powder,Not reported,Not reported
oral,27.03.2013,2013,authorised,PMDA,approved,10.01.2014,2014,Diseases of the circulatory system; Diseases of the digestive system,000208812.pdf,Small molecule,Takelda,"Reduction of the risk of thrombosis and embolism in patients with a history of gastric or duodenal ulcers who have angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent CABG or PTCA",<Thrombosis>; <Embolism>; <Gastric Ulcer>; <Duodenal Ulcer>; <Angina Pectoris>; <Myocardial Infarction>; <Ischemic Cerebrovascular Disorders>,yes,"Reduction of the risk of thrombosis and embolism and prevention of recurrent gastric or duodenal ulcers associated with low-dose aspirin in patients with angina pectoris, myocardial infarction, ischemic cerebrovascular diseases, or who underwent CABG or PTCA",<Thrombosis>; <Embolism>; <Gastric Ulcer>; <Duodenal Ulcer>; <Angina Pectoris>; <Myocardial Infarction>; <Ischemic Cerebrovascular Disorders>,Takeda Pharmaceutical Company Limited,Takeda,000208812,Aspirin/Lansoprazole,yes,no,tablet,Not reported,Not reported
intramuscular,22.06.2022,2022,authorised,PMDA,approved,17.08.2022,2022,Infectious and parasitic diseases,000249127.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2 Infections>,no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,Pfizer Japan Inc.,Pfizer,000249127,Coronavirus Modified Uridine RNA Vaccine,yes,no,Injection,Not reported,Not reported
oral,28.10.2020,2020,authorised,PMDA,approved,30.07.2021,2021,Diseases of the skin,000250304.pdf,Small molecule,Rinvoq,Atopic dermatitis that have an inadequate response to conventional treatments,"<Dermatitis, Atopic>",yes,Not reported,Not Reported,AbbVie GK,AbbVie,000250304,Upadacitinib Hydrate,yes,no,tablet,Not reported,Not reported
oral,12.03.2008,2008,authorised,PMDA,approved,30.04.2008,2008,Infectious and parasitic diseases,000153689.pdf,Small molecule,Isentress,HIV infection,<HIV Infections>,no,HIV-1 infection,<Human Immunodeficiency Virus>,"Banyu Pharmaceutical Co., Ltd.",Banyu,000153689,Raltegravir Potassium,no,yes,tablet,Not reported,NA
subcutaneous,07.01.2019,2019,authorised,PMDA,approved,29.08.2019,2019,"Endocrine, nutritional, and metabolic diseases; Diseases of the musculoskeletal system and connective tissue",000235589.pdf,Biologics,Crysvita,FGF23-related hypophosphatemic rickets/osteomalacia,<Hypophosphatemic Rickets>; <Osteomalacia>,no,FGF23-related hypophosphatemic rickets/osteomalacia,<Hypophosphatemic Rickets>; <Osteomalacia>,"Kyowa Kirin Co., Ltd.",Kyowa Kirin,000235589,Burosumab,no,yes,injection,Not reported,NA
oral,26.02.2021,2021,authorised,PMDA,approved,06.09.2021,2021,Diseases of the blood and blood-forming organs; Diseases of the circulatory system,000250305.pdf,Small molecule,Tavneos,Microscopic polyangiitis and granulomatosis with polyangiitis,<Microscopic Polyangiitis>; <Granulomatosis with Polyangiitis>,no,Microscopic polyangiitis and granulomatosis with polyangiitis,<Microscopic Polyangiitis>; <Granulomatosis with Polyangiitis>,"Kissei Pharmaceutical Co., Ltd.",Kissei,000250305,Avacopan,no,yes,capsule,Not reported,NA
intramuscular,08.08.2022,2022,authorised,PMDA,approved,07.09.2022,2022,Infectious and parasitic diseases,000249126.pdf,Vaccine,Comirnaty,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,yes,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2>,Pfizer Japan Inc.,Pfizer,000249126,Coronavirus Modified Uridine RNA Vaccine,yes,no,injection,Not reported,Not reported
oral,24.03.2016,2016,authorised,PMDA,approved,24.11.2016,2016,Diseases of the skin; Diseases of the musculoskeletal system and connective tissue,000230195.pdf,Small molecule,Otezla,Psoriasis vulgaris inadequately responding to topical therapy; Psoriatic arthritis,"<Psoriasis>; <Arthritis, Psoriatic>",no,Psoriasis vulgaris inadequately responding to topical therapy; Psoriatic arthritis,"<Psoriasis>; <Arthritis, Psoriatic>",Celgene K.K.,Celgene,000230195,Apremilast,no,no,tablet,Not reported,NA
oral,05.12.2016,2016,authorised,PMDA,approved,02.03.2018,2018,Neoplasms; Diseases of the respiratory system,000237163.pdf,Small molecule,Mekinist,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Lung Neoplasms>,yes,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Lung Neoplasms>,Novartis Pharma K.K.,Novartis,000237163,Trametinib,no,yes,tablet,Not reported,NA
intravenous,30.03.2022,2022,authorised,PMDA,approved,27.01.2023,2023,Other,000265792.pdf,Small molecule,Precedex,Sedation of non-intubated pediatric patients during non-invasive procedures or examinations,Not Reported,yes,Sedation of non-intubated pediatric patients during non-invasive procedures or examinations,Not Reported,Pfizer Japan Inc.,Pfizer,000265792,Dexmedetomidine Hydrochloride,yes,no,solution,Not reported,Not reported
oral,30.03.2011,2011,authorised,PMDA,approved,03.02.2014,2014,Infectious and parasitic diseases,000210319.pdf,Small molecule,Avigan,Treatment of novel or re-emerging pandemic influenza virus infections (limited to cases in which other influenza antiviral drugs are ineffective or not sufficiently effective),<Influenza>,no,Influenza A or B virus infection,<Influenza>,"Toyama Chemical Co., Ltd.",Toyama,000210319,Favipiravir,no,no,tablet,Not reported,NA
oral,11.03.2016,2016,authorised,PMDA,approved,09.09.2016,2016,Infectious and parasitic diseases,000224902.pdf,Small molecule,Grazyna,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,<Chronic Hepatitis C>; <Cirrhosis>,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis,<Chronic Hepatitis C>; <Liver Cirrhosis>,MSD K.K.,MSD,000224902,Grazoprevir,no,no,tablet,Not reported,NA
oral,31.08.2016,2016,authorised,PMDA,approved,22.02.2017,2017,Infectious and parasitic diseases,000227562.pdf,Small molecule,Sovaldi,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),<Chronic Hepatitis C>; <Cirrhosis>,yes,Suppression of viremia in patients with chronic hepatitis C with or without compensated cirrhosis (any serogroup [genotype] other than serogroup 1 [genotype 1]),<Chronic Hepatitis C>; <Liver Cirrhosis>,Gilead Sciences K.K.,Gilead,000227562,Sofosbuvir,no,no,tablet,Not reported,NA
Intrathecal,05.07.2017,2017,authorised,PMDA,approved,22.08.2017,2017,Diseases of the nervous system,000228335.pdf,Peptides and proteins,Spinraza,Infantile Spinal muscular atrophy; Non-infantile spinal muscular atrophy,<Spinal Muscular Atrophy>,yes,Infantile Spinal muscular atrophy,<Spinal Muscular Atrophy>,Biogen Japan Ltd.,Biogen,000228335,Nusinersen,yes,yes,solution,Not reported,Not reported
subcutaneous,31.03.2023,2023,authorised,PMDA,approved,05.02.2024,2024,Diseases of the skin,000274306.pdf,Biologics,Dupixent,Chronic spontaneous urticaria,<Chronic Urticaria>,yes,Chronic spontaneous urticaria,<Chronic Urticaria>,Sanofi K.K.,Sanofi,000274306,Dupilumab,yes,no,Syringe,Not reported,Not reported
oral,25.08.2022,2022,authorised,PMDA,approved,29.05.2023,2023,Diseases of the skin,000266925.pdf,Small molecule,Litfulo,Alopecia areata (limited to intractable cases involving extensive hair loss),<Alopecia Areata>,no,Alopecia areata (limited to intractable cases involving extensive hair loss),<Alopecia Areata>,Pfizer Japan Inc.,Pfizer,000266925,Ritlecitinib Tosilate,no,no,capsule,Not reported,NA
oral,04.03.2016,2016,authorised,PMDA,approved,30.05.2016,2016,Infectious and parasitic diseases,000222430.pdf,Small molecule,Genvoya,HIV-1 infection,<Acquired Immunodeficiency Syndrome>,no,HIV-1 infection,<HIV Infections>,Japan Tobacco Inc.,Japan Tobacco,000222430,Elvitegravir/Cobicistat/Emtricitabine/Tenofovir Alafenamide,no,yes,tablet,Not reported,NA
intravenous,02.09.2016,2016,authorised,PMDA,approved,30.05.2017,2017,Neoplasms; Diseases of the blood and blood-forming organs,000233298.pdf,Small molecule,Istodax,Relapsed or refractory peripheral T-cell lymphoma,<Peripheral T-Cell Lymphoma>,no,Relapsed or refractory peripheral T-cell lymphoma,<Peripheral T-Cell Lymphoma>,Celgene K.K.,Celgene,000233298,Romidepsin,no,yes,Lyophilized powder,Not reported,NA
subcutaneous,31.10.2014,2014,authorised,PMDA,approved,10.07.2015,2015,"Endocrine, nutritional, and metabolic diseases",000269814.pdf,Peptides and proteins,Tresiba,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,yes,Diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,Novo Nordisk Pharma Ltd.,Novo Nordisk,000269814,Insulin Degludec,yes,no,solution,Not reported,Not reported
oral,19.12.2018,2018,authorised,PMDA,approved,30.05.2019,2019,Neoplasms,000232794.pdf,Small molecule,Rozlytrek,"NTRK fusion-positive, advanced/recurrent solid tumors",<Solid Tumors>,no,"NTRK fusion-positive, locally advanced or metastatic solid tumors",<Neoplasms>,"Chugai Pharmaceutical Co., Ltd.",Chugai,000232794,Entrectinib,no,yes,capsule,Not reported,NA
oral,07.10.2013,2013,authorised,PMDA,approved,26.05.2014,2014,Neoplasms; Diseases of the respiratory system,000208811.pdf,Small molecule,Alecensa,"ALK fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",<Non-Small Cell Lung Cancer>,no,"ALK fusion gene-positive, unresectable, recurrent or advanced non-small cell lung cancer",<Non-Small Cell Lung Carcinoma>,"Chugai Pharmaceutical Co., Ltd.",Chugai,000208811,Alectinib Hydrochloride,no,yes,capsule,Not reported,NA
Subcutaneous,24.12.2013,2013,authorised,PMDA,approved,10.10.2014,2014,"Endocrine, nutritional, and metabolic diseases",000210092.pdf,Peptides and proteins,Insulin Glargine BS,Treatment of diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,no,Treatment of diabetes mellitus where treatment with insulin is required,<Diabetes Mellitus>,Eli Lilly Japan K.K.,Eli Lilly,000210092,Insulin Glargine,no,no,solution,Not reported,NA
intramuscular,13.01.2023,2023,authorised,PMDA,approved,31.07.2023,2023,Infectious and parasitic diseases,000266892.pdf,Vaccine,Daichirona,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<COVID-19>,no,Prevention of disease caused by SARS-CoV-2 infection (COVID-19),<SARS-CoV-2>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,000266892,Coronavirus (SARS-CoV-2) RNA Vaccine,no,no,injection,Not reported,NA
subcutaneous,11.06.2012,2012,authorised,PMDA,approved,24.05.2013,2013,"Endocrine, nutritional, and metabolic diseases",000153885.pdf,Peptides and proteins,Lyxumia,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,no,Type 2 diabetes mellitus,<Type 2 Diabetes Mellitus>,Sanofi K.K.,Sanofi,000153885,Lixisenatide,no,no,solution,Not reported,NA
oral,04.03.2020,2020,authorised,PMDA,approved,30.10.2020,2020,Neoplasms; Diseases of the digestive system,000240841.pdf,Small molecule,Mektovi,Unresectable advanced or recurrent colorectal cancer with BRAF mutation that has progressed after cancer chemotherapy,<Colorectal Neoplasms>,yes,Unresectable advanced or recurrent colorectal cancer with BRAF mutation,<Colorectal Neoplasms>,"Ono Pharmaceutical Co., Ltd.",Ono,000240841,Binimetinib,no,no,tablet,Not reported,NA
intravenous,31.07.2014,2014,authorised,PMDA,approved,05.06.2015,2015,Diseases of the musculoskeletal system and connective tissue,000215883.pdf,Peptides and proteins,Xiaflex,Dupuytren’s contracture,<Dupuytren Contracture>,no,Dupuytren’s contracture with a palpable cord,<Dupuytren Contracture>,Asahi Kasei Pharma Corporation,Asahi Kasei,000215883,Collagenase,yes,no,Lyophilized powder,Not reported,Not reported
intravenous,10.12.2020,2020,authorised,PMDA,approved,Not reported,2021,Neoplasms; Diseases of the digestive system,000246571.pdf,Biologics,Opdivo,"Treatment of unresectable, advanced or recurrent gastric cancer; Adjuvant therapy of esophageal cancer",<Gastric Cancer>; <Esophageal Neoplasms>,yes,"Treatment of unresectable, advanced or recurrent gastric cancer previously untreated with chemotherapy; Adjuvant therapy of esophageal cancer",<Gastric Neoplasms>; <Esophageal Neoplasms>,"Ono Pharmaceutical Co., Ltd.",Ono,000246571,Nivolumab,yes,no,Injection,Not reported,Not reported
intravenous,30.03.2018,2018,authorised,PMDA,approved,29.11.2018,2018,Neoplasms; Diseases of the respiratory system; Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,000231921.pdf,Biologics,Keytruda,"Unresectable Malignant melanoma; Unresectable, advanced or recurrent PD-L1 positive non-small cell lung cancer; Relapsed or refractory classical Hodgkin lymphoma; Radically unresectable urothelial carcinoma that has progressed after cancer chemotherapy; Advanced or recurrent microsatellite instability-high (MSI-High) solid tumors that have progressed after cancer chemotherapy",<Melanoma>; <Lung Neoplasms>; <Hodgkin Disease>; <Urothelial Carcinoma>; <Microsatellite Instability>,yes,Not reported,Not Reported,MSD K.K.,MSD,000231921,Pembrolizumab,yes,yes,injection,Not reported,Not reported
subcutaneous,23.09.2016,2016,authorised,PMDA,approved,30.05.2017,2017,Diseases of the musculoskeletal system and connective tissue,000228530.pdf,Biologics,Pralia,Osteoporosis; Inhibition of progression of bone erosion associated with rheumatoid arthritis,"<Osteoporosis>; <Arthritis, Rheumatoid>",yes,Osteoporosis; Prevention of structural joint damage associated with rheumatoid arthritis,"<Osteoporosis>; <Arthritis, Rheumatoid>","Daiichi Sankyo Co., Ltd.",Daiichi Sankyo,000228530,Denosumab,no,no,solution,Not reported,NA
oral,04.03.2020,2020,authorised,PMDA,approved,30.10.2020,2020,Neoplasms; Diseases of the digestive system,000240840.pdf,Small molecule,Braftovi,Unresectable advanced or recurrent colorectal cancer with BRAF mutation that has progressed after cancer chemotherapy,<Colorectal Neoplasms>,yes,Unresectable advanced or recurrent colorectal cancer with BRAF mutation,<Colorectal Neoplasms>,"Ono Pharmaceutical Co., Ltd.",Ono,000240840,Encorafenib,no,no,capsule,Not reported,NA
ocular,01.10.2015,2015,authorised,PMDA,approved,07.09.2016,2016,Diseases of the eye and adnexa,000223317.pdf,Small molecule,Mikeluna,Glaucoma and ocular hypertension,<Glaucoma>; <Ocular Hypertension>,no,Glaucoma and ocular hypertension,"<Glaucoma>; <Hypertension, Ocular>","Otsuka Pharmaceutical Co., Ltd.",Otsuka,000223317,Carteolol Hydrochloride /Latanoprost,yes,no,solution,Not reported,Not reported
oral,12.09.2022,2022,authorised,PMDA,approved,12.05.2023,2023,"Endocrine, nutritional, and metabolic diseases",000266893.pdf,Small molecule,Parmodia XR,Hyperlipidemia (including familial hyperlipidemia),<Hyperlipidemias>,yes,Hyperlipidemia (including familial hyperlipidemia),<Hyperlipidemias>,"Kowa Company, Ltd.",Kowa,000266893,Pemafibrate,yes,no,tablet,Not reported,Not reported
intravenous,27.12.2012,2012,authorised,PMDA,approved,18.11.2013,2013,Diseases of the blood and blood-forming organs,000203945.pdf,Biologics,NovoEight,Control of bleeding tendency in patients with blood coagulation factor VIII deficiency,<Blood Coagulation Disorders>,no,Control of bleeding tendency in patients with haemophilia A (congenital blood coagulation factor VIII deficiency),<Hemophilia A>,Novo Nordisk Pharma Ltd.,Novo Nordisk,000203945,Turoctocog Alfa,no,no,Lyophilized powder,Not reported,NA
oral,27.04.2017,2017,authorised,PMDA,approved,01.03.2018,2018,"Endocrine, nutritional, and metabolic diseases; Diseases of the genitourinary system",000235777.pdf,Small molecule,Orkedia,Secondary hyperparathyroidism in patients on maintenance dialysis,"<Hyperparathyroidism, Secondary>",no,Secondary hyperparathyroidism in patients on maintenance dialysis,"<Hyperparathyroidism, Secondary>","Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,000235777,Evocalcet,no,no,tablet,Not reported,NA
oral,24.09.2014,2014,authorised,PMDA,approved,28.05.2015,2015,Infectious and parasitic diseases,000215262.pdf,Small molecule,Harvoni,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis.,<Chronic Hepatitis C>; <Cirrhosis>,no,Suppression of viremia in serogroup 1 (genotype 1) chronic hepatitis C patients with or without compensated cirrhosis.,<Chronic Hepatitis C>; <Liver Cirrhosis>,Gilead Sciences K.K.,Gilead,000215262,Ledipasvir Acetonate/Sofosbuvir,no,no,tablet,Not reported,NA
intravenous,18.03.2022,2022,authorised,PMDA,approved,28.11.2022,2022,Neoplasms; Diseases of the genitourinary system,000265791.pdf,Biologics,Libtayo,Advanced or recurrent cervical cancer that has progressed after chemotherapy,<Cervical Cancer>,no,Advanced or recurrent cervical cancer that has progressed after chemotherapy,<Cervical Cancer>,Sanofi K.K.,Sanofi,000265791,Cemiplimab,no,no,injection,Not reported,NA
oral,17.10.2018,2018,authorised,PMDA,approved,30.05.2019,2019,Neoplasms; Diseases of the blood and blood-forming organs,000240288.pdf,Small molecule,Vanflyta,Relapsed or refractory FLT3-ITD mutation-positive acute myeloid leukemia,"<Leukemia, Myeloid, Acute>",no,Relapsed or refractory FLT3-ITD mutation-positive acute myeloid leukemia,"<Leukemia, Myeloid, Acute>","Daiichi Sankyo Company, Limited",Daiichi Sankyo,000240288,Quizartinib Hydrochloride,no,yes,tablet,Not reported,NA
Inhalation,30.06.2023,2023,authorised,PMDA,approved,04.03.2024,2024,Diseases of the respiratory system,000272776.pdf,Biologics,Sargmalin,Autoimmune pulmonary alveolar proteinosis,<Autoimmune Diseases>,no,Autoimmune pulmonary alveolar proteinosis,<Autoimmune Diseases>,"Nobelpharma Co., Ltd.",Nobel,000272776,Sargramostim,no,yes,Lyophilized powder,Not reported,NA
oral,31.05.2018,2018,authorised,PMDA,approved,22.02.2019,2019,Diseases of the musculoskeletal system and connective tissue,000233074.pdf,Small molecule,Smyraf,Treatment of rheumatoid arthritis (including prevention of structural joint damage) in patients who have an inadequate response to conventional therapies.,<Rheumatoid Arthritis>,no,Treatment of rheumatoid arthritis (including prevention of structural joint damage) in patients who have an inadequate response to conventional therapies.,<Rheumatoid Arthritis>,Astellas Pharma Inc.,Astellas,000233074,Peficitinib,no,no,tablet,Not reported,NA
subcutaneous,22.02.2017,2017,authorised,PMDA,approved,24.11.2017,2017,Diseases of the respiratory system,000236124.pdf,Biologics,Fasenra,Bronchial asthma (only for patients with intractable bronchial asthma uncontrolled on conventional therapy),<Bronchial Asthma>,no,Bronchial asthma (only for patients with intractable bronchial asthma uncontrolled on conventional therapy),<Bronchial Asthma>,AstraZeneca K.K.,AstraZeneca,000236124,Benralizumab,no,no,injection,Not reported,NA
oral,30.06.2023,2023,authorised,PMDA,approved,09.05.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,000275223.pdf,Small molecule,Jaypirca,Relapsed or refractory mantle cell lymphoma in patients who are resistant or intolerant to other BTK inhibitors,<Mantle Cell Lymphoma>,no,Relapsed or refractory mantle cell lymphoma in patients who are resistant or intolerant to other BTK inhibitors,<Mantle Cell Lymphoma>,Eli Lilly Japan K.K.,Eli Lilly,000275223,Pirtobrutinib,no,Not reported,tablet,Not reported,NA
oral,22.02.2013,2013,authorised,PMDA,approved,13.09.2013,2013,Infectious and parasitic diseases,000227565.pdf,Small molecule,Sovriad,Improvement of viraemia in patients with serogroup 1 (genotype I [1a] or II [1b]) chronic hepatitis C virus infection,<Chronic Hepatitis C>,no,Improvement of viraemia in patients with serogroup 1 (genotype I [1a] or II [1b]) chronic hepatitis C virus infection,<Chronic Hepatitis C>,Janssen Pharmaceutical K.K.,Janssen,000227565,Simeprevir Sodium,no,no,capsule,Not reported,NA
intramuscular,25.07.2014,2014,authorised,PMDA,approved,05.06.2015,2015,Diseases of the nervous system; Diseases of the eye and adnexa; Diseases of the musculoskeletal system and connective tissue,000216948.pdf,Biologics,Botox,"Blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",<Blepharospasm>; <Hemifacial Spasm>; <Cervical Dystonia>; <Spasticity>; <Talipes Equinovarus>; <Cerebral Palsy>; <Hyperhidrosis>; <Strabismus>,yes,"Blepharospasm, hemifacial spasm, cervical dystonia, upper limb spasticity, lower limb spasticity, talipes equinus associated with lower limb spasticity in patients ≥2 years of age with infantile cerebral palsy, severe primary axillary hyperhidrosis, and strabismus",<Blepharospasm>; <Hemifacial Spasm>; <Cervical Dystonia>; <Upper Limb Spasticity>; <Lower Limb Spasticity>; <Talipes Equinus>; <Cerebral Palsy>; <Hyperhidrosis>; <Strabismus>,GlaxoSmithKline K.K.,GlaxoSmithKline,000216948,Botulinum Toxin Type A,yes,no,Powder,Not reported,Not reported
intravenous,30.11.2017,2017,authorised,PMDA,approved,24.05.2018,2018,Neoplasms; Diseases of the skin,000235773.pdf,Biologics,Poteligeo,Relapsed or refractory cutaneous T-cell lymphoma,<Cutaneous T-Cell Lymphoma>,yes,Relapsed or refractory CCR4-positive cutaneous T-cell lymphoma,<Cutaneous T-Cell Lymphoma>,"Kyowa Hakko Kirin Co., Ltd.",Kyowa Hakko Kirin,000235773,Mogamulizumab,no,yes,solution,Not reported,NA
oral,05.12.2016,2016,authorised,PMDA,approved,02.03.2018,2018,Neoplasms; Diseases of the respiratory system,000237164.pdf,Small molecule,Tafinlar,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Lung Neoplasms>,yes,Unresectable advanced or recurrent non-small cell lung cancer with BRAF mutations,<Non-Small Cell Lung Carcinoma>,Novartis Pharma K.K.,Novartis,000237164,Dabrafenib Mesilate,no,yes,capsule,Not reported,NA
intravenous,29.03.2019,2019,authorised,PMDA,approved,05.11.2019,2019,Neoplasms; Diseases of the blood and blood-forming organs,000243154.pdf,Biologics,Adcetris,"The following CD30-positive diseases: Hodgkin’s lymphoma, Peripheral T-cell lymphoma",<Hodgkin Disease>; <Peripheral T-Cell Lymphoma>,yes,"The following CD30-positive diseases: Hodgkin’s lymphoma, Peripheral T-cell lymphoma, Relapsed or refractory anaplastic large-cell lymphoma",<Hodgkin Disease>; <Peripheral T-Cell Lymphoma>; <Anaplastic Large-Cell Lymphoma>,Takeda Pharmaceutical Company Limited,Takeda,000243154,Brentuximab Vedotin,yes,yes,Powder,Not reported,Not reported
oral,26.11.2020,2020,authorised,PMDA,approved,25.02.2022,2022,"Diseases of the genitourinary system; Endocrine, nutritional, and metabolic diseases",000264058.pdf,Small molecule,Kerendia,Chronic kidney disease associated with type 2 diabetes mellitus,"<Chronic Kidney Disease>; <Diabetes Mellitus, Type 2>",no,Chronic kidney disease associated with type 2 diabetes mellitus,"<Chronic Kidney Disease>; <Diabetes Mellitus, Type 2>","Bayer Yakuhin, Ltd.",Bayer,000264058,Finerenone,no,no,tablet,Not reported,NA
oral,09.12.2020,2020,authorised,PMDA,approved,06.09.2021,2021,Diseases of the skin,000251034.pdf,Small molecule,Cibinqo,Atopic dermatitis in patients who have had an inadequate response to conventional treatments,"<Dermatitis, Atopic>",no,Atopic dermatitis in patients who have had an inadequate response to conventional treatments,"<Dermatitis, Atopic>",Pfizer Japan Inc.,Pfizer,000251034,Abrocitinib,no,no,tablet,Not reported,NA
oral,18.06.2013,2013,authorised,PMDA,approved,24.02.2014,2014,Diseases of the circulatory system,000213561.pdf,Small molecule,Efient,"The following ischemic heart diseases in patients who are to be managed with PCI: Acute coronary syndrome (unstable angina, non-ST segment elevation myocardial infarction, or ST segment elevation myocardial infarction); Stable angina pectoris or old myocardial infarction",<Coronary Artery Disease>; <Acute Coronary Syndrome>; <Unstable Angina>; <Myocardial Infarction>; <Angina Pectoris>,no,Reduction of thrombotic events in patients with ischemic heart diseases managed with PCI,<Ischemic Heart Disease>,"Daiichi Sankyo Company, Limited",Daiichi Sankyo,000213561,Prasugrel Hydrochloride,no,no,tablet,Not reported,NA
