Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Document_name,Drug_class,Drug_name,Indication_approved,Disease_name(s),Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,07.07.2022,2022,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,21.03.2024,2024,Neoplasms; Diseases of the nervous system; Diseases of the digestive system,swisspar_welireg.pdf,Small molecule,Welireg,"Welireg as monotherapy is indicated for the treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for VHL-associated renal cell carcinoma (RCC), central nervous system (CNS) haemangioblastomas, or pancreatic neuroendocrine tumours (pNET), not requiring immediate surgery.",<von Hippel-Lindau Disease>; <Renal Cell Carcinoma>; <Central Nervous System Hemangioblastoma>; <Pancreatic Neuroendocrine Tumors>,no,"Welireg as monotherapy is indicated for the treatment of adult patients with von Hippel-Lindau (VHL) disease who require therapy for VHL-associated renal cell carcinoma (RCC), central nervous system (CNS) haemangioblastomas, or pancreatic neuroendocrine tumours (pNET), not requiring immediate surgery.",<Von Hippel-Lindau Disease>; <Renal Cell Carcinoma>; <Central Nervous System Hemangioblastoma>; <Pancreatic Neuroendocrine Tumors>,MSD Merck Sharp & Dohme AG,Merck Sharp & Dohme,68531,belzutifan,yes,yes,tablet,Not reported,MHRA
oral,29.01.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,14.09.2021,2021,"Endocrine, nutritional, and metabolic diseases",swisspar_trikafta_ie.pdf,Small molecule,Trikafta,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,<Cystic Fibrosis>,yes,Trikafta is indicated for the treatment of cystic fibrosis (CF) in patients aged 12 years and older who have at least one F508del mutation in the cystic fibrosis transmembrane conductance regulator (CFTR) gene,<Cystic Fibrosis>,Vertex Pharmaceuticals (CH) GmbH,Vertex,67773,"elexacaftor, ivacaftor, tezacaftor",yes,yes,tablet,Not reported,NA
subcutaneous,16.06.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,27.10.2022,2022,Diseases of the skin,swisspar_bimzelx_final.pdf,Biologics,Bimzelx,treatment of moderate to severe plaque psoriasis in adult patients who are candidates for systemic therapy,<Plaque Psoriasis>,no,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,<Plaque Psoriasis>,UCB-Pharma SA,UCB,68548,bimekizumab,yes,no,solution,Not reported,EMA
intravenous,20.04.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,22.12.2023,2023,Neoplasms,swisspar_jemperli.pdf,Biologics,Jemperli,Jemperli is indicated in combination with therapy containing carboplatin and paclitaxel for the treatment of adult patients with primary recurrent or advanced endometrial cancer (EC) with deficient DNA mismatch repair (dMMR) / high microsatellite instability (MSI-H) with a high risk of recurrence.,<Endometrial Neoplasms>,yes,Jemperli is indicated in combination with platinum-containing chemotherapy for the treatment of adult patients with primary advanced or recurrent endometrial cancer (EC) with deficient DNA mismatch repair (dMMR) / high microsatellite instability (MSI-H) who are candidates for systemic therapy.,<Endometrial Neoplasms>,GlaxoSmithKline AG,GlaxoSmithKline,68023,dostarlimab,yes,no,concentrate,Not reported,NA
intravenous,02.12.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,24.08.2021,2021,Diseases of the blood and blood-forming organs; Diseases of the genitourinary system,swisspar_ultomiris_ie.pdf,Biologics,Ultomiris,"Ultomiris is used in the treatment of patients weighing 10 kg and over with atypical haemolytic uraemic syndrome (aHUS) who have not previously been treated with complement inhibitors (complement inhibitor-naïve patients) or have received eculizumab for at least 3 months, with evidence of a response to eculizumab.",<Atypical Hemolytic Uremic Syndrome>,yes,Ultomiris is used in the treatment of patients with a body weight of 10 kg and over with atypical haemolytic uremic syndrome (aHUS) who are complement inhibitor treatment-naïve or have received eculizumab for at least 3 months and have evidence of response to eculizumab,<Atypical Hemolytic Uremic Syndrome>,Alexion Pharma GmbH,Alexion,67278,ravulizumab,yes,yes,concentrate,Not reported,European Medicines Agency EMA
oral,28.04.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,22.11.2022,2022,Diseases of the circulatory system,swisspar_vazkepa_final.pdf,Small molecule,VAZKEPA,"Vazkepa is indicated to reduce the risk of cardiovascular events in adult statin-treated patients at high cardiovascular risk with elevated triglycerides (≥ 150 mg/dL [≥ 1.7 mmol/L]) and established cardiovascular disease, or diabetes, and at least one other cardiovascular risk factor.",<Diabetes Mellitus>,no,Vazkepa is used to reduce the risk of cardiovascular events in statin-treated adult patients at high cardiovascular risk with elevated triglyceride levels (≥ 150 mg/dL) as well as: established cardiovascular disease or diabetes and at least one other cardiovascular risk factor.,<Diabetes Mellitus>,Amarin Switzerland GmbH,Amarin,68354,icosapent ethyl,yes,no,capsule,Not reported,EMA CHMP
intravitreal,24.08.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,11.07.2024,2024,Diseases of the eye and adnexa,swisspar_vabysmo_g102701735.pdf,Biologics,Vabysmo,Treatment of macular oedema secondary to retinal vein occlusion (branch retinal vein occlusion (BRVO) and central retinal vein occlusion (CRVO)).,<Macular Edema>; <Retinal Vein Occlusion>,yes,Treatment of macular oedema due to retinal vein occlusion (branch retinal vein occlusion (BRVO) and central retinal vein occlusion (CRVO)).,<Macular Edema>; <Retinal Vein Occlusion>,Roche Pharma (Schweiz) AG,Roche,68395,faricimab,yes,no,solution,Not reported,NA
intravenous,14.08.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,29.11.2021,2021,Neoplasms,swisspar_enhertu_g102637736.pdf,Biologics,Enhertu,"Enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2-based regimens, including trastuzumab, and have had disease progression on trastuzumab emtansine (T-DM1).",<Breast Neoplasms>,no,Trastuzumab deruxtecan is indicated for the treatment of adult patients with unresectable or metastatic HER2-positive breast cancer who have received two or more prior anti-HER2-based regimens.,<Breast Neoplasms>,Daiichi Sankyo (Schweiz) AG,Daiichi Sankyo,67967,trastuzumab deruxtecan,yes,no,powder,Not reported,FDA
intravenous,22.01.2024,2024,authorised (under additional monitoring),SWISSMEDIC,approved,17.09.2024,2024,Neoplasms; Diseases of the genitourinary system,swisspar_padcev.pdf,Biologics,Padcev,"Padcev, in combination with pembrolizumab, is indicated for the first-line treatment of adult patients with unresectable or metastatic urothelial cancer (mUC).",<Urothelial Cancer>,yes,Padcev in combination with pembrolizumab is indicated for the treatment of adult patients with locally advanced or metastatic urothelial carcinoma.,<Urothelial Carcinoma>,Astellas Pharma AG,Astellas,68291,enfortumab vedotin,no,no,powder,Not reported,NA
oral,25.04.2024,2024,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,08.10.2024,2024,Neoplasms; Diseases of the digestive system,swisspar_lytgobi.pdf,Small molecule,Lytgobi,Lytgobi monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that have progressed after at least one prior line of systemic therapy.,<Cholangiocarcinoma>,no,Lytgobi monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic cholangiocarcinoma with a fibroblast growth factor receptor 2 (FGFR2) fusion or rearrangement that have progressed after at least one prior line of systemic therapy.,<Cholangiocarcinoma>,Taiho Oncology Europe GmbH,Taiho,69714,futibatinib,yes,yes,tablet,EMEA/H/C/005627/0000,European Medicines Agency (EMA)
intravenous,10.05.2022,2022,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,09.02.2023,2023,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_lunsumio.pdf,Biologics,Lunsumio,"Lunsumio is indicated as a monotherapy for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) who have received at least two prior systemic lines of therapy, including a monoclonal anti-CD20 antibody and an alkylating agent.",<Follicular Lymphoma>,no,Mosunetuzumab as monotherapy is indicated for the treatment of adult patients with relapsed or refractory follicular lymphoma (FL) who have received at least two prior systemic therapies.,<Follicular Lymphoma>,Roche Pharma (Schweiz) AG,Roche,68314,mosunetuzumab,yes,yes,concentrate,Not reported,EMA
intravenous,03.04.2023,2023,authorised,SWISSMEDIC,approved,19.12.2023,2023,"Endocrine, nutritional, and metabolic diseases",xenpozyme_assessment_report_swisspar_nach_uebersetzung.pdf,Biologics,Xenpozyme,Xenpozyme is indicated as an enzyme replacement therapy for the treatment of non-central nervous system manifestations of acid sphingomyelinase deficiency (ASMD) of type A/B or type B in paediatric and adult patients.,<Acid Sphingomyelinase Deficiency>,no,Xenpozyme is indicated as an enzyme replacement therapy for the treatment of non-central nervous system (CNS) manifestations of acid sphingomyelinase deficiency (ASMD) in paediatric and adult patients.,<Acid Sphingomyelinase Deficiency>,Sanofi-Aventis (Suisse) SA,Sanofi-Aventis,67287,olipudase alfa,yes,yes,powder,Not reported,EMA
intravenous,25.01.2021,2021,authorised,SWISSMEDIC,approved,09.09.2021,2021,Neoplasms,assessment_report_swisspar_trodelvy_g102639433.pdf,Biologics,Trodelvy,"TRODELVY is indicated for the treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies, at least one of them for metastatic disease.",<Breast Neoplasms>,no,TRODELVY is indicated for the treatment of adult patients with unresectable locally advanced or metastatic triple-negative breast cancer (mTNBC) who have received at least two prior therapies.,<Breast Neoplasms>,Gilead Sciences Switzerland Sàrl,Gilead,68179,sacituzumab govitecan,yes,no,powder,Not reported,FDA
intravenous,20.05.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,09.05.2023,2023,Neoplasms; Diseases of the eye and adnexa,swisspar_kimmtrak_final.pdf,Biologics,KIMMTRAK,KIMMTRAK is indicated as monotherapy for the treatment of human leukocyte antigen (HLA)-A*02:01-positive adult patients with unresectable or metastatic uveal melanoma.,<Uveal Melanoma>,no,KIMMTRAK is indicated as monotherapy for the treatment of human leukocyte antigen HLA-A*02:01-positive adult patients with unresectable or metastatic uveal melanoma.,<Uveal Melanoma>,Immunocore GmbH,Immunocore,68846,tebentafusp,yes,yes,concentrate,Not reported,EMA
intramuscular,29.04.2020,2020,authorised,SWISSMEDIC,approved,07.10.2021,2021,Infectious and parasitic diseases,swisspar_shingrix.pdf,Vaccine,Shingrix,prevention of herpes zoster (HZ) in adults aged 50 years or older and in adults aged 18 years or older at increased risk of HZ,<Herpes Zoster>,no,prevention of herpes zoster in adults aged 50 years or older and in adults aged 18 years or older with increased risk for HZ,<Herpes Zoster>,GlaxoSmithKline AG,GlaxoSmithKline,67987,Varicella zoster virus glycoprotein E antigen,yes,no,powder; suspension,Not reported,EMA
intramuscular,25.08.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,18.04.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_enrylaze.pdf,Biologics,Enrylaze,Enrylaze is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukaemia (ALL) and lymphoblastic lymphoma (LBL) in adult and paediatric patients who developed hypersensitivity to E. coli-derived asparaginase.,<Precursor Cell Lymphoblastic Leukemia-Lymphoma>,no,Enrylaze is a component of a chemotherapeutic combination therapy for the treatment of acute lymphoblastic leukaemia (ALL) and lymphoblastic lymphoma (LBL) in adult and paediatric patients who have developed hypersensitivity or silent inactivation to E. coli-derived asparaginase.,<Precursor Cell Lymphoblastic Leukemia-Lymphoma>,Jazz Pharmaceuticals,Jazz,69073,crisantaspase,yes,yes,solution,Not reported,FDA
intravenous,25.01.2021,2021,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,17.02.2022,2022,Neoplasms; Diseases of the genitourinary system,swisspar_jemperli_final.pdf,Biologics,Jemperli,Jemperli is indicated as monotherapy for the treatment of adult patients with recurrent or advanced endometrial cancer (EC) with deficient DNA mismatch repair (dMMR) / high levels of microsatellite instability (MSI-H) that has progressed during or after prior treatment with a platinum-based treatment regimen.,<Endometrial Neoplasms>,no,Dostarlimab is indicated as monotherapy for the treatment of adult patients with recurrent or advanced mismatch repair-deficient (dMMR) / microsatellite instability-high (MSI-H) endometrial cancer that has progressed on or following prior treatment with a platinum-containing regimen.,<Endometrial Neoplasms>,GlaxoSmithKline AG,GlaxoSmithKline,68023,dostarlimab,yes,Not reported,concentrate,Not reported,EMA CHMP
oral,01.09.2020,2020,authorised,SWISSMEDIC,approved,24.01.2022,2022,"Endocrine, nutritional, and metabolic diseases",swisspar_nityr_final.pdf,Small molecule,Nityr,"Nityr is used in addition to appropriate dietary measures, including restriction of tyrosine and phenylalanine intake, in children, adolescents, and adults with hereditary tyrosinemia type 1 (HT-1).",<Hereditary Tyrosinemia Type 1>,no,Treatment of adult and paediatric (in any age range) patients with confirmed diagnosis of hereditary tyrosinemia type 1 (HT-1) in combination with dietary restriction of tyrosine and phenylalanine.,<Hereditary Tyrosinemias>,Curatis AG,Curatis,67970,nitisinone,yes,yes,tablet,Not reported,EMA
subcutaneous,06.01.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,23.03.2023,2023,Diseases of the blood and blood-forming organs,swisspar_aspaveli.pdf,Peptides and proteins,Aspaveli,"Aspaveli is indicated for the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH), who have an inadequate response to treatment with a C5 inhibitor.",<Paroxysmal Nocturnal Hemoglobinuria>,yes,Aspaveli is indicated for the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (PNH) previously treated with standard therapy.,<Paroxysmal Nocturnal Hemoglobinuria>,Swedish Orphan Biovitrum AG,Swedish Orphan Biovitrum,68674,pegcetacoplan,yes,yes,solution,Not reported,EMA
intramuscular,08.09.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,16.11.2023,2023,Other,swisspar_nuceiva.pdf,Biologics,Nuceiva,"Temporary improvement in the appearance of moderate to severe vertical lines between the eyebrows seen at maximum frown (glabellar lines), when the severity of the above facial lines has an important psychological impact in adults below 65 years of age.",<Not Reported>,no,"Temporary improvement in the appearance of moderate to severe vertical lines between the eyebrows seen at maximum frown (glabellar lines), when the severity of the above facial lines has an important psychological impact in adults below 65 years of age.",<Not Reported>,PharmaCons GmbH,PharmaCons,69120,botulinum toxin type A (strain KCDC),yes,no,powder,Not reported,EMA
intravenous,31.03.2023,2023,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,08.05.2024,2024,Neoplasms; Diseases of the digestive system,swisspar_enhertu_ie-1.pdf,Biologics,Enhertu,Enhertu as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma who have disease progression on or after a first-line regimen with trastuzumab and chemotherapy.,<Gastric Adenocarcinoma>; <Gastroesophageal Junction Adenocarcinoma>,yes,Enhertu as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic HER2-positive gastric or gastroesophageal junction (GEJ) adenocarcinoma who have received a prior trastuzumab-based regimen.,<Gastric Adenocarcinoma>; <Gastroesophageal Junction Adenocarcinoma>,Daiichi Sankyo (Schweiz) AG,Daiichi Sankyo,67967,trastuzumab deruxtecan,yes,no,powder,Not reported,NA
topical,22.12.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,03.02.2022,2022,Diseases of the skin,swisspar_klisyri.pdf,Small molecule,Klisyri,"Klisyri is indicated for the topical field treatment of non-hyperkeratotic, non-hypertrophic actinic keratosis of the face or scalp in adults.",<Actinic Keratosis>,no,"Klisyri is indicated for the field treatment of non-hyperkeratotic, non-hypertrophic actinic keratosis of the face or scalp in adults.",<Actinic Keratosis>,Almirall AG,Almirall,68322,tirbanibulin,yes,no,ointment,Not reported,FDA
subcutaneous,01.04.2022,2022,authorised,SWISSMEDIC,approved,07.07.2023,2023,Infectious and parasitic diseases,swisspar_sunlenca.pdf,Small molecule,Sunlenca,"Sunlenca, in combination with optimised background antiretroviral therapy, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults with multidrug-resistant HIV-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations.",<Acquired Immunodeficiency Syndrome>,no,"Sunlenca, in combination with other antiretrovirals, is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in adults with multidrug-resistant HIV-1 infection failing their current antiretroviral regimen due to resistance, intolerance, or safety considerations.",<Human Immunodeficiency Virus>,Gilead Sciences Switzerland Sàrl,Gilead,68385,lenacapavir,no,no,solution,Not reported,NA
oral,18.10.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,01.03.2024,2024,"Diseases of the eye and adnexa; Endocrine, nutritional, and metabolic diseases",swisspar_raxone.pdf,Small molecule,Raxone,Raxone is indicated for the treatment of visual impairment in adolescent patients from 12 years of age and adult patients with Leber’s Hereditary Optic Neuropathy (LHON).,<Leber Hereditary Optic Neuropathy>,no,Raxone is indicated for the treatment of visual impairment in adolescent and adult patients with Leber’s Hereditary Optic Neuropathy (LHON).,<Leber Hereditary Optic Neuropathy>,Chiesi SA,Chiesi,68063,idebenone,yes,yes,tablet,EMEA/H/C/003834,EMA
oral,15.03.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,01.02.2024,2024,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_brukinsa-1.pdf,Small molecule,Brukinsa,"Brukinsa in combination with obinutuzumab is indicated for the treatment of adult patients with refractory or relapsed grade 1-3a follicular lymphoma (FL) who have received at least two prior lines of therapy, including anti-CD20 antibody therapy.",<Follicular Lymphoma>,yes,Brukinsa in combination with obinutuzumab is indicated for the treatment of adult patients with refractory or remitted follicular lymphoma (FL) who have received at least two prior systemic therapies.,<Follicular Lymphoma>,BeiGene Switzerland GmbH,BeiGene,67998,zanubrutinib,yes,no,capsule,Not reported,Not reported
oral,30.09.2022,2022,authorised (under additional monitoring),SWISSMEDIC,approved,04.10.2023,2023,Infectious and parasitic diseases,swisspar_xofluza_new_indication_final.pdf,Small molecule,Xofluza,Treatment of influenza; Influenza post-exposure prophylaxis,<Influenza>,yes,Treatment of influenza; Influenza post-exposure prophylaxis,<Influenza>,Roche Pharma (Schweiz) AG,Roche,67426,baloxavir marboxil,yes,no,tablet,Not reported,NA
intravenous,28.05.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,28.06.2021,2021,Diseases of the nervous system; Congenital malformations and chromosomal abnormalities,2024-10-09_swisspar_zolgensma_final_fi_engl.pdf,Cell and gene therapy,Zolgensma,"patients with 5q spinal muscular atrophy (SMA) with a bi-allelic mutation in the SMN1 gene and a clinical diagnosis of SMA type 1, or patients with 5q SMA with a bi-allelic mutation in the SMN1 gene and up to 3 copies of the SMN2 gene.",<Spinal Muscular Atrophy>,no,"patients with 5q spinal muscular atrophy (SMA) with a bi-allelic mutation in the SMN1 gene and a clinical diagnosis of SMA Type 1, or patients with 5q SMA with a bi-allelic mutation in the SMN1 gene and up to 3 copies of the SMN2 gene.",<Spinal Muscular Atrophy>,Novartis Pharma Schweiz AG,Novartis,67529,onasemnogene abeparvovec,no,yes,solution,Not reported,NA
topical,23.12.2020,2020,authorised,SWISSMEDIC,approved,21.04.2022,2022,"Injury, poisoning and certain other consequences of external causes",swisspar_nexobrid.pdf,Other,NexoBrid,removal of eschar in adults with deep partial and full-thickness thermal burns,<Thermal Burns>,no,treatment of eschar in adults with deep partial and full-thickness thermal burns,<Eschar>,Triskel Integrated Services SA,Triskel,68012,concentrate of proteolytic enzymes enriched in bromelain,yes,yes,powder; gel,Not reported,EMA CHMP
oral,01.06.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,10.09.2024,2024,Diseases of the digestive system,swisspar_velsipity.pdf,Small molecule,Velsipity,"Treatment of adult patients with moderately to severely active ulcerative colitis (UC) who have had an inadequate response with, lost response to, or were intolerant to either conventional therapy or a biologic.",<Ulcerative Colitis>,no,"Treatment of adult patients with moderately to severely active ulcerative colitis (UC) who have had an inadequate response, lost response, or were intolerant to either conventional therapy or an advanced treatment.",<Ulcerative Colitis>,Pfizer AG,Pfizer,69377,etrasimod,no,no,tablet,Not reported,NA
Intramuscular,03.12.2020,2020,withdrawn,SWISSMEDIC,approved,22.03.2021,2021,Infectious and parasitic diseases,swisspar_covid-19_vaccine_janssen_.pdf,Vaccine,COVID-19 Vaccine Janssen,Active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 18 years of age and older.,<COVID-19>,no,Active immunization for the prevention of coronavirus disease-2019 (COVID-19) in adults greater than or equal to 18 years of age.,<COVID-19>,Janssen-Cilag AG,Janssen-Cilag,68235,Human adenovirus serotype 26 encoding the SARS-CoV-2 spike glycoprotein (Ad26.COV2-S),no,no,suspension,Not reported,NA
intravenous,28.04.2021,2021,authorised,SWISSMEDIC,approved,24.04.2023,2023,Diseases of the circulatory system; diseases of the digestive system; Diseases of the eye and adnexa,swisspar_verdye.pdf,Small molecule,Verdye,"Diagnostic use only: Cardiac, circulatory, and micro-circulatory diagnostics; Liver function diagnostics; Ophthalmic angiography diagnostics",Not Reported,no,"Diagnostic use only: Cardiac, circulatory, and micro-circulatory diagnostics; Liver function diagnostics; Ophthalmic angiography diagnostics",<Heart Diseases>; <Liver Diseases>,Mediconsult AG,Mediconsult,68489,indocyanine green,yes,no,powder,Not reported,NA
oral,11.03.2021,2021,authorised (under additional monitoring),SWISSMEDIC,approved,24.05.2022,2022,Diseases of the respiratory system,swisspar_lyfnua.pdf,Small molecule,Lyfnua,treatment of refractory chronic cough or unexplained chronic cough in adults,<Chronic Cough>,no,treatment of refractory chronic cough (RCC) and unexplained chronic cough (UCC) in adult patients,<Chronic Cough>,MSD Merck Sharp & Dohme AG,Merck Sharp & Dohme,68065,gefapixant,no,no,tablet,Not reported,NA
oral,21.04.2021,2021,authorised,SWISSMEDIC,approved,01.12.2022,2022,Mental and behavioural disorders,swisspar_quviviq.pdf,Small molecule,QUVIVIQ,"QUVIVIQ is indicated for the treatment of adult patients with insomnia, characterised by symptoms present for at least 3 months and considerable impact on daytime functioning.",<Insomnia>,no,QUVIVIQ is indicated for the treatment of adult patients with insomnia to improve sleep and daytime functioning.,<Insomnia>,Idorsia Pharmaceuticals Ltd,Idorsia,68481,daridorexant,no,no,tablet,Not reported,NA
oral,17.06.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,23.03.2021,2021,Diseases of the musculoskeletal system and connective tissue,swisspar_rinvoq_as_final.pdf,Small molecule,Rinvoq,RINVOQ is indicated for the treatment of active ankylosing spondylitis in adult patients who have responded inadequately to non-steroidal anti-inflammatory drugs (NSAIDs).,<Ankylosing Spondylitis>,yes,RINVOQ is used for the treatment of adults with active ankylosing spondylitis who responded inadequately to conventional therapy.,<Ankylosing Spondylitis>,AbbVie AG,AbbVie,67257,upadacitinib,yes,no,tablet,Not reported,NA
intravenous,07.08.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,07.04.2022,2022,Infectious and parasitic diseases; Diseases of the skin,swisspar_tenkasi.pdf,Biologics,Tenkasi,Tenkasi is indicated for the treatment of acute bacterial skin and skin structure infections (ABSSSI) in adults if it is established or strongly suspected after microbiological susceptibility testing that the infection is caused by susceptible bacteria.,<Acute Bacterial Skin and Skin Structure Infections>,no,Tenkasi is indicated for the treatment of adult patients with acute bacterial skin and skin structure infections (ABSSSI) if it is established or strongly suspected after microbiological susceptibility testing that the infection is caused by susceptible bacteria.,<Acute Bacterial Skin and Skin Structure Infections>,A. Menarini GmbH,Menarini,68135,oritavancin,no,no,powder,Not reported,NA
oral,12.10.2020,2020,authorised,SWISSMEDIC,approved,05.05.2022,2022,Diseases of the genitourinary system,swisspar_drovelis.pdf,Small molecule,Drovelis,Oral contraception in women aged 18 and over,<Contraception>,no,Oral contraception,<Contraception>,Gedeon Richter (Schweiz) AG,Gedeon Richter,68228,"drospirenone, estetrol monohydrate",no,no,tablet,Not reported,NA
intravenous,21.04.2023,2023,authorised (under additional monitoring),SWISSMEDIC,approved,11.09.2023,2023,"Endocrine, nutritional, and metabolic diseases",swisspar_elfabrio_final.pdf,Biologics,Elfabrio,Elfabrio is indicated for long-term enzyme replacement therapy in adult patients with a confirmed diagnosis of Fabry disease (deficiency of alpha-galactosidase).,<Fabry Disease>,no,Elfabrio is indicated for long-term enzyme replacement therapy in adult patients with a confirmed diagnosis of Fabry disease (deficiency of alpha-galactosidase).,<Fabry Disease>,Chiesi SA,Chiesi,69257,pegunigalsidas e alfa,yes,yes,concentrate,EMEA/H/C/005618/0000,EMA
intramuscular,14.02.2022,2022,authorised (under additional monitoring),SWISSMEDIC,conditional marketing authorisation,12.04.2022,2022,Infectious and parasitic diseases,swisspar_nuvaxovid_final.pdf,Vaccine,Nuvaxovid,Active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 18 years of age and older.,<COVID-19>,no,Active immunisation to prevent COVID-19 caused by SARS-CoV-2 in individuals 18 years of age and older.,<COVID-19>,Future Health Pharma GmbH,Future Health,68473,SARS CoV-2 recombinant spike protein (rS NVX-CoV2373),yes,no,dispersion,Not reported,EMA
intravenous,19.11.2019,2019,authorised,SWISSMEDIC,approved,10.08.2020,2020,Neoplasms; Diseases of the blood and blood-forming organs,swisspar_trecondi_finale_version.pdf,Small molecule,TRECONDI,"TRECONDI in combination with fludarabine is indicated as part of conditioning treatment prior to allogeneic haematopoietic stem cell transplantation (alloHSCT) in adult patients with malignant and non-malignant diseases, and in paediatric patients older than 1 month with malignant diseases.",Not Reported,no,"Treosulfan in combination with fludarabine is indicated as part of conditioning treatment prior to allogeneic haematopoietic stem cell transplantation (alloHSCT) in adult patients with malignant and non-malignant diseases, and in paediatric patients older than one month with malignant diseases.",<Neoplasms>,Opopharma Vertriebs AG,Opopharma,67775,treosulfan,yes,no,powder,Not reported,EMA
oral,20.05.2020,2020,authorised (under additional monitoring),SWISSMEDIC,approved,08.02.2021,2021,"Neoplasms; Diseases of the respiratory system; endocrine, nutritional, and metabolic diseases",swisspar_retsevmo_final_zur_publikation.pdf,Small molecule,RETSEVMO,Retsevmo as monotherapy is indicated for the treatment of adults with metastatic RET fusion-positive non-small cell lung cancer (NSCLC) who require systemic therapy and have progressed following prior treatment; advanced RET fusion-positive thyroid cancer who require systemic therapy and have progressed following prior treatment including radioactive iodine; adults and adolescents 12 years and older with advanced RET-mutant medullary thyroid cancer (MTC) who require systemic therapy and have progressed following prior treatment with tyrosine kinase inhibitors.,"<Non-Small Cell Lung Carcinoma>; <Thyroid Neoplasms>; <Medullary Carcinoma, Thyroid>",no,Retsevmo as monotherapy is indicated for the treatment of adults with advanced RET fusion-positive non-small cell lung cancer (NSCLC) who require systemic therapy and who have progressed following prior treatment; advanced RET fusion-positive thyroid cancer who require systemic therapy and who have progressed following prior treatment; adults and adolescents 12 years and older with advanced RET-mutant medullary thyroid cancer (MTC) who require systemic therapy and who have progressed following prior treatment.,"<Non-Small Cell Lung Carcinoma>; <Thyroid Neoplasms>; <Medullary Carcinoma, Thyroid>",Eli Lilly (Suisse) SA,Eli Lilly,67862,selpercatinib,yes,no,capsule,Not reported,FDA
intravitreal,25.02.2019,2019,authorised (under additional monitoring),SWISSMEDIC,approved,16.01.2020,2020,Diseases of the eye and adnexa,swisspar_–_beovu.pdf,Biologics,Beovu,treatment of neovascular (wet) age-related macular degeneration (AMD),<Macular Degeneration>,no,treatment of neovascular (wet) age-related macular degeneration (AMD),<Macular Degeneration>,Novartis Pharma Schweiz AG,Novartis,67244,brolucizumabum,no,no,solution,Not reported,NA
