Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency
"236110, 236108, 236109",pm-2015-00423-1-3,ranexa,ranolazine,a menarini australia pty ltd,small molecule,tablet,oral,approved,authorised,12.05.2016,2016,no,no,add-on therapy for the symptomatic treatment of patients with stable angina pectoris who are inadequately controlled or intolerant to first-line anti-angina therapies.,add-on therapy for the symptomatic treatment of stable angina pectoris in patients taking maximum tolerated doses of a beta-blocker or a calcium channel blocker and have inadequate symptom control.,diseases of the circulatory system,29.05.2015,2015,no,na,auspar-ranolazine-180220.pdf,TGA
,pm-2008-1737-1,zeldox im,ziprasidone,pfizer australia pty ltd,small molecule,powder,intramuscular,approved,authorised,28.10.2009,2009,no,no,for acute treatment and short term management of agitation and disturbed behaviour in patients with schizophrenia and related psychoses when oral therapy is not appropriate,for acute treatment and short term management of agitation and disturbed behaviour in patients with schizophrenia and related psychoses when oral therapy is not appropriate,mental and behavioural disorders,31.10.2000,2000,no,na,auspar-zeldoxim.pdf,TGA
128136,pm-2018-00306-1-3,inomax,nitric oxide,ikaria australia pty ltd,small molecule,gas,inhalation,approved,authorised,30.04.2019,2019,no,yes,"as part of the treatment of patients with peri- and post-operative pulmonary hypertension in conjunction with heart surgery, to selectively decrease pulmonary arterial pressure and improve right ventricular function and oxygenation.","as part of the treatment of patients with peri- and post-operative pulmonary hypertension in conjunction with heart surgery, to selectively decrease pulmonary arterial pressure and improve right ventricular function and oxygenation.",diseases of the circulatory system,30.04.2018,2018,yes,,auspar-nitric-oxide-191128.pdf,TGA
"339992, 339993, 339994",pm-2020-03566-1-3,verquvo,vericiguat,bayer australia ltd,small molecule,tablet,oral,approved,authorised (under additional monitoring),10.11.2021,2021,no,no,treatment of symptomatic chronic heart failure in adult patients with reduced ejection fraction less than 45% who had a previous worsening heart failure event,treatment of symptomatic chronic heart failure in adult patients with reduced ejection fraction less than 45% who are stabilised after a recent heart failure decompensation event requiring admission and/or iv diuretic therapy,diseases of the circulatory system,13.08.2020,2020,no,na,auspar-verquvo-220707.pdf,TGA
"149402, 149403, 149404",pm-2010-03070-3-3,actemra,tocilizumab,roche products pty ltd,biologics,solution,intravenous,approved,authorised,31.10.2011,2011,no,yes,treatment of active systemic juvenile idiopathic arthritis in patients 2 years of age and older.,treatment of active systemic juvenile idiopathic arthritis in patients 2 years of age and older.,diseases of the musculoskeletal system and connective tissue,,,yes,,auspar-actemra-111215.pdf,TGA
160465,pm-2009-00539-3-5,visanne,dienogest,bayer australia ltd,small molecule,tablet,oral,approved,authorised,25.05.2010,2010,no,yes,for the treatment of endometriosis,for the treatment of endometriosis,diseases of the genitourinary system,,,no,na,auspar-visanne.pdf,TGA
"233470, 233471",pm-2014-03871-1-2,actair initiation treatment and actair continuation treatment,american house dust mite / european house dust mite,stallergenes australia pty ltd,biologics,tablet,sublingual,approved,authorised,05.04.2016,2016,no,yes,treatment of house dust mite allergic rhinitis with or without conjunctivitis in adults and adolescents and children (above the age of 5) diagnosed with house dust mite allergy,treatment of house dust mite allergic rhinitis with or without conjunctivitis in adults and adolescents over 12 years diagnosed with house dust mite allergy,diseases of the respiratory system,,,yes,,auspar-american-house-dust-mite-european-house-dust-mite-170809.pdf,TGA
313780,pm-2019-00113-1-5,cequa,ciclosporin,sun pharma anz pty ltd,peptides and proteins,drops,ocular,approved,authorised (under additional monitoring),28.01.2020,2020,no,yes,cequa is indicated to increase tear production in patients with keratoconjunctivitis sicca (dry eye).,cequa is indicated to increase tear production in patients with moderate to severe keratoconjunctivitis sicca (dry eye) where prior use of artificial tears has not been sufficient.,diseases of the eye and adnexa,28.02.2019,2019,no,na,auspar-ciclosporin-200424.pdf,TGA
253893 and 253892,pm-2017-02078-1-3,taltz,ixekizumab,eli lilly australia pty ltd,biologics,solution,subcutaneous,approved,authorised (under additional monitoring),22.06.2018,2018,no,yes,"treatment of active psoriatic arthritis in adult patients who have responded inadequately, or who are intolerant, to previous dmard therapy.","treatment of active psoriatic arthritis in adult patients who have responded inadequately, or who are intolerant, to previous dmard therapy.",diseases of the musculoskeletal system and connective tissue; diseases of the skin,31.08.2017,2017,yes,,auspar-ixekizumab-181119.pdf,TGA
"203131, 203132",pm-2012-03466-1-5,dymista/dylastine,fluticasone propionate and azelastine hydrochloride,meda pharmaceuticals pty ltd,small molecule,spray,nasal,approved,authorised,16.12.2013,2013,no,no,symptomatic treatment of moderate to severe allergic rhinitis and rhino-conjunctivitis in adults and children 12 years and older where use of a combination (nasal antihistamine and glucocorticoid) is appropriate.,symptomatic treatment of moderate to severe allergic rhinitis and rhino-conjunctivitis in adults and children 12 years and older where use of a combination (nasal antihistamine and glucocorticoid) is appropriate.,diseases of the respiratory system; diseases of the eye and adnexa,,,no,na,auspar-fluticasone-propionate-140724.pdf,TGA
,,genotropin,somatropin,pfizer australia,peptides and proteins,powder,subcutaneous,approved,authorised,19.12.2009,2009,yes,no,,short stature due to decreased or failed secretion of pituitary growth hormone; treatment of adults with severe growth hormone deficiency; growth disturbances associated with turner syndrome; improvement of body composition and treatment of short stature associated with prader-willi syndrome in paediatric patients; treatment of growth disturbance in children with chronic renal insufficiency,"endocrine, nutritional, and metabolic diseases; congenital malformations and chromosomal abnormalities",,,yes,,auspar-somatropin.pdf,TGA
339070,pm-2020-02915-1-5,breztri aerosphere,budesonide / glycopyrronium / formoterol,astrazeneca pty ltd,small molecule,inhaler,inhalation,approved,authorised,16.07.2021,2021,no,no,maintenance treatment to prevent exacerbations and relieve symptoms in adults with copd who require treatment with lama+laba+ics,"maintenance treatment to prevent exacerbations and relieve symptoms in adults with moderate, severe, or very severe chronic obstructive pulmonary disease (copd) who require treatment with a combination of an inhaled corticosteroid (ics), a long-acting β2-agonist (laba), and a long-acting muscarinic antagonist (lama).",diseases of the respiratory system,31.07.2020,2020,no,na,auspar-budesonide-glycopyrronium-formoterol-220414.pdf,TGA
181185 and 181186,pm-2012-01179-3-3,xarelto,rivaroxaban,bayer australia ltd,small molecule,tablet,oral,approved,authorised,27.06.2013,2013,no,yes,treatment of pulmonary embolism,treatment of pulmonary embolism,diseases of the circulatory system,,,yes,,auspar-rivaroxaban-131002.pdf,TGA
aust r 176602,pm-2010-02939-3-5,samsca,tolvaptan,orphan australia pty ltd,small molecule,tablet,oral,approved,authorised,15.03.2012,2012,yes,no,"treatment of clinically significant dilutional hyponatremia including patients with heart failure, cirrhosis, and syndrome of inappropriate antidiuretic hormone (siadh).",treatment of clinically significant hypervolemic or euvolemic hyponatremia including patients with heart failure and syndrome of inappropriate antidiuretic hormone (siadh).,"diseases of the blood and blood-forming organs; diseases of the circulatory system; endocrine, nutritional, and metabolic diseases",,,no,na,auspar-tolvaptan-121004.pdf,TGA
,pm-2009-00795-3-5,ozurdex,dexamethasone,allergan australia pty ltd,biologics,implant,ocular,withdrawn,withdrawn,12.07.2011,2011,no,yes,treatment of adult patients with macular oedema due to either central retinal vein occlusion (crvo) or branch retinal vein occlusion (brvo).,na,diseases of the eye and adnexa,,,yes,,auspar-ozurdex.pdf,TGA
215632,pm-2013-02751-1-3-2,carbaglu,carglumic acid,emerge health pty ltd,small molecule,tablet,oral,approved,authorised,30.01.2015,2015,yes,no,"hyperammonaemia due to n-acetylglutamate synthase primary deficiency; hyperammonaemia due to organic acidaemias such as isovaleric acidaemia, methymalonic acidaemia, propionic acidaemia","hyperammonaemia due to n-acetylglutamate synthase primary deficiency; hyperammonaemia due to organic acidaemias such as isovaleric acidaemia, methymalonic acidaemia, propionic acidaemia","endocrine, nutritional, and metabolic diseases",12.02.2015,2015,yes,,auspar-carglumic-acid-150902.pdf,TGA
"74124, 170651, 235282",pm-2019-02645-1-1,dysport,clostridium botulinum type a toxin - haemagglutinin complex,ipsen australia pty ltd,biologics,powder,intramuscular,approved,authorised,14.07.2020,2020,no,yes,for symptomatic treatment of focal spasticity of upper limbs in children aged 2 years and older.,for symptomatic treatment of focal spasticity of upper limbs in children aged 2 years and older.,diseases of the nervous system; congenital malformations and chromosomal abnormalities,31.07.2019,2019,yes,,auspar-clostridium-botulinum-type-a-toxin-haemagglutinin-complex-210408.pdf,TGA
"211294, 211295, 211296",pm-2013-01515-1-5,xigduo xr,dapagliflozin; metformin,astrazeneca pty ltd,small molecule,tablet,oral,approved,authorised,11.07.2014,2014,no,no,as an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus when treatment with both dapagliflozin and metformin is appropriate.,as an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus when treatment with both dapagliflozin and metformin is appropriate.,"endocrine, nutritional, and metabolic diseases",,,no,na,auspar-dapagliflozin-propanediol-monohydrate-141217.pdf,TGA
325682,pm-2019-04826-1-2,menquadfi,"meningococcal (groups a, c, y, w) polysaccharide tetanus toxoid conjugate vaccine",sanofi-aventis australia pty ltd,vaccine,solution,intramuscular,approved,authorised (under additional monitoring),27.10.2020,2020,no,no,"active immunisation for the prevention of invasive meningococcal disease caused by neisseria meningitidis serogroups a, c, w and y.","active immunisation for the prevention of invasive meningococcal disease caused by neisseria meningitidis serogroups a, c, w and y.",infectious and parasitic diseases,02.12.2019,2019,no,na,auspar-meningococcal-groups-a-c-y-w-polysaccharide-tetanus-toxoid-conjugate-vaccine-210317.pdf,TGA
243872; 243873,pm-2015-01556-1-1,zinbryta,daclizumab,biogen australia pty ltd,biologics,solution,subcutaneous,approved,authorised,20.09.2016,2016,no,no,treatment of relapsing forms of multiple sclerosis (ms),treatment of relapsing forms of multiple sclerosis (ms) to delay the progression of physical disability and to reduce the frequency of relapse,diseases of the nervous system,,,no,na,auspar-daclizumab-170504.pdf,TGA
,pm-2010-02389-3-5,byetta and bydureon,exenatide,eli lilly australia pty ltd,peptides and proteins,solution; powder,subcutaneous,approved,authorised,06.12.2012,2012,no,yes,"to improve glycaemic control in patients with type 2 diabetes mellitus who are taking metformin, a sulfonylurea, or a combination of metformin and a sulfonylurea but are not achieving adequate glycaemic control.","to improve glycaemic control in patients with type 2 diabetes mellitus who are taking metformin, a sulfonylurea, or a combination of metformin and a sulfonylurea but are not achieving adequate glycaemic control.","endocrine, nutritional, and metabolic diseases",,,no,na,auspar-exenatide-130205-1.pdf,TGA
172882,pm-2010-01829-3-3,adcirca,tadalafil,eli lilly australia pty ltd,small molecule,tablet,oral,approved,authorised,05.08.2011,2011,yes,yes,adcirca is indicated for the treatment of pulmonary arterial hypertension (pah) classified as who functional class ii and iii to improve exercise capacity. efficacy has been shown in idiopathic pah (ipah) and in pah related to collagen vascular disease.,"adcirca is indicated in adults for the treatment of pulmonary arterial hypertension (pah) classified as who functional class ii and iii, to improve exercise capacity. efficacy has been shown in idiopathic pah (ipah) and in pah related to collagen vascular disease.",diseases of the circulatory system,,,yes,,auspar-adcirca.pdf,TGA
172244 (2.5 mg) and 193474 (5 mg),pm-2011-03165-3-3,eliquis,apixaban,bristol-myers squibb australia pty ltd,small molecule,tablet,oral,approved,authorised,29.04.2013,2013,no,yes,"reduce the risk of stroke, systemic embolism, and death in patients with non-valvular atrial fibrillation with at least one additional risk factor for stroke.",prevention of stroke and systemic embolism in patients with non-valvular atrial fibrillation and at least one additional risk factor for stroke.,diseases of the circulatory system,,,no,na,auspar-apixaban-130621.pdf,TGA
"90456, 107316, 124421, 124422, 157627",pm-2012-04135-1-3,enbrel,etanercept,pfizer australia pty ltd,biologics,powder; diluent; solution,injection,approved,authorised,12.02.2014,2014,no,yes,juvenile idiopathic arthritis,juvenile idiopathic arthritis,diseases of the musculoskeletal system and connective tissue,06.02.2013,2013,yes,,auspar-etanercept-140424.pdf,TGA
"393999, 394000, 394001, 394002, 394003",,sohonos,palovarotene,ipsen pty ltd,small molecule,capsule,oral,approved,authorised (under additional monitoring),27.11.2023,2023,yes,no,to reduce the formation of heterotopic ossification in adults and children aged 8 years and above for females and 10 years and above for males with fibrodysplasia ossificans progressiva (fop).,to reduce the formation of heterotopic ossification in adults and children aged 8 years and above for females and 10 years and above for males with fibrodysplasia ossificans progressiva (fop).,diseases of the musculoskeletal system and connective tissue; congenital malformations and chromosomal abnormalities,30.09.2022,2022,no,na,auspar-sohonos-240813.pdf,TGA
201509,pm-2012-02740-3-2,besivance,besifloxacin hydrochloride,bausch & lomb (australia) pty ltd,small molecule,suspension,ocular,approved,authorised,29.10.2013,2013,no,no,treatment of bacterial conjunctivitis caused by susceptible isolates of specific bacteria,"treatment of severe, confirmed bacterial conjunctivitis caused by besifloxacin sensitive bacteria",diseases of the eye and adnexa; infectious and parasitic diseases,,,no,na,auspar-besifloxacin-hydrochloride-140203.pdf,TGA
"217964, 217965",pm-2013-03639-1-5,trulicity,dulaglutide,eli lilly australia pty ltd,biologics,solution,subcutaneous,approved,authorised,22.12.2014,2014,no,no,as an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus,as an adjunct to diet and exercise to improve glycaemic control in adults with type 2 diabetes mellitus,"endocrine, nutritional, and metabolic diseases",,,no,na,auspar-dulaglutide-rch-150727.pdf,TGA
"220889, 220890, 220892, 220886, 220893, 220888, 220894, 220887 and 220891",pm-2013-04961-1-3,renvela / sevelamer carbonate winthrop/ sevelamer carbonate sanofi,sevelamer carbonate,sanofi aventis australia pty ltd,other,tablet; powder,oral,approved,authorised,14.04.2015,2015,no,no,the management of hyperphosphataemia in adult patients with stage 4 and 5 chronic kidney disease.,the management of hyperphosphataemia in adult patients with stage 4 and 5 chronic kidney disease.,"endocrine, nutritional, and metabolic diseases",,,yes,,auspar-sevelamer-carbonate-151002.pdf,TGA
165621,dk/h/1306/01/dc,sancuso,granisetron,invida australia pty ltd,small molecule,patch,transdermal,approved,authorised,02.03.2011,2011,no,no,the prevention of nausea and vomiting in patients receiving moderately and/or highly emetogenic chemotherapy regimens of up to 5 consecutive days duration.,the prevention of nausea and vomiting in patients receiving moderately and/or highly emetogenic chemotherapy regimens of up to 5 consecutive days duration.,neoplasms,,,no,na,auspar-sancuso.pdf,TGA
222744,pm-2014-00648-1-2,sunvepra,asunaprevir,bristol-myers squibb australia pty ltd,small molecule,capsule,oral,approved,authorised,21.05.2015,2015,no,no,treatment of chronic hepatitis c virus (hcv) infection in adults with compensated liver disease (including cirrhosis),treatment of chronic hepatitis c virus (hcv) infection in adults with compensated liver disease (including cirrhosis),infectious and parasitic diseases,,,no,na,auspar-asunaprevir-151214.pdf,TGA
308832,pm-2018-03515-1-2,uvadex,methoxsalen,terumo bct australia pty ltd,small molecule,concentrate,extracorporeal circulation,approved,authorised (under additional monitoring),13.09.2019,2019,yes,no,treatment of steroid-refractory graft versus host disease (gvhd) following allogeneic hsc transplantation.,treatment of steroid-refractory and steroid-intolerant chronic graft versus host disease (cgvhd) in adults following allogeneic hsc transplantation.,diseases of the blood and blood-forming organs,28.09.2018,2018,no,na,auspar-methoxsalen-191114.pdf,TGA
73229,pm-2009-03121,herceptin,trastuzumab,roche products pty ltd,biologics,powder,intravenous,approved,authorised,17.09.2010,2010,no,yes,her2 positive advanced adenocarcinoma of the stomach or gastro-oesophageal junction,in combination with cisplatin and either capecitabine or 5-fu for the treatment of patients with her2 positive advanced adenocarcinoma of the stomach or gastro-oesophageal junction who have not received prior anti-cancer treatment for their metastatic disease.,neoplasms; diseases of the digestive system,,,yes,,auspar-herceptin.pdf,TGA
"226557, 226558, 226559, 226560, 226561",pm-2014-01922-1-1,nuvigil,armodafinil,teva pharmaceuticals australia pty ltd,small molecule,tablet,oral,approved,authorised,24.11.2015,2015,no,no,to improve wakefulness in patients with excessive daytime sleepiness associated with narcolepsy; to treat excessive sleepiness associated with moderate to severe chronic shift work sleep disorder where nonpharmacological interventions are unsuccessful or inappropriate; as an adjunct to continuous positive airways pressure (cpap) in obstructive sleep apnoea/hypopnoea syndrome in order to improve wakefulness.,to improve wakefulness in patients with excessive daytime sleepiness associated with narcolepsy; to treat excessive sleepiness associated with moderate to severe chronic shift work sleep disorder where nonpharmacological interventions are unsuccessful or inappropriate; as an adjunct to continuous positive airways pressure (cpap) in obstructive sleep apnoea/hypopnoea syndrome in order to improve wakefulness.,diseases of the nervous system; diseases of the respiratory system,,,no,na,auspar-armodafinil-160526.pdf,TGA
297214,pm-2017-04578-1-2,kozenis,tafenoquine,glaxosmithkline australia pty ltd,small molecule,tablet,oral,approved,authorised (under additional monitoring),12.09.2018,2018,yes,no,radical cure (prevention of relapse) of plasmodium vivax malaria in patients aged 16 years and older.,radical cure (prevention of relapse) of plasmodium vivax malaria in patients aged 16 years and older who are receiving appropriate antimalarial therapy for the acute plasmodium vivax infection.,infectious and parasitic diseases,11.01.2018,2018,no,na,auspar-tafenoquine-as-succinate-181115.pdf,TGA
220423,pm-2013-04920-1-3,otezla,apremilast,celgene pty ltd,small molecule,tablet,oral,approved,authorised,12.03.2015,2015,no,no,the treatment of signs and symptoms of active psoriatic arthritis in adult patients; the treatment of adult patients with moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy.,the treatment of signs and symptoms of active psoriatic arthritis in adult patients; the treatment of adult patients with moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy.,diseases of the musculoskeletal system and connective tissue; diseases of the skin,,,no,na,auspar-apremilast-151022.pdf,TGA
aust r 180859 and aust r 180860,pm-2010-03802-3-5,eylea,aflibercept,bayer australia limited,biologics,solution,intravitreal,approved,authorised,17.02.2012,2012,no,no,treatment of neovascular (wet) age-related macular degeneration (amd),treatment of neovascular (wet) age-related macular degeneration (amd),diseases of the eye and adnexa,,,no,na,auspar-aflibercept-120730.pdf,TGA
318800 ; 318801,pm-2019-02397-1-1,zeposia,ozanimod hydrochloride,celgene pty ltd,small molecule,capsule,oral,approved,authorised (under additional monitoring),16.07.2020,2020,no,no,treatment of adult patients with relapsing forms of multiple sclerosis,treatment of adult patients with relapsing forms of multiple sclerosis,diseases of the nervous system,31.07.2019,2019,no,na,auspar-ozanimod-hydrochloride-201125.pdf,TGA
"226065, 226066, 226067, 226068",pm-2014-01847-1-4,ofev and vargatef,nintedanib esilate,boehringer ingelheim pty ltd,small molecule,capsule,oral,approved,authorised,27.08.2015,2015,no,no,"treatment of patients with locally advanced, metastatic or recurrent non-small cell lung cancer (nsclc) of adenocarcinoma tumour histology after first line chemotherapy; treatment of idiopathic pulmonary fibrosis (ipf)","treatment of patients with locally advanced, metastatic or recurrent non-small cell lung cancer (nsclc) of adenocarcinoma tumour histology after failure of first line chemotherapy; treatment of idiopathic pulmonary fibrosis (ipf)",neoplasms; diseases of the respiratory system,,,no,na,auspar-nintedanib-esilate-160208.pdf,TGA
204371,pm-2012-03754-1-4,novoeight,turoctocog alfa,novo nordisk pharmaceuticals pty ltd,biologics,powder,intravenous,approved,authorised,08.01.2014,2014,yes,yes,"treatment and prophylaxis of bleeding episodes in patients with haemophilia a, including control and prevention of bleeding in surgical settings.","treatment and prophylaxis of bleeding episodes in patients with haemophilia a, including control and prevention of bleeding in surgical settings.",diseases of the blood and blood-forming organs,04.09.2012,2012,no,na,auspar-turoctocog-140507.pdf,TGA
123158,pm-2013-02057-1-4,nexavar,sorafenib,bayer australia ltd,small molecule,tablet,oral,approved,authorised,22.04.2014,2014,yes,yes,"the treatment of patients with locally advanced or metastatic, progressive, differentiated thyroid carcinoma refractory to radioactive iodine.","differentiated thyroid carcinoma: nexavar is indicated for the treatment of patients with locally advanced or metastatic, progressive, differentiated thyroid carcinoma refractory to radioactive iodine.","neoplasms; endocrine, nutritional, and metabolic diseases",06.03.2013,2013,yes,,auspar-sorafenib-140806.pdf,TGA
"293333, 293334, 293335 and 293336",pm-2017-03119-1-3,kevzara,sarilumab,sanofi-aventis australia pty ltd,biologics,solution,subcutaneous,approved,authorised (under additional monitoring),12.09.2018,2018,no,no,treatment of moderate to severe active rheumatoid arthritis in adult patients who have had an inadequate response or intolerance to one or more dmards.,treatment of moderate to severe active rheumatoid arthritis in adult patients who have had an inadequate response or intolerance to one or more dmards.,diseases of the musculoskeletal system and connective tissue,29.09.2017,2017,no,na,auspar-sarilumab-rch-190408.pdf,TGA
330601 and 330617,pm-2020-00666-1-1,kesimpta,ofatumumab,novartis pharmaceuticals australia pty ltd,biologics,solution,subcutaneous,approved,authorised (under additional monitoring),03.03.2021,2021,no,yes,treatment of adult patients with relapsing forms of multiple sclerosis (rms).,treatment of adult patients with relapsing forms of multiple sclerosis (rms) to delay the progression of physical disability and reduce the frequency of relapse.,diseases of the nervous system,30.03.2020,2020,no,na,auspar-ofatumumab-210624.pdf,TGA
417266,pm-2023-03314-1-2,comirnaty original/omicron ba.4-5,tozinameran/famtozinameran,pfizer australia pty ltd,vaccine,suspension,intramuscular,approved,authorised,09.05.2024,2024,no,yes,"as a booster dose for active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2, in individuals 6 months of age and older.","active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sarscov-2, in individuals 6 months of age and older.",infectious and parasitic diseases,16.08.2023,2023,no,na,auspar-comirnaty-original-omicron-ba45-240912.pdf,TGA
"346198, 346199 and 346200",pm-2020-03921-1-5,rybelsus,semaglutide,novo nordisk pharmaceuticals pty ltd,biologics,tablet,oral,approved,authorised (under additional monitoring),04.02.2022,2022,no,no,the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise,the treatment of adults with insufficiently controlled type 2 diabetes mellitus as an adjunct to diet and exercise,"endocrine, nutritional, and metabolic diseases",02.11.2020,2020,no,na,auspar-rybelsus-20221027.pdf,TGA
336970,pm-2020-02488-1-2,kamrab,rabies immunoglobulin,link medical products pty ltd,biologics,solution,intramuscular,approved,authorised (under additional monitoring),11.08.2021,2021,no,no,"passive, transient post-exposure prophylaxis (pep) of rabies infection, when given immediately after contact with a rabid or possibly rabid animal.","passive, transient post-exposure prophylaxis (pep) of rabies infection, when given immediately after contact with a rabid or possibly rabid animal.",infectious and parasitic diseases,30.06.2020,2020,no,na,auspar-rabies-immunoglobulin-220110.pdf,TGA
"399552, 399553, 406730",pm-2023-01714-1-2,spikevax bivalent original/omicron ba.4-5,elasomeran and davesomeran,moderna australia pty ltd,vaccine,suspension,intramuscular,approved,authorised,14.08.2023,2023,no,no,as a booster dose for active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2 in individuals 12 years of age and older who have previously received at least a primary vaccination course against covid-19.,as a booster dose for active immunisation to prevent coronavirus disease 2019 (covid-19) caused by sars-cov-2 in individuals 12 years of age and older who have previously received at least a primary vaccination course against covid-19.,infectious and parasitic diseases,04.05.2023,2023,yes,,auspar-spikevax-original-omicron-ba.4-5-230907.pdf,TGA
"197680, 197688, 197689, 197690, 197691, 197692",pm-2012-00804-3-1,instanyl,fentanyl citrate,takeda pharmaceuticals australia pty ltd,small molecule,spray,nasal,approved,authorised,03.06.2013,2013,no,no,management of breakthrough pain in patients already receiving maintenance opioid therapy for chronic cancer pain,management of breakthrough pain in adults already receiving maintenance opioid therapy for chronic cancer pain,neoplasms,,,no,na,auspar-fentanyl-citrate-131111.pdf,TGA
"160106, 160108, 160107",pm-2009-00676-3-4,nivestim,filgrastim,hospira pty ltd,biologics,solution,subcutaneous; intravenous,approved,authorised,13.09.2010,2010,no,no,to decrease the incidence of infection in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs; for reducing the duration of neutropenia in patients undergoing chemotherapy for acute myeloid leukaemia; for the mobilisation of peripheral blood progenitor cells; for reducing the duration of neutropenia following bone marrow transplantation; for chronic administration to increase neutrophil counts in patients with severe chronic neutropenia; in patients with hiv infection for reversal of neutropenia.,to decrease the incidence of infection in patients with non-myeloid malignancies receiving myelosuppressive anti-cancer drugs; for reducing the duration of neutropenia in patients undergoing chemotherapy for acute myeloid leukaemia; for the mobilisation of peripheral blood progenitor cells; for reducing the duration of neutropenia following bone marrow transplantation; for chronic administration to increase neutrophil counts in patients with severe chronic neutropenia; in patients with hiv infection for reversal of neutropenia.,neoplasms; diseases of the blood and blood-forming organs; infectious and parasitic diseases,,,no,na,auspar-nivestim.pdf,TGA
179059,pm-2010-03273-3-2,victrelis,boceprevir,merck sharp & dohme (australia) pty ltd,small molecule,capsule,oral,approved,authorised,22.12.2011,2011,no,no,"treatment of chronic hepatitis c (hcv) genotype 1 infection, in combination with peginterferon alpha and ribavirin, in adult patients with compensated liver disease who are previously untreated or who have failed previous therapy.","treatment of chronic hepatitis c (hcv) genotype 1 infection, in combination with peginterferon alpha and ribavirin, in adult patients with compensated liver disease who are previously untreated or who have failed previous therapy.",infectious and parasitic diseases,,,no,na,auspar-boceprevir-120423.pdf,TGA
"181185, 181186",pm-2010-03901-3-3,xarelto,rivaroxaban,bayer australia ltd,small molecule,tablet,oral,approved,authorised,03.04.2012,2012,no,yes,prevention of stroke and systemic embolism in patients with non valvular atrial fibrillation; treatment of deep vein thrombosis (dvt) and for the prevention of recurrent dvt and pulmonary embolism (pe),prevention of stroke and systemic embolism in patients with non valvular atrial fibrillation; treatment of deep vein thrombosis (dvt) and for the prevention of recurrent dvt and pulmonary embolism (pe),diseases of the circulatory system,,,no,na,auspar-rivaroxaban-120913.pdf,TGA
,pm-2007-3666-2,cayston,aztreonam,gilead sciences pty ltd,small molecule,inhaler,inhalation,approved,authorised,02.02.2010,2010,yes,no,"control of gram-negative bacteria, particularly pseudomonas aeruginosa, in the respiratory tract of patients with cystic fibrosis.","control of gram-negative bacteria, particularly pseudomonas aeruginosa, in the respiratory tract of patients with cystic fibrosis.",infectious and parasitic diseases; diseases of the respiratory system,,,no,na,auspar-cayston.pdf,TGA
167943 and 167949,pm-2009-03929-3-2,aflunov/prepandemic h5n1 adjuvanted influenza vaccine,influenza virus haemagglutinin h5n1,novartis vaccines and diagnostics,vaccine,solution,intramuscular;deep subcutaneous,approved,authorised,16.03.2011,2011,no,no,active immunisation against h5n1 subtype of influenza a virus,active immunisation against a/vietnam/1194 2004 (h5n1) like strain (nibrg-14) subtype of influenza a virus,infectious and parasitic diseases,,,yes,,auspar-aflunov.pdf,TGA
"227125, 227242",pm-2014-01877-1-2,soolantra and vastreka,ivermectin,galderma australia pty ltd,small molecule,cream,topical,approved,authorised,09.09.2015,2015,no,yes,topical treatment of inflammatory lesions of rosacea (papulo-pustular) in adult patients 18 years and over.,topical treatment of inflammatory lesions of rosacea (papulo-pustular) in adult patients 18 years and over.,diseases of the skin,,,no,na,auspar-ivermectin-151209.pdf,TGA
,pm-2008-2254-4,firmagon,degarelix,ferring pharmaceuticals pty ltd,peptides and proteins,powder,subcutaneous,approved,authorised,16.02.2010,2010,no,no,treatment of patients with prostate cancer in whom androgen deprivation therapy is warranted.,treatment of patients with prostate cancer in whom androgen deprivation therapy is warranted.,neoplasms,,,no,na,auspar-firmagon.pdf,TGA
,pm-2009-03232-3-5,rupafin,rupatadine,inova pharmaceuticals (australia) pty ltd,small molecule,tablet,oral,withdrawn,withdrawn,17.03.2011,2011,no,no,"symptomatic treatment of seasonal allergic rhinitis (sar), perennial allergic rhinitis (par) and chronic idiopathic urticaria (ciu) in adults and adolescents (over 12 years of age).",na,diseases of the respiratory system; diseases of the skin,,,no,na,auspar-rupafin.pdf,TGA
"203690, 203694, 203692, 203687, 203690, 203694, 203692, 203687",pm-2012-03419-1-3,ezalo composite pack / rosuzet composite pack,ezetimibe and rosuvastatin,merck sharp & dohme australia pty ltd,small molecule,tablet,oral,approved,authorised,20.11.2013,2013,no,no,primary hypercholesterolaemia; homozygous familial hypercholesterolaemia (hofh),primary hypercholesterolaemia; homozygous familial hypercholesterolaemia (hofh),"endocrine, nutritional, and metabolic diseases",,,yes,,auspar-ezetimibe-140305.pdf,TGA
