Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_approved_extracted,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body,Agency
oral,,,discontinued,fda,approved,05.05.2020,2020,,,,small molecule,deferasirox,,,,,zydus pharms,zydus,anda208882,deferasirox,yes,no,tablet; suspension,,no,FDA
oral,,,authorised,fda,approved,22.10.2020,2020,,,,small molecule,albuterol sulfate,,,,,zydus pharms,zydus,anda208884,albuterol sulfate,yes,no,tablet,,no,FDA
topical,,,authorised,fda,approved,11.01.2019,2019,diseases of the skin,<dermatoses>,,small molecule,betamethasone dipropionate,indications and usage topical corticosteroids are indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses.,,,,zydus pharms,zydus,anda208885,betamethasone dipropionate,yes,no,cream,,no,FDA
injection,,,authorised,fda,approved,17.02.2017,2017,,,,small molecule,doxorubicin hydrochloride,,,,,amneal,amneal,anda208888,doxorubicin hydrochloride,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,17.09.2018,2018,,,,small molecule,ritonavir,,,,,amneal,amneal,anda208890,ritonavir,yes,no,tablet,,no,FDA
inhalation,,,authorised,fda,approved,30.01.2019,2019,diseases of the respiratory system,"<asthma>; <pulmonary disease, chronic obstructive>",,small molecule,wixela inhub,"1 indications and usage wixela inhub ® is a combination product containing a corticosteroid and a long-acting beta 2 -adrenergic agonist (laba) indicated for: • twice-daily treatment of asthma in patients aged 4 years and older. ( 1.1 ) • maintenance treatment of airflow obstruction and reducing exacerbations in patients with chronic obstructive pulmonary disease (copd). ( 1.2 ) important limitation of use: not indicated for relief of acute bronchospasm. ( 1.1 , 1.2 ) 1.1 treatment of asthma wixela inhub ® is indicated for the twice-daily treatment of asthma in patients aged 4 years and older. wixela inhub ® should be used for patients not adequately controlled on a long-term asthma control medication such as an inhaled corticosteroid (ics) or whose disease warrants initiation of treatment with both an ics and long-acting beta 2 -adrenergic agonist (laba). important limitation of use wixela inhub ® is not indicated for the relief of acute bronchospasm. 1.2 maintenance treatment of chronic obstructive pulmonary disease wixela inhub ® 250/50 is indicated for the twice-daily maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease (copd), including chronic bronchitis and/or emphysema. wixela inhub ® 250/50 is also indicated to reduce exacerbations of copd in patients with a history of exacerbations. wixela inhub ® 250/50 twice daily is the only approved dosage for the treatment of copd because an efficacy advantage of the higher strength wixela inhub ® 500/50 over wixela inhub ® 250/50 has not been demonstrated. important limitation of use wixela inhub ® is not indicated for the relief of acute bronchospasm.",,,,mylan,mylan,anda208891,fluticasone propionate,yes,no,powder,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,31.03.2023,2023,,,,small molecule,carbidopa; levodopa,,,,,sandoz inc,sandoz,anda208895,carbidopa,yes,no,capsule,,no,FDA
,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,26.06.2024,2024,,,,,,,,,,lupin pharms,lupin,anda208896,,yes,no,,,,FDA
oral,,,authorised,fda,approved,22.11.2017,2017,,,,small molecule,rosuvastatin calcium,,,,,msn,msn,anda208898,rosuvastatin calcium,yes,no,tablet,,no,FDA
intravenous,,,authorised,fda,approved,31.01.2019,2019,,,,small molecule,phenylephrine hydrochloride,,,,,sandoz,sandoz,anda208905,phenylephrine hydrochloride,yes,no,solution,,no,FDA
oral,,,discontinued,fda,approved,29.11.2000,2000,,,,small molecule,amoxicillin,,,,,sun pharm inds ltd,sun,anda065060,amoxicillin,yes,no,tablet,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,03.04.2023,2023,,,,small molecule,treprostinil,,,,,actavis labs,actavis,anda208906,treprostinil,yes,no,tablet,,no,FDA
intramuscular; intravenous; subcutaneous,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,17.03.2021,2021,,,,small molecule,epinephrine,,,,,hospira inc,hospira,anda208908,epinephrine,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,14.01.2025,2025,,,,small molecule,nitrofurantoin,,,,,appco,not reported,anda208909,nitrofurantoin,yes,no,suspension,,no,FDA
oral,,,authorised,fda,approved,26.04.2023,2023,,,,small molecule,gefitinib,,,,,actavis labs fl inc,actavis,anda208913,gefitinib,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,08.03.2018,2018,,,,small molecule,cinacalcet hydrochloride,,,,,cipla,cipla,anda208915,cinacalcet hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,04.03.2021,2021,,,,small molecule,lisinopril,,,,,sciegen pharms inc,sciegen,anda208920,lisinopril,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,22.06.2018,2018,,,,small molecule,ciprofloxacin hydrochloride,,,,,yiling,yiling,anda208921,ciprofloxacin hydrochloride,yes,no,tablet,,no,FDA
injection,,,discontinued,fda,approved,08.11.2022,2022,,,,small molecule,sodium nitroprusside,,,,,avet lifesciences,avet,anda208923,sodium nitroprusside,yes,no,injectable,,no,FDA
topical,,,discontinued,fda,approved,06.10.2017,2017,,,,small molecule,triamcinolone acetonide,,,,,cosette,cosette,anda208925,triamcinolone acetonide,yes,no,ointment,,no,FDA
injection,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,04.05.2018,2018,,,,small molecule,pemetrexed,,,,,biocon ltd,biocon,anda208927,pemetrexed,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,17.06.1999,1999,,,,small molecule,methotrexate sodium,,,,,duramed pharms barr,barr,anda040233,methotrexate sodium,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,02.02.2001,2001,infectious and parasitic diseases; diseases of the respiratory system; diseases of the digestive system; diseases of the skin; diseases of the genitourinary system,"<empyema>; <pneumonia>; <lung abscess>; <skin diseases, bacterial>; <septicemia>; <peritonitis>; <abscess>; <endometritis>; <pelvic inflammatory disease>",,small molecule,clindamycin hydrochloride,"indications and usage clindamycin hydrochloride capsules, usp are indicated in the treatment of serious infections caused by susceptible anaerobic bacteria. clindamycin hydrochloride capsules, usp are also indicated in the treatment of serious infections due to susceptible strains of streptococci, pneumococci, and staphylococci. its use should be reserved for penicillin-allergic patients or other patients for whom, in the judgment of the physician, a penicillin is inappropriate. because of the risk of colitis, as described in the boxed warning , before selecting clindamycin, the physician should consider the nature of the infection and the suitability of less toxic alternatives (e.g., erythromycin). anaerobes: serious respiratory tract infections such as empyema, anaerobic pneumonitis, and lung abscess; serious skin and soft tissue infections; septicemia; intra-abdominal infections such as peritonitis and intra-abdominal abscess (typically resulting from anaerobic organisms resident in the normal gastrointestinal tract); infections of the female pelvis and genital tract such as endometritis, nongonococcal tubo-ovarian abscess, pelvic cellulitis, and postsurgical vaginal cuff infection. streptococci: serious respiratory tract infections; serious skin and soft tissue infections. staphylococci: serious respiratory tract infections; serious skin and soft tissue infections. pneumococci: serious respiratory tract infections. bacteriologic studies should be performed to determine the causative organisms and their susceptibility to clindamycin. to reduce the development of drug-resistant bacteria and maintain the effectiveness of clindamycin hydrochloride capsules, usp and other antibacterial drugs, clindamycin hydrochloride capsules, usp should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. when culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. in the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy.",,,,sun pharm inds ltd,sun,anda065061,clindamycin hydrochloride,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,20.11.2023,2023,,,,small molecule,gabapentin,,,,,ipca labs ltd,ipca,anda208928,gabapentin,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,29.06.2018,2018,,,,small molecule,loratadine,,,,,aurobindo pharma ltd,aurobindo,anda208931,loratadine,yes,no,syrup,,no,FDA
topical,,,authorised,fda,approved,20.03.2017,2017,,,,small molecule,clobetasol propionate,,,,,glenmark speclt,glenmark,anda208933,clobetasol propionate,yes,no,ointment,,no,FDA
oral,,,authorised,fda,approved,26.03.2019,2019,,,,small molecule,tadalafil,,,,,sun pharm,sun,anda208934,tadalafil,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,07.08.2018,2018,,,,small molecule,tolcapone,,,,,novast labs,novast,anda208937,tolcapone,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,19.05.2017,2017,other,not reported,,small molecule,cyproheptadine hydrochloride,no indication found.,,,,zydus pharms,zydus,anda208938,cyproheptadine hydrochloride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,28.05.2020,2020,,,,small molecule,esomeprazole magnesium,,,,,hetero labs ltd iii,hetero,anda208939,esomeprazole magnesium,yes,no,capsule,,no,FDA
oral,,,discontinued,fda,approved,21.01.2021,2021,,,,small molecule,doxycycline,,,,,rising,not reported,anda208942,doxycycline,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,29.11.2017,2017,,,,small molecule,quetiapine fumarate,,,,,novast labs,novast,anda208947,quetiapine fumarate,yes,no,tablet,,no,FDA
topical,,,authorised,fda,approved,17.07.2018,2018,,,,small molecule,fluocinonide,,,,,zydus pharms,zydus,anda208948,fluocinonide,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,30.11.2000,2000,,,,small molecule,minocycline hydrochloride,,,,,torrent,torrent,anda065062,minocycline hydrochloride,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,28.11.2022,2022,,,,small molecule,topiramate,,,,,zydus,zydus,anda208949,topiramate,yes,no,capsule,,no,FDA
rectal,,,authorised,fda,approved,12.02.2020,2020,,,,small molecule,mesalamine,,,,,zydus pharms,zydus,anda208953,mesalamine,yes,no,suppository,,no,FDA
oral,,,authorised,fda,approved,12.08.2021,2021,,,,small molecule,mesalamine,,,,,zydus pharms,zydus,anda208954,mesalamine,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,05.02.2020,2020,,,,small molecule,metoprolol tartrate,,,,,sciegen pharms inc,sciegen,anda208955,metoprolol tartrate,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,31.10.2018,2018,diseases of the genitourinary system,<impotence>,,small molecule,vardenafil hydrochloride,1 indications and usage vardenafil is a phosphodiesterase 5 (pde5) inhibitor indicated for the treatment of erectile dysfunction. ( 1 ) vardenafil hydrochloride tablets are indicated for the treatment of erectile dysfunction.,,,,zydus pharms,zydus,anda208960,vardenafil hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,27.12.2017,2017,,,,small molecule,clomipramine hydrochloride,,,,,zydus pharms,zydus,anda208961,clomipramine hydrochloride,yes,no,capsule,,no,FDA
oral,,,authorised,fda,approved,16.02.2017,2017,infectious and parasitic diseases,"<vaginal candidiasis>; <candidiasis, oral>; <esophageal candidiasis>; <urinary tract infections>; <peritonitis>; <candidemia>; <candidiasis, disseminated>; <pneumonia>; <cryptococcal meningitis>",,small molecule,fluconazole,"indications and usage fluconazole tablets are indicated for the treatment of: vaginal candidiasis (vaginal yeast infections due to candida ). oropharyngeal and esophageal candidiasis. in open noncomparative studies of relatively small numbers of patients, fluconazole tablets were also effective for the treatment of candida urinary tract infections, peritonitis, and systemic candida infections including candidemia, disseminated candidiasis, and pneumonia. cryptococcal meningitis. before prescribing fluconazole tablets for aids patients with cryptococcal meningitis, please see clinical studies section. studies comparing fluconazole tablets to amphotericin b in non-hiv infected patients have not been conducted. prophylaxis: fluconazole tablets are also indicated to decrease the incidence of candidiasis in patients undergoing bone marrow transplantation who receive cytotoxic chemotherapy and/or radiation therapy. specimens for fungal culture and other relevant laboratory studies (serology, histopathology) should be obtained prior to therapy to isolate and identify causative organisms. therapy may be instituted before the results of the cultures and other laboratory studies are known; however, once these results become available, anti-infective therapy should be adjusted accordingly.",,,,zydus pharms,zydus,anda208963,fluconazole,yes,no,tablet,,no,FDA
inhalation,,,authorised,fda,approved,22.03.2017,2017,,,,small molecule,tobramycin,,,,,lupin,lupin,anda208964,tobramycin,yes,no,solution,,no,FDA
oral,,,authorised,fda,approved,21.06.2017,2017,,,,small molecule,amantadine hydrochloride,,,,,alembic,alembic,anda208966,amantadine hydrochloride,yes,no,capsule,,no,FDA
nasal,,,authorised,fda,approved,17.02.2021,2021,diseases of the nervous system,<migraine disorders>,,small molecule,sumatriptan,"1 indications and usage sumatriptan nasal spray is indicated for the acute treatment of migraine with or without aura in adults. limitations of use: use only if a clear diagnosis of migraine headache has been established. if a patient has no response to the first migraine attack treated with sumatriptan nasal spray, reconsider the diagnosis of migraine before sumatriptan nasal spray is administered to treat any subsequent attacks. sumatriptan is not indicated for the prevention of migraine attacks. safety and effectiveness of sumatriptan nasal spray have not been established for cluster headache. sumatriptan is a serotonin (5-ht 1b/1d ) receptor agonist (triptan) indicated for acute treatment of migraine with or without aura in adults. ( 1 ) limitations of use: use only if a clear diagnosis of migraine headache has been established. ( 1 ) not indicated for the prophylactic therapy of migraine attacks. ( 1 ) not indicated for the treatment of cluster headache. ( 1 )",,,,adaptis,adaptis,anda208967,sumatriptan,yes,no,spray,,no,FDA
oral,,,authorised,fda,approved,14.03.2002,2002,infectious and parasitic diseases; diseases of the respiratory system; diseases of the ear and mastoid process; diseases of the skin; diseases of the genitourinary system,<respiratory tract infections>; <otitis media>; <sinusitis>; <skin diseases>; <urinary tract infections>,,small molecule,amoxicillin and clavulanate potassium,"1 indications and usage amoxicillin and clavulanate potassium is indicated for the treatment of infections in adults and pediatric patients, due to susceptible isolates of the designated bacteria in the conditions listed below: • lower respiratory tract infections - caused by beta‑lactamase‑producing isolates of haemophilus influenzae and moraxella catarrhalis . • acute bacterial otitis media - caused by beta‑lactamase‑producing isolates of h. influenzae and m. catarrhalis. • sinusitis - caused by beta‑lactamase‑producing isolates of h. influenzae and m. catarrhalis . • skin and skin structure infections - caused by beta‑lactamase‑producing isolates of staphylococcus aureus, escherichia coli, and klebsiella species. • urinary tract infections - caused by beta‑lactamase‑producing isolates of e. coli , klebsiella species, and enterobacter species. limitations of use when susceptibility test results show susceptibility to amoxicillin, indicating no beta-lactamase production, amoxicillin and clavulanate potassium should not be used. usage to reduce the development of drug-resistant bacteria and maintain the effectiveness of amoxicillin and clavulanate potassium and other antibacterial drugs, amoxicillin and clavulanate potassium should be used only to treat or prevent infections that are proven or strongly suspected to be caused by susceptible bacteria. when culture and susceptibility information are available, they should be considered in selecting or modifying antibacterial therapy. in the absence of such data, local epidemiology and susceptibility patterns may contribute to the empiric selection of therapy. amoxicillin and clavulanate potassium tablets, oral suspension and chewable tablets are a combination of amoxicillin, a penicillin-class antibacterial and clavulanate potassium, a beta-lactamase inhibitor indicated for treatment of the following infections in adults and pediatric patients: ( 1 ) • lower respiratory tract infections • acute bacterial otitis media • sinusitis • skin and skin structure infections • urinary tract infections limitations of use when susceptibility test results show susceptibility to amoxicillin, indicating no beta-lactamase production, amoxicillin and clavulanate potassium should not be used. ( 1 ) usage to reduce the development of drug-resistant bacteria and maintain the effectiveness of amoxicillin and clavulanate potassium and other antibacterial drugs, amoxicillin and clavulanate potassium should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria. ( 1 )",,,,sandoz,sandoz,anda065063,amoxicillin,yes,no,tablet,,no,FDA
intravenous,,,discontinued,fda,approved,19.02.2020,2020,,,,small molecule,zoledronic acid,,,,,novast labs,novast,anda208968,zoledronic acid,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,30.05.2017,2017,,,,small molecule,felbamate,,,,,zydus lifesciences,zydus,anda208970,felbamate,yes,no,tablet,,no,FDA
oral,,,none (conditional marketing authorisation),fda,conditional marketing authorisation,26.11.2018,2018,,,,small molecule,cinacalcet hydrochloride,,,,,zydus pharms usa inc,zydus,anda208971,cinacalcet hydrochloride,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,16.04.2019,2019,,,,small molecule,buspirone hydrochloride,,,,,epic pharma llc,epic,anda208972,buspirone hydrochloride,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,15.06.2017,2017,diseases of the digestive system; diseases of the circulatory system,<peptic ulcer>,,small molecule,glycopyrrolate,"indications and usage in anesthesia glycopyrrolate injection is indicated for use as a preoperative antimuscarinic to reduce salivary, tracheobronchial, and pharyngeal secretions; to reduce the volume and free acidity of gastric secretions; and to block cardiac vagal inhibitory reflexes during induction of anesthesia and intubation. when indicated, glycopyrrolate injection may be used intraoperatively to counteract surgically or drug-induced or vagal reflexes associated arrhythmias. glycopyrrolate protects against the peripheral muscarinic effects (e.g., bradycardia and excessive secretions) of cholinergic agents such as neostigmine and pyridostigmine given to reverse the neuromuscular blockade due to non-depolarizing muscle relaxants. in peptic ulcer for use in adults as adjunctive therapy for the treatment of peptic ulcer when rapid anticholinergic effect is desired or when oral medication is not tolerated.",,,,amneal,amneal,anda208973,glycopyrrolate,yes,no,injectable,,no,FDA
injection,,,discontinued,fda,approved,24.05.2017,2017,,,,small molecule,doxercalciferol,,,,,amneal,amneal,anda208974,doxercalciferol,yes,no,injectable,,no,FDA
injection,,,discontinued,fda,approved,24.05.2017,2017,,,,small molecule,doxercalciferol,,,,,amneal,amneal,anda208975,doxercalciferol,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,14.12.2018,2018,,,,small molecule,albendazole,,,,,zydus pharms,zydus,anda208979,albendazole,yes,no,tablet,,no,FDA
subcutaneous,,,discontinued,fda,approved,26.07.2023,2023,,,,small molecule,plerixafor,,,,,zydus pharms,zydus,anda208980,plerixafor,yes,no,solution,,no,FDA
intravenous,,,authorised,fda,approved,16.07.2018,2018,infectious and parasitic diseases,"<aspergillosis>; <candidemia>; <candidiasis, esophageal>; <scedosporiosis>; <fusariosis>",,small molecule,voriconazole,"1 indications and usage voriconazole for injection is an azole antifungal indicated for the treatment of adults and pediatric patients 2 years of age and older with: invasive aspergillosis ( 1.1 ) candidemia in non-neutropenics and other deep tissue candida infections ( 1.2 ) esophageal candidiasis ( 1.3 ) serious fungal infections caused by scedosporium apiospermum and fusarium species including fusarium solani , in patients intolerant of, or refractory to, other therapy ( 1.4 ) 1.1 invasive aspergillosis voriconazole for injection is indicated in adults and pediatric patients (2 years of age and older) for the treatment of invasive apergillosis (ia). in clinical trials, the majority of isolates recovered were aspergillus fumigatus . there was a small number of cases of culture-proven disease due to species of aspergillus other than a. fumigatus [ see clinical studies (14.1) 14.5 and microbiology (12.4) ]. 1.2 candidemia in non-neutropenic patients and other deep tissue candida infections voriconazole for injection is indicated in adults and pediatric patients (2 years of age and older) for the treatment of candidemia in non-neutropenic patients and the following candida infections: disseminated infections in skin and infections in abdomen, kidney, bladder wall, and wounds [ see clinical studies ( 14.2 , 14.5 ) and microbiology ( 12.4 ) ]. 1.3 esophageal candidiasis voriconazole for injection is indicated in adults and pediatric patients (2 years of age and older) for the treatment of esophageal candidiasis (ec) in adults and pediatric patients 2 years of age and older [ see clinical studies ( 14.3 , 14.5 ) and microbiology ( 12.4 ) ]. 1.4 scedosporiosis and fusariosis voriconazole for injection is indicated for the treatment of serious fungal infections caused by scedosporium apiospermum (asexual form of pseudallescheria boydii) and fusarium spp. including fusarium solani, in adults and pediatric patients (2 years of age and older) intolerant of, or refractory to, other therapy [ see clinical studies ( 14.4 ) and microbiology ( 12.4 ) ]. 1.5 usage specimens for fungal culture and other relevant laboratory studies (including histopathology) should be obtained prior to therapy to isolate and identify causative organism(s). therapy may be instituted before the results of the cultures and other laboratory studies are known. however, once these results become available, antifungal therapy should be adjusted accordingly.",,,,zydus pharms,zydus,anda208983,voriconazole,yes,no,injectable,,no,FDA
oral,,,authorised,fda,approved,15.03.2002,2002,,,,small molecule,amoxicillin and clavulanate potassium,,,,,sandoz,sandoz,anda065064,amoxicillin,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,09.07.2018,2018,,,,small molecule,clarithromycin,,,,,sunshine,sunshine,anda208987,clarithromycin,yes,no,tablet,,no,FDA
oral,,,authorised,fda,approved,22.08.2017,2017,,,,small molecule,ziprasidone hydrochloride,,,,,zydus lifesciences,zydus,anda208988,ziprasidone hydrochloride,yes,no,capsule,,no,FDA
topical,,,authorised,fda,approved,10.02.2020,2020,,,,small molecule,fluocinonide,,,,,zydus lifesciences,zydus,anda208989,fluocinonide,yes,no,cream,,no,FDA
oral,,,discontinued,fda,approved,15.11.2018,2018,,,,small molecule,abacavir sulfate and lamivudine,,,,,zydus pharms,zydus,anda208990,abacavir sulfate,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,21.02.2018,2018,,,,small molecule,piroxicam,,,,,breckenridge,breckenridge,anda208991,piroxicam,yes,no,capsule,,no,FDA
ophthalmic,,,authorised,fda,approved,11.03.2019,2019,diseases of the eye and adnexa,"<glaucoma, open-angle>; <ocular hypertension>",,small molecule,brimonidine tartrate,1 indications and usage brimonidine tartrate ophthalmic solution 0.2% is an alpha adrenergic agonist indicated for lowering intraocular pressure (iop) in patients with open-angle glaucoma or ocular hypertension. brimonidine tartrate ophthalmic solution 0.2% is indicated for lowering intraocular pressure (iop) in patients with open-angle glaucoma or ocular hypertension. the iop lowering efficacy of brimonidine tartrate ophthalmic solution diminishes over time in some patients. this loss of effect appears with a variable time of onset in each patient and should be closely monitored.,,,,somerset theraps llc,somerset,anda208992,brimonidine tartrate,yes,no,solution; drops,,no,FDA
oral,,,authorised,fda,approved,13.08.2021,2021,"diseases of the musculoskeletal system and connective tissue; endocrine, nutritional, and metabolic diseases",<gout>; <familial mediterranean fever>,,small molecule,colchicine,1 indications and usage colchicine tablets are an alkaloid indicated for: • prophylaxis and treatment of gout flares in adults (1.1). • familial mediterranean fever (fmf) in adults and children 4 years or older (1.2). 1.1 gout flares colchicine tablets are indicated for prophylaxis and the treatment of acute gout flares. • prophylaxis of gout flares: colchicine tablets are indicated for prophylaxis of gout flares. • treatment of gout flares: colchicine tablets are indicated for treatment of acute gout flares when taken at the first sign of a flare. 1.2 familial mediterranean fever (fmf) colchicine tablets are indicated in adults and children four years or older for treatment of familial mediterranean fever (fmf).,,,,hetero labs ltd v,hetero,anda208993,colchicine,yes,no,tablet,,no,FDA
injection,,,authorised,fda,approved,12.07.2019,2019,,,,other,technetium tc99m mertiatide kit,,,,,sun pharm inds inc,sun,anda208994,technetium tc-99m mertiatide kit,yes,no,injectable,,no,FDA
injection,,,discontinued,fda,approved,05.08.2019,2019,,,,small molecule,vinorelbine tartrate,,,,,novast labs,novast,anda208997,vinorelbine tartrate,yes,no,injectable,,no,FDA
oral,,,discontinued,fda,approved,12.10.2018,2018,,,,small molecule,metformin hydrochloride,,,,,sunshine,sunshine,anda208999,metformin hydrochloride,yes,no,tablet,,no,FDA
oral,,,discontinued,fda,approved,18.04.2002,2002,,,,small molecule,amoxicillin and clavulanate potassium,,,,,chartwell rx,chartwell,anda065065,amoxicillin,yes,no,tablet,,no,FDA
topical,,,authorised,fda,approved,06.04.2018,2018,infectious and parasitic diseases; diseases of the skin,<genital herpes>; <herpes simplex>,,small molecule,acyclovir,"indications and usage acyclovir ointment usp, 5% is indicated in the management of initial genital herpes and in limited non-life-threatening mucocutaneous herpes simplex virus infections in immunocompromised patients.",,,,alembic,alembic,anda209000,acyclovir,yes,no,ointment,,no,FDA
topical,,,authorised,fda,approved,26.03.2018,2018,diseases of the skin,<psoriasis>,,small molecule,clobetasol propionate,"1 indications and usage clobetasol propionate spray, 0.05% is a corticosteroid indicated for the topical treatment of moderate to severe plaque psoriasis affecting up to 20% body surface area (bsa) in patients 18 years of age or older. ( 1.1 ) limitations of use: • do not use on the face, axillae or groin. ( 1.2 ) • do not use if atrophy is present at the treatment site. ( 1.2 ) • do not use for rosacea or perioral dermatitis. ( 1.2 ) 1.1 indication clobetasol propionate spray, 0.05% is a super-high potent topical corticosteroid formulation indicated for the treatment of moderate to severe plaque psoriasis affecting up to 20% body surface area (bsa) in patients 18 years of age or older. patients should be instructed to use clobetasol propionate spray, 0.05% for the minimum amount of time necessary to achieve the desired results [ see dosage and administration ( 2 ) ]. use in patients under 18 years of age is not recommended because safety has not been established and because numerically high rates of hpa axis suppression were seen with other clobetasol propionate topical formulations formulations [see use in specific populations ( 8.4 )]. 1.2 limitations of use clobetasol propionate spray, 0.05% should not be used on the face, axillae, or groin. clobetasol propionate spray, 0.05% should not be used if there is atrophy at the treatment site. clobetasol propionate spray, 0.05% should not be used in the treatment of rosacea or perioral dermatitis.",,,,glenmark speclt,glenmark,anda209004,clobetasol propionate,yes,no,spray,,no,FDA
oral,,,authorised,fda,approved,09.06.2017,2017,diseases of the respiratory system,<common cold>; <hay fever>; <respiratory tract infections>; <sinusitis>,,small molecule,pseudoephedrine hydrochloride,"uses temporarily relieves nasal congestion due to the common cold, hay fever or other upper respiratory allergies temporarily relieves sinus congestion and pressure",,,,aurobindo pharma,aurobindo,anda209008,pseudoephedrine hydrochloride,yes,no,tablet,,no,FDA
