Marketing_authorisation_number,Procedure_number,Drug_name,Non_proprietary_name,Marketing_authorisation_holder,Drug_class,Pharmaceutical_form,Administration_route,Decision,Current_status,Decision_date,Decision_year,Orphan_drug_status,Indication_extended,Indication_requested,Indication_approved,Disease_class(es),Application_date,Application_year,Nonclinical_abridged,Referral_body,Document_name,Agency,Indications_and_usage,Origin,Referral,Marketing_authorisation_holder_extracted,Disease_name(s),DRUG_CODE
ema/308856/2013,emea/h/c/002559/0000,cholib,fenofibrate / simvastatine,abbott healthcare products ltd.,small molecule,tablet,oral,approved,authorised,27.06.2013,2013,no,no,cholib is indicated in adults as adjunctive therapy to diet and exercise in mixed dyslipidaemia where use of a combination product is appropriate to reduce triglycerides and increase hdl-cholesterol levels in patients at high cardiovascular risk who are not adequately controlled with a statin alone.,cholib is indicated as adjunctive therapy to diet and exercise in high cardiovascular risk adult patients with mixed dyslipidaemia to reduce triglycerides and increase hdl-c levels when ldl-c levels are adequately controlled with the corresponding dose of simvastatin monotherapy.,"diseases of the circulatory system; endocrine, nutritional, and metabolic diseases",21.12.2011,2011,no,na,cholib-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/64055/2018,emea/h/c/004258/0000,alofisel,darvadstrocel,"tigenix, s.a.u.",cell and gene therapy,suspension,intralesional,approved,authorised,14.12.2017,2017,yes,no,"treatment of complex perianal fistula(s) in adult patients with non-active/mildly active luminal crohn’s disease, when fistula(s) have shown an inadequate response to at least one conventional or biologic therapy","treatment of complex perianal fistula(s) in adult patients with non-active/mildly active luminal crohn’s disease, when fistula(s) have shown an inadequate response to at least one conventional or biologic therapy",diseases of the digestive system,02.03.2016,2016,no,na,alofisel-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/30329/2007,emea/h/c/000739,mircera,methoxy polyethylene glycol-epoetin beta,roche,biologics,solution,intravenous; subcutaneous,approved,authorised,,2007,no,no,treatment of anaemia associated with chronic kidney disease (ckd),treatment of anaemia associated with chronic kidney disease (ckd),diseases of the blood and blood-forming organs; diseases of the genitourinary system,,,no,na,mircera-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/4145/2018,emea/h/c/004416/0000,alkindi,hydrocortisone,diurnal ltd,small molecule,granules; capsule,oral,approved,authorised,14.12.2017,2017,no,yes,"alkindi is indicated in neonates, infants and children less than 6 years for use as replacement therapy in primary, secondary, or acute adrenal insufficiency.","replacement therapy of adrenal insufficiency in infants, children and adolescents (from birth to < 18 years old).","endocrine, nutritional, and metabolic diseases",25.11.2016,2016,yes,,alkindi-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/476499/2013,emea/h/c/002329,atosiban sun,atosiban,sun pharmaceutical industries europe b.v.,peptides and proteins,solution,intravenous,approved,authorised,30.05.2013,2013,no,no,"to delay imminent pre-term birth in pregnant adult women with regular uterine contractions, cervical dilation, gestational age from 24 until 33 weeks, and normal foetal heart rate","to delay imminent pre-term birth in pregnant adult women with regular uterine contractions, cervical dilation, gestational age from 24 until 33 weeks, and normal foetal heart rate",pregnancy and childbirth,29.08.2012,2012,yes,,atosiban-sun-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/001200,pandemic influenza vaccine h5n1 baxter,"pandemic influenza vaccine (h5n1 whole virion, vero cell derived, inactivated)",baxter ag,vaccine,,,approved,withdrawn,23.07.2009,2009,no,no,prophylaxis of influenza in an officially declared pandemic situation,prophylaxis of influenza in an officially declared pandemic situation,infectious and parasitic diseases,09.07.2009,2009,yes,,pandemic-influenza-vaccine-h5n1-baxter-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/0000,mimpara,cinacalcet hydrochloride,amgen europe b.v,small molecule,tablet,oral,approved,authorised,,2004,no,no,secondary hyperparathyroidism in patients with end-stage renal disease (esrd) on maintenance dialysis therapy; reduction of hypercalcaemia in patients with parathyroid carcinoma,secondary hyperparathyroidism in patients with end-stage renal disease (esrd) on maintenance dialysis therapy; reduction of hypercalcaemia in patients with parathyroid carcinoma,"endocrine, nutritional, and metabolic diseases; neoplasms",,,no,na,mimpara-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/9712/2012,emea/h/c/002318,repaglinide accord,repaglinide,accord healthcare limited,small molecule,tablet,oral,approved,authorised,20.10.2011,2011,no,no,"repaglinide is indicated in patients with type 2 diabetes (non insulin-dependent diabetes mellitus (niddm)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise. repaglinide is also indicated in combination with metformin in type 2 diabetes patients who are not satisfactorily controlled on metformin alone.","repaglinide is indicated in patients with type 2 diabetes (non insulin-dependent diabetes mellitus (niddm)) whose hyperglycaemia can no longer be controlled satisfactorily by diet, weight reduction and exercise. repaglinide is also indicated in combination with metformin in type 2 diabetes patients who are not satisfactorily controlled on metformin alone.","endocrine, nutritional, and metabolic diseases",18.11.2010,2010,yes,chmp,repaglinide-accord-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/393532/2021,emea/h/c/005316/0000,bimzelx,bimekizumab,ucb pharma s.a.,biologics,solution,subcutaneous,approved,authorised,24.06.2021,2021,no,no,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy,diseases of the skin,15.07.2020,2020,no,na,bimzelx-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/464092/2024,emea/h/c/006165/0000,penbraya,"meningococcal groups a, c, w, y conjugate and group b vaccine (recombinant, adsorbed)",pfizer europe ma eeig,vaccine,suspension,intramuscular,approved,withdrawn,19.09.2024,2024,no,no,"active immunisation of individuals 10 years of age and older to prevent invasive disease caused by neisseria meningitidis groups a, b, c, w, and y","active immunisation of individuals 10 years of age and older to prevent invasive disease caused by neisseria meningitidis groups a, b, c, w, and y",infectious and parasitic diseases,02.02.2023,2023,yes,,penbraya-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/505143/2017,emea/h/c/004411/0000,verkazia,ciclosporin,santen oy,peptides and proteins,eye drops,ocular,approved,authorised,20.07.2017,2017,yes,no,treatment of severe vernal keratoconjunctivitis (vkc) in children and adolescents from 4 to 18 years old,treatment of severe vernal keratoconjunctivitis (vkc) in children and adolescents from 4 to 18 years old,diseases of the eye and adnexa,16.12.2016,2016,yes,,verkazia-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/358737/2020,emea/h/c/005486/0000,paliperidone janssen-cilag international,paliperidone,janssen-cilag international n.v,small molecule,injection,,approved,authorised,30.04.2020,2020,no,no,maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone,maintenance treatment of schizophrenia in adult patients stabilised with paliperidone or risperidone,mental and behavioural disorders,07.02.2020,2020,yes,na,paliperidone-janssen-cilag-international-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/23630/2020,emea/h/c/004913/0000,beovu,brolucizumab,novartis europharm limited,biologics,solution,intravitreal,approved,authorised,12.12.2019,2019,no,no,treatment of neovascular (wet) age-related macular degeneration (amd),treatment of neovascular (wet) age-related macular degeneration (amd),diseases of the eye and adnexa,06.02.2019,2019,no,na,beovu-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/192941/2016,emea/h/c/004094/0000,descovy,emtricitabine / tenofovir alafenamide,gilead sciences international ltd,small molecule,tablet,oral,approved,authorised,25.02.2016,2016,no,no,descovy is indicated in combination with other antiretroviral agents for the treatment of human immunodeficiency virus type 1 (hiv-1) infection in adults without any known mutations associated with resistance to the individual components of descovy.,descovy is indicated in combination with other antiretroviral agents for the treatment of human immunodeficiency virus type 1 (hiv-1) infection in adults without any known mutations associated with resistance to the individual components of descovy.,infectious and parasitic diseases,21.04.2015,2015,no,na,descovy-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/212524/2020,emea/h/c/004711/0000,nepexto,etanercept,mylan ire healthcare limited,biologics,solution,subcutaneous,approved,authorised,26.03.2020,2020,no,no,rheumatoid arthritis; juvenile idiopathic arthritis; psoriatic arthritis; axial spondyloarthritis; plaque psoriasis; paediatric plaque psoriasis,rheumatoid arthritis; juvenile idiopathic arthritis; psoriatic arthritis; axial spondyloarthritis; plaque psoriasis; paediatric plaque psoriasis,diseases of the musculoskeletal system and connective tissue; diseases of the skin,30.04.2018,2018,no,na,nepexto-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/524933/2020,emea/h/c/005169/0000,obiltoxaximab sfl,obiltoxaximab,sfl pharmaceuticals deutschland gmbh,biologics,concentrate,intravenous,approved,withdrawn,17.09.2020,2020,yes,no,obiltoxaximab sfl is indicated in adults and paediatric patients for treatment of inhalational anthrax due to bacillus anthracis in combination with appropriate antibacterial drugs. obiltoxaximab sfl is also indicated in adults and paediatric patients for the post-exposure prophylaxis of inhalation anthrax when alternative therapies are not appropriate or are not available.,obiltoxaximab sfl is indicated in adults and paediatric patients for treatment of inhalational anthrax due to bacillus anthracis in combination with appropriate antibacterial drugs. obiltoxaximab sfl is also indicated in adults and paediatric patients for the post-exposure prophylaxis of inhalation anthrax when alternative therapies are not appropriate or are not available.,infectious and parasitic diseases,03.06.2019,2019,no,na,obiltoxaximab-sfl-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/86938/2018,emea/h/c/004315/0000,steglatro,ertugliflozin,merck sharp & dohme limited,small molecule,tablet,oral,approved,authorised,25.01.2018,2018,no,no,"for adults aged 18 years and older with type 2 diabetes mellitus to improve glycaemic control as monotherapy or in combination with other glucose-lowering medicinal products, including insulin.","for adults aged 18 years and older with type 2 diabetes mellitus to improve glycaemic control as monotherapy or in combination with other glucose-lowering medicinal products, including insulin.","endocrine, nutritional, and metabolic diseases",01.02.2017,2017,no,na,steglatro-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/707244/2013,emea/h/c/002785,levodopa carbidopa entacapone sandoz,levodopa carbidopa entacapone,orion corporation,small molecule,tablet,oral,approved,authorised,19.09.2013,2013,no,yes,treatment of adult patients with parkinson’s disease and end-of-dose motor fluctuations not stabilised on levodopa/dopa decarboxylase (ddc) inhibitor treatment,treatment of adult patients with parkinson's disease and end-of-dose motor fluctuations not stabilised on levodopa/dopa-decarboxylase (ddc)-inhibitor treatment,diseases of the nervous system,07.02.2013,2013,yes,,levodopacarbidopaentacapone-sandoz-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/473489/2014,emea/h/c/002066,ikervis,ciclosporin,santen sas,peptides and proteins,eye drops,ocular,approved,authorised,22.01.2015,2015,no,no,treatment of dry eye disease in adult patients with severe keratitis that does not improve despite treatment with tear substitutes,"treatment of severe keratitis in adult patients with dry eye disease, which has not improved despite treatment with tear substitutes",diseases of the eye and adnexa,02.12.2013,2013,yes,chmp,ikervis-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/60983/2011,emea/h/c/2105,xeplion,paliperidone,janssen-cilag international nv,small molecule,suspension,intramuscular,approved,authorised,16.12.2010,2010,no,no,treatment of adult patients with schizophrenia,treatment of adult patients with schizophrenia,mental and behavioural disorders,03.12.2009,2009,no,na,xeplion-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/191996/2019,emea/h/c/004759/0000,skyrizi,risankizumab,abbvie deutschland gmbh & co. kg,biologics,solution,subcutaneous,approved,authorised,28.02.2019,2019,no,no,treatment of moderate to severe plaque psoriasis in adults,treatment of moderate to severe plaque psoriasis in adults,diseases of the skin,26.04.2018,2018,no,na,skyrizi-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/534329/2015,emea/h/c/003759/0000,intuniv,guanfacine,shire pharmaceuticals ireland ltd.,small molecule,tablet,oral,approved,authorised,23.07.2015,2015,no,no,"treatment of attention deficit hyperactivity disorder (adhd) in children and adolescents 6 to 17 years old for whom stimulants are not suitable, not tolerated or have been shown to be ineffective","treatment of attention deficit hyperactivity disorder (adhd) in children and adolescents 6 to 17 years old for whom stimulants are not suitable, not tolerated or have been shown to be ineffective",mental and behavioural disorders,03.03.2014,2014,no,na,intuniv-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/153239/2021,emea/h/c/005138/0000,orladeyo,berotralstat,biocryst ireland limited,small molecule,capsule,oral,approved,authorised,25.02.2021,2021,yes,no,routine prevention of recurrent attacks of hereditary angioedema (hae) in patients aged 12 years and older,routine prevention of recurrent attacks of hereditary angioedema (hae) in adult and adolescent patients aged 12 years and older,diseases of the blood and blood-forming organs,09.03.2020,2020,no,na,orladeyo-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/81205/2014,emea/h/c/002655/0000,envarsus,tacrolimus,chiesi farmaceutici s.p.a.,small molecule,tablet,oral,approved,authorised,22.05.2014,2014,no,yes,prophylaxis of transplant rejection in adult kidney allograft recipients,prophylaxis of transplant rejection in adult kidney or liver allograft recipients; treatment of allograft rejection resistant to treatment with other immunosuppressive medicinal products in adult patients,diseases of the genitourinary system; diseases of the digestive system,29.04.2013,2013,yes,,envarsus-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/000878,chondrocelect,characterised viable autologous cartilage cells expanded ex vivo expressing specific marker proteins,tigenix nv,cell and gene therapy,suspension,autologous,approved,withdrawn,25.06.2009,2009,no,no,repair of single symptomatic cartilaginous defects of the femoral condyle of the knee (icrs grade iii or iv) in adults,repair of single symptomatic cartilage defects of the femoral condyle of the knee (icrs grade iii or iv) from 2 cm² onwards in adults,diseases of the musculoskeletal system and connective tissue,01.06.2007,2007,yes,chmp,chondrocelect-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/563018/2013,emea/h/c/003718/0000,lemtrada,alemtuzumab,genzyme therapeutics ltd,biologics,concentrate,intravenous,approved,authorised,27.06.2013,2013,no,no,lemtrada is indicated for adult patients with relapsing remitting multiple sclerosis (rrms) to decrease the frequency of relapses and slow or reverse accumulation of disability.,lemtrada is indicated for adult patients with relapsing remitting multiple sclerosis (rrms) to decrease the frequency of relapses and slow or reverse accumulation of disability.,diseases of the nervous system,19.12.2012,2012,no,na,lemtrada-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/002052,signifor,pasireotide,novartis europharm ltd.,peptides and proteins,solution,subcutaneous,approved,authorised,19.01.2012,2012,yes,no,treatment of adult patients with cushing’s disease for whom surgery is not an option or for whom surgery has failed.,treatment of adult patients with cushing’s disease for whom surgery is not an option or for whom surgery has failed.,"endocrine, nutritional, and metabolic diseases",30.09.2010,2010,no,na,signifor-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/584774/2022,emea/h/c/005873/0000,pirfenidone aet,pirfenidone,alfred e. tiefenbacher (gmbh & co. kg),small molecule,tablet,oral,approved,authorised,22.04.2022,2022,no,no,pirfenidone aet is indicated in adults for the treatment of mild to moderate idiopathic pulmonary fibrosis (ipf).,pirfenidone aet is indicated in adults for the treatment of mild to moderate idiopathic pulmonary fibrosis (ipf).,diseases of the respiratory system,28.04.2021,2021,yes,na,pirfenidone-aet-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/365426/2023,emea/h/c/005864/0000,talvey,talquetamab,janssen-cilag international n.v.,biologics,solution,subcutaneous,approved,authorised,20.07.2023,2023,yes,no,"as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least 3 prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-cd38 antibody and have demonstrated disease progression or did not respond to the last therapy","as monotherapy for the treatment of adult patients with relapsed and refractory multiple myeloma, who have received at least 3 prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-cd38 antibody and have demonstrated disease progression or did not respond to the last therapy",neoplasms; diseases of the blood and blood-forming organs,03.01.2023,2023,no,na,talvey-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/000670/2006,emea/h/c/000670,exjade,deferasirox,novartis europharm,small molecule,tablet,oral,approved,authorised,02.11.2005,2005,no,no,treatment of chronic iron overload due to blood transfusion (transfusional haemosiderosis) in adult and paediatric patients (aged 2 years and over),treatment of chronic iron overload due to frequent blood transfusions (≥7 ml/kg/month of packed red blood cells) in patients with beta thalassaemia major aged 6 years and older,diseases of the blood and blood-forming organs,,,no,na,exjade-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/686121/2018,emea/h/c/003954/0000,orkambi,lumacaftor / ivacaftor,vertex pharmaceuticals (europe) limited,small molecule,tablet,oral,approved,authorised,24.09.2015,2015,yes,no,treatment of cystic fibrosis (cf) in patients age 12 years and older who are homozygous for the f508del mutation in the cftr gene,treatment of cystic fibrosis (cf) in patients age 12 years and older who are homozygous for the f508del mutation in the cftr gene,diseases of the respiratory system; congenital malformations and chromosomal abnormalities,05.11.2014,2014,no,na,orkambi-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/000000/2007,emea/h/c/000000,soliris,eculizumab,alexion pharmaceuticals inc.,biologics,concentrate,intravenous,approved,authorised,,2007,,no,treatment of patients with paroxysmal nocturnal haemoglobinuria (pnh),treatment of patients with paroxysmal nocturnal haemoglobinuria (pnh),diseases of the blood and blood-forming organs,,,no,na,soliris-epar-scientific-discussion_en.pdf,EMA,,,,,,
ema/332145/2024,emea/h/c/006061/0000,piasky,crovalimab,roche registration gmbh,biologics,solution,intravenous; subcutaneous,approved,authorised,27.06.2024,2024,,no,piasky is indicated for the treatment of adult and paediatric patients with paroxysmal nocturnal haemoglobinuria (pnh),piasky is indicated for the treatment of adult and paediatric patients with paroxysmal nocturnal haemoglobinuria (pnh),diseases of the blood and blood-forming organs,19.06.2023,2023,no,na,piasky-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/842555/2015,emea/h/c/002661/0000,spectrila,asparaginase,medac gesellschaft fuer klinische spezialpraeparate mbh,biologics,lyophilized powder,intravenous,approved,authorised,26.11.2015,2015,no,no,"spectrila is indicated as a component of a curative antineoplastic combination therapy for infants, children, adolescents and adults with acute b/t cell lymphoblastic leukaemia (all) or b/t cell lymphoblastic lymphoma (lbl).",spectrila is indicated as a component of antineoplastic combination therapy for the treatment of acute lymphoblastic leukaemia (all) in paediatric patients from birth to 18 years and adults.,neoplasms; diseases of the blood and blood-forming organs,05.12.2013,2013,no,na,spectrila-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/444756/2021,emea/h/c/005595/0000,imatinib koanaa,imatinib,koanaa healthcare gmbh,small molecule,solution,oral,approved,withdrawn,22.07.2021,2021,no,no,treatment of adult and paediatric patients with newly diagnosed philadelphia chromosome positive chronic myeloid leukaemia (cml) and other related conditions.,treatment of adult and paediatric patients with newly diagnosed philadelphia chromosome positive chronic myeloid leukaemia (cml) and other related conditions.,neoplasms; diseases of the blood and blood-forming organs,26.06.2020,2020,yes,,imatinib-koanaa-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/567960/2014,emea/h/c/002705/0000,velphoro,"mixture of polynuclear iron(iii)-oxyhydroxide, sucrose and starches",vifor fresenius medical care renal pharma france,other,tablet,oral,approved,authorised,26.06.2014,2014,no,no,control of serum phosphorus levels in adult chronic kidney disease (ckd) patients on haemodialysis (hd) or peritoneal dialysis (pd),control of serum phosphorus levels in adult chronic kidney disease (ckd) patients on haemodialysis (hd) or peritoneal dialysis (pd),"endocrine, nutritional, and metabolic diseases",19.12.2012,2012,no,na,velphoro-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/458317/2016,emea/h/c/003862/0000,zinbryta,daclizumab,biogen idec ltd,biologics,solution,subcutaneous,approved,withdrawn,28.04.2016,2016,no,no,zinbryta is indicated in adult patients for the treatment of relapsing forms of multiple sclerosis (rms).,zinbryta is indicated in adult patients for the treatment of relapsing forms of multiple sclerosis (rms).,diseases of the nervous system,06.03.2015,2015,no,na,zinbryta-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/175439/2023,emea/h/c/005535/0000,qaialdo,spironolactone,nova laboratories ireland limited,small molecule,suspension,oral,approved,authorised,30.03.2023,2023,no,no,"in the management of refractory oedema associated with congestive cardiac failure; hepatic cirrhosis with ascites and oedema, malignant ascites, nephrotic syndrome, diagnosis and treatment of primary aldosteronism, essential hypertension.","in the management of refractory oedema associated with congestive cardiac failure; hepatic cirrhosis with ascites and oedema, malignant ascites, nephrotic syndrome, diagnosis and treatment of primary aldosteronism, essential hypertension.",diseases of the circulatory system; diseases of the digestive system; neoplasms; diseases of the genitourinary system,03.11.2021,2021,yes,,qaialdo-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/693347/2018,emea/h/c/004651/0000,buvidal,buprenorphine,camurus ab,small molecule,solution,subcutaneous,approved,authorised,20.09.2018,2018,no,no,"treatment of opioid dependence within a framework of medical, social and psychological treatment","treatment of opioid dependence within a framework of medical, social and psychological treatment",mental and behavioural disorders,27.07.2017,2017,no,na,buvidal-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/483416/2018,emea/h/c/005017/0000,ulipristal acetate gedeon richter,ulipristal acetate,gedeon richter plc.,small molecule,tablet,oral,approved,withdrawn,28.06.2018,2018,no,yes,pre-operative treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age; intermittent treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age who are not eligible for surgery.,pre-operative treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age; intermittent treatment of moderate to severe symptoms of uterine fibroids in adult women of reproductive age who are not eligible for surgery.,diseases of the genitourinary system,06.04.2018,2018,yes,,ulipristal-acetate-gedeon-richter-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/46569/2023,emea/h/c/004827/0000,hemgenix,etranacogene dezaparvovec,csl behring gmbh,cell and gene therapy,concentrate,intravenous,approved,authorised,15.12.2022,2022,yes,no,"treatment of adults with haemophilia b (congenital factor ix deficiency) and with a preexisting neutralising anti-aav5 antibody titre below 1:700 to reduce the frequency of bleeding episodes and the need for factor ix replacement therapy who: currently use factor ix prophylaxis therapy, or have current or historical life-threatening haemorrhage or repeated, serious spontaneous bleeding episodes.","treatment of adults with haemophilia b (congenital factor ix deficiency) and with a preexisting neutralising anti-aav5 antibody titre below 1:700 to reduce the frequency of bleeding episodes and the need for factor ix replacement therapy who: currently use factor ix prophylaxis therapy, or have current or historical life-threatening haemorrhage or repeated, serious spontaneous bleeding episodes.",diseases of the blood and blood-forming organs,07.03.2022,2022,no,na,hemgenix-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/228233/2008,emea/h/c/000831,privigen,human normal immunoglobulin,csl behring gmbh,biologics,solution,intravenous,approved,authorised,25.04.2008,2008,no,no,"replacement therapy in primary immunodeficiency syndromes; myeloma or chronic lymphocytic leukaemia with severe secondary hypogammaglobulinaemia and recurrent infections; children with congenital aids and recurrent infections; immunomodulation in idiopathic thrombocytopenic purpura, guillain-barré syndrome, kawasaki disease; allogeneic bone marrow transplantation","replacement therapy in primary immunodeficiency syndromes; myeloma or chronic lymphocytic leukaemia with severe secondary hypogammaglobulinaemia and recurrent infections; children with congenital aids and recurrent infections; immunomodulation in idiopathic thrombocytopenic purpura, guillain-barré syndrome, kawasaki disease; allogeneic bone marrow transplantation",diseases of the blood and blood-forming organs; infectious and parasitic diseases; neoplasms,31.01.2007,2007,yes,,privigen-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/chmp/421793/2017,emea/h/c/004723/0000,blitzima,rituximab,celltrion healthcare hungary kft.,biologics,concentrate,intravenous,approved,authorised,18.05.2017,2017,no,yes,non-hodgkin’s lymphoma; chronic lymphocytic leukaemia; granulomatosis with polyangiitis and microscopic polyangiitis,non-hodgkin’s lymphoma; chronic lymphocytic leukaemia; granulomatosis with polyangiitis and microscopic polyangiitis,neoplasms; diseases of the blood and blood-forming organs; diseases of the musculoskeletal system and connective tissue,06.03.2017,2017,no,na,blitzima-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/287422/2017,emea/h/c/004246/0000,elmiron,pentosan polysulfate sodium,bene-arzneimittel gmbh,small molecule,capsule,oral,approved,authorised,23.03.2017,2017,no,yes,elmiron is indicated in adults for the treatment of interstitial cystitis,"elmiron is indicated for the treatment of bladder pain syndrome characterized by either glomerulations or hunner’s lesions in adults with moderate to severe pain, urgency and frequency of micturition",diseases of the genitourinary system,04.02.2016,2016,yes,chmp,elmiron-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/379170/2020,emea/h/c/005087/0000,qutavina,teriparatide,eurogenerics holdings b.v.,peptides and proteins,solution,subcutaneous,approved,withdrawn,25.06.2020,2020,no,no,treatment of osteoporosis in postmenopausal women and in men at increased risk of fracture; treatment of osteoporosis associated with sustained systemic glucocorticoid therapy in women and men at increased risk for fracture,treatment of osteoporosis in postmenopausal women and in men at increased risk of fracture; treatment of osteoporosis associated with sustained systemic glucocorticoid therapy in women and men at increased risk for fracture,diseases of the musculoskeletal system and connective tissue,06.05.2019,2019,no,na,qutavina-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/439548/2011,emea/h/c/001226,clopidogrel teva pharma b.v.,clopidogrel,teva pharma b.v.,small molecule,tablet,oral,approved,withdrawn,22.07.2010,2010,no,no,"prevention of atherothrombotic events in adults with myocardial infarction, ischaemic stroke, peripheral arterial disease, and acute coronary syndrome","prevention of atherothrombotic events in adults with myocardial infarction, ischaemic stroke, peripheral arterial disease, and acute coronary syndrome",diseases of the circulatory system,03.09.2009,2009,yes,chmp,clopidogrel-teva-pharma-bv-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/231873/2010,emea/h/c/001075,raloxifene teva,raloxifene,teva pharma b.v.,small molecule,tablet,oral,approved,authorised,18.02.2010,2010,no,no,treatment and prevention of osteoporosis in postmenopausal women,treatment and prevention of osteoporosis in postmenopausal women,diseases of the musculoskeletal system and connective tissue,02.10.2008,2008,yes,na,raloxifene-teva-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/871509/2022,emea/h/c/005488/0000,locametz,gozetotide,novartis europharm limited,peptides and proteins,kit for radiopharmaceutical preparation,intravenous,approved,authorised,13.10.2022,2022,no,no,"locametz, after radiolabelling with gallium-68, is a radioactive diagnostic agent indicated for the identification of prostate-specific membrane antigen (psma)-positive lesions by positron emission tomography (pet) in adult patients with prostate cancer.","detection of prostate specific membrane antigen (psma)-positive lesions with positron emission tomography (pet) in adults with prostate cancer (pca) in the following clinical settings: primary staging of patients with high-risk pca prior to primary curative therapy, suspected pca recurrence in patients with increasing levels of serum prostate-specific antigen (psa) after primary curative therapy, identification of patients with psma-positive progressive metastatic castration-resistant prostate cancer (mcrpc) for whom psma-targeted therapy is indicated.",neoplasms; diseases of the genitourinary system,30.09.2021,2021,no,na,locametz-epar-public-assessment-report_en.pdf,EMA,,,,,,
,emea/h/c/001133,clopidogrel hcs,clopidogrel,hcs bvba,small molecule,tablet,oral,approved,withdrawn,25.06.2009,2009,no,no,"prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease","prevention of atherothrombotic events in patients suffering from myocardial infarction, ischaemic stroke, or established peripheral arterial disease",diseases of the circulatory system,20.02.2009,2009,no,na,clopidogrel-hcs-epar-public-assessment-report_en.pdf,EMA,,,,,,
ema/646256/2012,emea/h/c/002392,eylea,aflibercept,bayer pharma ag,biologics,solution,intravitreal,approved,authorised,20.09.2012,2012,no,no,treatment of neovascular (wet) age-related macular degeneration (amd),treatment of neovascular (wet) age-related macular degeneration (amd),diseases of the eye and adnexa,31.05.2011,2011,no,na,eylea-epar-public-assessment-report_en.pdf,EMA,,,,,,
