Administration_route,Application_date,Application_year,Current_status,Dataset,Decision,Decision_date,Decision_year,Disease_class(es),Disease_name(s),Document_name,Drug_class,Drug_name,Indication_approved,Indication_extended,Indication_requested,Indication_requested_extracted,Marketing_authorisation_holder,Marketing_authorisation_holder_extracted,Marketing_authorisation_number,Non_proprietary_name,Nonclinical_abridged,Orphan_drug_status,Pharmaceutical_form,Procedure_number,Referral_body
oral,03.03.2020,2020,authorised,Swissmedic,approved,04.05.2021,2021,neoplasms; diseases of the respiratory system,<non-small cell lung cancer>,swisspar_alunbrig-1.pdf,small molecule,alunbrig,alunbrig is indicated as monotherapy for the treatment of adult patients with anaplastic lymphoma kinase (alk)-positive locally advanced or metastatic non-small cell lung cancer (nsclc) previously untreated with an alk inhibitor. alunbrig is indicated as monotherapy for the treatment of adult patients with anaplastic lymphoma kinase (alk)-positive metastatic non-small cell lung cancer (nsclc) who have progressed on previous treatment with crizotinib.,no,"alunbrig is indicated as monotherapy for the treatment of adult patients with anaplastic lymphoma kinase (alk)-positive, advanced, non-small cell lung cancer (nsclc), who have previously not been treated with an alk-inhibitor. alunbrig is indicated as monotherapy for the treatment of adult patients with anaplastic lymphoma kinase (alk)-positive, advanced, non-small cell lung cancer (nsclc), who have previously been treated with crizotinib.",<non-small-cell lung carcinoma>,takeda pharma ag,takeda,66738,brigatinib,no,yes,tablet,,na
oral,16.09.2022,2022,authorised (under additional monitoring),Swissmedic,approved,06.03.2024,2024,diseases of the nervous system,<migraine disorders>,swisspar_aquipta.pdf,small molecule,aquipta,"prophylactic treatment of migraine in adults, when indicated.",no,aquipta is indicated for the preventive treatment of migraine in adults who have at least 4 migraine attacks per month.,<migraine disorders>,abbvie ag,abbvie,69128,atogepant,yes,no,tablet,,fda; ema
intramuscular,06.02.2023,2023,authorised (under additional monitoring),Swissmedic,approved,02.05.2024,2024,infectious and parasitic diseases; diseases of the respiratory system,<respiratory tract diseases>,swisspar_arexvy_final.pdf,vaccine,arexvy,active immunisation for the prevention of lower respiratory tract disease (lrtd) caused by respiratory syncytial virus in adults 60 years of age and older.,no,active immunisation of adults 60 years of age and older for prevention of lower respiratory tract disease caused by sub-types rsv-a and rsv-b of the rsv.,<respiratory tract diseases>,glaxosmithkline ag,glaxosmithkline,69310,respiratory syncytial virus (rsv) pre-fusion f protein,yes,no,powder; suspension,,na
subcutaneous,06.01.2022,2022,authorised (under additional monitoring),Swissmedic,approved,23.03.2023,2023,diseases of the blood and blood-forming organs,<paroxysmal nocturnal hemoglobinuria>,swisspar_aspaveli.pdf,peptides and proteins,aspaveli,"aspaveli is indicated for the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (pnh), who have an inadequate response to treatment with a c5 inhibitor.",yes,aspaveli is indicated for the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (pnh) previously treated with standard therapy.,<paroxysmal nocturnal hemoglobinuria>,swedish orphan biovitrum ag,swedish orphan biovitrum,68674,pegcetacoplan,yes,yes,solution,,ema
subcutaneous,14.04.2023,2023,authorised (under additional monitoring),Swissmedic,approved,07.03.2024,2024,"endocrine, nutritional, and metabolic diseases",<diabetes mellitus>,swisspar_awiqli.pdf,peptides and proteins,awiqli flextouch,treatment of diabetes mellitus in adults.,no,treatment of diabetes mellitus in adults.,<diabetes mellitus>,novo nordisk pharma ag,novo nordisk,69389,insulin icodec,no,no,solution,,na
oral,18.11.2021,2021,authorised,Swissmedic,approved,06.07.2023,2023,neoplasms; diseases of the blood and blood-forming organs,"<gastrointestinal stromal tumors>; <mastocytosis, systemic>",swisspar_ayvakyt.pdf,small molecule,ayvakyt,gastrointestinal stromal tumour (gist) with pdgfra d842v mutation; advanced systemic mastocytosis (advsm) after at least one previous systemic therapy,no,gastrointestinal stromal tumour (gist) with pdgfra exon 18 mutation; advanced systemic mastocytosis (advsm),"<gastrointestinal stromal tumors>; <mastocytosis, systemic>",blueprint medicines (switzerland),blueprint medicines,68294,avapritinib,yes,yes,tablet,,fda
intravesical,02.12.2020,2020,authorised,Swissmedic,approved,28.07.2022,2022,neoplasms; diseases of the genitourinary system,<urothelial carcinoma>,swisspar_bcg_apogepha_final.pdf,vaccine,bcg apogepha,"treatment of superficial, epithelial, non-muscle invasive urothelial carcinoma of the urinary bladder (carcinoma urotheliale ta, tis, t1).",no,"treatment of superficial, epithelial, non-muscle-invasive urothelial carcinoma (stages ta, tis, t1 bladder carcinoma).",<urothelial carcinoma>,regulix gmbh,regulix,68286,"bacillus calmette-guérin, live attenuated (moreau)",yes,no,powder; solvent,,na
subcutaneous,22.03.2019,2019,authorised,Swissmedic,approved,01.07.2020,2020,neoplasms; diseases of the blood and blood-forming organs,<polycythemia vera>,swisspar_besremi.pdf,biologics,besremi,besremi is indicated as monotherapy for the treatment of adult patients with polycythaemia vera without symptomatic splenomegaly and with an indication for cytoreductive therapy.,no,besremi is indicated as monotherapy in adults for the treatment of polycythaemia vera without symptomatic splenomegaly.,<polycythemia vera>,orpha swiss gmbh,orpha,67488,ropeginterferon alfa-2b,yes,yes,solution,,european medicines agency
intramuscular,15.11.2022,2022,authorised (under additional monitoring),Swissmedic,approved,22.12.2023,2023,infectious and parasitic diseases; diseases of the respiratory system,<respiratory tract infections>,swisspar_beyfortus.pdf,biologics,beyfortus,"prevention of lower respiratory tract disease caused by rsv in neonates, infants, and toddlers up to 24 months.",no,prevention of respiratory syncytial virus (rsv) lower respiratory tract disease.,<respiratory tract infections>,sanofi-aventis (suisse) sa,sanofi-aventis,69039,nirsevimab,yes,no,solution,,european medicines agency (ema)
subcutaneous,16.06.2021,2021,authorised (under additional monitoring),Swissmedic,approved,27.10.2022,2022,diseases of the skin,<plaque psoriasis>,swisspar_bimzelx_final.pdf,biologics,bimzelx,treatment of moderate to severe plaque psoriasis in adult patients who are candidates for systemic therapy,no,treatment of moderate to severe plaque psoriasis in adults who are candidates for systemic therapy or phototherapy,<plaque psoriasis>,ucb-pharma sa,ucb,68548,bimekizumab,yes,no,solution,,ema
subcutaneous,14.08.2023,2023,authorised (under additional monitoring),Swissmedic,approved,29.07.2024,2024,diseases of the musculoskeletal system and connective tissue,<axial spondyloarthritis>; <ankylosing spondylitis>,swisspar_bimzelx_ie_axial_spondyloarthritis.pdf,biologics,bimzelx,"axial spondyloarthritis; non-radiographic axial spondyloarthritis (nr-axspa); ankylosing spondylitis (as, radiographic axial spondyloarthritis)",yes,"axial spondyloarthritis; non-radiographic axial spondyloarthritis (nr-axspa); ankylosing spondylitis (as, radiographic axial spondyloarthritis)",<axial spondyloarthritis>; <ankylosing spondylitis>,ucb-pharma sa,ucb,68548,bimekizumab,no,no,solution,,na
subcutaneous,25.07.2023,2023,authorised (under additional monitoring),Swissmedic,approved,29.07.2024,2024,diseases of the musculoskeletal system and connective tissue; diseases of the skin,"<arthritis, psoriatic>",swisspar_bimzelx_ie_psoriatic_arthritis.pdf,biologics,bimzelx,"bimzelx, alone or in combination with methotrexate, is indicated for the treatment of active psoriatic arthritis in adults who have had an inadequate response or who have been intolerant to 1 or more disease-modifying antirheumatic drugs (dmards).",yes,"bimzelx, alone or in combination with methotrexate, is indicated for the treatment of active psoriatic arthritis in adults who have had an inadequate response or who have been intolerant to 1 or more disease-modifying antirheumatic drugs (dmards).","<arthritis, psoriatic>",ucb-pharma sa,ucb,68548,bimekizumab,no,no,solution,,na
oral,15.03.2023,2023,authorised (under additional monitoring),Swissmedic,approved,01.02.2024,2024,neoplasms; diseases of the blood and blood-forming organs,<follicular lymphoma>,swisspar_brukinsa-1.pdf,small molecule,brukinsa,"brukinsa in combination with obinutuzumab is indicated for the treatment of adult patients with refractory or relapsed grade 1-3a follicular lymphoma (fl) who have received at least two prior lines of therapy, including anti-cd20 antibody therapy.",yes,brukinsa in combination with obinutuzumab is indicated for the treatment of adult patients with refractory or remitted follicular lymphoma (fl) who have received at least two prior systemic therapies.,<follicular lymphoma>,beigene switzerland gmbh,beigene,67998,zanubrutinib,yes,no,capsule,,
oral,07.06.2021,2021,authorised (under additional monitoring),Swissmedic,approved,08.02.2022,2022,neoplasms; diseases of the blood and blood-forming organs,<waldenstrom macroglobulinemia>,swisspar_brukinsa.pdf,small molecule,brukinsa,brukinsa (zanubrutinib) is used as monotherapy for the treatment of adult patients with waldenström’s macroglobulinaemia (wm) who have received at least one prior therapy or as first-line therapy in adult patients who are not eligible for chemoimmunotherapy.,no,brukinsa (zanubrutinib) is indicated for the treatment of patients with waldenström’s macroglobulinaemia (wm).,<waldenstrom macroglobulinemia>,beigene switzerland gmbh,beigene,67998,zanubrutinib,yes,yes,capsule,,health canada
oral,25.05.2022,2022,authorised (under additional monitoring),Swissmedic,approved,29.08.2023,2023,neoplasms; diseases of the blood and blood-forming organs,"<leukemia, lymphocytic, chronic, b-cell>",swisspar_brukinsa_g102680156.pdf,small molecule,brukinsa,brukinsa is indicated as monotherapy for the treatment of adult patients with chronic lymphocytic leukaemia (cll) who have received one or more prior therapies.,yes,brukinsa is indicated for the treatment of adult patients with chronic lymphocytic leukaemia (cll) or small lymphocytic lymphoma (sll).,"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, small lymphocytic>",beigene switzerland gmbh,beigene,67998,zanubrutinib,yes,yes,capsule,,na
subcutaneous; intravenous,27.05.2020,2020,authorised (under additional monitoring),Swissmedic,approved,08.07.2021,2021,diseases of the blood and blood-forming organs,<thrombotic thrombocytopenic purpura>,swisspar_cablivi_indikationserweiterung.pdf,biologics,cablivi,"treatment of adults and adolescents of 12 years and older weighing at least 40 kg suffering from an episode of acquired thrombotic thrombocytopenic purpura (attp), in combination with plasmapheresis and immunosuppression.",yes,"treatment of adults and adolescents of 12 years and older weighing at least 40 kg suffering from an episode of acquired thrombotic thrombocytopenic purpura (attp), in combination with plasmapheresis and immunosuppression.",<thrombotic thrombocytopenic purpura>,sanofi-aventis (suisse) sa,sanofi-aventis,66792,caplacizumab,yes,yes,powder; solvent,,na
oral,29.11.2019,2019,authorised,Swissmedic,approved,04.03.2021,2021,neoplasms; diseases of the blood and blood-forming organs,"<leukemia, lymphocytic, chronic, b-cell>",swisspar_calquence_final.pdf,small molecule,calquence,calquence monotherapy or in combination with obinutuzumab is indicated for the treatment of adult patients with previously untreated chronic lymphocytic leukaemia (cll) who are 65 years and older or have comorbidities.,no,calquence is indicated for the treatment of patients with chronic lymphocytic leukaemia (cll) or small lymphocytic lymphoma (sll).,"<leukemia, lymphocytic, chronic, b-cell>; <lymphoma, small lymphocytic>",astrazeneca ag,astrazeneca,67790,acalabrutinib,yes,yes,capsule,,fda and chmp
oral,18.10.2021,2021,authorised (under additional monitoring),Swissmedic,approved,25.04.2023,2023,diseases of the circulatory system,<hypertrophic cardiomyopathy>,swisspar_camzyos_mit_fi.pdf,small molecule,camzyos,"camzyos is indicated for the treatment of adult patients with symptomatic (nyha, class ii-iii) obstructive hypertrophic cardiomyopathy (ohcm) to improve functional capacity and associated symptoms.",no,"treatment of symptomatic (new york heart association, nyha, class ii-iii) obstructive hypertrophic cardiomyopathy (ohcm) in adult patients.",<hypertrophic cardiomyopathy>,bristol-myers squibb sa,bristol-myers squibb,68477,mavacamten,no,yes,capsule,,na
oral,03.11.2020,2020,authorised,Swissmedic,approved,05.04.2022,2022,diseases of the skin,"<dermatitis, atopic>",swisspar_cibinqo_final.pdf,small molecule,cibinqo,treatment of moderate to severe atopic dermatitis in adults when therapy with topical medications does not provide adequate disease control or cannot be used,no,moderate to severe atopic dermatitis in adults and patients 12 years of age and older who are candidates for systemic therapy,"<dermatitis, atopic>",pfizer ag,pfizer,68174,abrocitinib,yes,no,tablet,,
intravenous,24.07.2020,2020,authorised (under additional monitoring),Swissmedic,approved,15.07.2021,2021,neoplasms; diseases of the blood and blood-forming organs,<precursor cell lymphoblastic leukemia-lymphoma>,swisspar_clofara-final.pdf,small molecule,clofara,treatment of acute lymphoblastic leukaemia (all) in paediatric patients who have relapsed or are refractory after receiving at least two prior regimens and where there is no other treatment option anticipated to result in a durable response.,no,treatment of acute lymphoblastic leukaemia (all) in paediatric patients who have relapsed or are refractory after receiving at least two prior regimens and where there is no other treatment option anticipated to result in a durable response.,<precursor cell lymphoblastic leukemia-lymphoma>,ideogen ag,ideogen,68107,clofarabine,yes,,concentrate,,ema
oral,02.11.2020,2020,authorised,Swissmedic,approved,07.04.2022,2022,diseases of the digestive system,<irritable bowel syndrome>,swisspar_colibiogen_oral_final.pdf,other,colibiogen oral,"colibiogen oral is used for the supportive, symptomatic treatment of irritable bowel syndrome in adults.",no,colibiogen oral is an intestinal mucosal - and immunotherapeutic and is used to treat irritable bowel syndrome.,<irritable bowel syndrome>,laves arzneimittel gmbh,laves,68052,escherichia coli lysate (strain laves),yes,no,solution,,authority of canton appenzell ausserrhoden
intravenous,01.12.2022,2022,authorised (under additional monitoring),Swissmedic,conditional marketing authorisation,07.11.2023,2023,neoplasms; diseases of the blood and blood-forming organs,<diffuse large b-cell lymphoma>,swisspar_columvi_mit_fi.pdf,biologics,columvi,"columvi is indicated for the treatment of adult patients with relapsed or refractory diffuse large b-cell lymphoma (dlbcl) after 2 or more lines of systemic therapy, including an antibody that targets cd20 and an anthracycline. furthermore, the patients must exhibit progression after prior anti-cd19-targeted car t-cell therapy or be ineligible for such treatment.",no,"glofitamab is indicated for the treatment of adult patients with relapsed or refractory large b-cell lymphoma after 2 or more lines of systemic therapy, including diffuse large b-cell lymphoma (dlbcl) not otherwise specified, dlbcl arising from follicular lymphoma, high-grade b-cell lymphoma (hgbcl), and primary mediastinal b-cell lymphoma (pmbcl).",<large b-cell lymphoma>; <diffuse large b-cell lymphoma>; <follicular lymphoma>; <high-grade b-cell lymphoma>; <primary mediastinal b-cell lymphoma>,roche pharma (schweiz) ag,roche,68297,glofitamab,no,yes,concentrate,,na
oral,02.08.2021,2021,authorised,Swissmedic,approved,11.01.2023,2023,diseases of the musculoskeletal system and connective tissue,"<osteoarthritis, knee>",swisspar_condrosulf_plus.pdf,other,condrosulf plus,symptomatic treatment of knee osteoarthritis in adult patients with moderate to severe pain.,no,symptomatic treatment of knee osteoarthritis in patients with moderate to severe pain.,"<osteoarthritis, knee>",ibsa institut biochimique sa,ibsa,68626,"chondroitin sulfate sodium, glucosamine hydrochloride",yes,no,capsule,,na
intramuscular,03.12.2020,2020,withdrawn,Swissmedic,approved,22.03.2021,2021,infectious and parasitic diseases,<covid-19>,swisspar_covid-19_vaccine_janssen_.pdf,vaccine,covid-19 vaccine janssen,active immunisation to prevent covid-19 caused by sars-cov-2 in individuals 18 years of age and older.,no,active immunization for the prevention of coronavirus disease-2019 (covid-19) in adults greater than or equal to 18 years of age.,<covid-19>,janssen-cilag ag,janssen-cilag,68235,human adenovirus serotype 26 encoding the sars-cov-2 spike glycoprotein (ad26.cov2-s),no,no,suspension,,na
intravenous,02.08.2019,2019,authorised,Swissmedic,approved,21.09.2020,2020,diseases of the blood and blood-forming organs,<hepatic veno-occlusive disease>,swisspar_defitelio-1.pdf,other,defitelio,"treatment of severe hepatic veno-occlusive disease (vod) also known as sinusoidal obstruction syndrome (sos) in haematopoietic stem-cell transplantation (hsct) therapy in adults and in adolescents, children and infants of 1 month of age and above",no,treatment of severe hepatic veno-occlusive disease (vod) also known as sinusoidal obstruction syndrome (sos) in haematopoietic stem-cell transplantation (hsct),<hepatic veno-occlusive disease>,clinipace ag,clinipace,67667,defibrotide,yes,yes,concentrate,,"health canada, fda and ema"
oral,20.05.2020,2020,authorised (under additional monitoring),Swissmedic,approved,23.11.2021,2021,diseases of the blood and blood-forming organs,<thrombocytopenia>; <chronic liver disease>; <immune thrombocytopenia>,swisspar_doptelet.pdf,small molecule,doptelet,doptelet is indicated for the treatment of severe thrombocytopenia in adult patients with chronic liver disease who are scheduled to undergo an invasive procedure. doptelet is indicated for the treatment of chronic immune thrombocytopenia (itp) in adult patients who have shown insufficient response to at least one prior treatment.,no,"doptelet is indicated for the treatment of severe thrombocytopenia in adult patients with chronic liver disease (cld) who are scheduled to undergo an invasive procedure. doptelet is indicated for the treatment of chronic immune thrombocytopenia (itp) in adult patients who have not responded to other treatments (e.g. corticoids, immunoglobulins).",<thrombocytopenia>; <liver diseases>,swedish orphan biovitrum ag,swedish orphan biovitrum,67893,avatrombopag,yes,no,tablet,,european medicines agency (ema)
oral,12.10.2020,2020,authorised,Swissmedic,approved,05.05.2022,2022,diseases of the genitourinary system,<contraception>,swisspar_drovelis.pdf,small molecule,drovelis,oral contraception in women aged 18 and over,no,oral contraception,<contraception>,gedeon richter (schweiz) ag,gedeon richter,68228,"drospirenone, estetrol monohydrate",no,no,tablet,,na
intramuscular; subcutaneous,24.03.2020,2020,authorised,Swissmedic,approved,21.07.2021,2021,infectious and parasitic diseases; diseases of the respiratory system,<influenza>,swisspar_efluelda_final.pdf,vaccine,efluelda,efluelda is used for active immunisation of adults aged 65 years and older for prophylaxis of influenza caused by the two influenza a virus subtypes and the two influenza b virus subtypes contained in the vaccine.,no,efluelda is indicated for active immunisation in adults 65 years of age and older for the prevention of influenza disease,<influenza>,sanofi-aventis (suisse) sa,sanofi-aventis,67704,"haemagglutininum influenzae a (h1n1), haemagglutininum influenzae a (h3n2), haemagglutininum influenzae b (victoria), haemagglutininum influenzae b (yamagata)",yes,no,suspension,,fda
intravenous,21.04.2023,2023,authorised (under additional monitoring),Swissmedic,approved,11.09.2023,2023,"endocrine, nutritional, and metabolic diseases",<fabry disease>,swisspar_elfabrio_final.pdf,biologics,elfabrio,elfabrio is indicated for long-term enzyme replacement therapy in adult patients with a confirmed diagnosis of fabry disease (deficiency of alpha-galactosidase).,no,elfabrio is indicated for long-term enzyme replacement therapy in adult patients with a confirmed diagnosis of fabry disease (deficiency of alpha-galactosidase).,<fabry disease>,chiesi sa,chiesi,69257,pegunigalsidas e alfa,yes,yes,concentrate,emea/h/c/005618/0000,ema
subcutaneous,19.01.2023,2023,authorised (under additional monitoring),Swissmedic,conditional marketing authorisation,05.09.2023,2023,neoplasms; diseases of the blood and blood-forming organs,<multiple myeloma>,swisspar_elrexfio_final-1.pdf,biologics,elrexfio,"elrexfio is indicated as monotherapy for the treatment of relapsed or refractory multiple myeloma in adult patients whose multiple myeloma is refractory to at least one immunomodulatory agent, one proteasome inhibitor, and one anti-cd38 monoclonal antibody, and who have demonstrated disease progression on the last therapy.",no,"elrexfio is indicated as monotherapy for the treatment of adult patients with relapsed or refractory multiple myeloma, who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-cd38 monoclonal antibody, and have demonstrated disease progression on the last therapy.",<multiple myeloma>,pfizer ag,pfizer,68646,elranatamab,yes,yes,solution,,na
intravenous,16.05.2022,2022,authorised,Swissmedic,approved,21.12.2023,2023,diseases of the nervous system; other,not reported,swisspar_elucirem-1.pdf,small molecule,elucirem,"in adults, elucirem is a gadolinium-based contrast agent indicated in adults for use with magnetic resonance imaging (mri) to detect and visualise lesions with abnormal vascularity in the cns area and in other areas of the body.",no,magnetic resonance imaging (mri) contrast media for central nervous system (cns) diagnostics and other body regions.,not reported,guerbet ag,guerbet,68791,gadopiclenol,no,no,solution,,na
intravenous,19.04.2022,2022,authorised,Swissmedic,approved,03.02.2023,2023,neoplasms; diseases of the blood and blood-forming organs,<blastic plasmacytoid dendritic cell neoplasm>,swisspar_elzonris_final.pdf,biologics,elzonris,elzonris is indicated for the first-line treatment of adult patients with blastic plasmacytoid dendritic cell neoplasm (bpdcn).,no,elzonris is indicated for the treatment of adult patients and in paediatric patients 2 years and older with blastic plasmacytoid dendritic cell neoplasm (bpdcn).,<blastic plasmacytoid dendritic cell neoplasm>,stemline therapeutics switzerland gmbh,stemline,68797,tagraxofusp,no,yes,concentrate,,na
intravenous,14.08.2020,2020,authorised (under additional monitoring),Swissmedic,approved,29.11.2021,2021,neoplasms,<breast neoplasms>,swisspar_enhertu_g102637736.pdf,biologics,enhertu,"enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic her2-positive breast cancer who have received two or more prior anti-her2-based regimens, including trastuzumab, and have had disease progression on trastuzumab emtansine (t-dm1).",no,trastuzumab deruxtecan is indicated for the treatment of adult patients with unresectable or metastatic her2-positive breast cancer who have received two or more prior anti-her2-based regimens.,<breast neoplasms>,daiichi sankyo (schweiz) ag,daiichi sankyo,67967,trastuzumab deruxtecan,yes,no,powder,,fda
intravenous,17.06.2022,2022,authorised (under additional monitoring),Swissmedic,approved,06.03.2023,2023,neoplasms,<breast neoplasms>,swisspar_enhertu_g102673750.pdf,biologics,enhertu,her2-low breast cancer,yes,her2-low breast cancer,<breast neoplasms>,daiichi sankyo (schweiz) ag,daiichi sankyo,67967,trastuzumab deruxtecan,yes,no,powder,,
intravenous,31.03.2023,2023,authorised (under additional monitoring),Swissmedic,conditional marketing authorisation,08.05.2024,2024,neoplasms; diseases of the digestive system,<gastric adenocarcinoma>; <gastroesophageal junction adenocarcinoma>,swisspar_enhertu_ie-1.pdf,biologics,enhertu,enhertu as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic her2-positive gastric or gastroesophageal junction (gej) adenocarcinoma who have disease progression on or after a first-line regimen with trastuzumab and chemotherapy.,yes,enhertu as monotherapy is indicated for the treatment of adult patients with locally advanced or metastatic her2-positive gastric or gastroesophageal junction (gej) adenocarcinoma who have received a prior trastuzumab-based regimen.,<gastric adenocarcinoma>; <gastroesophageal junction adenocarcinoma>,daiichi sankyo (schweiz) ag,daiichi sankyo,67967,trastuzumab deruxtecan,yes,no,powder,,na
intravenous,13.12.2021,2021,authorised,Swissmedic,approved,30.06.2022,2022,neoplasms,<breast neoplasms>,swisspar_enhertu_ie_mbc_2l_g102661094.pdf,biologics,enhertu,"enhertu as monotherapy is indicated for the treatment of adult patients with unresectable or metastatic her2-positive breast cancer who have received one or more prior anti-her2-based regimens, including trastuzumab and a taxane, and had a progression either in the metastatic setting or within 6 months after finalisation of an adjuvant or neoadjuvant therapy.",yes,enhertu monotherapy is indicated for the treatment of adult patients with unresectable or metastatic her2-positive breast cancer who have received a prior anti-her2-based regimen.,<breast neoplasms>,daiichi sankyo (schweiz) ag,daiichi sankyo,67967,trastuzumab deruxtecan,yes,no,powder,,na
intramuscular,25.08.2022,2022,authorised (under additional monitoring),Swissmedic,approved,18.04.2024,2024,neoplasms; diseases of the blood and blood-forming organs,<precursor cell lymphoblastic leukemia-lymphoma>,swisspar_enrylaze.pdf,biologics,enrylaze,enrylaze is indicated as a component of a multi-agent chemotherapeutic regimen for the treatment of acute lymphoblastic leukaemia (all) and lymphoblastic lymphoma (lbl) in adult and paediatric patients who developed hypersensitivity to e. coli-derived asparaginase.,no,enrylaze is a component of a chemotherapeutic combination therapy for the treatment of acute lymphoblastic leukaemia (all) and lymphoblastic lymphoma (lbl) in adult and paediatric patients who have developed hypersensitivity or silent inactivation to e. coli-derived asparaginase.,<precursor cell lymphoblastic leukemia-lymphoma>,jazz pharmaceuticals,jazz,69073,crisantaspase,yes,yes,solution,,fda
oral,11.06.2019,2019,authorised (under additional monitoring),Swissmedic,approved,10.02.2021,2021,diseases of the nervous system,<seizures>; <lennox-gastaut syndrome>; <dravet syndrome>,swisspar_epidyolex_final_zur_publikation.pdf,small molecule,epidyolex,epidyolex is indicated for the adjunctive therapy of seizures associated with lennox-gastaut syndrome (lgs) or dravet syndrome (ds) in patients 2 years of age and older.,no,epidyolex is indicated for the adjunctive therapy of seizures associated with lennox-gastaut syndrome or dravet syndrome in patients 2 years of age and older.,<seizures>; <lennox-gastaut syndrome>; <dravet syndrome>,drac ag,drac,67590,cannabidiol,yes,yes,solution,,fda; ema
oral,02.09.2021,2021,authorised (under additional monitoring),Swissmedic,approved,30.08.2022,2022,diseases of the nervous system; congenital malformations and chromosomal abnormalities,<tuberous sclerosis>,swisspar_epidyolex_ie-1.pdf,small molecule,epidyolex,adjunctive therapy of tuberous sclerosis complex (tsc) in patients 2 years of age and older,yes,adjunctive therapy of seizures associated with tuberous sclerosis complex (tsc) for patients 1 year of age and older,<seizures>; <tuberous sclerosis>,drac ag,drac,67590,cannabidiol,yes,no,solution,,ema
oral,19.08.2020,2020,authorised (under additional monitoring),Swissmedic,approved,06.05.2021,2021,diseases of the nervous system,<spinal muscular atrophy>,swisspar_evrysdi.pdf,small molecule,evrysdi,treatment of 5q-associated spinal muscular atrophy (sma) in patients 2 months of age and older.,no,treatment of spinal muscular atrophy (sma).,<spinal muscular atrophy>,roche pharma (schweiz) ag,roche,67251,risdiplam,no,yes,powder,,na
oral,22.12.2021,2021,authorised,Swissmedic,approved,12.12.2022,2022,diseases of the nervous system,<spinal muscular atrophy>,swisspar_evrysdi_final.pdf,small molecule,evrysdi,treatment of 5q-associated spinal muscular atrophy (sma) in paediatric and adult patients,yes,treatment of 5q spinal muscular atrophy (sma),<spinal muscular atrophies of childhood>,roche pharma (schweiz) ag,roche,67251,risdiplam,yes,yes,powder,,na
intramuscular,09.02.2022,2022,authorised (under additional monitoring),Swissmedic,conditional marketing authorisation,09.09.2022,2022,infectious and parasitic diseases,<covid-19>,swisspar_evusheld-1.pdf,biologics,evusheld,pre-exposure prophylaxis of covid-19 in adults and adolescents (12 years of age and older weighing at least 40 kg) unable to produce an adequate immune response to the sars-cov-2 vaccine and who are not currently infected with sars-cov-2 and who have not had recent contact with a person infected with sars-cov-2,no,prophylaxis of covid-19 in adults and paediatric individuals (12 years of age and older weighing at least 40 kg),<covid-19>,astrazeneca ag,astrazeneca,68704,cilgavimab / tixagevimab,yes,no,solution,,ema
intramuscular,01.09.2022,2022,authorised (under additional monitoring),Swissmedic,conditional marketing authorisation,27.04.2023,2023,infectious and parasitic diseases; diseases of the respiratory system,<covid-19>,swisspar_evusheld-2.pdf,biologics,evusheld,treatment of mild-to-moderate covid-19 in adults and adolescents (from 12 years of age with minimum body weight of 40 kg) who do not require supplemental oxygen or hospitalisation due to covid-19 and who are at risk of progressing to severe covid-19,yes,treatment of covid-19 in adults and paediatric individuals (12 years of age and older weighing at least 40 kg),<covid-19>,astrazeneca ag,astrazeneca,68704,"tixagevimab, cilgavimab",yes,no,solution,,na
oral,31.08.2021,2021,withdrawn,Swissmedic,conditional marketing authorisation,01.06.2022,2022,neoplasms; diseases of the respiratory system,<non-small cell lung cancer>,swisspar_exkivity.pdf,small molecule,exkivity,"exkivity as monotherapy is indicated for the treatment of adult patients with epidermal growth factor receptor (egfr) exon 20 insertion mutation-positive unresectable or metastatic non-small cell lung cancer (nsclc), whose disease has progressed on or after platinum-containing chemotherapy.",no,"exkivity as monotherapy is indicated for the treatment of adult patients with epidermal growth factor receptor (egfr) exon 20 insertion mutation-positive locally advanced or metastatic non-small cell lung cancer (nsclc), who have received prior platinum-based chemotherapy.",<non-small cell lung cancer>,takeda pharma ag,takeda,68147,mobocertinib,yes,yes,capsule,,fda
oral,20.06.2023,2023,authorised (under additional monitoring),Swissmedic,approved,29.08.2024,2024,diseases of the blood and blood-forming organs,<paroxysmal nocturnal hemoglobinuria>,swisspar_fabhalta.pdf,small molecule,fabhalta,fabhalta is indicated as monotherapy for the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (pnh) who have had an inadequate response despite at least 6 months of treatment with a c5 inhibitor.,no,fabhalta is indicated for the treatment of adult patients with paroxysmal nocturnal haemoglobinuria (pnh).,<paroxysmal nocturnal hemoglobinuria>,novartis pharma schweiz ag,novartis,68603,iptacopan,no,yes,capsule,,na
